"Input number 1117065 with intial rewrite term caaabaaaababbbaaabaabd
Generated final number 3 with final rewrite term cbd
Number of steps: 3610  Number of array doubles: 1"
Term	Number
caaabaaaababbbaaabebd	837799
caaabaaaababbbaaafbbd	837799
caaabaaaababbbaaebbbd	837799
caaabaaaababbbaeabbbd	837799
caaabaaaababbbeaabbbd	837799
caaabaaaababbfbaabbbd	837799
caaabaaaababgabaabbbd	837799
caaabaaaabagbabaabbbd	837799
caaabaaaabfababaabbbd	837799
caaabaaaagaababaabbbd	837799
caaabaaafaaababaabbbd	837799
caaabaaebaaababaabbbd	837799
caaabaeabaaababaabbbd	837799
caaabeaabaaababaabbbd	837799
caaafbaabaaababaabbbd	837799
caaebbaabaaababaabbbd	837799
caeabbaabaaababaabbbd	837799
ceaabbaabaaababaabbbd	837799
cbaabbaabaaababaabbbd	837799
cbaabbaabaaababaabgbd	1256699
cbaabbaabaaababaagbbd	1256699
cbaabbaabaaababafabbd	1256699
cbaabbaabaaababebabbd	1256699
cbaabbaabaaabafbbabbd	1256699
cbaabbaabaaabebbbabbd	1256699
cbaabbaabaaafbbbbabbd	1256699
cbaabbaabaaebbbbbabbd	1256699
cbaabbaabaeabbbbbabbd	1256699
cbaabbaabeaabbbbbabbd	1256699
cbaabbaafbaabbbbbabbd	1256699
cbaabbaebbaabbbbbabbd	1256699
cbaabbeabbaabbbbbabbd	1256699
cbaabfbabbaabbbbbabbd	1256699
cbaagababbaabbbbbabbd	1256699
cbafaababbaabbbbbabbd	1256699
cbebaababbaabbbbbabbd	1256699
cfbbaababbaabbbbbabbd	1256699
caabbaababbaabbbbbabbd	1256699
caabbaababbaabbbbbagbd	1885049
caabbaababbaabbbbbfabd	1885049
caabbaababbaabbbbgaabd	1885049
caabbaababbaabbbgbaabd	1885049
caabbaababbaabbgbbaabd	1885049
caabbaababbaabgbbbaabd	1885049
caabbaababbaagbbbbaabd	1885049
caabbaababbafabbbbaabd	1885049
caabbaababbebabbbbaabd	1885049
caabbaababfbbabbbbaabd	1885049
caabbaabagabbabbbbaabd	1885049
caabbaabfaabbabbbbaabd	1885049
caabbaagaaabbabbbbaabd	1885049
caabbafaaaabbabbbbaabd	1885049
