"Input number 1501353 with intial rewrite term cabbabbbabaaabababaabd
Generated final number 3 with final rewrite term cbd
Number of steps: 4327  Number of array doubles: 1"
Term	Number
cabbabbbabaaabababebd	1126015
cabbabbbabaaababafbbd	1126015
cabbabbbabaaababebbbd	1126015
cabbabbbabaaabafbbbbd	1126015
cabbabbbabaaabebbbbbd	1126015
cabbabbbabaaafbbbbbbd	1126015
cabbabbbabaaebbbbbbbd	1126015
cabbabbbabaeabbbbbbbd	1126015
cabbabbbabeaabbbbbbbd	1126015
cabbabbbafbaabbbbbbbd	1126015
cabbabbbebbaabbbbbbbd	1126015
cabbabbfbbbaabbbbbbbd	1126015
cabbabgabbbaabbbbbbbd	1126015
cabbagbabbbaabbbbbbbd	1126015
cabbfababbbaabbbbbbbd	1126015
cabgaababbbaabbbbbbbd	1126015
cagbaababbbaabbbbbbbd	1126015
cfabaababbbaabbbbbbbd	1126015
caaabaababbbaabbbbbbbd	1126015
caaabaababbbaabbbbbgbd	1689023
caaabaababbbaabbbbgbbd	1689023
caaabaababbbaabbbgbbbd	1689023
caaabaababbbaabbgbbbbd	1689023
caaabaababbbaabgbbbbbd	1689023
caaabaababbbaagbbbbbbd	1689023
caaabaababbbafabbbbbbd	1689023
caaabaababbbebabbbbbbd	1689023
caaabaababbfbbabbbbbbd	1689023
caaabaababgabbabbbbbbd	1689023
caaabaabagbabbabbbbbbd	1689023
caaabaabfababbabbbbbbd	1689023
caaabaagaababbabbbbbbd	1689023
caaabafaaababbabbbbbbd	1689023
caaabebaaababbabbbbbbd	1689023
caaafbbaaababbabbbbbbd	1689023
caaebbbaaababbabbbbbbd	1689023
caeabbbaaababbabbbbbbd	1689023
ceaabbbaaababbabbbbbbd	1689023
cbaabbbaaababbabbbbbbd	1689023
cbaabbbaaababbabbbbgbd	2533535
cbaabbbaaababbabbbgbbd	2533535
cbaabbbaaababbabbgbbbd	2533535
cbaabbbaaababbabgbbbbd	2533535
cbaabbbaaababbagbbbbbd	2533535
cbaabbbaaababbfabbbbbd	2533535
cbaabbbaaababgaabbbbbd	2533535
cbaabbbaaabagbaabbbbbd	2533535
cbaabbbaaabfabaabbbbbd	2533535
cbaabbbaaagaabaabbbbbd	2533535
cbaabbbaafaaabaabbbbbd	2533535
cbaabbbaebaaabaabbbbbd	2533535
cbaabbbeabaaabaabbbbbd	2533535
cbaabbfbabaaabaabbbbbd	2533535
cbaabgababaaabaabbbbbd	2533535
cbaagbababaaabaabbbbbd	2533535
cbafabababaaabaabbbbbd	2533535
cbebabababaaabaabbbbbd	2533535
cfbbabababaaabaabbbbbd	2533535
caabbabababaaabaabbbbbd	2533535
caabbabababaaabaabbbgbd	3800303
caabbabababaaabaabbgbbd	3800303
caabbabababaaabaabgbbbd	3800303
caabbabababaaabaagbbbbd	3800303
caabbabababaaabafabbbbd	3800303
caabbabababaaabebabbbbd	3800303
caabbabababaaafbbabbbbd	3800303
caabbabababaaebbbabbbbd	3800303
caabbabababaeabbbabbbbd	3800303
caabbabababeaabbbabbbbd	3800303
caabbababafbaabbbabbbbd	3800303
caabbababebbaabbbabbbbd	3800303
caabbabafbbbaabbbabbbbd	3800303
caabbabebbbbaabbbabbbbd	3800303
caabbafbbbbbaabbbabbbbd	3800303
caabbebbbbbbaabbbabbbbd	3800303
caabfbbbbbbbaabbbabbbbd	3800303
caagabbbbbbbaabbbabbbbd	3800303
cafaabbbbbbbaabbbabbbbd	3800303
cebaabbbbbbbaabbbabbbbd	3800303
cbbaabbbbbbbaabbbabbbbd	3800303
cbbaabbbbbbbaabbbabbgbd	5700455
cbbaabbbbbbbaabbbabgbbd	5700455
cbbaabbbbbbbaabbbagbbbd	5700455
cbbaabbbbbbbaabbbfabbbd	5700455
cbbaabbbbbbbaabbgaabbbd	5700455
cbbaabbbbbbbaabgbaabbbd	5700455
cbbaabbbbbbbaagbbaabbbd	5700455
cbbaabbbbbbbafabbaabbbd	5700455
cbbaabbbbbbbebabbaabbbd	5700455
cbbaabbbbbbfbbabbaabbbd	5700455
cbbaabbbbbgabbabbaabbbd	5700455
cbbaabbbbgbabbabbaabbbd	5700455
cbbaabbbgbbabbabbaabbbd	5700455
cbbaabbgbbbabbabbaabbbd	5700455
cbbaabgbbbbabbabbaabbbd	5700455
cbbaagbbbbbabbabbaabbbd	5700455
cbbafabbbbbabbabbaabbbd	5700455
cbbebabbbbbabbabbaabbbd	5700455
cbfbbabbbbbabbabbaabbbd	5700455
cgabbabbbbbabbabbaabbbd	5700455
cababbabbbbbabbabbaabbbd	5700455
cababbabbbbbabbabbaabgbd	8550683
