"Input number 216367 with intial rewrite term cbabaabbabaababbbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 2027  Number of array doubles: 1"
Term	Number
cbabaabbabaababbgbd	324551
cbabaabbabaababgbbd	324551
cbabaabbabaabagbbbd	324551
cbabaabbabaabfabbbd	324551
cbabaabbabaagaabbbd	324551
cbabaabbabafaaabbbd	324551
cbabaabbabebaaabbbd	324551
cbabaabbafbbaaabbbd	324551
cbabaabbebbbaaabbbd	324551
cbabaabfbbbbaaabbbd	324551
cbabaagabbbbaaabbbd	324551
cbabafaabbbbaaabbbd	324551
cbabebaabbbbaaabbbd	324551
cbafbbaabbbbaaabbbd	324551
cbebbbaabbbbaaabbbd	324551
cfbbbbaabbbbaaabbbd	324551
caabbbbaabbbbaaabbbd	324551
caabbbbaabbbbaaabgbd	486827
caabbbbaabbbbaaagbbd	486827
caabbbbaabbbbaafabbd	486827
caabbbbaabbbbaebabbd	486827
caabbbbaabbbbeababbd	486827
caabbbbaabbbfbababbd	486827
caabbbbaabbgabababbd	486827
caabbbbaabgbabababbd	486827
caabbbbaagbbabababbd	486827
caabbbbafabbabababbd	486827
caabbbbebabbabababbd	486827
caabbbfbbabbabababbd	486827
caabbgabbabbabababbd	486827
caabgbabbabbabababbd	486827
caagbbabbabbabababbd	486827
cafabbabbabbabababbd	486827
cebabbabbabbabababbd	486827
cbbabbabbabbabababbd	486827
cbbabbabbabbababagbd	730241
cbbabbabbabbababfabd	730241
cbbabbabbabbabagaabd	730241
cbbabbabbabbabfaaabd	730241
cbbabbabbabbagaaaabd	730241
cbbabbabbabbfaaaaabd	730241
cbbabbabbabgaaaaaabd	730241
cbbabbabbagbaaaaaabd	730241
cbbabbabbfabaaaaaabd	730241
cbbabbabgaabaaaaaabd	730241
cbbabbagbaabaaaaaabd	730241
cbbabbfabaabaaaaaabd	730241
cbbabgaabaabaaaaaabd	730241
cbbagbaabaabaaaaaabd	730241
cbbfabaabaabaaaaaabd	730241
cbgaabaabaabaaaaaabd	730241
cgbaabaabaabaaaaaabd	730241
cabbaabaabaabaaaaaabd	730241
cabbaabaabaabaaaaebd	547681
cabbaabaabaabaaaeabd	547681
cabbaabaabaabaaeaabd	547681
cabbaabaabaabaeaaabd	547681
cabbaabaabaabeaaaabd	547681
cabbaabaabaafbaaaabd	547681
cabbaabaabaebbaaaabd	547681
cabbaabaabeabbaaaabd	547681
cabbaabaafbabbaaaabd	547681
cabbaabaebbabbaaaabd	547681
cabbaabeabbabbaaaabd	547681
cabbaafbabbabbaaaabd	547681
cabbaebbabbabbaaaabd	547681
cabbeabbabbabbaaaabd	547681
cabfbabbabbabbaaaabd	547681
cagababbabbabbaaaabd	547681
cfaababbabbabbaaaabd	547681
caaaababbabbabbaaaabd	547681
caaaababbabbabbaaebd	410761
caaaababbabbabbaeabd	410761
caaaababbabbabbeaabd	410761
caaaababbabbabfbaabd	410761
caaaababbabbagabaabd	410761
caaaababbabbfaabaabd	410761
caaaababbabgaaabaabd	410761
caaaababbagbaaabaabd	410761
caaaababbfabaaabaabd	410761
caaaababgaabaaabaabd	410761
caaaabagbaabaaabaabd	410761
caaaabfabaabaaabaabd	410761
caaaagaabaabaaabaabd	410761
caaafaaabaabaaabaabd	410761
caaebaaabaabaaabaabd	410761
caeabaaabaabaaabaabd	410761
ceaabaaabaabaaabaabd	410761
cbaabaaabaabaaabaabd	410761
cbaabaaabaabaaabebd	308071
cbaabaaabaabaaafbbd	308071
cbaabaaabaabaaebbbd	308071
cbaabaaabaabaeabbbd	308071
cbaabaaabaabeaabbbd	308071
cbaabaaabaafbaabbbd	308071
cbaabaaabaebbaabbbd	308071
cbaabaaabeabbaabbbd	308071
cbaabaaafbabbaabbbd	308071
cbaabaaebbabbaabbbd	308071
cbaabaeabbabbaabbbd	308071
cbaabeaabbabbaabbbd	308071
cbaafbaabbabbaabbbd	308071
cbaebbaabbabbaabbbd	308071
cbeabbaabbabbaabbbd	308071
cfbabbaabbabbaabbbd	308071
caababbaabbabbaabbbd	308071
caababbaabbabbaabgbd	462107
caababbaabbabbaagbbd	462107
caababbaabbabbafabbd	462107
caababbaabbabbebabbd	462107
caababbaabbabfbbabbd	462107
caababbaabbagabbabbd	462107
caababbaabbfaabbabbd	462107
caababbaabgaaabbabbd	462107
caababbaagbaaabbabbd	462107
caababbafabaaabbabbd	462107
caababbebabaaabbabbd	462107
caababfbbabaaabbabbd	462107
caabagabbabaaabbabbd	462107
caabfaabbabaaabbabbd	462107
caagaaabbabaaabbabbd	462107
cafaaaabbabaaabbabbd	462107
cebaaaabbabaaabbabbd	462107
cbbaaaabbabaaabbabbd	462107
cbbaaaabbabaaabbagbd	693161
cbbaaaabbabaaabbfabd	693161
cbbaaaabbabaaabgaabd	693161
cbbaaaabbabaaagbaabd	693161
cbbaaaabbabaafabaabd	693161
cbbaaaabbabaebabaabd	693161
cbbaaaabbabeababaabd	693161
cbbaaaabbafbababaabd	693161
cbbaaaabbebbababaabd	693161
cbbaaaabfbbbababaabd	693161
cbbaaaagabbbababaabd	693161
cbbaaafaabbbababaabd	693161
cbbaaebaabbbababaabd	693161
cbbaeabaabbbababaabd	693161
cbbeaabaabbbababaabd	693161
cbfbaabaabbbababaabd	693161
cgabaabaabbbababaabd	693161
cababaabaabbbababaabd	693161
cababaabaabbbababebd	519871
cababaabaabbbabafbbd	519871
cababaabaabbbabebbbd	519871
cababaabaabbbafbbbbd	519871
cababaabaabbbebbbbbd	519871
cababaabaabbfbbbbbbd	519871
cababaabaabgabbbbbbd	519871
cababaabaagbabbbbbbd	519871
