"Input number 230631 with intial rewrite term cbbaaaabaabbbaabbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 2468  Number of array doubles: 1"
Term	Number
cbbaaaabaabbbaabgbd	345947
cbbaaaabaabbbaagbbd	345947
cbbaaaabaabbbafabbd	345947
cbbaaaabaabbbebabbd	345947
cbbaaaabaabbfbbabbd	345947
cbbaaaabaabgabbabbd	345947
cbbaaaabaagbabbabbd	345947
cbbaaaabafababbabbd	345947
cbbaaaabebababbabbd	345947
cbbaaaafbbababbabbd	345947
cbbaaaebbbababbabbd	345947
cbbaaeabbbababbabbd	345947
cbbaeaabbbababbabbd	345947
cbbeaaabbbababbabbd	345947
cbfbaaabbbababbabbd	345947
cgabaaabbbababbabbd	345947
cababaaabbbababbabbd	345947
cababaaabbbababbagbd	518921
cababaaabbbababbfabd	518921
cababaaabbbababgaabd	518921
cababaaabbbabagbaabd	518921
cababaaabbbabfabaabd	518921
cababaaabbbagaabaabd	518921
cababaaabbbfaaabaabd	518921
cababaaabbgaaaabaabd	518921
cababaaabgbaaaabaabd	518921
cababaaagbbaaaabaabd	518921
cababaafabbaaaabaabd	518921
cababaebabbaaaabaabd	518921
cababeababbaaaabaabd	518921
cabafbababbaaaabaabd	518921
cabebbababbaaaabaabd	518921
cafbbbababbaaaabaabd	518921
cebbbbababbaaaabaabd	518921
cbbbbbababbaaaabaabd	518921
cbbbbbababbaaaabebd	389191
cbbbbbababbaaaafbbd	389191
cbbbbbababbaaaebbbd	389191
cbbbbbababbaaeabbbd	389191
cbbbbbababbaeaabbbd	389191
cbbbbbababbeaaabbbd	389191
cbbbbbababfbaaabbbd	389191
cbbbbbabagabaaabbbd	389191
cbbbbbabfaabaaabbbd	389191
cbbbbbagaaabaaabbbd	389191
cbbbbbfaaaabaaabbbd	389191
cbbbbgaaaaabaaabbbd	389191
cbbbgbaaaaabaaabbbd	389191
cbbgbbaaaaabaaabbbd	389191
cbgbbbaaaaabaaabbbd	389191
cgbbbbaaaaabaaabbbd	389191
cabbbbbaaaaabaaabbbd	389191
cabbbbbaaaaabaaabgbd	583787
cabbbbbaaaaabaaagbbd	583787
cabbbbbaaaaabaafabbd	583787
cabbbbbaaaaabaebabbd	583787
cabbbbbaaaaabeababbd	583787
cabbbbbaaaaafbababbd	583787
cabbbbbaaaaebbababbd	583787
cabbbbbaaaeabbababbd	583787
cabbbbbaaeaabbababbd	583787
cabbbbbaeaaabbababbd	583787
cabbbbbeaaaabbababbd	583787
cabbbbfbaaaabbababbd	583787
cabbbgabaaaabbababbd	583787
cabbgbabaaaabbababbd	583787
cabgbbabaaaabbababbd	583787
cagbbbabaaaabbababbd	583787
cfabbbabaaaabbababbd	583787
caaabbbabaaaabbababbd	583787
caaabbbabaaaabbabagbd	875681
caaabbbabaaaabbabfabd	875681
caaabbbabaaaabbagaabd	875681
caaabbbabaaaabbfaaabd	875681
caaabbbabaaaabgaaaabd	875681
caaabbbabaaaagbaaaabd	875681
caaabbbabaaafabaaaabd	875681
caaabbbabaaebabaaaabd	875681
caaabbbabaeababaaaabd	875681
caaabbbabeaababaaaabd	875681
caaabbbafbaababaaaabd	875681
caaabbbebbaababaaaabd	875681
caaabbfbbbaababaaaabd	875681
caaabgabbbaababaaaabd	875681
caaagbabbbaababaaaabd	875681
caafababbbaababaaaabd	875681
caebababbbaababaaaabd	875681
ceabababbbaababaaaabd	875681
cbabababbbaababaaaabd	875681
cbabababbbaababaaebd	656761
cbabababbbaababaeabd	656761
cbabababbbaababeaabd	656761
cbabababbbaabafbaabd	656761
cbabababbbaabebbaabd	656761
cbabababbbaafbbbaabd	656761
cbabababbbaebbbbaabd	656761
cbabababbbeabbbbaabd	656761
cbabababbfbabbbbaabd	656761
cbabababgababbbbaabd	656761
cbababagbababbbbaabd	656761
cbababfabababbbbaabd	656761
cbabagaabababbbbaabd	656761
cbabfaaabababbbbaabd	656761
cbagaaaabababbbbaabd	656761
cbfaaaaabababbbbaabd	656761
cgaaaaaabababbbbaabd	656761
cabaaaaaabababbbbaabd	656761
cabaaaaaabababbbbebd	492571
cabaaaaaabababbbfbbd	492571
cabaaaaaabababbgabbd	492571
cabaaaaaabababgbabbd	492571
cabaaaaaababagbbabbd	492571
cabaaaaaababfabbabbd	492571
cabaaaaaabagaabbabbd	492571
cabaaaaaabfaaabbabbd	492571
cabaaaaaagaaaabbabbd	492571
cabaaaaafaaaaabbabbd	492571
