"Input number 26623 with intial rewrite term cbaabbbbbbbbbbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 1490  Number of array doubles: 1"
Term	Number
cbaabbbbbbbbbgbd	39935
cbaabbbbbbbbgbbd	39935
cbaabbbbbbbgbbbd	39935
cbaabbbbbbgbbbbd	39935
cbaabbbbbgbbbbbd	39935
cbaabbbbgbbbbbbd	39935
cbaabbbgbbbbbbbd	39935
cbaabbgbbbbbbbbd	39935
cbaabgbbbbbbbbbd	39935
cbaagbbbbbbbbbbd	39935
cbafabbbbbbbbbbd	39935
cbebabbbbbbbbbbd	39935
cfbbabbbbbbbbbbd	39935
caabbabbbbbbbbbbd	39935
caabbabbbbbbbbgbd	59903
caabbabbbbbbbgbbd	59903
caabbabbbbbbgbbbd	59903
caabbabbbbbgbbbbd	59903
caabbabbbbgbbbbbd	59903
caabbabbbgbbbbbbd	59903
caabbabbgbbbbbbbd	59903
caabbabgbbbbbbbbd	59903
caabbagbbbbbbbbbd	59903
caabbfabbbbbbbbbd	59903
caabgaabbbbbbbbbd	59903
caagbaabbbbbbbbbd	59903
cafabaabbbbbbbbbd	59903
cebabaabbbbbbbbbd	59903
cbbabaabbbbbbbbbd	59903
cbbabaabbbbbbbgbd	89855
cbbabaabbbbbbgbbd	89855
cbbabaabbbbbgbbbd	89855
cbbabaabbbbgbbbbd	89855
cbbabaabbbgbbbbbd	89855
cbbabaabbgbbbbbbd	89855
cbbabaabgbbbbbbbd	89855
cbbabaagbbbbbbbbd	89855
cbbabafabbbbbbbbd	89855
cbbabebabbbbbbbbd	89855
cbbafbbabbbbbbbbd	89855
cbbebbbabbbbbbbbd	89855
cbfbbbbabbbbbbbbd	89855
cgabbbbabbbbbbbbd	89855
cababbbbabbbbbbbbd	89855
cababbbbabbbbbbgbd	134783
cababbbbabbbbbgbbd	134783
cababbbbabbbbgbbbd	134783
cababbbbabbbgbbbbd	134783
cababbbbabbgbbbbbd	134783
cababbbbabgbbbbbbd	134783
cababbbbagbbbbbbbd	134783
cababbbbfabbbbbbbd	134783
cababbbgaabbbbbbbd	134783
cababbgbaabbbbbbbd	134783
cababgbbaabbbbbbbd	134783
cabagbbbaabbbbbbbd	134783
cabfabbbaabbbbbbbd	134783
cagaabbbaabbbbbbbd	134783
cfaaabbbaabbbbbbbd	134783
caaaaabbbaabbbbbbbd	134783
caaaaabbbaabbbbbgbd	202175
caaaaabbbaabbbbgbbd	202175
caaaaabbbaabbbgbbbd	202175
caaaaabbbaabbgbbbbd	202175
caaaaabbbaabgbbbbbd	202175
caaaaabbbaagbbbbbbd	202175
caaaaabbbafabbbbbbd	202175
caaaaabbbebabbbbbbd	202175
caaaaabbfbbabbbbbbd	202175
caaaaabgabbabbbbbbd	202175
caaaaagbabbabbbbbbd	202175
caaaafababbabbbbbbd	202175
caaaebababbabbbbbbd	202175
caaeabababbabbbbbbd	202175
caeaabababbabbbbbbd	202175
ceaaabababbabbbbbbd	202175
cbaaabababbabbbbbbd	202175
cbaaabababbabbbbgbd	303263
cbaaabababbabbbgbbd	303263
cbaaabababbabbgbbbd	303263
cbaaabababbabgbbbbd	303263
cbaaabababbagbbbbbd	303263
cbaaabababbfabbbbbd	303263
cbaaabababgaabbbbbd	303263
cbaaababagbaabbbbbd	303263
cbaaababfabaabbbbbd	303263
cbaaabagaabaabbbbbd	303263
cbaaabfaaabaabbbbbd	303263
cbaaagaaaabaabbbbbd	303263
cbaafaaaaabaabbbbbd	303263
cbaebaaaaabaabbbbbd	303263
cbeabaaaaabaabbbbbd	303263
cfbabaaaaabaabbbbbd	303263
caababaaaaabaabbbbbd	303263
caababaaaaabaabbbgbd	454895
caababaaaaabaabbgbbd	454895
caababaaaaabaabgbbbd	454895
