"Input number 268549803 with intial rewrite term caaaaaaaaaaabbabbbbbababababbd
Generated final number 3 with final rewrite term cbd
Number of steps: 9708  Number of array doubles: 1"
Term	Number
caaaaaaaaaaabbabbbbbabababagbd	402824705
caaaaaaaaaaabbabbbbbabababfabd	402824705
caaaaaaaaaaabbabbbbbababagaabd	402824705
caaaaaaaaaaabbabbbbbababfaaabd	402824705
caaaaaaaaaaabbabbbbbabagaaaabd	402824705
caaaaaaaaaaabbabbbbbabfaaaaabd	402824705
caaaaaaaaaaabbabbbbbagaaaaaabd	402824705
caaaaaaaaaaabbabbbbbfaaaaaaabd	402824705
caaaaaaaaaaabbabbbbgaaaaaaaabd	402824705
caaaaaaaaaaabbabbbgbaaaaaaaabd	402824705
caaaaaaaaaaabbabbgbbaaaaaaaabd	402824705
caaaaaaaaaaabbabgbbbaaaaaaaabd	402824705
caaaaaaaaaaabbagbbbbaaaaaaaabd	402824705
caaaaaaaaaaabbfabbbbaaaaaaaabd	402824705
caaaaaaaaaaabgaabbbbaaaaaaaabd	402824705
caaaaaaaaaaagbaabbbbaaaaaaaabd	402824705
caaaaaaaaaafabaabbbbaaaaaaaabd	402824705
caaaaaaaaaebabaabbbbaaaaaaaabd	402824705
caaaaaaaaeababaabbbbaaaaaaaabd	402824705
caaaaaaaeaababaabbbbaaaaaaaabd	402824705
caaaaaaeaaababaabbbbaaaaaaaabd	402824705
caaaaaeaaaababaabbbbaaaaaaaabd	402824705
caaaaeaaaaababaabbbbaaaaaaaabd	402824705
caaaeaaaaaababaabbbbaaaaaaaabd	402824705
caaeaaaaaaababaabbbbaaaaaaaabd	402824705
caeaaaaaaaababaabbbbaaaaaaaabd	402824705
ceaaaaaaaaababaabbbbaaaaaaaabd	402824705
cbaaaaaaaaababaabbbbaaaaaaaabd	402824705
cbaaaaaaaaababaabbbbaaaaaaebd	302118529
cbaaaaaaaaababaabbbbaaaaaeabd	302118529
cbaaaaaaaaababaabbbbaaaaeaabd	302118529
cbaaaaaaaaababaabbbbaaaeaaabd	302118529
cbaaaaaaaaababaabbbbaaeaaaabd	302118529
cbaaaaaaaaababaabbbbaeaaaaabd	302118529
cbaaaaaaaaababaabbbbeaaaaaabd	302118529
cbaaaaaaaaababaabbbfbaaaaaabd	302118529
cbaaaaaaaaababaabbgabaaaaaabd	302118529
cbaaaaaaaaababaabgbabaaaaaabd	302118529
cbaaaaaaaaababaagbbabaaaaaabd	302118529
cbaaaaaaaaababafabbabaaaaaabd	302118529
cbaaaaaaaaababebabbabaaaaaabd	302118529
cbaaaaaaaaabafbbabbabaaaaaabd	302118529
cbaaaaaaaaabebbbabbabaaaaaabd	302118529
cbaaaaaaaaafbbbbabbabaaaaaabd	302118529
cbaaaaaaaaebbbbbabbabaaaaaabd	302118529
cbaaaaaaaeabbbbbabbabaaaaaabd	302118529
cbaaaaaaeaabbbbbabbabaaaaaabd	302118529
cbaaaaaeaaabbbbbabbabaaaaaabd	302118529
cbaaaaeaaaabbbbbabbabaaaaaabd	302118529
cbaaaeaaaaabbbbbabbabaaaaaabd	302118529
cbaaeaaaaaabbbbbabbabaaaaaabd	302118529
cbaeaaaaaaabbbbbabbabaaaaaabd	302118529
cbeaaaaaaaabbbbbabbabaaaaaabd	302118529
cfbaaaaaaaabbbbbabbabaaaaaabd	302118529
caabaaaaaaaabbbbbabbabaaaaaabd	302118529
caabaaaaaaaabbbbbabbabaaaaebd	226588897
caabaaaaaaaabbbbbabbabaaaeabd	226588897
caabaaaaaaaabbbbbabbabaaeaabd	226588897
caabaaaaaaaabbbbbabbabaeaaabd	226588897
caabaaaaaaaabbbbbabbabeaaaabd	226588897
caabaaaaaaaabbbbbabbafbaaaabd	226588897
caabaaaaaaaabbbbbabbebbaaaabd	226588897
caabaaaaaaaabbbbbabfbbbaaaabd	226588897
caabaaaaaaaabbbbbagabbbaaaabd	226588897
caabaaaaaaaabbbbbfaabbbaaaabd	226588897
caabaaaaaaaabbbbgaaabbbaaaabd	226588897
caabaaaaaaaabbbgbaaabbbaaaabd	226588897
caabaaaaaaaabbgbbaaabbbaaaabd	226588897
caabaaaaaaaabgbbbaaabbbaaaabd	226588897
caabaaaaaaaagbbbbaaabbbaaaabd	226588897
caabaaaaaaafabbbbaaabbbaaaabd	226588897
caabaaaaaaebabbbbaaabbbaaaabd	226588897
caabaaaaaeababbbbaaabbbaaaabd	226588897
caabaaaaeaababbbbaaabbbaaaabd	226588897
caabaaaeaaababbbbaaabbbaaaabd	226588897
caabaaeaaaababbbbaaabbbaaaabd	226588897
caabaeaaaaababbbbaaabbbaaaabd	226588897
caabeaaaaaababbbbaaabbbaaaabd	226588897
caafbaaaaaababbbbaaabbbaaaabd	226588897
caebbaaaaaababbbbaaabbbaaaabd	226588897
ceabbaaaaaababbbbaaabbbaaaabd	226588897
cbabbaaaaaababbbbaaabbbaaaabd	226588897
cbabbaaaaaababbbbaaabbbaaebd	169941673
cbabbaaaaaababbbbaaabbbaeabd	169941673
cbabbaaaaaababbbbaaabbbeaabd	169941673
cbabbaaaaaababbbbaaabbfbaabd	169941673
cbabbaaaaaababbbbaaabgabaabd	169941673
cbabbaaaaaababbbbaaagbabaabd	169941673
cbabbaaaaaababbbbaafababaabd	169941673
cbabbaaaaaababbbbaebababaabd	169941673
cbabbaaaaaababbbbeabababaabd	169941673
cbabbaaaaaababbbfbabababaabd	169941673
cbabbaaaaaababbgababababaabd	169941673
cbabbaaaaaababgbababababaabd	169941673
cbabbaaaaaabagbbababababaabd	169941673
cbabbaaaaaabfabbababababaabd	169941673
cbabbaaaaaagaabbababababaabd	169941673
cbabbaaaaafaaabbababababaabd	169941673
cbabbaaaaebaaabbababababaabd	169941673
cbabbaaaeabaaabbababababaabd	169941673
cbabbaaeaabaaabbababababaabd	169941673
cbabbaeaaabaaabbababababaabd	169941673
cbabbeaaaabaaabbababababaabd	169941673
cbabfbaaaabaaabbababababaabd	169941673
cbagabaaaabaaabbababababaabd	169941673
cbfaabaaaabaaabbababababaabd	169941673
cgaaabaaaabaaabbababababaabd	169941673
cabaaabaaaabaaabbababababaabd	169941673
cabaaabaaaabaaabbababababebd	127456255
cabaaabaaaabaaabbabababafbbd	127456255
cabaaabaaaabaaabbabababebbbd	127456255
cabaaabaaaabaaabbababafbbbbd	127456255
cabaaabaaaabaaabbababebbbbbd	127456255
cabaaabaaaabaaabbabafbbbbbbd	127456255
cabaaabaaaabaaabbabebbbbbbbd	127456255
cabaaabaaaabaaabbafbbbbbbbbd	127456255
cabaaabaaaabaaabbebbbbbbbbbd	127456255
cabaaabaaaabaaabfbbbbbbbbbbd	127456255
cabaaabaaaabaaagabbbbbbbbbbd	127456255
cabaaabaaaabaafaabbbbbbbbbbd	127456255
cabaaabaaaabaebaabbbbbbbbbbd	127456255
cabaaabaaaabeabaabbbbbbbbbbd	127456255
cabaaabaaaafbabaabbbbbbbbbbd	127456255
cabaaabaaaebbabaabbbbbbbbbbd	127456255
cabaaabaaeabbabaabbbbbbbbbbd	127456255
cabaaabaeaabbabaabbbbbbbbbbd	127456255
cabaaabeaaabbabaabbbbbbbbbbd	127456255
cabaaafbaaabbabaabbbbbbbbbbd	127456255
cabaaebbaaabbabaabbbbbbbbbbd	127456255
cabaeabbaaabbabaabbbbbbbbbbd	127456255
