"Input number 31466383 with intial rewrite term cbbbaaaaaaabaaabbbaaabbbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 5710  Number of array doubles: 1"
Term	Number
cbbbaaaaaaabaaabbbaaabbgbd	47199575
cbbbaaaaaaabaaabbbaaabgbbd	47199575
cbbbaaaaaaabaaabbbaaagbbbd	47199575
cbbbaaaaaaabaaabbbaafabbbd	47199575
cbbbaaaaaaabaaabbbaebabbbd	47199575
cbbbaaaaaaabaaabbbeababbbd	47199575
cbbbaaaaaaabaaabbfbababbbd	47199575
cbbbaaaaaaabaaabgabababbbd	47199575
cbbbaaaaaaabaaagbabababbbd	47199575
cbbbaaaaaaabaafababababbbd	47199575
cbbbaaaaaaabaebababababbbd	47199575
cbbbaaaaaaabeabababababbbd	47199575
cbbbaaaaaaafbabababababbbd	47199575
cbbbaaaaaaebbabababababbbd	47199575
cbbbaaaaaeabbabababababbbd	47199575
cbbbaaaaeaabbabababababbbd	47199575
cbbbaaaeaaabbabababababbbd	47199575
cbbbaaeaaaabbabababababbbd	47199575
cbbbaeaaaaabbabababababbbd	47199575
cbbbeaaaaaabbabababababbbd	47199575
cbbfbaaaaaabbabababababbbd	47199575
cbgabaaaaaabbabababababbbd	47199575
cgbabaaaaaabbabababababbbd	47199575
cabbabaaaaaabbabababababbbd	47199575
cabbabaaaaaabbabababababgbd	70799363
cabbabaaaaaabbababababagbbd	70799363
cabbabaaaaaabbababababfabbd	70799363
cabbabaaaaaabbabababagaabbd	70799363
cabbabaaaaaabbabababfaaabbd	70799363
cabbabaaaaaabbababagaaaabbd	70799363
cabbabaaaaaabbababfaaaaabbd	70799363
cabbabaaaaaabbabagaaaaaabbd	70799363
cabbabaaaaaabbabfaaaaaaabbd	70799363
cabbabaaaaaabbagaaaaaaaabbd	70799363
cabbabaaaaaabbfaaaaaaaaabbd	70799363
cabbabaaaaaabgaaaaaaaaaabbd	70799363
cabbabaaaaaagbaaaaaaaaaabbd	70799363
cabbabaaaaafabaaaaaaaaaabbd	70799363
cabbabaaaaebabaaaaaaaaaabbd	70799363
cabbabaaaeababaaaaaaaaaabbd	70799363
cabbabaaeaababaaaaaaaaaabbd	70799363
cabbabaeaaababaaaaaaaaaabbd	70799363
cabbabeaaaababaaaaaaaaaabbd	70799363
cabbafbaaaababaaaaaaaaaabbd	70799363
cabbebbaaaababaaaaaaaaaabbd	70799363
cabfbbbaaaababaaaaaaaaaabbd	70799363
cagabbbaaaababaaaaaaaaaabbd	70799363
cfaabbbaaaababaaaaaaaaaabbd	70799363
caaaabbbaaaababaaaaaaaaaabbd	70799363
caaaabbbaaaababaaaaaaaaaagbd	106199045
caaaabbbaaaababaaaaaaaaafabd	106199045
caaaabbbaaaababaaaaaaaaebabd	106199045
caaaabbbaaaababaaaaaaaeababd	106199045
caaaabbbaaaababaaaaaaeaababd	106199045
caaaabbbaaaababaaaaaeaaababd	106199045
caaaabbbaaaababaaaaeaaaababd	106199045
caaaabbbaaaababaaaeaaaaababd	106199045
caaaabbbaaaababaaeaaaaaababd	106199045
caaaabbbaaaababaeaaaaaaababd	106199045
caaaabbbaaaababeaaaaaaaababd	106199045
caaaabbbaaaabafbaaaaaaaababd	106199045
caaaabbbaaaabebbaaaaaaaababd	106199045
caaaabbbaaaafbbbaaaaaaaababd	106199045
caaaabbbaaaebbbbaaaaaaaababd	106199045
caaaabbbaaeabbbbaaaaaaaababd	106199045
caaaabbbaeaabbbbaaaaaaaababd	106199045
caaaabbbeaaabbbbaaaaaaaababd	106199045
caaaabbfbaaabbbbaaaaaaaababd	106199045
caaaabgabaaabbbbaaaaaaaababd	106199045
caaaagbabaaabbbbaaaaaaaababd	106199045
caaafababaaabbbbaaaaaaaababd	106199045
caaebababaaabbbbaaaaaaaababd	106199045
caeabababaaabbbbaaaaaaaababd	106199045
ceaabababaaabbbbaaaaaaaababd	106199045
cbaabababaaabbbbaaaaaaaababd	106199045
cbaabababaaabbbbaaaaaaaabd	26549761
cbaabababaaabbbbaaaaaaebd	19912321
cbaabababaaabbbbaaaaaeabd	19912321
cbaabababaaabbbbaaaaeaabd	19912321
cbaabababaaabbbbaaaeaaabd	19912321
cbaabababaaabbbbaaeaaaabd	19912321
cbaabababaaabbbbaeaaaaabd	19912321
cbaabababaaabbbbeaaaaaabd	19912321
cbaabababaaabbbfbaaaaaabd	19912321
cbaabababaaabbgabaaaaaabd	19912321
cbaabababaaabgbabaaaaaabd	19912321
cbaabababaaagbbabaaaaaabd	19912321
cbaabababaafabbabaaaaaabd	19912321
cbaabababaebabbabaaaaaabd	19912321
cbaabababeababbabaaaaaabd	19912321
cbaababafbababbabaaaaaabd	19912321
cbaababebbababbabaaaaaabd	19912321
cbaabafbbbababbabaaaaaabd	19912321
cbaabebbbbababbabaaaaaabd	19912321
cbaafbbbbbababbabaaaaaabd	19912321
cbaebbbbbbababbabaaaaaabd	19912321
cbeabbbbbbababbabaaaaaabd	19912321
cfbabbbbbbababbabaaaaaabd	19912321
caababbbbbbababbabaaaaaabd	19912321
caababbbbbbababbabaaaaebd	14934241
caababbbbbbababbabaaaeabd	14934241
caababbbbbbababbabaaeaabd	14934241
caababbbbbbababbabaeaaabd	14934241
caababbbbbbababbabeaaaabd	14934241
caababbbbbbababbafbaaaabd	14934241
caababbbbbbababbebbaaaabd	14934241
caababbbbbbababfbbbaaaabd	14934241
caababbbbbbabagabbbaaaabd	14934241
caababbbbbbabfaabbbaaaabd	14934241
caababbbbbbagaaabbbaaaabd	14934241
caababbbbbbfaaaabbbaaaabd	14934241
caababbbbbgaaaaabbbaaaabd	14934241
caababbbbgbaaaaabbbaaaabd	14934241
caababbbgbbaaaaabbbaaaabd	14934241
caababbgbbbaaaaabbbaaaabd	14934241
caababgbbbbaaaaabbbaaaabd	14934241
caabagbbbbbaaaaabbbaaaabd	14934241
caabfabbbbbaaaaabbbaaaabd	14934241
caagaabbbbbaaaaabbbaaaabd	14934241
cafaaabbbbbaaaaabbbaaaabd	14934241
cebaaabbbbbaaaaabbbaaaabd	14934241
