"Input number 5649499 with intial rewrite term cababbaaabbabaaababbabbd
Generated final number 3 with final rewrite term cbd
Number of steps: 4424  Number of array doubles: 1"
Term	Number
cababbaaabbabaaababbagbd	8474249
cababbaaabbabaaababbfabd	8474249
cababbaaabbabaaababgaabd	8474249
cababbaaabbabaaabagbaabd	8474249
cababbaaabbabaaabfabaabd	8474249
cababbaaabbabaaagaabaabd	8474249
cababbaaabbabaafaaabaabd	8474249
cababbaaabbabaebaaabaabd	8474249
cababbaaabbabeabaaabaabd	8474249
cababbaaabbafbabaaabaabd	8474249
cababbaaabbebbabaaabaabd	8474249
cababbaaabfbbbabaaabaabd	8474249
cababbaaagabbbabaaabaabd	8474249
cababbaafaabbbabaaabaabd	8474249
cababbaebaabbbabaaabaabd	8474249
cababbeabaabbbabaaabaabd	8474249
cababfbabaabbbabaaabaabd	8474249
cabagababaabbbabaaabaabd	8474249
cabfaababaabbbabaaabaabd	8474249
cagaaababaabbbabaaabaabd	8474249
cfaaaababaabbbabaaabaabd	8474249
caaaaaababaabbbabaaabaabd	8474249
caaaaaababaabbbabaaabebd	6355687
caaaaaababaabbbabaaafbbd	6355687
caaaaaababaabbbabaaebbbd	6355687
caaaaaababaabbbabaeabbbd	6355687
caaaaaababaabbbabeaabbbd	6355687
caaaaaababaabbbafbaabbbd	6355687
caaaaaababaabbbebbaabbbd	6355687
caaaaaababaabbfbbbaabbbd	6355687
caaaaaababaabgabbbaabbbd	6355687
caaaaaababaagbabbbaabbbd	6355687
caaaaaababafababbbaabbbd	6355687
caaaaaababebababbbaabbbd	6355687
caaaaaabafbbababbbaabbbd	6355687
caaaaaabebbbababbbaabbbd	6355687
caaaaaafbbbbababbbaabbbd	6355687
caaaaaebbbbbababbbaabbbd	6355687
caaaaeabbbbbababbbaabbbd	6355687
caaaeaabbbbbababbbaabbbd	6355687
caaeaaabbbbbababbbaabbbd	6355687
caeaaaabbbbbababbbaabbbd	6355687
ceaaaaabbbbbababbbaabbbd	6355687
