"Input number 626331 with intial rewrite term caabbaaabbbabaabbabbd
Generated final number 3 with final rewrite term cbd
Number of steps: 3579  Number of array doubles: 1"
Term	Number
caabbaaabbbabaabbagbd	939497
caabbaaabbbabaabbfabd	939497
caabbaaabbbabaabgaabd	939497
caabbaaabbbabaagbaabd	939497
caabbaaabbbabafabaabd	939497
caabbaaabbbabebabaabd	939497
caabbaaabbbafbbabaabd	939497
caabbaaabbbebbbabaabd	939497
caabbaaabbfbbbbabaabd	939497
caabbaaabgabbbbabaabd	939497
caabbaaagbabbbbabaabd	939497
caabbaafababbbbabaabd	939497
caabbaebababbbbabaabd	939497
caabbeabababbbbabaabd	939497
caabfbabababbbbabaabd	939497
caagababababbbbabaabd	939497
cafaababababbbbabaabd	939497
cebaababababbbbabaabd	939497
cbbaababababbbbabaabd	939497
cbbaababababbbbabebd	704623
cbbaababababbbbafbbd	704623
cbbaababababbbbebbbd	704623
cbbaababababbbfbbbbd	704623
cbbaababababbgabbbbd	704623
cbbaababababgbabbbbd	704623
cbbaabababagbbabbbbd	704623
cbbaabababfabbabbbbd	704623
cbbaababagaabbabbbbd	704623
cbbaababfaaabbabbbbd	704623
cbbaabagaaaabbabbbbd	704623
cbbaabfaaaaabbabbbbd	704623
cbbaagaaaaaabbabbbbd	704623
cbbafaaaaaaabbabbbbd	704623
cbbebaaaaaaabbabbbbd	704623
cbfbbaaaaaaabbabbbbd	704623
cgabbaaaaaaabbabbbbd	704623
cababbaaaaaaabbabbbbd	704623
cababbaaaaaaabbabbgbd	1056935
cababbaaaaaaabbabgbbd	1056935
cababbaaaaaaabbagbbbd	1056935
cababbaaaaaaabbfabbbd	1056935
cababbaaaaaaabgaabbbd	1056935
cababbaaaaaaagbaabbbd	1056935
cababbaaaaaafabaabbbd	1056935
cababbaaaaaebabaabbbd	1056935
cababbaaaaeababaabbbd	1056935
cababbaaaeaababaabbbd	1056935
cababbaaeaaababaabbbd	1056935
cababbaeaaaababaabbbd	1056935
cababbeaaaaababaabbbd	1056935
cababfbaaaaababaabbbd	1056935
cabagabaaaaababaabbbd	1056935
cabfaabaaaaababaabbbd	1056935
cagaaabaaaaababaabbbd	1056935
cfaaaabaaaaababaabbbd	1056935
caaaaaabaaaaababaabbbd	1056935
caaaaaabaaaaababaabgbd	1585403
caaaaaabaaaaababaagbbd	1585403
caaaaaabaaaaababafabbd	1585403
caaaaaabaaaaababebabbd	1585403
caaaaaabaaaaabafbbabbd	1585403
caaaaaabaaaaabebbbabbd	1585403
caaaaaabaaaaafbbbbabbd	1585403
caaaaaabaaaaebbbbbabbd	1585403
caaaaaabaaaeabbbbbabbd	1585403
caaaaaabaaeaabbbbbabbd	1585403
caaaaaabaeaaabbbbbabbd	1585403
caaaaaabeaaaabbbbbabbd	1585403
caaaaaafbaaaabbbbbabbd	1585403
caaaaaebbaaaabbbbbabbd	1585403
caaaaeabbaaaabbbbbabbd	1585403
caaaeaabbaaaabbbbbabbd	1585403
caaeaaabbaaaabbbbbabbd	1585403
caeaaaabbaaaabbbbbabbd	1585403
ceaaaaabbaaaabbbbbabbd	1585403
cbaaaaabbaaaabbbbbabbd	1585403
cbaaaaabbaaaabbbbbagbd	2378105
cbaaaaabbaaaabbbbbfabd	2378105
cbaaaaabbaaaabbbbgaabd	2378105
cbaaaaabbaaaabbbgbaabd	2378105
cbaaaaabbaaaabbgbbaabd	2378105
cbaaaaabbaaaabgbbbaabd	2378105
cbaaaaabbaaaagbbbbaabd	2378105
cbaaaaabbaaafabbbbaabd	2378105
cbaaaaabbaaebabbbbaabd	2378105
cbaaaaabbaeababbbbaabd	2378105
cbaaaaabbeaababbbbaabd	2378105
cbaaaaabfbaababbbbaabd	2378105
cbaaaaagabaababbbbaabd	2378105
cbaaaafaabaababbbbaabd	2378105
cbaaaebaabaababbbbaabd	2378105
cbaaeabaabaababbbbaabd	2378105
cbaeaabaabaababbbbaabd	2378105
cbeaaabaabaababbbbaabd	2378105
cfbaaabaabaababbbbaabd	2378105
caabaaabaabaababbbbaabd	2378105
caabaaabaabaababbbbebd	1783579
caabaaabaabaababbbfbbd	1783579
caabaaabaabaababbgabbd	1783579
caabaaabaabaababgbabbd	1783579
caabaaabaabaabagbbabbd	1783579
caabaaabaabaabfabbabbd	1783579
caabaaabaabaagaabbabbd	1783579
caabaaabaabafaaabbabbd	1783579
