"Input number 77031 with intial rewrite term caababbaabbbaabbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 1840  Number of array doubles: 1"
Term	Number
caababbaabbbaabgbd	115547
caababbaabbbaagbbd	115547
caababbaabbbafabbd	115547
caababbaabbbebabbd	115547
caababbaabbfbbabbd	115547
caababbaabgabbabbd	115547
caababbaagbabbabbd	115547
caababbafababbabbd	115547
caababbebababbabbd	115547
caababfbbababbabbd	115547
caabagabbababbabbd	115547
caabfaabbababbabbd	115547
caagaaabbababbabbd	115547
cafaaaabbababbabbd	115547
cebaaaabbababbabbd	115547
cbbaaaabbababbabbd	115547
cbbaaaabbababbagbd	173321
cbbaaaabbababbfabd	173321
cbbaaaabbababgaabd	173321
cbbaaaabbabagbaabd	173321
cbbaaaabbabfabaabd	173321
cbbaaaabbagaabaabd	173321
cbbaaaabbfaaabaabd	173321
cbbaaaabgaaaabaabd	173321
cbbaaaagbaaaabaabd	173321
cbbaaafabaaaabaabd	173321
cbbaaebabaaaabaabd	173321
cbbaeababaaaabaabd	173321
cbbeaababaaaabaabd	173321
cbfbaababaaaabaabd	173321
cgabaababaaaabaabd	173321
cababaababaaaabaabd	173321
cababaababaaaabebd	129991
cababaababaaaafbbd	129991
cababaababaaaebbbd	129991
cababaababaaeabbbd	129991
cababaababaeaabbbd	129991
cababaababeaaabbbd	129991
cababaabafbaaabbbd	129991
cababaabebbaaabbbd	129991
cababaafbbbaaabbbd	129991
cababaebbbbaaabbbd	129991
cababeabbbbaaabbbd	129991
cabafbabbbbaaabbbd	129991
cabebbabbbbaaabbbd	129991
cafbbbabbbbaaabbbd	129991
cebbbbabbbbaaabbbd	129991
cbbbbbabbbbaaabbbd	129991
cbbbbbabbbbaaabgbd	194987
cbbbbbabbbbaaagbbd	194987
cbbbbbabbbbaafabbd	194987
cbbbbbabbbbaebabbd	194987
cbbbbbabbbbeababbd	194987
cbbbbbabbbfbababbd	194987
cbbbbbabbgabababbd	194987
cbbbbbabgbabababbd	194987
cbbbbbagbbabababbd	194987
cbbbbbfabbabababbd	194987
cbbbbgaabbabababbd	194987
cbbbgbaabbabababbd	194987
cbbgbbaabbabababbd	194987
cbgbbbaabbabababbd	194987
cgbbbbaabbabababbd	194987
cabbbbbaabbabababbd	194987
cabbbbbaabbababagbd	292481
cabbbbbaabbababfabd	292481
cabbbbbaabbabagaabd	292481
cabbbbbaabbabfaaabd	292481
cabbbbbaabbagaaaabd	292481
cabbbbbaabbfaaaaabd	292481
cabbbbbaabgaaaaaabd	292481
cabbbbbaagbaaaaaabd	292481
cabbbbbafabaaaaaabd	292481
cabbbbbebabaaaaaabd	292481
cabbbbfbbabaaaaaabd	292481
cabbbgabbabaaaaaabd	292481
cabbgbabbabaaaaaabd	292481
cabgbbabbabaaaaaabd	292481
cagbbbabbabaaaaaabd	292481
cfabbbabbabaaaaaabd	292481
caaabbbabbabaaaaaabd	292481
caaabbbabbabaaaaebd	219361
caaabbbabbabaaaeabd	219361
caaabbbabbabaaeaabd	219361
caaabbbabbabaeaaabd	219361
caaabbbabbabeaaaabd	219361
caaabbbabbafbaaaabd	219361
caaabbbabbebbaaaabd	219361
caaabbbabfbbbaaaabd	219361
caaabbbagabbbaaaabd	219361
caaabbbfaabbbaaaabd	219361
caaabbgaaabbbaaaabd	219361
caaabgbaaabbbaaaabd	219361
caaagbbaaabbbaaaabd	219361
caafabbaaabbbaaaabd	219361
caebabbaaabbbaaaabd	219361
ceababbaaabbbaaaabd	219361
cbababbaaabbbaaaabd	219361
cbababbaaabbbaaebd	164521
cbababbaaabbbaeabd	164521
cbababbaaabbbeaabd	164521
cbababbaaabbfbaabd	164521
cbababbaaabgabaabd	164521
cbababbaaagbabaabd	164521
cbababbaafababaabd	164521
cbababbaebababaabd	164521
cbababbeabababaabd	164521
cbababfbabababaabd	164521
cbabagababababaabd	164521
cbabfaababababaabd	164521
cbagaaababababaabd	164521
cbfaaaababababaabd	164521
cgaaaaababababaabd	164521
cabaaaaababababaabd	164521
cabaaaaababababebd	123391
cabaaaaabababafbbd	123391
cabaaaaabababebbbd	123391
cabaaaaababafbbbbd	123391
cabaaaaababebbbbbd	123391
cabaaaaabafbbbbbbd	123391
cabaaaaabebbbbbbbd	123391
cabaaaaafbbbbbbbbd	123391
cabaaaaebbbbbbbbbd	123391
cabaaaeabbbbbbbbbd	123391
cabaaeaabbbbbbbbbd	123391
cabaeaaabbbbbbbbbd	123391
cabeaaaabbbbbbbbbd	123391
cafbaaaabbbbbbbbbd	123391
cebbaaaabbbbbbbbbd	123391
cbbbaaaabbbbbbbbbd	123391
cbbbaaaabbbbbbbgbd	185087
cbbbaaaabbbbbbgbbd	185087
cbbbaaaabbbbbgbbbd	185087
cbbbaaaabbbbgbbbbd	185087
cbbbaaaabbbgbbbbbd	185087
cbbbaaaabbgbbbbbbd	185087
cbbbaaaabgbbbbbbbd	185087
cbbbaaaagbbbbbbbbd	185087
cbbbaaafabbbbbbbbd	185087
cbbbaaebabbbbbbbbd	185087
cbbbaeababbbbbbbbd	185087
cbbbeaababbbbbbbbd	185087
cbbfbaababbbbbbbbd	185087
cbgabaababbbbbbbbd	185087
cgbabaababbbbbbbbd	185087
cabbabaababbbbbbbbd	185087
cabbabaababbbbbbgbd	277631
cabbabaababbbbbgbbd	277631
cabbabaababbbbgbbbd	277631
cabbabaababbbgbbbbd	277631
cabbabaababbgbbbbbd	277631
cabbabaababgbbbbbbd	277631
cabbabaabagbbbbbbbd	277631
cabbabaabfabbbbbbbd	277631
cabbabaagaabbbbbbbd	277631
cabbabafaaabbbbbbbd	277631
cabbabebaaabbbbbbbd	277631
cabbafbbaaabbbbbbbd	277631
cabbebbbaaabbbbbbbd	277631
cabfbbbbaaabbbbbbbd	277631
cagabbbbaaabbbbbbbd	277631
cfaabbbbaaabbbbbbbd	277631
caaaabbbbaaabbbbbbbd	277631
caaaabbbbaaabbbbbgbd	416447
caaaabbbbaaabbbbgbbd	416447
caaaabbbbaaabbbgbbbd	416447
caaaabbbbaaabbgbbbbd	416447
caaaabbbbaaabgbbbbbd	416447
caaaabbbbaaagbbbbbbd	416447
caaaabbbbaafabbbbbbd	416447
caaaabbbbaebabbbbbbd	416447
caaaabbbbeababbbbbbd	416447
caaaabbbfbababbbbbbd	416447
caaaabbgabababbbbbbd	416447
caaaabgbabababbbbbbd	416447
caaaagbbabababbbbbbd	416447
caaafabbabababbbbbbd	416447
caaebabbabababbbbbbd	416447
caeababbabababbbbbbd	416447
ceaababbabababbbbbbd	416447
cbaababbabababbbbbbd	416447
cbaababbabababbbbgbd	624671
cbaababbabababbbgbbd	624671
cbaababbabababbgbbbd	624671
cbaababbabababgbbbbd	624671
cbaababbababagbbbbbd	624671
cbaababbababfabbbbbd	624671
cbaababbabagaabbbbbd	624671
cbaababbabfaaabbbbbd	624671
cbaababbagaaaabbbbbd	624671
cbaababbfaaaaabbbbbd	624671
cbaababgaaaaaabbbbbd	624671
