Input Number	Final Number	Number of rewrite steps	Number of array doubles
3	1	8	0
7	1	25	0
9	1	30	0
19	1	34	0
25	1	40	0
27	1	367	1
55	1	372	1
73	1	380	1
97	1	388	1
129	1	397	1
171	1	407	1
231	1	428	1
313	1	442	1
327	1	503	1
649	1	501	1
703	1	817	1
871	1	714	1
1161	1	726	1
2223	1	881	1
2463	1	1007	1
2919	1	1054	1
3711	1	1041	1
6171	1	1192	1
10971	1	1227	1
13255	1	1339	1
17647	1	1455	1
23529	1	1471	1
26623	1	1741	1
34239	1	1716	1
35655	1	2144	1
52527	1	1955	1
77031	1	2126	1
106239	1	2105	1
142587	1	2692	1
156159	1	2637	1
216367	1	2346	1
230631	1	2824	1
410011	1	2870	1
511935	1	3047	1
626331	1	3990	1
837799	1	4017	1
1117065	1	4039	1
1501353	1	4751	1
1723519	1	4712	1
2298025	1	4735	1
3064033	1	4758	1
3542887	1	4952	1
3732423	1	5070	1
5649499	1	4920	1
6649279	1	6422	1
8400511	1	6097	1
11200681	1	6122	1
14934241	1	6147	1
15733191	1	6275	1
31466383	1	6281	1
36791535	1	6731	1
63728127	1	10333	1
127456255	1	10345	1
169941673	1	10374	1
226588897	1	10403	1
268549803	1	10492	1
537099607	1	10497	1
670617279	1	10751	1
