"Input number 17647 with intial rewrite term caaabaabbbabbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 1455  Number of array doubles: 1"
Term	Number
caaabaabbbabbbgd	26471
caaabaabbbabbgbd	26471
caaabaabbbabgbbd	26471
caaabaabbbagbbbd	26471
caaabaabbbfabbbd	26471
caaabaabbgaabbbd	26471
caaabaabgbaabbbd	26471
caaabaagbbaabbbd	26471
caaabafabbaabbbd	26471
caaabebabbaabbbd	26471
caaafbbabbaabbbd	26471
caaebbbabbaabbbd	26471
caeabbbabbaabbbd	26471
ceaabbbabbaabbbd	26471
cbaabbbabbaabbbd	26471
cbaabbbabbaabbgd	39707
cbaabbbabbaabgbd	39707
cbaabbbabbaagbbd	39707
cbaabbbabbafabbd	39707
cbaabbbabbebabbd	39707
cbaabbbabfbbabbd	39707
cbaabbbagabbabbd	39707
cbaabbbfaabbabbd	39707
cbaabbgaaabbabbd	39707
cbaabgbaaabbabbd	39707
cbaagbbaaabbabbd	39707
cbafabbaaabbabbd	39707
cbebabbaaabbabbd	39707
cfbbabbaaabbabbd	39707
caabbabbaaabbabbd	39707
caabbabbaaabbabgd	59561
caabbabbaaabbagbd	59561
caabbabbaaabbfabd	59561
caabbabbaaabgaabd	59561
caabbabbaaagbaabd	59561
caabbabbaafabaabd	59561
caabbabbaebabaabd	59561
caabbabbeababaabd	59561
caabbabfbababaabd	59561
caabbagabababaabd	59561
caabbfaabababaabd	59561
caabgaaabababaabd	59561
caagbaaabababaabd	59561
cafabaaabababaabd	59561
cebabaaabababaabd	59561
cbbabaaabababaabd	59561
cbbabaaabababaagd	89342
cbbabaaabababafad	89342
cbbabaaabababebad	89342
cbbabaaababafbbad	89342
cbbabaaababebbbad	89342
cbbabaaabafbbbbad	89342
cbbabaaabebbbbbad	89342
cbbabaaafbbbbbbad	89342
cbbabaaebbbbbbbad	89342
cbbabaeabbbbbbbad	89342
cbbabeaabbbbbbbad	89342
cbbafbaabbbbbbbad	89342
cbbebbaabbbbbbbad	89342
cbfbbbaabbbbbbbad	89342
cgabbbaabbbbbbbad	89342
cababbbaabbbbbbbad	89342
cababbbaabbbbbbbd	44671
cababbbaabbbbbbgd	67007
cababbbaabbbbbgbd	67007
cababbbaabbbbgbbd	67007
cababbbaabbbgbbbd	67007
cababbbaabbgbbbbd	67007
cababbbaabgbbbbbd	67007
cababbbaagbbbbbbd	67007
cababbbafabbbbbbd	67007
cababbbebabbbbbbd	67007
cababbfbbabbbbbbd	67007
cababgabbabbbbbbd	67007
cabagbabbabbbbbbd	67007
cabfababbabbbbbbd	67007
cagaababbabbbbbbd	67007
cfaaababbabbbbbbd	67007
caaaaababbabbbbbbd	67007
caaaaababbabbbbbgd	100511
caaaaababbabbbbgbd	100511
caaaaababbabbbgbbd	100511
caaaaababbabbgbbbd	100511
caaaaababbabgbbbbd	100511
caaaaababbagbbbbbd	100511
caaaaababbfabbbbbd	100511
caaaaababgaabbbbbd	100511
caaaaabagbaabbbbbd	100511
caaaaabfabaabbbbbd	100511
caaaaagaabaabbbbbd	100511
caaaafaaabaabbbbbd	100511
caaaebaaabaabbbbbd	100511
caaeabaaabaabbbbbd	100511
caeaabaaabaabbbbbd	100511
ceaaabaaabaabbbbbd	100511
cbaaabaaabaabbbbbd	100511
cbaaabaaabaabbbbgd	150767
cbaaabaaabaabbbgbd	150767
cbaaabaaabaabbgbbd	150767
cbaaabaaabaabgbbbd	150767
cbaaabaaabaagbbbbd	150767
cbaaabaaabafabbbbd	150767
cbaaabaaabebabbbbd	150767
cbaaabaaafbbabbbbd	150767
cbaaabaaebbbabbbbd	150767
cbaaabaeabbbabbbbd	150767
cbaaabeaabbbabbbbd	150767
cbaaafbaabbbabbbbd	150767
cbaaebbaabbbabbbbd	150767
cbaeabbaabbbabbbbd	150767
cbeaabbaabbbabbbbd	150767
cfbaabbaabbbabbbbd	150767
caabaabbaabbbabbbbd	150767
caabaabbaabbbabbbgd	226151
caabaabbaabbbabbgbd	226151
caabaabbaabbbabgbbd	226151
caabaabbaabbbagbbbd	226151
caabaabbaabbbfabbbd	226151
caabaabbaabbgaabbbd	226151
caabaabbaabgbaabbbd	226151
caabaabbaagbbaabbbd	226151
caabaabbafabbaabbbd	226151
caabaabbebabbaabbbd	226151
caabaabfbbabbaabbbd	226151
caabaagabbabbaabbbd	226151
caabafaabbabbaabbbd	226151
caabebaabbabbaabbbd	226151
caafbbaabbabbaabbbd	226151
caebbbaabbabbaabbbd	226151
ceabbbaabbabbaabbbd	226151
cbabbbaabbabbaabbbd	226151
cbabbbaabbabbaabbgd	339227
cbabbbaabbabbaabgbd	339227
cbabbbaabbabbaagbbd	339227
cbabbbaabbabbafabbd	339227
cbabbbaabbabbebabbd	339227
cbabbbaabbabfbbabbd	339227
cbabbbaabbagabbabbd	339227
cbabbbaabbfaabbabbd	339227
cbabbbaabgaaabbabbd	339227
cbabbbaagbaaabbabbd	339227
cbabbbafabaaabbabbd	339227
cbabbbebabaaabbabbd	339227
cbabbfbbabaaabbabbd	339227
