"Input number 2298025 with intial rewrite term caaabbaaabaaaabababaabd
Generated final number 1 with final rewrite term cd
Number of steps: 4735  Number of array doubles: 1"
Term	Number
caaabbaaabaaaabababaagd	3447038
caaabbaaabaaaabababafad	3447038
caaabbaaabaaaabababebad	3447038
caaabbaaabaaaababafbbad	3447038
caaabbaaabaaaababebbbad	3447038
caaabbaaabaaaabafbbbbad	3447038
caaabbaaabaaaabebbbbbad	3447038
caaabbaaabaaaafbbbbbbad	3447038
caaabbaaabaaaebbbbbbbad	3447038
caaabbaaabaaeabbbbbbbad	3447038
caaabbaaabaeaabbbbbbbad	3447038
caaabbaaabeaaabbbbbbbad	3447038
caaabbaaafbaaabbbbbbbad	3447038
caaabbaaebbaaabbbbbbbad	3447038
caaabbaeabbaaabbbbbbbad	3447038
caaabbeaabbaaabbbbbbbad	3447038
caaabfbaabbaaabbbbbbbad	3447038
caaagabaabbaaabbbbbbbad	3447038
caafaabaabbaaabbbbbbbad	3447038
caebaabaabbaaabbbbbbbad	3447038
ceabaabaabbaaabbbbbbbad	3447038
cbabaabaabbaaabbbbbbbad	3447038
cbabaabaabbaaabbbbbbbd	1723519
cbabaabaabbaaabbbbbbgd	2585279
cbabaabaabbaaabbbbbgbd	2585279
cbabaabaabbaaabbbbgbbd	2585279
cbabaabaabbaaabbbgbbbd	2585279
cbabaabaabbaaabbgbbbbd	2585279
cbabaabaabbaaabgbbbbbd	2585279
cbabaabaabbaaagbbbbbbd	2585279
cbabaabaabbaafabbbbbbd	2585279
cbabaabaabbaebabbbbbbd	2585279
cbabaabaabbeababbbbbbd	2585279
cbabaabaabfbababbbbbbd	2585279
cbabaabaagabababbbbbbd	2585279
cbabaabafaabababbbbbbd	2585279
cbabaabebaabababbbbbbd	2585279
cbabaafbbaabababbbbbbd	2585279
cbabaebbbaabababbbbbbd	2585279
cbabeabbbaabababbbbbbd	2585279
cbafbabbbaabababbbbbbd	2585279
cbebbabbbaabababbbbbbd	2585279
cfbbbabbbaabababbbbbbd	2585279
caabbbabbbaabababbbbbbd	2585279
caabbbabbbaabababbbbbgd	3877919
caabbbabbbaabababbbbgbd	3877919
caabbbabbbaabababbbgbbd	3877919
caabbbabbbaabababbgbbbd	3877919
caabbbabbbaabababgbbbbd	3877919
caabbbabbbaababagbbbbbd	3877919
caabbbabbbaababfabbbbbd	3877919
caabbbabbbaabagaabbbbbd	3877919
caabbbabbbaabfaaabbbbbd	3877919
caabbbabbbaagaaaabbbbbd	3877919
caabbbabbbafaaaaabbbbbd	3877919
caabbbabbbebaaaaabbbbbd	3877919
caabbbabbfbbaaaaabbbbbd	3877919
caabbbabgabbaaaaabbbbbd	3877919
caabbbagbabbaaaaabbbbbd	3877919
caabbbfababbaaaaabbbbbd	3877919
caabbgaababbaaaaabbbbbd	3877919
caabgbaababbaaaaabbbbbd	3877919
caagbbaababbaaaaabbbbbd	3877919
cafabbaababbaaaaabbbbbd	3877919
cebabbaababbaaaaabbbbbd	3877919
cbbabbaababbaaaaabbbbbd	3877919
cbbabbaababbaaaaabbbbgd	5816879
cbbabbaababbaaaaabbbgbd	5816879
cbbabbaababbaaaaabbgbbd	5816879
cbbabbaababbaaaaabgbbbd	5816879
cbbabbaababbaaaaagbbbbd	5816879
cbbabbaababbaaaafabbbbd	5816879
cbbabbaababbaaaebabbbbd	5816879
cbbabbaababbaaeababbbbd	5816879
cbbabbaababbaeaababbbbd	5816879
cbbabbaababbeaaababbbbd	5816879
cbbabbaababfbaaababbbbd	5816879
cbbabbaabagabaaababbbbd	5816879
cbbabbaabfaabaaababbbbd	5816879
cbbabbaagaaabaaababbbbd	5816879
cbbabbafaaaabaaababbbbd	5816879
cbbabbebaaaabaaababbbbd	5816879
cbbabfbbaaaabaaababbbbd	5816879
cbbagabbaaaabaaababbbbd	5816879
cbbfaabbaaaabaaababbbbd	5816879
cbgaaabbaaaabaaababbbbd	5816879
cgbaaabbaaaabaaababbbbd	5816879
cabbaaabbaaaabaaababbbbd	5816879
cabbaaabbaaaabaaababbbgd	8725319
cabbaaabbaaaabaaababbgbd	8725319
cabbaaabbaaaabaaababgbbd	8725319
cabbaaabbaaaabaaabagbbbd	8725319
cabbaaabbaaaabaaabfabbbd	8725319
cabbaaabbaaaabaaagaabbbd	8725319
cabbaaabbaaaabaafaaabbbd	8725319
cabbaaabbaaaabaebaaabbbd	8725319
cabbaaabbaaaabeabaaabbbd	8725319
cabbaaabbaaaafbabaaabbbd	8725319
cabbaaabbaaaebbabaaabbbd	8725319
cabbaaabbaaeabbabaaabbbd	8725319
cabbaaabbaeaabbabaaabbbd	8725319
cabbaaabbeaaabbabaaabbbd	8725319
cabbaaabfbaaabbabaaabbbd	8725319
cabbaaagabaaabbabaaabbbd	8725319
cabbaafaabaaabbabaaabbbd	8725319
cabbaebaabaaabbabaaabbbd	8725319
cabbeabaabaaabbabaaabbbd	8725319
cabfbabaabaaabbabaaabbbd	8725319
cagababaabaaabbabaaabbbd	8725319
cfaababaabaaabbabaaabbbd	8725319
caaaababaabaaabbabaaabbbd	8725319
caaaababaabaaabbabaaabbgd	13087979
caaaababaabaaabbabaaabgbd	13087979
caaaababaabaaabbabaaagbbd	13087979
caaaababaabaaabbabaafabbd	13087979
caaaababaabaaabbabaebabbd	13087979
caaaababaabaaabbabeababbd	13087979
caaaababaabaaabbafbababbd	13087979
caaaababaabaaabbebbababbd	13087979
caaaababaabaaabfbbbababbd	13087979
caaaababaabaaagabbbababbd	13087979
caaaababaabaafaabbbababbd	13087979
caaaababaabaebaabbbababbd	13087979
caaaababaabeabaabbbababbd	13087979
caaaababaafbabaabbbababbd	13087979
caaaababaebbabaabbbababbd	13087979
caaaababeabbabaabbbababbd	13087979
caaaabafbabbabaabbbababbd	13087979
caaaabebbabbabaabbbababbd	13087979
caaaafbbbabbabaabbbababbd	13087979
caaaebbbbabbabaabbbababbd	13087979
caaeabbbbabbabaabbbababbd	13087979
caeaabbbbabbabaabbbababbd	13087979
ceaaabbbbabbabaabbbababbd	13087979
cbaaabbbbabbabaabbbababbd	13087979
cbaaabbbbabbabaabbbababgd	19631969
cbaaabbbbabbabaabbbabagbd	19631969
cbaaabbbbabbabaabbbabfabd	19631969
cbaaabbbbabbabaabbbagaabd	19631969
cbaaabbbbabbabaabbbfaaabd	19631969
cbaaabbbbabbabaabbgaaaabd	19631969
cbaaabbbbabbabaabgbaaaabd	19631969
cbaaabbbbabbabaagbbaaaabd	19631969
cbaaabbbbabbabafabbaaaabd	19631969
cbaaabbbbabbabebabbaaaabd	19631969
cbaaabbbbabbafbbabbaaaabd	19631969
cbaaabbbbabbebbbabbaaaabd	19631969
cbaaabbbbabfbbbbabbaaaabd	19631969
cbaaabbbbagabbbbabbaaaabd	19631969
cbaaabbbbfaabbbbabbaaaabd	19631969
cbaaabbbgaaabbbbabbaaaabd	19631969
cbaaabbgbaaabbbbabbaaaabd	19631969
cbaaabgbbaaabbbbabbaaaabd	19631969
cbaaagbbbaaabbbbabbaaaabd	19631969
cbaafabbbaaabbbbabbaaaabd	19631969
cbaebabbbaaabbbbabbaaaabd	19631969
cbeababbbaaabbbbabbaaaabd	19631969
cfbababbbaaabbbbabbaaaabd	19631969
caabababbbaaabbbbabbaaaabd	19631969
caabababbbaaabbbbabbaaaagd	29447954
caabababbbaaabbbbabbaaafad	29447954
caabababbbaaabbbbabbaaebad	29447954
caabababbbaaabbbbabbaeabad	29447954
caabababbbaaabbbbabbeaabad	29447954
caabababbbaaabbbbabfbaabad	29447954
caabababbbaaabbbbagabaabad	29447954
caabababbbaaabbbbfaabaabad	29447954
caabababbbaaabbbgaaabaabad	29447954
caabababbbaaabbgbaaabaabad	29447954
caabababbbaaabgbbaaabaabad	29447954
caabababbbaaagbbbaaabaabad	29447954
caabababbbaafabbbaaabaabad	29447954
caabababbbaebabbbaaabaabad	29447954
caabababbbeababbbaaabaabad	29447954
caabababbfbababbbaaabaabad	29447954
caabababgabababbbaaabaabad	29447954
caababagbabababbbaaabaabad	29447954
caababfababababbbaaabaabad	29447954
caabagaababababbbaaabaabad	29447954
caabfaaababababbbaaabaabad	29447954
caagaaaababababbbaaabaabad	29447954
cafaaaaababababbbaaabaabad	29447954
cebaaaaababababbbaaabaabad	29447954
cbbaaaaababababbbaaabaabad	29447954
cbbaaaaababababbbaaabaabd	14723977
cbbaaaaababababbbaaabaagd	22085966
cbbaaaaababababbbaaabafad	22085966
cbbaaaaababababbbaaabebad	22085966
cbbaaaaababababbbaaafbbad	22085966
cbbaaaaababababbbaaebbbad	22085966
cbbaaaaababababbbaeabbbad	22085966
cbbaaaaababababbbeaabbbad	22085966
cbbaaaaababababbfbaabbbad	22085966
cbbaaaaababababgabaabbbad	22085966
cbbaaaaabababagbabaabbbad	22085966
cbbaaaaabababfababaabbbad	22085966
cbbaaaaababagaababaabbbad	22085966
cbbaaaaababfaaababaabbbad	22085966
cbbaaaaabagaaaababaabbbad	22085966
cbbaaaaabfaaaaababaabbbad	22085966
cbbaaaaagaaaaaababaabbbad	22085966
cbbaaaafaaaaaaababaabbbad	22085966
cbbaaaebaaaaaaababaabbbad	22085966
cbbaaeabaaaaaaababaabbbad	22085966
cbbaeaabaaaaaaababaabbbad	22085966
cbbeaaabaaaaaaababaabbbad	22085966
cbfbaaabaaaaaaababaabbbad	22085966
cgabaaabaaaaaaababaabbbad	22085966
cababaaabaaaaaaababaabbbad	22085966
cababaaabaaaaaaababaabbbd	11042983
cababaaabaaaaaaababaabbgd	16564475
cababaaabaaaaaaababaabgbd	16564475
