"Input number 5649499 with intial rewrite term cababbaaabbabaaababbabbd
Generated final number 1 with final rewrite term cd
Number of steps: 4920  Number of array doubles: 1"
Term	Number
cababbaaabbabaaababbabgd	8474249
cababbaaabbabaaababbagbd	8474249
cababbaaabbabaaababbfabd	8474249
cababbaaabbabaaababgaabd	8474249
cababbaaabbabaaabagbaabd	8474249
cababbaaabbabaaabfabaabd	8474249
cababbaaabbabaaagaabaabd	8474249
cababbaaabbabaafaaabaabd	8474249
cababbaaabbabaebaaabaabd	8474249
cababbaaabbabeabaaabaabd	8474249
cababbaaabbafbabaaabaabd	8474249
cababbaaabbebbabaaabaabd	8474249
cababbaaabfbbbabaaabaabd	8474249
cababbaaagabbbabaaabaabd	8474249
cababbaafaabbbabaaabaabd	8474249
cababbaebaabbbabaaabaabd	8474249
cababbeabaabbbabaaabaabd	8474249
cababfbabaabbbabaaabaabd	8474249
cabagababaabbbabaaabaabd	8474249
cabfaababaabbbabaaabaabd	8474249
cagaaababaabbbabaaabaabd	8474249
cfaaaababaabbbabaaabaabd	8474249
caaaaaababaabbbabaaabaabd	8474249
caaaaaababaabbbabaaabaagd	12711374
caaaaaababaabbbabaaabafad	12711374
caaaaaababaabbbabaaabebad	12711374
caaaaaababaabbbabaaafbbad	12711374
caaaaaababaabbbabaaebbbad	12711374
caaaaaababaabbbabaeabbbad	12711374
caaaaaababaabbbabeaabbbad	12711374
caaaaaababaabbbafbaabbbad	12711374
caaaaaababaabbbebbaabbbad	12711374
caaaaaababaabbfbbbaabbbad	12711374
caaaaaababaabgabbbaabbbad	12711374
caaaaaababaagbabbbaabbbad	12711374
caaaaaababafababbbaabbbad	12711374
caaaaaababebababbbaabbbad	12711374
caaaaaabafbbababbbaabbbad	12711374
caaaaaabebbbababbbaabbbad	12711374
caaaaaafbbbbababbbaabbbad	12711374
caaaaaebbbbbababbbaabbbad	12711374
caaaaeabbbbbababbbaabbbad	12711374
caaaeaabbbbbababbbaabbbad	12711374
caaeaaabbbbbababbbaabbbad	12711374
caeaaaabbbbbababbbaabbbad	12711374
ceaaaaabbbbbababbbaabbbad	12711374
cbaaaaabbbbbababbbaabbbad	12711374
cbaaaaabbbbbababbbaabbbd	6355687
cbaaaaabbbbbababbbaabbgd	9533531
cbaaaaabbbbbababbbaabgbd	9533531
cbaaaaabbbbbababbbaagbbd	9533531
cbaaaaabbbbbababbbafabbd	9533531
cbaaaaabbbbbababbbebabbd	9533531
cbaaaaabbbbbababbfbbabbd	9533531
cbaaaaabbbbbababgabbabbd	9533531
cbaaaaabbbbbabagbabbabbd	9533531
cbaaaaabbbbbabfababbabbd	9533531
cbaaaaabbbbbagaababbabbd	9533531
cbaaaaabbbbbfaaababbabbd	9533531
cbaaaaabbbbgaaaababbabbd	9533531
cbaaaaabbbgbaaaababbabbd	9533531
cbaaaaabbgbbaaaababbabbd	9533531
cbaaaaabgbbbaaaababbabbd	9533531
cbaaaaagbbbbaaaababbabbd	9533531
cbaaaafabbbbaaaababbabbd	9533531
cbaaaebabbbbaaaababbabbd	9533531
cbaaeababbbbaaaababbabbd	9533531
cbaeaababbbbaaaababbabbd	9533531
cbeaaababbbbaaaababbabbd	9533531
cfbaaababbbbaaaababbabbd	9533531
caabaaababbbbaaaababbabbd	9533531
caabaaababbbbaaaababbabgd	14300297
caabaaababbbbaaaababbagbd	14300297
caabaaababbbbaaaababbfabd	14300297
caabaaababbbbaaaababgaabd	14300297
caabaaababbbbaaaabagbaabd	14300297
caabaaababbbbaaaabfabaabd	14300297
caabaaababbbbaaaagaabaabd	14300297
caabaaababbbbaaafaaabaabd	14300297
caabaaababbbbaaebaaabaabd	14300297
caabaaababbbbaeabaaabaabd	14300297
caabaaababbbbeaabaaabaabd	14300297
caabaaababbbfbaabaaabaabd	14300297
caabaaababbgabaabaaabaabd	14300297
caabaaababgbabaabaaabaabd	14300297
caabaaabagbbabaabaaabaabd	14300297
caabaaabfabbabaabaaabaabd	14300297
caabaaagaabbabaabaaabaabd	14300297
caabaafaaabbabaabaaabaabd	14300297
caabaebaaabbabaabaaabaabd	14300297
caabeabaaabbabaabaaabaabd	14300297
caafbabaaabbabaabaaabaabd	14300297
caebbabaaabbabaabaaabaabd	14300297
ceabbabaaabbabaabaaabaabd	14300297
cbabbabaaabbabaabaaabaabd	14300297
cbabbabaaabbabaabaaabaagd	21450446
cbabbabaaabbabaabaaabafad	21450446
cbabbabaaabbabaabaaabebad	21450446
cbabbabaaabbabaabaaafbbad	21450446
cbabbabaaabbabaabaaebbbad	21450446
cbabbabaaabbabaabaeabbbad	21450446
cbabbabaaabbabaabeaabbbad	21450446
cbabbabaaabbabaafbaabbbad	21450446
cbabbabaaabbabaebbaabbbad	21450446
cbabbabaaabbabeabbaabbbad	21450446
cbabbabaaabbafbabbaabbbad	21450446
cbabbabaaabbebbabbaabbbad	21450446
cbabbabaaabfbbbabbaabbbad	21450446
cbabbabaaagabbbabbaabbbad	21450446
cbabbabaafaabbbabbaabbbad	21450446
cbabbabaebaabbbabbaabbbad	21450446
cbabbabeabaabbbabbaabbbad	21450446
cbabbafbabaabbbabbaabbbad	21450446
cbabbebbabaabbbabbaabbbad	21450446
cbabfbbbabaabbbabbaabbbad	21450446
cbagabbbabaabbbabbaabbbad	21450446
cbfaabbbabaabbbabbaabbbad	21450446
cgaaabbbabaabbbabbaabbbad	21450446
cabaaabbbabaabbbabbaabbbad	21450446
cabaaabbbabaabbbabbaabbbd	10725223
cabaaabbbabaabbbabbaabbgd	16087835
cabaaabbbabaabbbabbaabgbd	16087835
cabaaabbbabaabbbabbaagbbd	16087835
cabaaabbbabaabbbabbafabbd	16087835
cabaaabbbabaabbbabbebabbd	16087835
cabaaabbbabaabbbabfbbabbd	16087835
cabaaabbbabaabbbagabbabbd	16087835
cabaaabbbabaabbbfaabbabbd	16087835
cabaaabbbabaabbgaaabbabbd	16087835
cabaaabbbabaabgbaaabbabbd	16087835
cabaaabbbabaagbbaaabbabbd	16087835
cabaaabbbabafabbaaabbabbd	16087835
cabaaabbbabebabbaaabbabbd	16087835
cabaaabbbafbbabbaaabbabbd	16087835
cabaaabbbebbbabbaaabbabbd	16087835
cabaaabbfbbbbabbaaabbabbd	16087835
cabaaabgabbbbabbaaabbabbd	16087835
cabaaagbabbbbabbaaabbabbd	16087835
cabaafababbbbabbaaabbabbd	16087835
cabaebababbbbabbaaabbabbd	16087835
cabeabababbbbabbaaabbabbd	16087835
cafbabababbbbabbaaabbabbd	16087835
cebbabababbbbabbaaabbabbd	16087835
cbbbabababbbbabbaaabbabbd	16087835
cbbbabababbbbabbaaabbabgd	24131753
cbbbabababbbbabbaaabbagbd	24131753
cbbbabababbbbabbaaabbfabd	24131753
cbbbabababbbbabbaaabgaabd	24131753
cbbbabababbbbabbaaagbaabd	24131753
cbbbabababbbbabbaafabaabd	24131753
cbbbabababbbbabbaebabaabd	24131753
cbbbabababbbbabbeababaabd	24131753
cbbbabababbbbabfbababaabd	24131753
cbbbabababbbbagabababaabd	24131753
cbbbabababbbbfaabababaabd	24131753
cbbbabababbbgaaabababaabd	24131753
cbbbabababbgbaaabababaabd	24131753
cbbbabababgbbaaabababaabd	24131753
cbbbababagbbbaaabababaabd	24131753
cbbbababfabbbaaabababaabd	24131753
cbbbabagaabbbaaabababaabd	24131753
cbbbabfaaabbbaaabababaabd	24131753
cbbbagaaaabbbaaabababaabd	24131753
cbbbfaaaaabbbaaabababaabd	24131753
cbbgaaaaaabbbaaabababaabd	24131753
cbgbaaaaaabbbaaabababaabd	24131753
cgbbaaaaaabbbaaabababaabd	24131753
cabbbaaaaaabbbaaabababaabd	24131753
cabbbaaaaaabbbaaabababaagd	36197630
cabbbaaaaaabbbaaabababafad	36197630
cabbbaaaaaabbbaaabababebad	36197630
cabbbaaaaaabbbaaababafbbad	36197630
cabbbaaaaaabbbaaababebbbad	36197630
cabbbaaaaaabbbaaabafbbbbad	36197630
cabbbaaaaaabbbaaabebbbbbad	36197630
cabbbaaaaaabbbaaafbbbbbbad	36197630
cabbbaaaaaabbbaaebbbbbbbad	36197630
cabbbaaaaaabbbaeabbbbbbbad	36197630
cabbbaaaaaabbbeaabbbbbbbad	36197630
cabbbaaaaaabbfbaabbbbbbbad	36197630
cabbbaaaaaabgabaabbbbbbbad	36197630
cabbbaaaaaagbabaabbbbbbbad	36197630
cabbbaaaaafababaabbbbbbbad	36197630
cabbbaaaaebababaabbbbbbbad	36197630
cabbbaaaeabababaabbbbbbbad	36197630
cabbbaaeaabababaabbbbbbbad	36197630
cabbbaeaaabababaabbbbbbbad	36197630
cabbbeaaaabababaabbbbbbbad	36197630
cabbfbaaaabababaabbbbbbbad	36197630
cabgabaaaabababaabbbbbbbad	36197630
cagbabaaaabababaabbbbbbbad	36197630
cfababaaaabababaabbbbbbbad	36197630
caaababaaaabababaabbbbbbbad	36197630
caaababaaaabababaabbbbbbbd	18098815
caaababaaaabababaabbbbbbgd	27148223
caaababaaaabababaabbbbbgbd	27148223
caaababaaaabababaabbbbgbbd	27148223
caaababaaaabababaabbbgbbbd	27148223
caaababaaaabababaabbgbbbbd	27148223
caaababaaaabababaabgbbbbbd	27148223
caaababaaaabababaagbbbbbbd	27148223
caaababaaaabababafabbbbbbd	27148223
caaababaaaabababebabbbbbbd	27148223
caaababaaaababafbbabbbbbbd	27148223
caaababaaaababebbbabbbbbbd	27148223
caaababaaaabafbbbbabbbbbbd	27148223
caaababaaaabebbbbbabbbbbbd	27148223
caaababaaaafbbbbbbabbbbbbd	27148223
caaababaaaebbbbbbbabbbbbbd	27148223
caaababaaeabbbbbbbabbbbbbd	27148223
caaababaeaabbbbbbbabbbbbbd	27148223
caaababeaaabbbbbbbabbbbbbd	27148223
caaabafbaaabbbbbbbabbbbbbd	27148223
caaabebbaaabbbbbbbabbbbbbd	27148223
caaafbbbaaabbbbbbbabbbbbbd	27148223
