"Input number 626331 with intial rewrite term caabbaaabbbabaabbabbd
Generated final number 1 with final rewrite term cd
Number of steps: 3990  Number of array doubles: 1"
Term	Number
caabbaaabbbabaabbabgd	939497
caabbaaabbbabaabbagbd	939497
caabbaaabbbabaabbfabd	939497
caabbaaabbbabaabgaabd	939497
caabbaaabbbabaagbaabd	939497
caabbaaabbbabafabaabd	939497
caabbaaabbbabebabaabd	939497
caabbaaabbbafbbabaabd	939497
caabbaaabbbebbbabaabd	939497
caabbaaabbfbbbbabaabd	939497
caabbaaabgabbbbabaabd	939497
caabbaaagbabbbbabaabd	939497
caabbaafababbbbabaabd	939497
caabbaebababbbbabaabd	939497
caabbeabababbbbabaabd	939497
caabfbabababbbbabaabd	939497
caagababababbbbabaabd	939497
cafaababababbbbabaabd	939497
cebaababababbbbabaabd	939497
cbbaababababbbbabaabd	939497
cbbaababababbbbabaagd	1409246
cbbaababababbbbabafad	1409246
cbbaababababbbbabebad	1409246
cbbaababababbbbafbbad	1409246
cbbaababababbbbebbbad	1409246
cbbaababababbbfbbbbad	1409246
cbbaababababbgabbbbad	1409246
cbbaababababgbabbbbad	1409246
cbbaabababagbbabbbbad	1409246
cbbaabababfabbabbbbad	1409246
cbbaababagaabbabbbbad	1409246
cbbaababfaaabbabbbbad	1409246
cbbaabagaaaabbabbbbad	1409246
cbbaabfaaaaabbabbbbad	1409246
cbbaagaaaaaabbabbbbad	1409246
cbbafaaaaaaabbabbbbad	1409246
cbbebaaaaaaabbabbbbad	1409246
cbfbbaaaaaaabbabbbbad	1409246
cgabbaaaaaaabbabbbbad	1409246
cababbaaaaaaabbabbbbad	1409246
cababbaaaaaaabbabbbbd	704623
cababbaaaaaaabbabbbgd	1056935
cababbaaaaaaabbabbgbd	1056935
cababbaaaaaaabbabgbbd	1056935
cababbaaaaaaabbagbbbd	1056935
cababbaaaaaaabbfabbbd	1056935
cababbaaaaaaabgaabbbd	1056935
cababbaaaaaaagbaabbbd	1056935
cababbaaaaaafabaabbbd	1056935
cababbaaaaaebabaabbbd	1056935
cababbaaaaeababaabbbd	1056935
cababbaaaeaababaabbbd	1056935
cababbaaeaaababaabbbd	1056935
cababbaeaaaababaabbbd	1056935
cababbeaaaaababaabbbd	1056935
