"Input number 77031 with intial rewrite term caababbaabbbaabbbd
Generated final number 1 with final rewrite term cd
Number of steps: 2126  Number of array doubles: 1"
Term	Number
caababbaabbbaabbgd	115547
caababbaabbbaabgbd	115547
caababbaabbbaagbbd	115547
caababbaabbbafabbd	115547
caababbaabbbebabbd	115547
caababbaabbfbbabbd	115547
caababbaabgabbabbd	115547
caababbaagbabbabbd	115547
caababbafababbabbd	115547
caababbebababbabbd	115547
caababfbbababbabbd	115547
caabagabbababbabbd	115547
caabfaabbababbabbd	115547
caagaaabbababbabbd	115547
cafaaaabbababbabbd	115547
cebaaaabbababbabbd	115547
cbbaaaabbababbabbd	115547
cbbaaaabbababbabgd	173321
cbbaaaabbababbagbd	173321
cbbaaaabbababbfabd	173321
cbbaaaabbababgaabd	173321
cbbaaaabbabagbaabd	173321
cbbaaaabbabfabaabd	173321
cbbaaaabbagaabaabd	173321
cbbaaaabbfaaabaabd	173321
cbbaaaabgaaaabaabd	173321
cbbaaaagbaaaabaabd	173321
cbbaaafabaaaabaabd	173321
cbbaaebabaaaabaabd	173321
cbbaeababaaaabaabd	173321
cbbeaababaaaabaabd	173321
cbfbaababaaaabaabd	173321
cgabaababaaaabaabd	173321
cababaababaaaabaabd	173321
cababaababaaaabaagd	259982
cababaababaaaabafad	259982
cababaababaaaabebad	259982
cababaababaaaafbbad	259982
cababaababaaaebbbad	259982
cababaababaaeabbbad	259982
cababaababaeaabbbad	259982
cababaababeaaabbbad	259982
cababaabafbaaabbbad	259982
cababaabebbaaabbbad	259982
cababaafbbbaaabbbad	259982
cababaebbbbaaabbbad	259982
cababeabbbbaaabbbad	259982
cabafbabbbbaaabbbad	259982
cabebbabbbbaaabbbad	259982
cafbbbabbbbaaabbbad	259982
cebbbbabbbbaaabbbad	259982
cbbbbbabbbbaaabbbad	259982
cbbbbbabbbbaaabbbd	129991
cbbbbbabbbbaaabbgd	194987
cbbbbbabbbbaaabgbd	194987
cbbbbbabbbbaaagbbd	194987
cbbbbbabbbbaafabbd	194987
cbbbbbabbbbaebabbd	194987
cbbbbbabbbbeababbd	194987
cbbbbbabbbfbababbd	194987
cbbbbbabbgabababbd	194987
cbbbbbabgbabababbd	194987
cbbbbbagbbabababbd	194987
cbbbbbfabbabababbd	194987
cbbbbgaabbabababbd	194987
cbbbgbaabbabababbd	194987
cbbgbbaabbabababbd	194987
cbgbbbaabbabababbd	194987
cgbbbbaabbabababbd	194987
cabbbbbaabbabababbd	194987
cabbbbbaabbabababgd	292481
cabbbbbaabbababagbd	292481
cabbbbbaabbababfabd	292481
cabbbbbaabbabagaabd	292481
cabbbbbaabbabfaaabd	292481
cabbbbbaabbagaaaabd	292481
cabbbbbaabbfaaaaabd	292481
cabbbbbaabgaaaaaabd	292481
cabbbbbaagbaaaaaabd	292481
cabbbbbafabaaaaaabd	292481
cabbbbbebabaaaaaabd	292481
cabbbbfbbabaaaaaabd	292481
cabbbgabbabaaaaaabd	292481
cabbgbabbabaaaaaabd	292481
cabgbbabbabaaaaaabd	292481
cagbbbabbabaaaaaabd	292481
cfabbbabbabaaaaaabd	292481
caaabbbabbabaaaaaabd	292481
caaabbbabbabaaaaaagd	438722
caaabbbabbabaaaaafad	438722
caaabbbabbabaaaaebad	438722
caaabbbabbabaaaeabad	438722
caaabbbabbabaaeaabad	438722
caaabbbabbabaeaaabad	438722
caaabbbabbabeaaaabad	438722
caaabbbabbafbaaaabad	438722
caaabbbabbebbaaaabad	438722
caaabbbabfbbbaaaabad	438722
caaabbbagabbbaaaabad	438722
caaabbbfaabbbaaaabad	438722
caaabbgaaabbbaaaabad	438722
caaabgbaaabbbaaaabad	438722
caaagbbaaabbbaaaabad	438722
caafabbaaabbbaaaabad	438722
caebabbaaabbbaaaabad	438722
ceababbaaabbbaaaabad	438722
cbababbaaabbbaaaabad	438722
cbababbaaabbbaaaabd	219361
cbababbaaabbbaaaagd	329042
cbababbaaabbbaaafad	329042
cbababbaaabbbaaebad	329042
cbababbaaabbbaeabad	329042
cbababbaaabbbeaabad	329042
cbababbaaabbfbaabad	329042
cbababbaaabgabaabad	329042
cbababbaaagbabaabad	329042
cbababbaafababaabad	329042
cbababbaebababaabad	329042
cbababbeabababaabad	329042
cbababfbabababaabad	329042
cbabagababababaabad	329042
cbabfaababababaabad	329042
cbagaaababababaabad	329042
cbfaaaababababaabad	329042
cgaaaaababababaabad	329042
cabaaaaababababaabad	329042
cabaaaaababababaabd	164521
cabaaaaababababaagd	246782
cabaaaaababababafad	246782
cabaaaaababababebad	246782
cabaaaaabababafbbad	246782
cabaaaaabababebbbad	246782
cabaaaaababafbbbbad	246782
cabaaaaababebbbbbad	246782
cabaaaaabafbbbbbbad	246782
cabaaaaabebbbbbbbad	246782
cabaaaaafbbbbbbbbad	246782
cabaaaaebbbbbbbbbad	246782
cabaaaeabbbbbbbbbad	246782
cabaaeaabbbbbbbbbad	246782
cabaeaaabbbbbbbbbad	246782
cabeaaaabbbbbbbbbad	246782
cafbaaaabbbbbbbbbad	246782
cebbaaaabbbbbbbbbad	246782
cbbbaaaabbbbbbbbbad	246782
cbbbaaaabbbbbbbbbd	123391
cbbbaaaabbbbbbbbgd	185087
cbbbaaaabbbbbbbgbd	185087
cbbbaaaabbbbbbgbbd	185087
cbbbaaaabbbbbgbbbd	185087
cbbbaaaabbbbgbbbbd	185087
cbbbaaaabbbgbbbbbd	185087
cbbbaaaabbgbbbbbbd	185087
cbbbaaaabgbbbbbbbd	185087
cbbbaaaagbbbbbbbbd	185087
cbbbaaafabbbbbbbbd	185087
cbbbaaebabbbbbbbbd	185087
cbbbaeababbbbbbbbd	185087
cbbbeaababbbbbbbbd	185087
cbbfbaababbbbbbbbd	185087
cbgabaababbbbbbbbd	185087
cgbabaababbbbbbbbd	185087
cabbabaababbbbbbbbd	185087
cabbabaababbbbbbbgd	277631
cabbabaababbbbbbgbd	277631
cabbabaababbbbbgbbd	277631
cabbabaababbbbgbbbd	277631
cabbabaababbbgbbbbd	277631
cabbabaababbgbbbbbd	277631
cabbabaababgbbbbbbd	277631
cabbabaabagbbbbbbbd	277631
cabbabaabfabbbbbbbd	277631
cabbabaagaabbbbbbbd	277631
cabbabafaaabbbbbbbd	277631
cabbabebaaabbbbbbbd	277631
cabbafbbaaabbbbbbbd	277631
