"Input number 837799 with intial rewrite term cbaabbaabaaababaabbbd
Generated final number 1 with final rewrite term cd
Number of steps: 4017  Number of array doubles: 1"
Term	Number
cbaabbaabaaababaabbgd	1256699
cbaabbaabaaababaabgbd	1256699
cbaabbaabaaababaagbbd	1256699
cbaabbaabaaababafabbd	1256699
cbaabbaabaaababebabbd	1256699
cbaabbaabaaabafbbabbd	1256699
cbaabbaabaaabebbbabbd	1256699
cbaabbaabaaafbbbbabbd	1256699
cbaabbaabaaebbbbbabbd	1256699
cbaabbaabaeabbbbbabbd	1256699
cbaabbaabeaabbbbbabbd	1256699
cbaabbaafbaabbbbbabbd	1256699
cbaabbaebbaabbbbbabbd	1256699
cbaabbeabbaabbbbbabbd	1256699
cbaabfbabbaabbbbbabbd	1256699
cbaagababbaabbbbbabbd	1256699
cbafaababbaabbbbbabbd	1256699
cbebaababbaabbbbbabbd	1256699
cfbbaababbaabbbbbabbd	1256699
caabbaababbaabbbbbabbd	1256699
caabbaababbaabbbbbabgd	1885049
caabbaababbaabbbbbagbd	1885049
caabbaababbaabbbbbfabd	1885049
caabbaababbaabbbbgaabd	1885049
caabbaababbaabbbgbaabd	1885049
caabbaababbaabbgbbaabd	1885049
caabbaababbaabgbbbaabd	1885049
caabbaababbaagbbbbaabd	1885049
caabbaababbafabbbbaabd	1885049
caabbaababbebabbbbaabd	1885049
caabbaababfbbabbbbaabd	1885049
caabbaabagabbabbbbaabd	1885049
caabbaabfaabbabbbbaabd	1885049
caabbaagaaabbabbbbaabd	1885049
caabbafaaaabbabbbbaabd	1885049
caabbebaaaabbabbbbaabd	1885049
caabfbbaaaabbabbbbaabd	1885049
caagabbaaaabbabbbbaabd	1885049
cafaabbaaaabbabbbbaabd	1885049
cebaabbaaaabbabbbbaabd	1885049
cbbaabbaaaabbabbbbaabd	1885049
cbbaabbaaaabbabbbbaagd	2827574
cbbaabbaaaabbabbbbafad	2827574
cbbaabbaaaabbabbbbebad	2827574
cbbaabbaaaabbabbbfbbad	2827574
cbbaabbaaaabbabbgabbad	2827574
cbbaabbaaaabbabgbabbad	2827574
cbbaabbaaaabbagbbabbad	2827574
cbbaabbaaaabbfabbabbad	2827574
cbbaabbaaaabgaabbabbad	2827574
cbbaabbaaaagbaabbabbad	2827574
cbbaabbaaafabaabbabbad	2827574
cbbaabbaaebabaabbabbad	2827574
cbbaabbaeababaabbabbad	2827574
cbbaabbeaababaabbabbad	2827574
cbbaabfbaababaabbabbad	2827574
cbbaagabaababaabbabbad	2827574
cbbafaabaababaabbabbad	2827574
cbbebaabaababaabbabbad	2827574
cbfbbaabaababaabbabbad	2827574
cgabbaabaababaabbabbad	2827574
cababbaabaababaabbabbad	2827574
cababbaabaababaabbabbd	1413787
cababbaabaababaabbabgd	2120681
cababbaabaababaabbagbd	2120681
cababbaabaababaabbfabd	2120681
cababbaabaababaabgaabd	2120681
cababbaabaababaagbaabd	2120681
cababbaabaababafabaabd	2120681
cababbaabaababebabaabd	2120681
cababbaabaabafbbabaabd	2120681
cababbaabaabebbbabaabd	2120681
cababbaabaafbbbbabaabd	2120681
cababbaabaebbbbbabaabd	2120681
cababbaabeabbbbbabaabd	2120681
cababbaafbabbbbbabaabd	2120681
cababbaebbabbbbbabaabd	2120681
cababbeabbabbbbbabaabd	2120681
cababfbabbabbbbbabaabd	2120681
cabagababbabbbbbabaabd	2120681
cabfaababbabbbbbabaabd	2120681
cagaaababbabbbbbabaabd	2120681
cfaaaababbabbbbbabaabd	2120681
caaaaaababbabbbbbabaabd	2120681
caaaaaababbabbbbbabaagd	3181022
caaaaaababbabbbbbabafad	3181022
caaaaaababbabbbbbabebad	3181022
caaaaaababbabbbbbafbbad	3181022
caaaaaababbabbbbbebbbad	3181022
caaaaaababbabbbbfbbbbad	3181022
caaaaaababbabbbgabbbbad	3181022
caaaaaababbabbgbabbbbad	3181022
caaaaaababbabgbbabbbbad	3181022
caaaaaababbagbbbabbbbad	3181022
caaaaaababbfabbbabbbbad	3181022
caaaaaababgaabbbabbbbad	3181022
caaaaaabagbaabbbabbbbad	3181022
caaaaaabfabaabbbabbbbad	3181022
caaaaaagaabaabbbabbbbad	3181022
caaaaafaaabaabbbabbbbad	3181022
caaaaebaaabaabbbabbbbad	3181022
caaaeabaaabaabbbabbbbad	3181022
caaeaabaaabaabbbabbbbad	3181022
caeaaabaaabaabbbabbbbad	3181022
ceaaaabaaabaabbbabbbbad	3181022
cbaaaabaaabaabbbabbbbad	3181022
cbaaaabaaabaabbbabbbbd	1590511
cbaaaabaaabaabbbabbbgd	2385767
cbaaaabaaabaabbbabbgbd	2385767
cbaaaabaaabaabbbabgbbd	2385767
cbaaaabaaabaabbbagbbbd	2385767
cbaaaabaaabaabbbfabbbd	2385767
cbaaaabaaabaabbgaabbbd	2385767
cbaaaabaaabaabgbaabbbd	2385767
cbaaaabaaabaagbbaabbbd	2385767
cbaaaabaaabafabbaabbbd	2385767
cbaaaabaaabebabbaabbbd	2385767
cbaaaabaaafbbabbaabbbd	2385767
cbaaaabaaebbbabbaabbbd	2385767
cbaaaabaeabbbabbaabbbd	2385767
cbaaaabeaabbbabbaabbbd	2385767
cbaaaafbaabbbabbaabbbd	2385767
cbaaaebbaabbbabbaabbbd	2385767
cbaaeabbaabbbabbaabbbd	2385767
cbaeaabbaabbbabbaabbbd	2385767
cbeaaabbaabbbabbaabbbd	2385767
cfbaaabbaabbbabbaabbbd	2385767
caabaaabbaabbbabbaabbbd	2385767
caabaaabbaabbbabbaabbgd	3578651
caabaaabbaabbbabbaabgbd	3578651
caabaaabbaabbbabbaagbbd	3578651
caabaaabbaabbbabbafabbd	3578651
caabaaabbaabbbabbebabbd	3578651
caabaaabbaabbbabfbbabbd	3578651
caabaaabbaabbbagabbabbd	3578651
caabaaabbaabbbfaabbabbd	3578651
caabaaabbaabbgaaabbabbd	3578651
caabaaabbaabgbaaabbabbd	3578651
caabaaabbaagbbaaabbabbd	3578651
caabaaabbafabbaaabbabbd	3578651
caabaaabbebabbaaabbabbd	3578651
caabaaabfbbabbaaabbabbd	3578651
caabaaagabbabbaaabbabbd	3578651
caabaafaabbabbaaabbabbd	3578651
caabaebaabbabbaaabbabbd	3578651
caabeabaabbabbaaabbabbd	3578651
caafbabaabbabbaaabbabbd	3578651
caebbabaabbabbaaabbabbd	3578651
ceabbabaabbabbaaabbabbd	3578651
cbabbabaabbabbaaabbabbd	3578651
cbabbabaabbabbaaabbabgd	5367977
cbabbabaabbabbaaabbagbd	5367977
cbabbabaabbabbaaabbfabd	5367977
cbabbabaabbabbaaabgaabd	5367977
cbabbabaabbabbaaagbaabd	5367977
cbabbabaabbabbaafabaabd	5367977
cbabbabaabbabbaebabaabd	5367977
cbabbabaabbabbeababaabd	5367977
cbabbabaabbabfbababaabd	5367977
cbabbabaabbagabababaabd	5367977
cbabbabaabbfaabababaabd	5367977
cbabbabaabgaaabababaabd	5367977
cbabbabaagbaaabababaabd	5367977
cbabbabafabaaabababaabd	5367977
cbabbabebabaaabababaabd	5367977
cbabbafbbabaaabababaabd	5367977
cbabbebbbabaaabababaabd	5367977
cbabfbbbbabaaabababaabd	5367977
cbagabbbbabaaabababaabd	5367977
cbfaabbbbabaaabababaabd	5367977
cgaaabbbbabaaabababaabd	5367977
cabaaabbbbabaaabababaabd	5367977
cabaaabbbbabaaabababaagd	8051966
cabaaabbbbabaaabababafad	8051966
cabaaabbbbabaaabababebad	8051966
cabaaabbbbabaaababafbbad	8051966
cabaaabbbbabaaababebbbad	8051966
cabaaabbbbabaaabafbbbbad	8051966
cabaaabbbbabaaabebbbbbad	8051966
cabaaabbbbabaaafbbbbbbad	8051966
