"Input number 871 with intial rewrite term cbabbaabbbd
Generated final number 1 with final rewrite term cd
Number of steps: 714  Number of array doubles: 1"
Term	Number
cbabbaabbgd	1307
cbabbaabgbd	1307
cbabbaagbbd	1307
cbabbafabbd	1307
cbabbebabbd	1307
cbabfbbabbd	1307
cbagabbabbd	1307
cbfaabbabbd	1307
cgaaabbabbd	1307
cabaaabbabbd	1307
cabaaabbabgd	1961
cabaaabbagbd	1961
cabaaabbfabd	1961
cabaaabgaabd	1961
cabaaagbaabd	1961
cabaafabaabd	1961
cabaebabaabd	1961
cabeababaabd	1961
cafbababaabd	1961
cebbababaabd	1961
cbbbababaabd	1961
cbbbababaagd	2942
cbbbababafad	2942
cbbbababebad	2942
cbbbabafbbad	2942
cbbbabebbbad	2942
cbbbafbbbbad	2942
cbbbebbbbbad	2942
cbbfbbbbbbad	2942
cbgabbbbbbad	2942
cgbabbbbbbad	2942
cabbabbbbbbad	2942
cabbabbbbbbd	1471
cabbabbbbbgd	2207
cabbabbbbgbd	2207
cabbabbbgbbd	2207
cabbabbgbbbd	2207
cabbabgbbbbd	2207
cabbagbbbbbd	2207
cabbfabbbbbd	2207
cabgaabbbbbd	2207
cagbaabbbbbd	2207
cfabaabbbbbd	2207
caaabaabbbbbd	2207
caaabaabbbbgd	3311
caaabaabbbgbd	3311
caaabaabbgbbd	3311
caaabaabgbbbd	3311
caaabaagbbbbd	3311
caaabafabbbbd	3311
caaabebabbbbd	3311
caaafbbabbbbd	3311
caaebbbabbbbd	3311
caeabbbabbbbd	3311
ceaabbbabbbbd	3311
cbaabbbabbbbd	3311
cbaabbbabbbgd	4967
cbaabbbabbgbd	4967
cbaabbbabgbbd	4967
cbaabbbagbbbd	4967
cbaabbbfabbbd	4967
cbaabbgaabbbd	4967
cbaabgbaabbbd	4967
cbaagbbaabbbd	4967
cbafabbaabbbd	4967
cbebabbaabbbd	4967
cfbbabbaabbbd	4967
caabbabbaabbbd	4967
caabbabbaabbgd	7451
caabbabbaabgbd	7451
caabbabbaagbbd	7451
caabbabbafabbd	7451
caabbabbebabbd	7451
caabbabfbbabbd	7451
caabbagabbabbd	7451
caabbfaabbabbd	7451
caabgaaabbabbd	7451
caagbaaabbabbd	7451
cafabaaabbabbd	7451
cebabaaabbabbd	7451
cbbabaaabbabbd	7451
cbbabaaabbabgd	11177
cbbabaaabbagbd	11177
cbbabaaabbfabd	11177
cbbabaaabgaabd	11177
cbbabaaagbaabd	11177
cbbabaafabaabd	11177
cbbabaebabaabd	11177
cbbabeababaabd	11177
cbbafbababaabd	11177
cbbebbababaabd	11177
cbfbbbababaabd	11177
cgabbbababaabd	11177
cababbbababaabd	11177
cababbbababaagd	16766
cababbbababafad	16766
cababbbababebad	16766
cababbbabafbbad	16766
cababbbabebbbad	16766
cababbbafbbbbad	16766
cababbbebbbbbad	16766
cababbfbbbbbbad	16766
cababgabbbbbbad	16766
cabagbabbbbbbad	16766
cabfababbbbbbad	16766
cagaababbbbbbad	16766
cfaaababbbbbbad	16766
caaaaababbbbbbad	16766
caaaaababbbbbbd	8383
caaaaababbbbbgd	12575
caaaaababbbbgbd	12575
caaaaababbbgbbd	12575
caaaaababbgbbbd	12575
caaaaababgbbbbd	12575
caaaaabagbbbbbd	12575
caaaaabfabbbbbd	12575
caaaaagaabbbbbd	12575
caaaafaaabbbbbd	12575
caaaebaaabbbbbd	12575
caaeabaaabbbbbd	12575
caeaabaaabbbbbd	12575
ceaaabaaabbbbbd	12575
cbaaabaaabbbbbd	12575
cbaaabaaabbbbgd	18863
cbaaabaaabbbgbd	18863
cbaaabaaabbgbbd	18863
cbaaabaaabgbbbd	18863
cbaaabaaagbbbbd	18863
cbaaabaafabbbbd	18863
cbaaabaebabbbbd	18863
cbaaabeababbbbd	18863
cbaaafbababbbbd	18863
cbaaebbababbbbd	18863
cbaeabbababbbbd	18863
cbeaabbababbbbd	18863
cfbaabbababbbbd	18863
caabaabbababbbbd	18863
caabaabbababbbgd	28295
caabaabbababbgbd	28295
caabaabbababgbbd	28295
caabaabbabagbbbd	28295
caabaabbabfabbbd	28295
caabaabbagaabbbd	28295
caabaabbfaaabbbd	28295
caabaabgaaaabbbd	28295
caabaagbaaaabbbd	28295
caabafabaaaabbbd	28295
caabebabaaaabbbd	28295
caafbbabaaaabbbd	28295
caebbbabaaaabbbd	28295
ceabbbabaaaabbbd	28295
cbabbbabaaaabbbd	28295
cbabbbabaaaabbgd	42443
cbabbbabaaaabgbd	42443
cbabbbabaaaagbbd	42443
cbabbbabaaafabbd	42443
cbabbbabaaebabbd	42443
cbabbbabaeababbd	42443
cbabbbabeaababbd	42443
cbabbbafbaababbd	42443
cbabbbebbaababbd	42443
cbabbfbbbaababbd	42443
cbabgabbbaababbd	42443
cbagbabbbaababbd	42443
cbfababbbaababbd	42443
cgaababbbaababbd	42443
cabaababbbaababbd	42443
cabaababbbaababgd	63665
cabaababbbaabagbd	63665
cabaababbbaabfabd	63665
cabaababbbaagaabd	63665
cabaababbbafaaabd	63665
cabaababbbebaaabd	63665
cabaababbfbbaaabd	63665
cabaababgabbaaabd	63665
cabaabagbabbaaabd	63665
cabaabfababbaaabd	63665
