"Input number 106239 with intial rewrite term cbaabbbbabbbbbbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 2105  Number of array doubles: 1"
Term	Number
cbaabbbbabbbbbbbgd	159359
cbaabbbbabbbbbbgbd	159359
cbaabbbbabbbbbgbbd	159359
cbaabbbbabbbbgbbbd	159359
cbaabbbbabbbgbbbbd	159359
cbaabbbbabbgbbbbbd	159359
cbaabbbbabgbbbbbbd	159359
cbaabbbbagbbbbbbbd	159359
cbaabbbbfabbbbbbbd	159359
cbaabbbgaabbbbbbbd	159359
cbaabbgbaabbbbbbbd	159359
cbaabgbbaabbbbbbbd	159359
cbaagbbbaabbbbbbbd	159359
cbafabbbaabbbbbbbd	159359
cbebabbbaabbbbbbbd	159359
cfbbabbbaabbbbbbbd	159359
caabbabbbaabbbbbbbd	159359
caabbabbbaabbbbbbgd	239039
caabbabbbaabbbbbgbd	239039
caabbabbbaabbbbgbbd	239039
caabbabbbaabbbgbbbd	239039
caabbabbbaabbgbbbbd	239039
caabbabbbaabgbbbbbd	239039
caabbabbbaagbbbbbbd	239039
caabbabbbafabbbbbbd	239039
caabbabbbebabbbbbbd	239039
caabbabbfbbabbbbbbd	239039
caabbabgabbabbbbbbd	239039
caabbagbabbabbbbbbd	239039
caabbfababbabbbbbbd	239039
caabgaababbabbbbbbd	239039
caagbaababbabbbbbbd	239039
cafabaababbabbbbbbd	239039
cebabaababbabbbbbbd	239039
cbbabaababbabbbbbbd	239039
cbbabaababbabbbbbgd	358559
cbbabaababbabbbbgbd	358559
cbbabaababbabbbgbbd	358559
cbbabaababbabbgbbbd	358559
cbbabaababbabgbbbbd	358559
cbbabaababbagbbbbbd	358559
cbbabaababbfabbbbbd	358559
cbbabaababgaabbbbbd	358559
cbbabaabagbaabbbbbd	358559
cbbabaabfabaabbbbbd	358559
cbbabaagaabaabbbbbd	358559
cbbabafaaabaabbbbbd	358559
cbbabebaaabaabbbbbd	358559
cbbafbbaaabaabbbbbd	358559
cbbebbbaaabaabbbbbd	358559
cbfbbbbaaabaabbbbbd	358559
cgabbbbaaabaabbbbbd	358559
