"Input number 13255 with intial rewrite term cbaabbbbaaabbbd
Generated final number 1 with final rewrite term cd
Number of steps: 1339  Number of array doubles: 1"
Term	Number
cbaabbbbaaabbgd	19883
cbaabbbbaaabgbd	19883
cbaabbbbaaagbbd	19883
cbaabbbbaafabbd	19883
cbaabbbbaebabbd	19883
cbaabbbbeababbd	19883
cbaabbbfbababbd	19883
cbaabbgabababbd	19883
cbaabgbabababbd	19883
cbaagbbabababbd	19883
cbafabbabababbd	19883
cbebabbabababbd	19883
cfbbabbabababbd	19883
caabbabbabababbd	19883
caabbabbabababgd	29825
caabbabbababagbd	29825
caabbabbababfabd	29825
caabbabbabagaabd	29825
caabbabbabfaaabd	29825
caabbabbagaaaabd	29825
caabbabbfaaaaabd	29825
caabbabgaaaaaabd	29825
caabbagbaaaaaabd	29825
caabbfabaaaaaabd	29825
caabgaabaaaaaabd	29825
caagbaabaaaaaabd	29825
cafabaabaaaaaabd	29825
cebabaabaaaaaabd	29825
cbbabaabaaaaaabd	29825
cbbabaabaaaaaagd	44738
cbbabaabaaaaafad	44738
cbbabaabaaaaebad	44738
cbbabaabaaaeabad	44738
cbbabaabaaeaabad	44738
cbbabaabaeaaabad	44738
cbbabaabeaaaabad	44738
cbbabaafbaaaabad	44738
cbbabaebbaaaabad	44738
cbbabeabbaaaabad	44738
cbbafbabbaaaabad	44738
cbbebbabbaaaabad	44738
cbfbbbabbaaaabad	44738
cgabbbabbaaaabad	44738
cababbbabbaaaabad	44738
cababbbabbaaaabd	22369
cababbbabbaaaagd	33554
cababbbabbaaafad	33554
cababbbabbaaebad	33554
cababbbabbaeabad	33554
cababbbabbeaabad	33554
cababbbabfbaabad	33554
cababbbagabaabad	33554
cababbbfaabaabad	33554
cababbgaaabaabad	33554
cababgbaaabaabad	33554
cabagbbaaabaabad	33554
cabfabbaaabaabad	33554
cagaabbaaabaabad	33554
cfaaabbaaabaabad	33554
caaaaabbaaabaabad	33554
caaaaabbaaabaabd	16777
caaaaabbaaabaagd	25166
caaaaabbaaabafad	25166
caaaaabbaaabebad	25166
caaaaabbaaafbbad	25166
caaaaabbaaebbbad	25166
caaaaabbaeabbbad	25166
caaaaabbeaabbbad	25166
caaaaabfbaabbbad	25166
caaaaagabaabbbad	25166
caaaafaabaabbbad	25166
caaaebaabaabbbad	25166
caaeabaabaabbbad	25166
caeaabaabaabbbad	25166
ceaaabaabaabbbad	25166
cbaaabaabaabbbad	25166
cbaaabaabaabbbd	12583
cbaaabaabaabbgd	18875
cbaaabaabaabgbd	18875
cbaaabaabaagbbd	18875
cbaaabaabafabbd	18875
cbaaabaabebabbd	18875
cbaaabaafbbabbd	18875
cbaaabaebbbabbd	18875
cbaaabeabbbabbd	18875
cbaaafbabbbabbd	18875
cbaaebbabbbabbd	18875
cbaeabbabbbabbd	18875
cbeaabbabbbabbd	18875
cfbaabbabbbabbd	18875
caabaabbabbbabbd	18875
caabaabbabbbabgd	28313
caabaabbabbbagbd	28313
caabaabbabbbfabd	28313
caabaabbabbgaabd	28313
caabaabbabgbaabd	28313
caabaabbagbbaabd	28313
caabaabbfabbaabd	28313
caabaabgaabbaabd	28313
caabaagbaabbaabd	28313
caabafabaabbaabd	28313
caabebabaabbaabd	28313
caafbbabaabbaabd	28313
caebbbabaabbaabd	28313
ceabbbabaabbaabd	28313
cbabbbabaabbaabd	28313
cbabbbabaabbaagd	42470
cbabbbabaabbafad	42470
cbabbbabaabbebad	42470
cbabbbabaabfbbad	42470
cbabbbabaagabbad	42470
cbabbbabafaabbad	42470
cbabbbabebaabbad	42470
cbabbbafbbaabbad	42470
cbabbbebbbaabbad	42470
cbabbfbbbbaabbad	42470
cbabgabbbbaabbad	42470
cbagbabbbbaabbad	42470
cbfababbbbaabbad	42470
cgaababbbbaabbad	42470
cabaababbbbaabbad	42470
cabaababbbbaabbd	21235
cabaababbbbaabgd	31853
cabaababbbbaagbd	31853
cabaababbbbafabd	31853
cabaababbbbebabd	31853
cabaababbbfbbabd	31853
cabaababbgabbabd	31853
cabaababgbabbabd	31853
cabaabagbbabbabd	31853
cabaabfabbabbabd	31853
cabaagaabbabbabd	31853
cabafaaabbabbabd	31853
cabebaaabbabbabd	31853
cafbbaaabbabbabd	31853
cebbbaaabbabbabd	31853
cbbbbaaabbabbabd	31853
cbbbbaaabbabbagd	47780
cbbbbaaabbabbfad	47780
cbbbbaaabbabgaad	47780
cbbbbaaabbagbaad	47780
cbbbbaaabbfabaad	47780
cbbbbaaabgaabaad	47780
cbbbbaaagbaabaad	47780
cbbbbaafabaabaad	47780
cbbbbaebabaabaad	47780
cbbbbeababaabaad	47780
cbbbfbababaabaad	47780
