"Input number 142587 with intial rewrite term caaababbaabbbbbabbd
Generated final number 1 with final rewrite term cd
Number of steps: 2692  Number of array doubles: 1"
Term	Number
caaababbaabbbbbabgd	213881
caaababbaabbbbbagbd	213881
caaababbaabbbbbfabd	213881
caaababbaabbbbgaabd	213881
caaababbaabbbgbaabd	213881
caaababbaabbgbbaabd	213881
caaababbaabgbbbaabd	213881
caaababbaagbbbbaabd	213881
caaababbafabbbbaabd	213881
caaababbebabbbbaabd	213881
caaababfbbabbbbaabd	213881
caaabagabbabbbbaabd	213881
caaabfaabbabbbbaabd	213881
caaagaaabbabbbbaabd	213881
caafaaaabbabbbbaabd	213881
caebaaaabbabbbbaabd	213881
ceabaaaabbabbbbaabd	213881
cbabaaaabbabbbbaabd	213881
cbabaaaabbabbbbaagd	320822
cbabaaaabbabbbbafad	320822
cbabaaaabbabbbbebad	320822
cbabaaaabbabbbfbbad	320822
cbabaaaabbabbgabbad	320822
cbabaaaabbabgbabbad	320822
cbabaaaabbagbbabbad	320822
cbabaaaabbfabbabbad	320822
cbabaaaabgaabbabbad	320822
cbabaaaagbaabbabbad	320822
cbabaaafabaabbabbad	320822
cbabaaebabaabbabbad	320822
cbabaeababaabbabbad	320822
cbabeaababaabbabbad	320822
cbafbaababaabbabbad	320822
cbebbaababaabbabbad	320822
cfbbbaababaabbabbad	320822
caabbbaababaabbabbad	320822
caabbbaababaabbabbd	160411
caabbbaababaabbabgd	240617
caabbbaababaabbagbd	240617
caabbbaababaabbfabd	240617
caabbbaababaabgaabd	240617
caabbbaababaagbaabd	240617
caabbbaababafabaabd	240617
caabbbaababebabaabd	240617
caabbbaabafbbabaabd	240617
caabbbaabebbbabaabd	240617
caabbbaafbbbbabaabd	240617
caabbbaebbbbbabaabd	240617
caabbbeabbbbbabaabd	240617
caabbfbabbbbbabaabd	240617
caabgababbbbbabaabd	240617
caagbababbbbbabaabd	240617
cafabababbbbbabaabd	240617
cebabababbbbbabaabd	240617
cbbabababbbbbabaabd	240617
cbbabababbbbbabaagd	360926
cbbabababbbbbabafad	360926
cbbabababbbbbabebad	360926
cbbabababbbbbafbbad	360926
cbbabababbbbbebbbad	360926
cbbabababbbbfbbbbad	360926
cbbabababbbgabbbbad	360926
cbbabababbgbabbbbad	360926
cbbabababgbbabbbbad	360926
cbbababagbbbabbbbad	360926
cbbababfabbbabbbbad	360926
cbbabagaabbbabbbbad	360926
cbbabfaaabbbabbbbad	360926
cbbagaaaabbbabbbbad	360926
cbbfaaaaabbbabbbbad	360926
cbgaaaaaabbbabbbbad	360926
cgbaaaaaabbbabbbbad	360926
cabbaaaaaabbbabbbbad	360926
cabbaaaaaabbbabbbbd	180463
cabbaaaaaabbbabbbgd	270695
cabbaaaaaabbbabbgbd	270695
cabbaaaaaabbbabgbbd	270695
cabbaaaaaabbbagbbbd	270695
cabbaaaaaabbbfabbbd	270695
cabbaaaaaabbgaabbbd	270695
cabbaaaaaabgbaabbbd	270695
cabbaaaaaagbbaabbbd	270695
cabbaaaaafabbaabbbd	270695
cabbaaaaebabbaabbbd	270695
cabbaaaeababbaabbbd	270695
cabbaaeaababbaabbbd	270695
cabbaeaaababbaabbbd	270695
cabbeaaaababbaabbbd	270695
cabfbaaaababbaabbbd	270695
cagabaaaababbaabbbd	270695
cfaabaaaababbaabbbd	270695
caaaabaaaababbaabbbd	270695
caaaabaaaababbaabbgd	406043
caaaabaaaababbaabgbd	406043
caaaabaaaababbaagbbd	406043
caaaabaaaababbafabbd	406043
caaaabaaaababbebabbd	406043
caaaabaaaababfbbabbd	406043
caaaabaaaabagabbabbd	406043
caaaabaaaabfaabbabbd	406043
caaaabaaaagaaabbabbd	406043
caaaabaaafaaaabbabbd	406043
caaaabaaebaaaabbabbd	406043
caaaabaeabaaaabbabbd	406043
caaaabeaabaaaabbabbd	406043
caaaafbaabaaaabbabbd	406043
caaaebbaabaaaabbabbd	406043
caaeabbaabaaaabbabbd	406043
caeaabbaabaaaabbabbd	406043
ceaaabbaabaaaabbabbd	406043
cbaaabbaabaaaabbabbd	406043
cbaaabbaabaaaabbabgd	609065
cbaaabbaabaaaabbagbd	609065
cbaaabbaabaaaabbfabd	609065
cbaaabbaabaaaabgaabd	609065
cbaaabbaabaaaagbaabd	609065
cbaaabbaabaaafabaabd	609065
cbaaabbaabaaebabaabd	609065
cbaaabbaabaeababaabd	609065
cbaaabbaabeaababaabd	609065
cbaaabbaafbaababaabd	609065
