"Input number 216367 with intial rewrite term cbabaabbabaababbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 2346  Number of array doubles: 1"
Term	Number
cbabaabbabaababbbgd	324551
cbabaabbabaababbgbd	324551
cbabaabbabaababgbbd	324551
cbabaabbabaabagbbbd	324551
cbabaabbabaabfabbbd	324551
cbabaabbabaagaabbbd	324551
cbabaabbabafaaabbbd	324551
cbabaabbabebaaabbbd	324551
cbabaabbafbbaaabbbd	324551
cbabaabbebbbaaabbbd	324551
cbabaabfbbbbaaabbbd	324551
cbabaagabbbbaaabbbd	324551
cbabafaabbbbaaabbbd	324551
cbabebaabbbbaaabbbd	324551
cbafbbaabbbbaaabbbd	324551
cbebbbaabbbbaaabbbd	324551
cfbbbbaabbbbaaabbbd	324551
caabbbbaabbbbaaabbbd	324551
caabbbbaabbbbaaabbgd	486827
caabbbbaabbbbaaabgbd	486827
caabbbbaabbbbaaagbbd	486827
caabbbbaabbbbaafabbd	486827
caabbbbaabbbbaebabbd	486827
caabbbbaabbbbeababbd	486827
caabbbbaabbbfbababbd	486827
caabbbbaabbgabababbd	486827
caabbbbaabgbabababbd	486827
caabbbbaagbbabababbd	486827
caabbbbafabbabababbd	486827
caabbbbebabbabababbd	486827
caabbbfbbabbabababbd	486827
caabbgabbabbabababbd	486827
caabgbabbabbabababbd	486827
caagbbabbabbabababbd	486827
cafabbabbabbabababbd	486827
cebabbabbabbabababbd	486827
cbbabbabbabbabababbd	486827
cbbabbabbabbabababgd	730241
cbbabbabbabbababagbd	730241
cbbabbabbabbababfabd	730241
cbbabbabbabbabagaabd	730241
cbbabbabbabbabfaaabd	730241
cbbabbabbabbagaaaabd	730241
cbbabbabbabbfaaaaabd	730241
cbbabbabbabgaaaaaabd	730241
cbbabbabbagbaaaaaabd	730241
cbbabbabbfabaaaaaabd	730241
cbbabbabgaabaaaaaabd	730241
cbbabbagbaabaaaaaabd	730241
cbbabbfabaabaaaaaabd	730241
cbbabgaabaabaaaaaabd	730241
cbbagbaabaabaaaaaabd	730241
cbbfabaabaabaaaaaabd	730241
cbgaabaabaabaaaaaabd	730241
cgbaabaabaabaaaaaabd	730241
cabbaabaabaabaaaaaabd	730241
cabbaabaabaabaaaaaagd	1095362
cabbaabaabaabaaaaafad	1095362
cabbaabaabaabaaaaebad	1095362
cabbaabaabaabaaaeabad	1095362
cabbaabaabaabaaeaabad	1095362
cabbaabaabaabaeaaabad	1095362
cabbaabaabaabeaaaabad	1095362
cabbaabaabaafbaaaabad	1095362
cabbaabaabaebbaaaabad	1095362
cabbaabaabeabbaaaabad	1095362
cabbaabaafbabbaaaabad	1095362
cabbaabaebbabbaaaabad	1095362
cabbaabeabbabbaaaabad	1095362
cabbaafbabbabbaaaabad	1095362
cabbaebbabbabbaaaabad	1095362
cabbeabbabbabbaaaabad	1095362
cabfbabbabbabbaaaabad	1095362
cagababbabbabbaaaabad	1095362
cfaababbabbabbaaaabad	1095362
caaaababbabbabbaaaabad	1095362
caaaababbabbabbaaaabd	547681
caaaababbabbabbaaaagd	821522
caaaababbabbabbaaafad	821522
caaaababbabbabbaaebad	821522
caaaababbabbabbaeabad	821522
caaaababbabbabbeaabad	821522
caaaababbabbabfbaabad	821522
caaaababbabbagabaabad	821522
caaaababbabbfaabaabad	821522
caaaababbabgaaabaabad	821522
caaaababbagbaaabaabad	821522
caaaababbfabaaabaabad	821522
caaaababgaabaaabaabad	821522
caaaabagbaabaaabaabad	821522
caaaabfabaabaaabaabad	821522
caaaagaabaabaaabaabad	821522
caaafaaabaabaaabaabad	821522
caaebaaabaabaaabaabad	821522
caeabaaabaabaaabaabad	821522
ceaabaaabaabaaabaabad	821522
cbaabaaabaabaaabaabad	821522
cbaabaaabaabaaabaabd	410761
cbaabaaabaabaaabaagd	616142
cbaabaaabaabaaabafad	616142
cbaabaaabaabaaabebad	616142
cbaabaaabaabaaafbbad	616142
cbaabaaabaabaaebbbad	616142
cbaabaaabaabaeabbbad	616142
cbaabaaabaabeaabbbad	616142
cbaabaaabaafbaabbbad	616142
cbaabaaabaebbaabbbad	616142
cbaabaaabeabbaabbbad	616142
cbaabaaafbabbaabbbad	616142
cbaabaaebbabbaabbbad	616142
cbaabaeabbabbaabbbad	616142
cbaabeaabbabbaabbbad	616142
cbaafbaabbabbaabbbad	616142
cbaebbaabbabbaabbbad	616142
cbeabbaabbabbaabbbad	616142
cfbabbaabbabbaabbbad	616142
caababbaabbabbaabbbad	616142
caababbaabbabbaabbbd	308071
caababbaabbabbaabbgd	462107
caababbaabbabbaabgbd	462107
caababbaabbabbaagbbd	462107
caababbaabbabbafabbd	462107
caababbaabbabbebabbd	462107
caababbaabbabfbbabbd	462107
caababbaabbagabbabbd	462107
caababbaabbfaabbabbd	462107
caababbaabgaaabbabbd	462107
caababbaagbaaabbabbd	462107
caababbafabaaabbabbd	462107
caababbebabaaabbabbd	462107
caababfbbabaaabbabbd	462107
caabagabbabaaabbabbd	462107
caabfaabbabaaabbabbd	462107
caagaaabbabaaabbabbd	462107
cafaaaabbabaaabbabbd	462107
cebaaaabbabaaabbabbd	462107
cbbaaaabbabaaabbabbd	462107
cbbaaaabbabaaabbabgd	693161
cbbaaaabbabaaabbagbd	693161
cbbaaaabbabaaabbfabd	693161
cbbaaaabbabaaabgaabd	693161
cbbaaaabbabaaagbaabd	693161
cbbaaaabbabaafabaabd	693161
cbbaaaabbabaebabaabd	693161
cbbaaaabbabeababaabd	693161
cbbaaaabbafbababaabd	693161
cbbaaaabbebbababaabd	693161
cbbaaaabfbbbababaabd	693161
cbbaaaagabbbababaabd	693161
cbbaaafaabbbababaabd	693161
cbbaaebaabbbababaabd	693161
cbbaeabaabbbababaabd	693161
cbbeaabaabbbababaabd	693161
cbfbaabaabbbababaabd	693161
cgabaabaabbbababaabd	693161
cababaabaabbbababaabd	693161
cababaabaabbbababaagd	1039742
cababaabaabbbababafad	1039742
cababaabaabbbababebad	1039742
cababaabaabbbabafbbad	1039742
cababaabaabbbabebbbad	1039742
cababaabaabbbafbbbbad	1039742
cababaabaabbbebbbbbad	1039742
cababaabaabbfbbbbbbad	1039742
cababaabaabgabbbbbbad	1039742
cababaabaagbabbbbbbad	1039742
cababaabafababbbbbbad	1039742
cababaabebababbbbbbad	1039742
cababaafbbababbbbbbad	1039742
cababaebbbababbbbbbad	1039742
cababeabbbababbbbbbad	1039742
cabafbabbbababbbbbbad	1039742
cabebbabbbababbbbbbad	1039742
cafbbbabbbababbbbbbad	1039742
cebbbbabbbababbbbbbad	1039742
cbbbbbabbbababbbbbbad	1039742
cbbbbbabbbababbbbbbd	519871
cbbbbbabbbababbbbbgd	779807
cbbbbbabbbababbbbgbd	779807
cbbbbbabbbababbbgbbd	779807
cbbbbbabbbababbgbbbd	779807
cbbbbbabbbababgbbbbd	779807
cbbbbbabbbabagbbbbbd	779807
cbbbbbabbbabfabbbbbd	779807
cbbbbbabbbagaabbbbbd	779807
cbbbbbabbbfaaabbbbbd	779807
cbbbbbabbgaaaabbbbbd	779807
cbbbbbabgbaaaabbbbbd	779807
cbbbbbagbbaaaabbbbbd	779807
cbbbbbfabbaaaabbbbbd	779807
cbbbbgaabbaaaabbbbbd	779807
cbbbgbaabbaaaabbbbbd	779807
cbbgbbaabbaaaabbbbbd	779807
cbgbbbaabbaaaabbbbbd	779807
cgbbbbaabbaaaabbbbbd	779807
cabbbbbaabbaaaabbbbbd	779807
cabbbbbaabbaaaabbbbgd	1169711
cabbbbbaabbaaaabbbgbd	1169711
cabbbbbaabbaaaabbgbbd	1169711
cabbbbbaabbaaaabgbbbd	1169711
cabbbbbaabbaaaagbbbbd	1169711
cabbbbbaabbaaafabbbbd	1169711
cabbbbbaabbaaebabbbbd	1169711
cabbbbbaabbaeababbbbd	1169711
cabbbbbaabbeaababbbbd	1169711
cabbbbbaabfbaababbbbd	1169711
cabbbbbaagabaababbbbd	1169711
cabbbbbafaabaababbbbd	1169711
cabbbbbebaabaababbbbd	1169711
cabbbbfbbaabaababbbbd	1169711
cabbbgabbaabaababbbbd	1169711
cabbgbabbaabaababbbbd	1169711
cabgbbabbaabaababbbbd	1169711
cagbbbabbaabaababbbbd	1169711
cfabbbabbaabaababbbbd	1169711
caaabbbabbaabaababbbbd	1169711
caaabbbabbaabaababbbgd	1754567
caaabbbabbaabaababbgbd	1754567
caaabbbabbaabaababgbbd	1754567
caaabbbabbaabaabagbbbd	1754567
caaabbbabbaabaabfabbbd	1754567
caaabbbabbaabaagaabbbd	1754567
caaabbbabbaabafaaabbbd	1754567
caaabbbabbaabebaaabbbd	1754567
caaabbbabbaafbbaaabbbd	1754567
caaabbbabbaebbbaaabbbd	1754567
caaabbbabbeabbbaaabbbd	1754567
caaabbbabfbabbbaaabbbd	1754567
caaabbbagababbbaaabbbd	1754567
caaabbbfaababbbaaabbbd	1754567
caaabbgaaababbbaaabbbd	1754567
caaabgbaaababbbaaabbbd	1754567
caaagbbaaababbbaaabbbd	1754567
caafabbaaababbbaaabbbd	1754567
caebabbaaababbbaaabbbd	1754567
ceababbaaababbbaaabbbd	1754567
cbababbaaababbbaaabbbd	1754567
cbababbaaababbbaaabbgd	2631851
cbababbaaababbbaaabgbd	2631851
cbababbaaababbbaaagbbd	2631851
cbababbaaababbbaafabbd	2631851
cbababbaaababbbaebabbd	2631851
cbababbaaababbbeababbd	2631851
cbababbaaababbfbababbd	2631851
cbababbaaababgabababbd	2631851
cbababbaaabagbabababbd	2631851
cbababbaaabfababababbd	2631851
cbababbaaagaababababbd	2631851
cbababbaafaaababababbd	2631851
cbababbaebaaababababbd	2631851
cbababbeabaaababababbd	2631851
cbababfbabaaababababbd	2631851
cbabagababaaababababbd	2631851
cbabfaababaaababababbd	2631851
cbagaaababaaababababbd	2631851
cbfaaaababaaababababbd	2631851
cgaaaaababaaababababbd	2631851
cabaaaaababaaababababbd	2631851
cabaaaaababaaababababgd	3947777
cabaaaaababaaabababagbd	3947777
