"Input number 268549803 with intial rewrite term caaaaaaaaaaabbabbbbbababababbd
Generated final number 1 with final rewrite term cd
Number of steps: 10492  Number of array doubles: 1"
Term	Number
caaaaaaaaaaabbabbbbbababababgd	402824705
caaaaaaaaaaabbabbbbbabababagbd	402824705
caaaaaaaaaaabbabbbbbabababfabd	402824705
caaaaaaaaaaabbabbbbbababagaabd	402824705
caaaaaaaaaaabbabbbbbababfaaabd	402824705
caaaaaaaaaaabbabbbbbabagaaaabd	402824705
caaaaaaaaaaabbabbbbbabfaaaaabd	402824705
caaaaaaaaaaabbabbbbbagaaaaaabd	402824705
caaaaaaaaaaabbabbbbbfaaaaaaabd	402824705
caaaaaaaaaaabbabbbbgaaaaaaaabd	402824705
caaaaaaaaaaabbabbbgbaaaaaaaabd	402824705
caaaaaaaaaaabbabbgbbaaaaaaaabd	402824705
caaaaaaaaaaabbabgbbbaaaaaaaabd	402824705
caaaaaaaaaaabbagbbbbaaaaaaaabd	402824705
caaaaaaaaaaabbfabbbbaaaaaaaabd	402824705
caaaaaaaaaaabgaabbbbaaaaaaaabd	402824705
caaaaaaaaaaagbaabbbbaaaaaaaabd	402824705
caaaaaaaaaafabaabbbbaaaaaaaabd	402824705
caaaaaaaaaebabaabbbbaaaaaaaabd	402824705
caaaaaaaaeababaabbbbaaaaaaaabd	402824705
caaaaaaaeaababaabbbbaaaaaaaabd	402824705
caaaaaaeaaababaabbbbaaaaaaaabd	402824705
caaaaaeaaaababaabbbbaaaaaaaabd	402824705
caaaaeaaaaababaabbbbaaaaaaaabd	402824705
caaaeaaaaaababaabbbbaaaaaaaabd	402824705
caaeaaaaaaababaabbbbaaaaaaaabd	402824705
caeaaaaaaaababaabbbbaaaaaaaabd	402824705
ceaaaaaaaaababaabbbbaaaaaaaabd	402824705
cbaaaaaaaaababaabbbbaaaaaaaabd	402824705
cbaaaaaaaaababaabbbbaaaaaaaagd	604237058
cbaaaaaaaaababaabbbbaaaaaaafad	604237058
cbaaaaaaaaababaabbbbaaaaaaebad	604237058
cbaaaaaaaaababaabbbbaaaaaeabad	604237058
cbaaaaaaaaababaabbbbaaaaeaabad	604237058
cbaaaaaaaaababaabbbbaaaeaaabad	604237058
cbaaaaaaaaababaabbbbaaeaaaabad	604237058
cbaaaaaaaaababaabbbbaeaaaaabad	604237058
cbaaaaaaaaababaabbbbeaaaaaabad	604237058
cbaaaaaaaaababaabbbfbaaaaaabad	604237058
cbaaaaaaaaababaabbgabaaaaaabad	604237058
cbaaaaaaaaababaabgbabaaaaaabad	604237058
cbaaaaaaaaababaagbbabaaaaaabad	604237058
cbaaaaaaaaababafabbabaaaaaabad	604237058
cbaaaaaaaaababebabbabaaaaaabad	604237058
cbaaaaaaaaabafbbabbabaaaaaabad	604237058
cbaaaaaaaaabebbbabbabaaaaaabad	604237058
cbaaaaaaaaafbbbbabbabaaaaaabad	604237058
cbaaaaaaaaebbbbbabbabaaaaaabad	604237058
cbaaaaaaaeabbbbbabbabaaaaaabad	604237058
cbaaaaaaeaabbbbbabbabaaaaaabad	604237058
cbaaaaaeaaabbbbbabbabaaaaaabad	604237058
cbaaaaeaaaabbbbbabbabaaaaaabad	604237058
cbaaaeaaaaabbbbbabbabaaaaaabad	604237058
cbaaeaaaaaabbbbbabbabaaaaaabad	604237058
cbaeaaaaaaabbbbbabbabaaaaaabad	604237058
cbeaaaaaaaabbbbbabbabaaaaaabad	604237058
cfbaaaaaaaabbbbbabbabaaaaaabad	604237058
caabaaaaaaaabbbbbabbabaaaaaabad	604237058
caabaaaaaaaabbbbbabbabaaaaaabd	302118529
caabaaaaaaaabbbbbabbabaaaaaagd	453177794
caabaaaaaaaabbbbbabbabaaaaafad	453177794
caabaaaaaaaabbbbbabbabaaaaebad	453177794
caabaaaaaaaabbbbbabbabaaaeabad	453177794
caabaaaaaaaabbbbbabbabaaeaabad	453177794
caabaaaaaaaabbbbbabbabaeaaabad	453177794
caabaaaaaaaabbbbbabbabeaaaabad	453177794
caabaaaaaaaabbbbbabbafbaaaabad	453177794
caabaaaaaaaabbbbbabbebbaaaabad	453177794
caabaaaaaaaabbbbbabfbbbaaaabad	453177794
caabaaaaaaaabbbbbagabbbaaaabad	453177794
caabaaaaaaaabbbbbfaabbbaaaabad	453177794
caabaaaaaaaabbbbgaaabbbaaaabad	453177794
caabaaaaaaaabbbgbaaabbbaaaabad	453177794
caabaaaaaaaabbgbbaaabbbaaaabad	453177794
caabaaaaaaaabgbbbaaabbbaaaabad	453177794
caabaaaaaaaagbbbbaaabbbaaaabad	453177794
caabaaaaaaafabbbbaaabbbaaaabad	453177794
caabaaaaaaebabbbbaaabbbaaaabad	453177794
caabaaaaaeababbbbaaabbbaaaabad	453177794
caabaaaaeaababbbbaaabbbaaaabad	453177794
caabaaaeaaababbbbaaabbbaaaabad	453177794
caabaaeaaaababbbbaaabbbaaaabad	453177794
caabaeaaaaababbbbaaabbbaaaabad	453177794
caabeaaaaaababbbbaaabbbaaaabad	453177794
caafbaaaaaababbbbaaabbbaaaabad	453177794
caebbaaaaaababbbbaaabbbaaaabad	453177794
ceabbaaaaaababbbbaaabbbaaaabad	453177794
cbabbaaaaaababbbbaaabbbaaaabad	453177794
cbabbaaaaaababbbbaaabbbaaaabd	226588897
cbabbaaaaaababbbbaaabbbaaaagd	339883346
cbabbaaaaaababbbbaaabbbaaafad	339883346
cbabbaaaaaababbbbaaabbbaaebad	339883346
cbabbaaaaaababbbbaaabbbaeabad	339883346
cbabbaaaaaababbbbaaabbbeaabad	339883346
cbabbaaaaaababbbbaaabbfbaabad	339883346
cbabbaaaaaababbbbaaabgabaabad	339883346
cbabbaaaaaababbbbaaagbabaabad	339883346
cbabbaaaaaababbbbaafababaabad	339883346
cbabbaaaaaababbbbaebababaabad	339883346
cbabbaaaaaababbbbeabababaabad	339883346
cbabbaaaaaababbbfbabababaabad	339883346
cbabbaaaaaababbgababababaabad	339883346
cbabbaaaaaababgbababababaabad	339883346
cbabbaaaaaabagbbababababaabad	339883346
cbabbaaaaaabfabbababababaabad	339883346
cbabbaaaaaagaabbababababaabad	339883346
cbabbaaaaafaaabbababababaabad	339883346
cbabbaaaaebaaabbababababaabad	339883346
cbabbaaaeabaaabbababababaabad	339883346
cbabbaaeaabaaabbababababaabad	339883346
cbabbaeaaabaaabbababababaabad	339883346
cbabbeaaaabaaabbababababaabad	339883346
cbabfbaaaabaaabbababababaabad	339883346
cbagabaaaabaaabbababababaabad	339883346
cbfaabaaaabaaabbababababaabad	339883346
cgaaabaaaabaaabbababababaabad	339883346
cabaaabaaaabaaabbababababaabad	339883346
cabaaabaaaabaaabbababababaabd	169941673
cabaaabaaaabaaabbababababaagd	254912510
cabaaabaaaabaaabbababababafad	254912510
cabaaabaaaabaaabbababababebad	254912510
cabaaabaaaabaaabbabababafbbad	254912510
cabaaabaaaabaaabbabababebbbad	254912510
cabaaabaaaabaaabbababafbbbbad	254912510
cabaaabaaaabaaabbababebbbbbad	254912510
cabaaabaaaabaaabbabafbbbbbbad	254912510
cabaaabaaaabaaabbabebbbbbbbad	254912510
cabaaabaaaabaaabbafbbbbbbbbad	254912510
cabaaabaaaabaaabbebbbbbbbbbad	254912510
cabaaabaaaabaaabfbbbbbbbbbbad	254912510
cabaaabaaaabaaagabbbbbbbbbbad	254912510
cabaaabaaaabaafaabbbbbbbbbbad	254912510
cabaaabaaaabaebaabbbbbbbbbbad	254912510
cabaaabaaaabeabaabbbbbbbbbbad	254912510
cabaaabaaaafbabaabbbbbbbbbbad	254912510
cabaaabaaaebbabaabbbbbbbbbbad	254912510
cabaaabaaeabbabaabbbbbbbbbbad	254912510
cabaaabaeaabbabaabbbbbbbbbbad	254912510
cabaaabeaaabbabaabbbbbbbbbbad	254912510
cabaaafbaaabbabaabbbbbbbbbbad	254912510
cabaaebbaaabbabaabbbbbbbbbbad	254912510
cabaeabbaaabbabaabbbbbbbbbbad	254912510
cabeaabbaaabbabaabbbbbbbbbbad	254912510
cafbaabbaaabbabaabbbbbbbbbbad	254912510
cebbaabbaaabbabaabbbbbbbbbbad	254912510
