"Input number 3542887 with intial rewrite term cbabbaaaaabbbbabbaabbbd
Generated final number 1 with final rewrite term cd
Number of steps: 4952  Number of array doubles: 1"
Term	Number
cbabbaaaaabbbbabbaabbgd	5314331
cbabbaaaaabbbbabbaabgbd	5314331
cbabbaaaaabbbbabbaagbbd	5314331
cbabbaaaaabbbbabbafabbd	5314331
cbabbaaaaabbbbabbebabbd	5314331
cbabbaaaaabbbbabfbbabbd	5314331
cbabbaaaaabbbbagabbabbd	5314331
cbabbaaaaabbbbfaabbabbd	5314331
cbabbaaaaabbbgaaabbabbd	5314331
cbabbaaaaabbgbaaabbabbd	5314331
cbabbaaaaabgbbaaabbabbd	5314331
cbabbaaaaagbbbaaabbabbd	5314331
cbabbaaaafabbbaaabbabbd	5314331
cbabbaaaebabbbaaabbabbd	5314331
cbabbaaeababbbaaabbabbd	5314331
cbabbaeaababbbaaabbabbd	5314331
cbabbeaaababbbaaabbabbd	5314331
cbabfbaaababbbaaabbabbd	5314331
cbagabaaababbbaaabbabbd	5314331
cbfaabaaababbbaaabbabbd	5314331
cgaaabaaababbbaaabbabbd	5314331
cabaaabaaababbbaaabbabbd	5314331
cabaaabaaababbbaaabbabgd	7971497
cabaaabaaababbbaaabbagbd	7971497
cabaaabaaababbbaaabbfabd	7971497
cabaaabaaababbbaaabgaabd	7971497
cabaaabaaababbbaaagbaabd	7971497
cabaaabaaababbbaafabaabd	7971497
cabaaabaaababbbaebabaabd	7971497
cabaaabaaababbbeababaabd	7971497
cabaaabaaababbfbababaabd	7971497
cabaaabaaababgabababaabd	7971497
cabaaabaaabagbabababaabd	7971497
cabaaabaaabfababababaabd	7971497
cabaaabaaagaababababaabd	7971497
cabaaabaafaaababababaabd	7971497
cabaaabaebaaababababaabd	7971497
cabaaabeabaaababababaabd	7971497
cabaaafbabaaababababaabd	7971497
cabaaebbabaaababababaabd	7971497
cabaeabbabaaababababaabd	7971497
cabeaabbabaaababababaabd	7971497
cafbaabbabaaababababaabd	7971497
cebbaabbabaaababababaabd	7971497
cbbbaabbabaaababababaabd	7971497
cbbbaabbabaaababababaagd	11957246
cbbbaabbabaaababababafad	11957246
cbbbaabbabaaababababebad	11957246
cbbbaabbabaaabababafbbad	11957246
cbbbaabbabaaabababebbbad	11957246
cbbbaabbabaaababafbbbbad	11957246
cbbbaabbabaaababebbbbbad	11957246
cbbbaabbabaaabafbbbbbbad	11957246
cbbbaabbabaaabebbbbbbbad	11957246
cbbbaabbabaaafbbbbbbbbad	11957246
cbbbaabbabaaebbbbbbbbbad	11957246
cbbbaabbabaeabbbbbbbbbad	11957246
cbbbaabbabeaabbbbbbbbbad	11957246
cbbbaabbafbaabbbbbbbbbad	11957246
cbbbaabbebbaabbbbbbbbbad	11957246
cbbbaabfbbbaabbbbbbbbbad	11957246
cbbbaagabbbaabbbbbbbbbad	11957246
cbbbafaabbbaabbbbbbbbbad	11957246
cbbbebaabbbaabbbbbbbbbad	11957246
cbbfbbaabbbaabbbbbbbbbad	11957246
cbgabbaabbbaabbbbbbbbbad	11957246
cgbabbaabbbaabbbbbbbbbad	11957246
cabbabbaabbbaabbbbbbbbbad	11957246
cabbabbaabbbaabbbbbbbbbd	5978623
cabbabbaabbbaabbbbbbbbgd	8967935
cabbabbaabbbaabbbbbbbgbd	8967935
cabbabbaabbbaabbbbbbgbbd	8967935
cabbabbaabbbaabbbbbgbbbd	8967935
cabbabbaabbbaabbbbgbbbbd	8967935
cabbabbaabbbaabbbgbbbbbd	8967935
cabbabbaabbbaabbgbbbbbbd	8967935
cabbabbaabbbaabgbbbbbbbd	8967935
cabbabbaabbbaagbbbbbbbbd	8967935
cabbabbaabbbafabbbbbbbbd	8967935
cabbabbaabbbebabbbbbbbbd	8967935
cabbabbaabbfbbabbbbbbbbd	8967935
cabbabbaabgabbabbbbbbbbd	8967935
cabbabbaagbabbabbbbbbbbd	8967935
cabbabbafababbabbbbbbbbd	8967935
cabbabbebababbabbbbbbbbd	8967935
cabbabfbbababbabbbbbbbbd	8967935
cabbagabbababbabbbbbbbbd	8967935
cabbfaabbababbabbbbbbbbd	8967935
cabgaaabbababbabbbbbbbbd	8967935
cagbaaabbababbabbbbbbbbd	8967935
cfabaaabbababbabbbbbbbbd	8967935
caaabaaabbababbabbbbbbbbd	8967935
caaabaaabbababbabbbbbbbgd	13451903
caaabaaabbababbabbbbbbgbd	13451903
caaabaaabbababbabbbbbgbbd	13451903
caaabaaabbababbabbbbgbbbd	13451903
caaabaaabbababbabbbgbbbbd	13451903
caaabaaabbababbabbgbbbbbd	13451903
caaabaaabbababbabgbbbbbbd	13451903
caaabaaabbababbagbbbbbbbd	13451903
caaabaaabbababbfabbbbbbbd	13451903
caaabaaabbababgaabbbbbbbd	13451903
caaabaaabbabagbaabbbbbbbd	13451903
caaabaaabbabfabaabbbbbbbd	13451903
caaabaaabbagaabaabbbbbbbd	13451903
caaabaaabbfaaabaabbbbbbbd	13451903
caaabaaabgaaaabaabbbbbbbd	13451903
caaabaaagbaaaabaabbbbbbbd	13451903
caaabaafabaaaabaabbbbbbbd	13451903
caaabaebabaaaabaabbbbbbbd	13451903
caaabeababaaaabaabbbbbbbd	13451903
caaafbababaaaabaabbbbbbbd	13451903
caaebbababaaaabaabbbbbbbd	13451903
caeabbababaaaabaabbbbbbbd	13451903
ceaabbababaaaabaabbbbbbbd	13451903
cbaabbababaaaabaabbbbbbbd	13451903
cbaabbababaaaabaabbbbbbgd	20177855
cbaabbababaaaabaabbbbbgbd	20177855
cbaabbababaaaabaabbbbgbbd	20177855
cbaabbababaaaabaabbbgbbbd	20177855
cbaabbababaaaabaabbgbbbbd	20177855
cbaabbababaaaabaabgbbbbbd	20177855
cbaabbababaaaabaagbbbbbbd	20177855
cbaabbababaaaabafabbbbbbd	20177855
cbaabbababaaaabebabbbbbbd	20177855
cbaabbababaaaafbbabbbbbbd	20177855
cbaabbababaaaebbbabbbbbbd	20177855
cbaabbababaaeabbbabbbbbbd	20177855
cbaabbababaeaabbbabbbbbbd	20177855
cbaabbababeaaabbbabbbbbbd	20177855
cbaabbabafbaaabbbabbbbbbd	20177855
cbaabbabebbaaabbbabbbbbbd	20177855
cbaabbafbbbaaabbbabbbbbbd	20177855
cbaabbebbbbaaabbbabbbbbbd	20177855
cbaabfbbbbbaaabbbabbbbbbd	20177855
cbaagabbbbbaaabbbabbbbbbd	20177855
cbafaabbbbbaaabbbabbbbbbd	20177855
cbebaabbbbbaaabbbabbbbbbd	20177855
