"Input number 35655 with intial rewrite term caaababbabaaabbbd
Generated final number 1 with final rewrite term cd
Number of steps: 2144  Number of array doubles: 1"
Term	Number
caaababbabaaabbgd	53483
caaababbabaaabgbd	53483
caaababbabaaagbbd	53483
caaababbabaafabbd	53483
caaababbabaebabbd	53483
caaababbabeababbd	53483
caaababbafbababbd	53483
caaababbebbababbd	53483
caaababfbbbababbd	53483
caaabagabbbababbd	53483
caaabfaabbbababbd	53483
caaagaaabbbababbd	53483
caafaaaabbbababbd	53483
caebaaaabbbababbd	53483
ceabaaaabbbababbd	53483
cbabaaaabbbababbd	53483
cbabaaaabbbababgd	80225
cbabaaaabbbabagbd	80225
cbabaaaabbbabfabd	80225
cbabaaaabbbagaabd	80225
cbabaaaabbbfaaabd	80225
cbabaaaabbgaaaabd	80225
cbabaaaabgbaaaabd	80225
cbabaaaagbbaaaabd	80225
cbabaaafabbaaaabd	80225
cbabaaebabbaaaabd	80225
cbabaeababbaaaabd	80225
cbabeaababbaaaabd	80225
cbafbaababbaaaabd	80225
cbebbaababbaaaabd	80225
cfbbbaababbaaaabd	80225
caabbbaababbaaaabd	80225
caabbbaababbaaaagd	120338
caabbbaababbaaafad	120338
caabbbaababbaaebad	120338
caabbbaababbaeabad	120338
caabbbaababbeaabad	120338
caabbbaababfbaabad	120338
caabbbaabagabaabad	120338
caabbbaabfaabaabad	120338
caabbbaagaaabaabad	120338
caabbbafaaaabaabad	120338
caabbbebaaaabaabad	120338
caabbfbbaaaabaabad	120338
caabgabbaaaabaabad	120338
caagbabbaaaabaabad	120338
cafababbaaaabaabad	120338
cebababbaaaabaabad	120338
cbbababbaaaabaabad	120338
cbbababbaaaabaabd	60169
cbbababbaaaabaagd	90254
cbbababbaaaabafad	90254
cbbababbaaaabebad	90254
cbbababbaaaafbbad	90254
cbbababbaaaebbbad	90254
cbbababbaaeabbbad	90254
cbbababbaeaabbbad	90254
cbbababbeaaabbbad	90254
cbbababfbaaabbbad	90254
cbbabagabaaabbbad	90254
cbbabfaabaaabbbad	90254
cbbagaaabaaabbbad	90254
cbbfaaaabaaabbbad	90254
cbgaaaaabaaabbbad	90254
cgbaaaaabaaabbbad	90254
cabbaaaaabaaabbbad	90254
cabbaaaaabaaabbbd	45127
cabbaaaaabaaabbgd	67691
cabbaaaaabaaabgbd	67691
cabbaaaaabaaagbbd	67691
cabbaaaaabaafabbd	67691
cabbaaaaabaebabbd	67691
cabbaaaaabeababbd	67691
cabbaaaaafbababbd	67691
cabbaaaaebbababbd	67691
cabbaaaeabbababbd	67691
cabbaaeaabbababbd	67691
cabbaeaaabbababbd	67691
cabbeaaaabbababbd	67691
cabfbaaaabbababbd	67691
cagabaaaabbababbd	67691
cfaabaaaabbababbd	67691
caaaabaaaabbababbd	67691
caaaabaaaabbababgd	101537
caaaabaaaabbabagbd	101537
caaaabaaaabbabfabd	101537
caaaabaaaabbagaabd	101537
caaaabaaaabbfaaabd	101537
caaaabaaaabgaaaabd	101537
caaaabaaaagbaaaabd	101537
caaaabaaafabaaaabd	101537
caaaabaaebabaaaabd	101537
caaaabaeababaaaabd	101537
caaaabeaababaaaabd	101537
caaaafbaababaaaabd	101537
caaaebbaababaaaabd	101537
caaeabbaababaaaabd	101537
caeaabbaababaaaabd	101537
ceaaabbaababaaaabd	101537
cbaaabbaababaaaabd	101537
cbaaabbaababaaaagd	152306
cbaaabbaababaaafad	152306
cbaaabbaababaaebad	152306
cbaaabbaababaeabad	152306
cbaaabbaababeaabad	152306
cbaaabbaabafbaabad	152306
cbaaabbaabebbaabad	152306
cbaaabbaafbbbaabad	152306
cbaaabbaebbbbaabad	152306
cbaaabbeabbbbaabad	152306
cbaaabfbabbbbaabad	152306
cbaaagababbbbaabad	152306
cbaafaababbbbaabad	152306
cbaebaababbbbaabad	152306
cbeabaababbbbaabad	152306
cfbabaababbbbaabad	152306
caababaababbbbaabad	152306
caababaababbbbaabd	76153
caababaababbbbaagd	114230
caababaababbbbafad	114230
caababaababbbbebad	114230
caababaababbbfbbad	114230
caababaababbgabbad	114230
caababaababgbabbad	114230
caababaabagbbabbad	114230
caababaabfabbabbad	114230
caababaagaabbabbad	114230
caababafaaabbabbad	114230
caababebaaabbabbad	114230
caabafbbaaabbabbad	114230
caabebbbaaabbabbad	114230
caafbbbbaaabbabbad	114230
caebbbbbaaabbabbad	114230
ceabbbbbaaabbabbad	114230
cbabbbbbaaabbabbad	114230
cbabbbbbaaabbabbd	57115
cbabbbbbaaabbabgd	85673
cbabbbbbaaabbagbd	85673
cbabbbbbaaabbfabd	85673
cbabbbbbaaabgaabd	85673
cbabbbbbaaagbaabd	85673
cbabbbbbaafabaabd	85673
cbabbbbbaebabaabd	85673
cbabbbbbeababaabd	85673
cbabbbbfbababaabd	85673
cbabbbgabababaabd	85673
cbabbgbabababaabd	85673
cbabgbbabababaabd	85673
cbagbbbabababaabd	85673
cbfabbbabababaabd	85673
cgaabbbabababaabd	85673
cabaabbbabababaabd	85673
cabaabbbabababaagd	128510
cabaabbbabababafad	128510
cabaabbbabababebad	128510
cabaabbbababafbbad	128510
cabaabbbababebbbad	128510
cabaabbbabafbbbbad	128510
cabaabbbabebbbbbad	128510
cabaabbbafbbbbbbad	128510
cabaabbbebbbbbbbad	128510
cabaabbfbbbbbbbbad	128510
cabaabgabbbbbbbbad	128510
cabaagbabbbbbbbbad	128510
cabafababbbbbbbbad	128510
cabebababbbbbbbbad	128510
cafbbababbbbbbbbad	128510
cebbbababbbbbbbbad	128510
cbbbbababbbbbbbbad	128510
cbbbbababbbbbbbbd	64255
cbbbbababbbbbbbgd	96383
cbbbbababbbbbbgbd	96383
cbbbbababbbbbgbbd	96383
cbbbbababbbbgbbbd	96383
cbbbbababbbgbbbbd	96383
cbbbbababbgbbbbbd	96383
cbbbbababgbbbbbbd	96383
cbbbbabagbbbbbbbd	96383
cbbbbabfabbbbbbbd	96383
cbbbbagaabbbbbbbd	96383
cbbbbfaaabbbbbbbd	96383
cbbbgaaaabbbbbbbd	96383
cbbgbaaaabbbbbbbd	96383
cbgbbaaaabbbbbbbd	96383
cgbbbaaaabbbbbbbd	96383
cabbbbaaaabbbbbbbd	96383
cabbbbaaaabbbbbbgd	144575
cabbbbaaaabbbbbgbd	144575
cabbbbaaaabbbbgbbd	144575
cabbbbaaaabbbgbbbd	144575
cabbbbaaaabbgbbbbd	144575
cabbbbaaaabgbbbbbd	144575
cabbbbaaaagbbbbbbd	144575
cabbbbaaafabbbbbbd	144575
cabbbbaaebabbbbbbd	144575
cabbbbaeababbbbbbd	144575
cabbbbeaababbbbbbd	144575
cabbbfbaababbbbbbd	144575
cabbgabaababbbbbbd	144575
cabgbabaababbbbbbd	144575
cagbbabaababbbbbbd	144575
cfabbabaababbbbbbd	144575
caaabbabaababbbbbbd	144575
caaabbabaababbbbbgd	216863
caaabbabaababbbbgbd	216863
caaabbabaababbbgbbd	216863
caaabbabaababbgbbbd	216863
caaabbabaababgbbbbd	216863
caaabbabaabagbbbbbd	216863
caaabbabaabfabbbbbd	216863
caaabbabaagaabbbbbd	216863
caaabbabafaaabbbbbd	216863
caaabbabebaaabbbbbd	216863
caaabbafbbaaabbbbbd	216863
caaabbebbbaaabbbbbd	216863
caaabfbbbbaaabbbbbd	216863
caaagabbbbaaabbbbbd	216863
caafaabbbbaaabbbbbd	216863
caebaabbbbaaabbbbbd	216863
ceabaabbbbaaabbbbbd	216863
cbabaabbbbaaabbbbbd	216863
cbabaabbbbaaabbbbgd	325295
cbabaabbbbaaabbbgbd	325295
cbabaabbbbaaabbgbbd	325295
cbabaabbbbaaabgbbbd	325295
cbabaabbbbaaagbbbbd	325295
cbabaabbbbaafabbbbd	325295
cbabaabbbbaebabbbbd	325295
cbabaabbbbeababbbbd	325295
cbabaabbbfbababbbbd	325295
cbabaabbgabababbbbd	325295
cbabaabgbabababbbbd	325295
cbabaagbbabababbbbd	325295
cbabafabbabababbbbd	325295
cbabebabbabababbbbd	325295
cbafbbabbabababbbbd	325295
cbebbbabbabababbbbd	325295
cfbbbbabbabababbbbd	325295
caabbbbabbabababbbbd	325295
caabbbbabbabababbbgd	487943
caabbbbabbabababbgbd	487943
caabbbbabbabababgbbd	487943
caabbbbabbababagbbbd	487943
caabbbbabbababfabbbd	487943
caabbbbabbabagaabbbd	487943
caabbbbabbabfaaabbbd	487943
caabbbbabbagaaaabbbd	487943
caabbbbabbfaaaaabbbd	487943
caabbbbabgaaaaaabbbd	487943
caabbbbagbaaaaaabbbd	487943
caabbbbfabaaaaaabbbd	487943
caabbbgaabaaaaaabbbd	487943
caabbgbaabaaaaaabbbd	487943
caabgbbaabaaaaaabbbd	487943
caagbbbaabaaaaaabbbd	487943
cafabbbaabaaaaaabbbd	487943
cebabbbaabaaaaaabbbd	487943
cbbabbbaabaaaaaabbbd	487943
cbbabbbaabaaaaaabbgd	731915
cbbabbbaabaaaaaabgbd	731915
cbbabbbaabaaaaaagbbd	731915
cbbabbbaabaaaaafabbd	731915
cbbabbbaabaaaaebabbd	731915
cbbabbbaabaaaeababbd	731915
cbbabbbaabaaeaababbd	731915
cbbabbbaabaeaaababbd	731915
cbbabbbaabeaaaababbd	731915
cbbabbbaafbaaaababbd	731915
cbbabbbaebbaaaababbd	731915
cbbabbbeabbaaaababbd	731915
cbbabbfbabbaaaababbd	731915
cbbabgababbaaaababbd	731915
cbbagbababbaaaababbd	731915
cbbfabababbaaaababbd	731915
cbgaabababbaaaababbd	731915
cgbaabababbaaaababbd	731915
cabbaabababbaaaababbd	731915
cabbaabababbaaaababgd	1097873
cabbaabababbaaaabagbd	1097873
cabbaabababbaaaabfabd	1097873
cabbaabababbaaaagaabd	1097873
cabbaabababbaaafaaabd	1097873
cabbaabababbaaebaaabd	1097873
cabbaabababbaeabaaabd	1097873
cabbaabababbeaabaaabd	1097873
cabbaabababfbaabaaabd	1097873
cabbaababagabaabaaabd	1097873
cabbaababfaabaabaaabd	1097873
cabbaabagaaabaabaaabd	1097873
cabbaabfaaaabaabaaabd	1097873
cabbaagaaaaabaabaaabd	1097873
cabbafaaaaaabaabaaabd	1097873
cabbebaaaaaabaabaaabd	1097873
cabfbbaaaaaabaabaaabd	1097873
cagabbaaaaaabaabaaabd	1097873
cfaabbaaaaaabaabaaabd	1097873
caaaabbaaaaaabaabaaabd	1097873
caaaabbaaaaaabaabaaagd	1646810
caaaabbaaaaaabaabaafad	1646810
caaaabbaaaaaabaabaebad	1646810
caaaabbaaaaaabaabeabad	1646810
caaaabbaaaaaabaafbabad	1646810
caaaabbaaaaaabaebbabad	1646810
caaaabbaaaaaabeabbabad	1646810
caaaabbaaaaaafbabbabad	1646810
caaaabbaaaaaebbabbabad	1646810
caaaabbaaaaeabbabbabad	1646810
caaaabbaaaeaabbabbabad	1646810
caaaabbaaeaaabbabbabad	1646810
caaaabbaeaaaabbabbabad	1646810
caaaabbeaaaaabbabbabad	1646810
caaaabfbaaaaabbabbabad	1646810
caaaagabaaaaabbabbabad	1646810
caaafaabaaaaabbabbabad	1646810
caaebaabaaaaabbabbabad	1646810
caeabaabaaaaabbabbabad	1646810
ceaabaabaaaaabbabbabad	1646810
