"Input number 511935 with intial rewrite term cbbbbaabbbbbabbbbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 3047  Number of array doubles: 1"
Term	Number
cbbbbaabbbbbabbbbbgd	767903
cbbbbaabbbbbabbbbgbd	767903
cbbbbaabbbbbabbbgbbd	767903
cbbbbaabbbbbabbgbbbd	767903
cbbbbaabbbbbabgbbbbd	767903
cbbbbaabbbbbagbbbbbd	767903
cbbbbaabbbbbfabbbbbd	767903
cbbbbaabbbbgaabbbbbd	767903
cbbbbaabbbgbaabbbbbd	767903
cbbbbaabbgbbaabbbbbd	767903
cbbbbaabgbbbaabbbbbd	767903
cbbbbaagbbbbaabbbbbd	767903
cbbbbafabbbbaabbbbbd	767903
cbbbbebabbbbaabbbbbd	767903
cbbbfbbabbbbaabbbbbd	767903
cbbgabbabbbbaabbbbbd	767903
cbgbabbabbbbaabbbbbd	767903
cgbbabbabbbbaabbbbbd	767903
cabbbabbabbbbaabbbbbd	767903
cabbbabbabbbbaabbbbgd	1151855
cabbbabbabbbbaabbbgbd	1151855
cabbbabbabbbbaabbgbbd	1151855
cabbbabbabbbbaabgbbbd	1151855
cabbbabbabbbbaagbbbbd	1151855
cabbbabbabbbbafabbbbd	1151855
cabbbabbabbbbebabbbbd	1151855
cabbbabbabbbfbbabbbbd	1151855
cabbbabbabbgabbabbbbd	1151855
cabbbabbabgbabbabbbbd	1151855
cabbbabbagbbabbabbbbd	1151855
cabbbabbfabbabbabbbbd	1151855
cabbbabgaabbabbabbbbd	1151855
cabbbagbaabbabbabbbbd	1151855
cabbbfabaabbabbabbbbd	1151855
cabbgaabaabbabbabbbbd	1151855
cabgbaabaabbabbabbbbd	1151855
cagbbaabaabbabbabbbbd	1151855
cfabbaabaabbabbabbbbd	1151855
caaabbaabaabbabbabbbbd	1151855
caaabbaabaabbabbabbbgd	1727783
caaabbaabaabbabbabbgbd	1727783
caaabbaabaabbabbabgbbd	1727783
caaabbaabaabbabbagbbbd	1727783
caaabbaabaabbabbfabbbd	1727783
caaabbaabaabbabgaabbbd	1727783
caaabbaabaabbagbaabbbd	1727783
caaabbaabaabbfabaabbbd	1727783
caaabbaabaabgaabaabbbd	1727783
caaabbaabaagbaabaabbbd	1727783
caaabbaabafabaabaabbbd	1727783
caaabbaabebabaabaabbbd	1727783
caaabbaafbbabaabaabbbd	1727783
caaabbaebbbabaabaabbbd	1727783
caaabbeabbbabaabaabbbd	1727783
caaabfbabbbabaabaabbbd	1727783
caaagababbbabaabaabbbd	1727783
caafaababbbabaabaabbbd	1727783
caebaababbbabaabaabbbd	1727783
ceabaababbbabaabaabbbd	1727783
cbabaababbbabaabaabbbd	1727783
cbabaababbbabaabaabbgd	2591675
cbabaababbbabaabaabgbd	2591675
cbabaababbbabaabaagbbd	2591675
cbabaababbbabaabafabbd	2591675
cbabaababbbabaabebabbd	2591675
cbabaababbbabaafbbabbd	2591675
cbabaababbbabaebbbabbd	2591675
cbabaababbbabeabbbabbd	2591675
cbabaababbbafbabbbabbd	2591675
cbabaababbbebbabbbabbd	2591675
cbabaababbfbbbabbbabbd	2591675
cbabaababgabbbabbbabbd	2591675
cbabaabagbabbbabbbabbd	2591675
cbabaabfababbbabbbabbd	2591675
cbabaagaababbbabbbabbd	2591675
cbabafaaababbbabbbabbd	2591675
cbabebaaababbbabbbabbd	2591675
cbafbbaaababbbabbbabbd	2591675
cbebbbaaababbbabbbabbd	2591675
cfbbbbaaababbbabbbabbd	2591675
caabbbbaaababbbabbbabbd	2591675
caabbbbaaababbbabbbabgd	3887513
caabbbbaaababbbabbbagbd	3887513
caabbbbaaababbbabbbfabd	3887513
caabbbbaaababbbabbgaabd	3887513
caabbbbaaababbbabgbaabd	3887513
caabbbbaaababbbagbbaabd	3887513
caabbbbaaababbbfabbaabd	3887513
caabbbbaaababbgaabbaabd	3887513
caabbbbaaababgbaabbaabd	3887513
caabbbbaaabagbbaabbaabd	3887513
caabbbbaaabfabbaabbaabd	3887513
caabbbbaaagaabbaabbaabd	3887513
caabbbbaafaaabbaabbaabd	3887513
caabbbbaebaaabbaabbaabd	3887513
caabbbbeabaaabbaabbaabd	3887513
