"Input number 6171 with intial rewrite term cbaaaaaabbabbd
Generated final number 1 with final rewrite term cd
Number of steps: 1192  Number of array doubles: 1"
Term	Number
cbaaaaaabbabgd	9257
cbaaaaaabbagbd	9257
cbaaaaaabbfabd	9257
cbaaaaaabgaabd	9257
cbaaaaaagbaabd	9257
cbaaaaafabaabd	9257
cbaaaaebabaabd	9257
cbaaaeababaabd	9257
cbaaeaababaabd	9257
cbaeaaababaabd	9257
cbeaaaababaabd	9257
cfbaaaababaabd	9257
caabaaaababaabd	9257
caabaaaababaagd	13886
caabaaaababafad	13886
caabaaaababebad	13886
caabaaaabafbbad	13886
caabaaaabebbbad	13886
caabaaaafbbbbad	13886
caabaaaebbbbbad	13886
caabaaeabbbbbad	13886
caabaeaabbbbbad	13886
caabeaaabbbbbad	13886
caafbaaabbbbbad	13886
caebbaaabbbbbad	13886
ceabbaaabbbbbad	13886
cbabbaaabbbbbad	13886
cbabbaaabbbbbd	6943
cbabbaaabbbbgd	10415
cbabbaaabbbgbd	10415
cbabbaaabbgbbd	10415
cbabbaaabgbbbd	10415
cbabbaaagbbbbd	10415
cbabbaafabbbbd	10415
cbabbaebabbbbd	10415
cbabbeababbbbd	10415
cbabfbababbbbd	10415
cbagabababbbbd	10415
cbfaabababbbbd	10415
cgaaabababbbbd	10415
cabaaabababbbbd	10415
cabaaabababbbgd	15623
cabaaabababbgbd	15623
cabaaabababgbbd	15623
cabaaababagbbbd	15623
cabaaababfabbbd	15623
cabaaabagaabbbd	15623
cabaaabfaaabbbd	15623
cabaaagaaaabbbd	15623
cabaafaaaaabbbd	15623
cabaebaaaaabbbd	15623
cabeabaaaaabbbd	15623
cafbabaaaaabbbd	15623
cebbabaaaaabbbd	15623
cbbbabaaaaabbbd	15623
cbbbabaaaaabbgd	23435
cbbbabaaaaabgbd	23435
cbbbabaaaaagbbd	23435
cbbbabaaaafabbd	23435
cbbbabaaaebabbd	23435
cbbbabaaeababbd	23435
cbbbabaeaababbd	23435
cbbbabeaaababbd	23435
cbbbafbaaababbd	23435
cbbbebbaaababbd	23435
cbbfbbbaaababbd	23435
cbgabbbaaababbd	23435
cgbabbbaaababbd	23435
cabbabbbaaababbd	23435
cabbabbbaaababgd	35153
cabbabbbaaabagbd	35153
cabbabbbaaabfabd	35153
cabbabbbaaagaabd	35153
cabbabbbaafaaabd	35153
cabbabbbaebaaabd	35153
cabbabbbeabaaabd	35153
cabbabbfbabaaabd	35153
cabbabgababaaabd	35153
cabbagbababaaabd	35153
cabbfabababaaabd	35153
cabgaabababaaabd	35153
cagbaabababaaabd	35153
cfabaabababaaabd	35153
caaabaabababaaabd	35153
caaabaabababaaagd	52730
caaabaabababaafad	52730
caaabaabababaebad	52730
caaabaabababeabad	52730
caaabaababafbabad	52730
caaabaababebbabad	52730
caaabaabafbbbabad	52730
caaabaabebbbbabad	52730
caaabaafbbbbbabad	52730
caaabaebbbbbbabad	52730
caaabeabbbbbbabad	52730
caaafbabbbbbbabad	52730
caaebbabbbbbbabad	52730
caeabbabbbbbbabad	52730
ceaabbabbbbbbabad	52730
cbaabbabbbbbbabad	52730
cbaabbabbbbbbabd	26365
cbaabbabbbbbbagd	39548
cbaabbabbbbbbfad	39548
cbaabbabbbbbgaad	39548
cbaabbabbbbgbaad	39548
cbaabbabbbgbbaad	39548
cbaabbabbgbbbaad	39548
cbaabbabgbbbbaad	39548
cbaabbagbbbbbaad	39548
cbaabbfabbbbbaad	39548
cbaabgaabbbbbaad	39548
cbaagbaabbbbbaad	39548
cbafabaabbbbbaad	39548
cbebabaabbbbbaad	39548
cfbbabaabbbbbaad	39548
caabbabaabbbbbaad	39548
caabbabaabbbbbad	19774
caabbabaabbbbbd	9887
caabbabaabbbbgd	14831
caabbabaabbbgbd	14831
caabbabaabbgbbd	14831
caabbabaabgbbbd	14831
caabbabaagbbbbd	14831
caabbabafabbbbd	14831
caabbabebabbbbd	14831
caabbafbbabbbbd	14831
caabbebbbabbbbd	14831
caabfbbbbabbbbd	14831
caagabbbbabbbbd	14831
cafaabbbbabbbbd	14831
cebaabbbbabbbbd	14831
cbbaabbbbabbbbd	14831
cbbaabbbbabbbgd	22247
cbbaabbbbabbgbd	22247
cbbaabbbbabgbbd	22247
cbbaabbbbagbbbd	22247
cbbaabbbbfabbbd	22247
cbbaabbbgaabbbd	22247
cbbaabbgbaabbbd	22247
cbbaabgbbaabbbd	22247
cbbaagbbbaabbbd	22247
cbbafabbbaabbbd	22247
cbbebabbbaabbbd	22247
cbfbbabbbaabbbd	22247
cgabbabbbaabbbd	22247
cababbabbbaabbbd	22247
cababbabbbaabbgd	33371
cababbabbbaabgbd	33371
cababbabbbaagbbd	33371
