"Input number 1161 with intial rewrite term caabaaabaabd
Generated final number 3 with final rewrite term cbd
Number of steps: 575  Number of array doubles: 1"
Term	Number
caabaaabebd	871
caabaaafbbd	871
caabaaebbbd	871
caabaeabbbd	871
caabeaabbbd	871
caafbaabbbd	871
caebbaabbbd	871
ceabbaabbbd	871
cbabbaabbbd	871
cbabbaabgbd	1307
cbabbaagbbd	1307
cbabbafabbd	1307
cbabbebabbd	1307
cbabfbbabbd	1307
cbagabbabbd	1307
cbfaabbabbd	1307
cgaaabbabbd	1307
cabaaabbabbd	1307
cabaaabbagbd	1961
cabaaabbfabd	1961
cabaaabgaabd	1961
cabaaagbaabd	1961
cabaafabaabd	1961
cabaebabaabd	1961
cabeababaabd	1961
cafbababaabd	1961
cebbababaabd	1961
cbbbababaabd	1961
cbbbababebd	1471
cbbbabafbbd	1471
cbbbabebbbd	1471
cbbbafbbbbd	1471
cbbbebbbbbd	1471
cbbfbbbbbbd	1471
cbgabbbbbbd	1471
cgbabbbbbbd	1471
cabbabbbbbbd	1471
cabbabbbbgbd	2207
cabbabbbgbbd	2207
cabbabbgbbbd	2207
cabbabgbbbbd	2207
cabbagbbbbbd	2207
cabbfabbbbbd	2207
cabgaabbbbbd	2207
cagbaabbbbbd	2207
cfabaabbbbbd	2207
caaabaabbbbbd	2207
caaabaabbbgbd	3311
caaabaabbgbbd	3311
caaabaabgbbbd	3311
caaabaagbbbbd	3311
caaabafabbbbd	3311
caaabebabbbbd	3311
caaafbbabbbbd	3311
caaebbbabbbbd	3311
caeabbbabbbbd	3311
ceaabbbabbbbd	3311
cbaabbbabbbbd	3311
cbaabbbabbgbd	4967
cbaabbbabgbbd	4967
cbaabbbagbbbd	4967
cbaabbbfabbbd	4967
cbaabbgaabbbd	4967
cbaabgbaabbbd	4967
cbaagbbaabbbd	4967
cbafabbaabbbd	4967
cbebabbaabbbd	4967
cfbbabbaabbbd	4967
caabbabbaabbbd	4967
caabbabbaabgbd	7451
caabbabbaagbbd	7451
caabbabbafabbd	7451
caabbabbebabbd	7451
caabbabfbbabbd	7451
caabbagabbabbd	7451
caabbfaabbabbd	7451
caabgaaabbabbd	7451
caagbaaabbabbd	7451
cafabaaabbabbd	7451
cebabaaabbabbd	7451
cbbabaaabbabbd	7451
cbbabaaabbagbd	11177
cbbabaaabbfabd	11177
cbbabaaabgaabd	11177
cbbabaaagbaabd	11177
cbbabaafabaabd	11177
cbbabaebabaabd	11177
cbbabeababaabd	11177
cbbafbababaabd	11177
cbbebbababaabd	11177
cbfbbbababaabd	11177
cgabbbababaabd	11177
cababbbababaabd	11177
cababbbababebd	8383
cababbbabafbbd	8383
cababbbabebbbd	8383
cababbbafbbbbd	8383
cababbbebbbbbd	8383
cababbfbbbbbbd	8383
cababgabbbbbbd	8383
cabagbabbbbbbd	8383
cabfababbbbbbd	8383
cagaababbbbbbd	8383
cfaaababbbbbbd	8383
caaaaababbbbbbd	8383
caaaaababbbbgbd	12575
caaaaababbbgbbd	12575
caaaaababbgbbbd	12575
caaaaababgbbbbd	12575
caaaaabagbbbbbd	12575
caaaaabfabbbbbd	12575
caaaaagaabbbbbd	12575
caaaafaaabbbbbd	12575
caaaebaaabbbbbd	12575
caaeabaaabbbbbd	12575
caeaabaaabbbbbd	12575
ceaaabaaabbbbbd	12575
cbaaabaaabbbbbd	12575
cbaaabaaabbbgbd	18863
cbaaabaaabbgbbd	18863
cbaaabaaabgbbbd	18863
cbaaabaaagbbbbd	18863
cbaaabaafabbbbd	18863
cbaaabaebabbbbd	18863
cbaaabeababbbbd	18863
cbaaafbababbbbd	18863
cbaaebbababbbbd	18863
cbaeabbababbbbd	18863
cbeaabbababbbbd	18863
cfbaabbababbbbd	18863
caabaabbababbbbd	18863
caabaabbababbgbd	28295
caabaabbababgbbd	28295
caabaabbabagbbbd	28295
caabaabbabfabbbd	28295
caabaabbagaabbbd	28295
caabaabbfaaabbbd	28295
caabaabgaaaabbbd	28295
caabaagbaaaabbbd	28295
caabafabaaaabbbd	28295
caabebabaaaabbbd	28295
caafbbabaaaabbbd	28295
caebbbabaaaabbbd	28295
ceabbbabaaaabbbd	28295
cbabbbabaaaabbbd	28295
cbabbbabaaaabgbd	42443
cbabbbabaaaagbbd	42443
cbabbbabaaafabbd	42443
cbabbbabaaebabbd	42443
cbabbbabaeababbd	42443
cbabbbabeaababbd	42443
cbabbbafbaababbd	42443
cbabbbebbaababbd	42443
cbabbfbbbaababbd	42443
cbabgabbbaababbd	42443
cbagbabbbaababbd	42443
cbfababbbaababbd	42443
cgaababbbaababbd	42443
cabaababbbaababbd	42443
cabaababbbaabagbd	63665
cabaababbbaabfabd	63665
cabaababbbaagaabd	63665
cabaababbbafaaabd	63665
cabaababbbebaaabd	63665
cabaababbfbbaaabd	63665
cabaababgabbaaabd	63665
cabaabagbabbaaabd	63665
cabaabfababbaaabd	63665
cabaagaababbaaabd	63665
cabafaaababbaaabd	63665
cabebaaababbaaabd	63665
cafbbaaababbaaabd	63665
cebbbaaababbaaabd	63665
cbbbbaaababbaaabd	63665
cbbbbaaababbaebd	47749
cbbbbaaababbeabd	47749
cbbbbaaababfbabd	47749
cbbbbaaabagababd	47749
cbbbbaaabfaababd	47749
