"Input number 13255 with intial rewrite term cbaabbbbaaabbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 1110  Number of array doubles: 1"
Term	Number
cbaabbbbaaabgbd	19883
cbaabbbbaaagbbd	19883
cbaabbbbaafabbd	19883
cbaabbbbaebabbd	19883
cbaabbbbeababbd	19883
cbaabbbfbababbd	19883
cbaabbgabababbd	19883
cbaabgbabababbd	19883
cbaagbbabababbd	19883
cbafabbabababbd	19883
cbebabbabababbd	19883
cfbbabbabababbd	19883
caabbabbabababbd	19883
caabbabbababagbd	29825
caabbabbababfabd	29825
caabbabbabagaabd	29825
caabbabbabfaaabd	29825
caabbabbagaaaabd	29825
caabbabbfaaaaabd	29825
caabbabgaaaaaabd	29825
caabbagbaaaaaabd	29825
caabbfabaaaaaabd	29825
caabgaabaaaaaabd	29825
caagbaabaaaaaabd	29825
cafabaabaaaaaabd	29825
cebabaabaaaaaabd	29825
cbbabaabaaaaaabd	29825
cbbabaabaaaaebd	22369
cbbabaabaaaeabd	22369
cbbabaabaaeaabd	22369
cbbabaabaeaaabd	22369
cbbabaabeaaaabd	22369
cbbabaafbaaaabd	22369
cbbabaebbaaaabd	22369
cbbabeabbaaaabd	22369
cbbafbabbaaaabd	22369
cbbebbabbaaaabd	22369
cbfbbbabbaaaabd	22369
cgabbbabbaaaabd	22369
cababbbabbaaaabd	22369
cababbbabbaaebd	16777
cababbbabbaeabd	16777
cababbbabbeaabd	16777
cababbbabfbaabd	16777
cababbbagabaabd	16777
cababbbfaabaabd	16777
cababbgaaabaabd	16777
cababgbaaabaabd	16777
cabagbbaaabaabd	16777
cabfabbaaabaabd	16777
cagaabbaaabaabd	16777
cfaaabbaaabaabd	16777
caaaaabbaaabaabd	16777
caaaaabbaaabebd	12583
caaaaabbaaafbbd	12583
caaaaabbaaebbbd	12583
caaaaabbaeabbbd	12583
caaaaabbeaabbbd	12583
caaaaabfbaabbbd	12583
caaaaagabaabbbd	12583
caaaafaabaabbbd	12583
caaaebaabaabbbd	12583
caaeabaabaabbbd	12583
caeaabaabaabbbd	12583
ceaaabaabaabbbd	12583
cbaaabaabaabbbd	12583
cbaaabaabaabgbd	18875
cbaaabaabaagbbd	18875
cbaaabaabafabbd	18875
cbaaabaabebabbd	18875
cbaaabaafbbabbd	18875
cbaaabaebbbabbd	18875
cbaaabeabbbabbd	18875
cbaaafbabbbabbd	18875
cbaaebbabbbabbd	18875
cbaeabbabbbabbd	18875
cbeaabbabbbabbd	18875
cfbaabbabbbabbd	18875
caabaabbabbbabbd	18875
caabaabbabbbagbd	28313
caabaabbabbbfabd	28313
caabaabbabbgaabd	28313
caabaabbabgbaabd	28313
caabaabbagbbaabd	28313
caabaabbfabbaabd	28313
caabaabgaabbaabd	28313
caabaagbaabbaabd	28313
caabafabaabbaabd	28313
caabebabaabbaabd	28313
caafbbabaabbaabd	28313
caebbbabaabbaabd	28313
ceabbbabaabbaabd	28313
cbabbbabaabbaabd	28313
cbabbbabaabbebd	21235
cbabbbabaabfbbd	21235
cbabbbabaagabbd	21235
cbabbbabafaabbd	21235
cbabbbabebaabbd	21235
cbabbbafbbaabbd	21235
cbabbbebbbaabbd	21235
cbabbfbbbbaabbd	21235
cbabgabbbbaabbd	21235
cbagbabbbbaabbd	21235
cbfababbbbaabbd	21235
cgaababbbbaabbd	21235
cabaababbbbaabbd	21235
cabaababbbbaagbd	31853
cabaababbbbafabd	31853
cabaababbbbebabd	31853
cabaababbbfbbabd	31853
cabaababbgabbabd	31853
cabaababgbabbabd	31853
cabaabagbbabbabd	31853
cabaabfabbabbabd	31853
cabaagaabbabbabd	31853
cabafaaabbabbabd	31853
cabebaaabbabbabd	31853
cafbbaaabbabbabd	31853
cebbbaaabbabbabd	31853
cbbbbaaabbabbabd	31853
cbbbbaaabbabbd	7963
cbbbbaaabbagbd	11945
cbbbbaaabbfabd	11945
cbbbbaaabgaabd	11945
cbbbbaaagbaabd	11945
cbbbbaafabaabd	11945
cbbbbaebabaabd	11945
cbbbbeababaabd	11945
cbbbfbababaabd	11945
cbbgabababaabd	11945
cbgbabababaabd	11945
cgbbabababaabd	11945
cabbbabababaabd	11945
cabbbabababebd	8959
cabbbababafbbd	8959
cabbbababebbbd	8959
cabbbabafbbbbd	8959
cabbbabebbbbbd	8959
cabbbafbbbbbbd	8959
cabbbebbbbbbbd	8959
cabbfbbbbbbbbd	8959
cabgabbbbbbbbd	8959
cagbabbbbbbbbd	8959
cfababbbbbbbbd	8959
caaababbbbbbbbd	8959
caaababbbbbbgbd	13439
caaababbbbbgbbd	13439
caaababbbbgbbbd	13439
caaababbbgbbbbd	13439
caaababbgbbbbbd	13439
caaababgbbbbbbd	13439
caaabagbbbbbbbd	13439
caaabfabbbbbbbd	13439
caaagaabbbbbbbd	13439
caafaaabbbbbbbd	13439
caebaaabbbbbbbd	13439
ceabaaabbbbbbbd	13439
cbabaaabbbbbbbd	13439
cbabaaabbbbbgbd	20159
cbabaaabbbbgbbd	20159
cbabaaabbbgbbbd	20159
cbabaaabbgbbbbd	20159
cbabaaabgbbbbbd	20159
cbabaaagbbbbbbd	20159
cbabaafabbbbbbd	20159
cbabaebabbbbbbd	20159
cbabeababbbbbbd	20159
cbafbababbbbbbd	20159
cbebbababbbbbbd	20159
cfbbbababbbbbbd	20159
caabbbababbbbbbd	20159
caabbbababbbbgbd	30239
caabbbababbbgbbd	30239
caabbbababbgbbbd	30239
caabbbababgbbbbd	30239
caabbbabagbbbbbd	30239
caabbbabfabbbbbd	30239
caabbbagaabbbbbd	30239
caabbbfaaabbbbbd	30239
caabbgaaaabbbbbd	30239
caabgbaaaabbbbbd	30239
caagbbaaaabbbbbd	30239
cafabbaaaabbbbbd	30239
cebabbaaaabbbbbd	30239
cbbabbaaaabbbbbd	30239
cbbabbaaaabbbgbd	45359
cbbabbaaaabbgbbd	45359
cbbabbaaaabgbbbd	45359
cbbabbaaaagbbbbd	45359
cbbabbaaafabbbbd	45359
cbbabbaaebabbbbd	45359
cbbabbaeababbbbd	45359
cbbabbeaababbbbd	45359
cbbabfbaababbbbd	45359
cbbagabaababbbbd	45359
cbbfaabaababbbbd	45359
cbgaaabaababbbbd	45359
cgbaaabaababbbbd	45359
cabbaaabaababbbbd	45359
cabbaaabaababbgbd	68039
cabbaaabaababgbbd	68039
cabbaaabaabagbbbd	68039
cabbaaabaabfabbbd	68039
cabbaaabaagaabbbd	68039
cabbaaabafaaabbbd	68039
cabbaaabebaaabbbd	68039
cabbaaafbbaaabbbd	68039
cabbaaebbbaaabbbd	68039
cabbaeabbbaaabbbd	68039
cabbeaabbbaaabbbd	68039
cabfbaabbbaaabbbd	68039
cagabaabbbaaabbbd	68039
cfaabaabbbaaabbbd	68039
caaaabaabbbaaabbbd	68039
caaaabaabbbaaabgbd	102059
caaaabaabbbaaagbbd	102059
caaaabaabbbaafabbd	102059
caaaabaabbbaebabbd	102059
caaaabaabbbeababbd	102059
caaaabaabbfbababbd	102059
caaaabaabgabababbd	102059
caaaabaagbabababbd	102059
caaaabafababababbd	102059
caaaabebababababbd	102059
caaaafbbababababbd	102059
caaaebbbababababbd	102059
caaeabbbababababbd	102059
caeaabbbababababbd	102059
ceaaabbbababababbd	102059
cbaaabbbababababbd	102059
cbaaabbbabababagbd	153089
cbaaabbbabababfabd	153089
cbaaabbbababagaabd	153089
cbaaabbbababfaaabd	153089
cbaaabbbabagaaaabd	153089
cbaaabbbabfaaaaabd	153089
cbaaabbbagaaaaaabd	153089
cbaaabbbfaaaaaaabd	153089
cbaaabbgaaaaaaaabd	153089
cbaaabgbaaaaaaaabd	153089
cbaaagbbaaaaaaaabd	153089
cbaafabbaaaaaaaabd	153089
cbaebabbaaaaaaaabd	153089
cbeababbaaaaaaaabd	153089
cfbababbaaaaaaaabd	153089
caabababbaaaaaaaabd	153089
caabababbaaaaaaebd	114817
caabababbaaaaaeabd	114817
caabababbaaaaeaabd	114817
caabababbaaaeaaabd	114817
caabababbaaeaaaabd	114817
caabababbaeaaaaabd	114817
caabababbeaaaaaabd	114817
caabababfbaaaaaabd	114817
caababagabaaaaaabd	114817
caababfaabaaaaaabd	114817
caabagaaabaaaaaabd	114817
caabfaaaabaaaaaabd	114817
caagaaaaabaaaaaabd	114817
cafaaaaaabaaaaaabd	114817
cebaaaaaabaaaaaabd	114817
cbbaaaaaabaaaaaabd	114817
cbbaaaaaabaaaaebd	86113
cbbaaaaaabaaaeabd	86113
cbbaaaaaabaaeaabd	86113
cbbaaaaaabaeaaabd	86113
cbbaaaaaabeaaaabd	86113
cbbaaaaaafbaaaabd	86113
cbbaaaaaebbaaaabd	86113
cbbaaaaeabbaaaabd	86113
cbbaaaeaabbaaaabd	86113
cbbaaeaaabbaaaabd	86113
cbbaeaaaabbaaaabd	86113
cbbeaaaaabbaaaabd	86113
cbfbaaaaabbaaaabd	86113
cgabaaaaabbaaaabd	86113
cababaaaaabbaaaabd	86113
cababaaaaabbaaebd	64585
cababaaaaabbaeabd	64585
cababaaaaabbeaabd	64585
cababaaaaabfbaabd	64585
cababaaaaagabaabd	64585
cababaaaafaabaabd	64585
cababaaaebaabaabd	64585
cababaaeabaabaabd	64585
cababaeaabaabaabd	64585
cababeaaabaabaabd	64585
cabafbaaabaabaabd	64585
cabebbaaabaabaabd	64585
cafbbbaaabaabaabd	64585
cebbbbaaabaabaabd	64585
cbbbbbaaabaabaabd	64585
cbbbbbaaabaabebd	48439
cbbbbbaaabaafbbd	48439
cbbbbbaaabaebbbd	48439
cbbbbbaaabeabbbd	48439
cbbbbbaaafbabbbd	48439
cbbbbbaaebbabbbd	48439
cbbbbbaeabbabbbd	48439
cbbbbbeaabbabbbd	48439
cbbbbfbaabbabbbd	48439
cbbbgabaabbabbbd	48439
cbbgbabaabbabbbd	48439
cbgbbabaabbabbbd	48439
cgbbbabaabbabbbd	48439
cabbbbabaabbabbbd	48439
cabbbbabaabbabgbd	72659
cabbbbabaabbagbbd	72659
cabbbbabaabbfabbd	72659
cabbbbabaabgaabbd	72659
cabbbbabaagbaabbd	72659
cabbbbabafabaabbd	72659
cabbbbabebabaabbd	72659
cabbbbafbbabaabbd	72659
cabbbbebbbabaabbd	72659
cabbbfbbbbabaabbd	72659
cabbgabbbbabaabbd	72659
cabgbabbbbabaabbd	72659
cagbbabbbbabaabbd	72659
cfabbabbbbabaabbd	72659
caaabbabbbbabaabbd	72659
caaabbabbbbabaagbd	108989
caaabbabbbbabafabd	108989
caaabbabbbbabebabd	108989
caaabbabbbbafbbabd	108989
caaabbabbbbebbbabd	108989
caaabbabbbfbbbbabd	108989
caaabbabbgabbbbabd	108989
caaabbabgbabbbbabd	108989
caaabbagbbabbbbabd	108989
caaabbfabbabbbbabd	108989
