"Input number 142587 with intial rewrite term caaababbaabbbbbabbd
Generated final number 3 with final rewrite term cbd
Number of steps: 2387  Number of array doubles: 1"
Term	Number
caaababbaabbbbbagbd	213881
caaababbaabbbbbfabd	213881
caaababbaabbbbgaabd	213881
caaababbaabbbgbaabd	213881
caaababbaabbgbbaabd	213881
caaababbaabgbbbaabd	213881
caaababbaagbbbbaabd	213881
caaababbafabbbbaabd	213881
caaababbebabbbbaabd	213881
caaababfbbabbbbaabd	213881
caaabagabbabbbbaabd	213881
caaabfaabbabbbbaabd	213881
caaagaaabbabbbbaabd	213881
caafaaaabbabbbbaabd	213881
caebaaaabbabbbbaabd	213881
ceabaaaabbabbbbaabd	213881
cbabaaaabbabbbbaabd	213881
cbabaaaabbabbbbebd	160411
cbabaaaabbabbbfbbd	160411
cbabaaaabbabbgabbd	160411
cbabaaaabbabgbabbd	160411
cbabaaaabbagbbabbd	160411
cbabaaaabbfabbabbd	160411
cbabaaaabgaabbabbd	160411
cbabaaaagbaabbabbd	160411
cbabaaafabaabbabbd	160411
cbabaaebabaabbabbd	160411
cbabaeababaabbabbd	160411
cbabeaababaabbabbd	160411
cbafbaababaabbabbd	160411
cbebbaababaabbabbd	160411
cfbbbaababaabbabbd	160411
caabbbaababaabbabbd	160411
caabbbaababaabbagbd	240617
caabbbaababaabbfabd	240617
caabbbaababaabgaabd	240617
caabbbaababaagbaabd	240617
caabbbaababafabaabd	240617
caabbbaababebabaabd	240617
caabbbaabafbbabaabd	240617
caabbbaabebbbabaabd	240617
caabbbaafbbbbabaabd	240617
caabbbaebbbbbabaabd	240617
caabbbeabbbbbabaabd	240617
caabbfbabbbbbabaabd	240617
caabgababbbbbabaabd	240617
caagbababbbbbabaabd	240617
cafabababbbbbabaabd	240617
cebabababbbbbabaabd	240617
cbbabababbbbbabaabd	240617
cbbabababbbbbabebd	180463
cbbabababbbbbafbbd	180463
cbbabababbbbbebbbd	180463
cbbabababbbbfbbbbd	180463
cbbabababbbgabbbbd	180463
cbbabababbgbabbbbd	180463
cbbabababgbbabbbbd	180463
cbbababagbbbabbbbd	180463
cbbababfabbbabbbbd	180463
cbbabagaabbbabbbbd	180463
