"Input number 3064033 with intial rewrite term cabbbabbaaaaaabbbaaaabd
Generated final number 3 with final rewrite term cbd
Number of steps: 4304  Number of array doubles: 1"
Term	Number
cabbbabbaaaaaabbbaaebd	2298025
cabbbabbaaaaaabbbaeabd	2298025
cabbbabbaaaaaabbbeaabd	2298025
cabbbabbaaaaaabbfbaabd	2298025
cabbbabbaaaaaabgabaabd	2298025
cabbbabbaaaaaagbabaabd	2298025
cabbbabbaaaaafababaabd	2298025
cabbbabbaaaaebababaabd	2298025
cabbbabbaaaeabababaabd	2298025
cabbbabbaaeaabababaabd	2298025
cabbbabbaeaaabababaabd	2298025
cabbbabbeaaaabababaabd	2298025
cabbbabfbaaaabababaabd	2298025
cabbbagabaaaabababaabd	2298025
cabbbfaabaaaabababaabd	2298025
cabbgaaabaaaabababaabd	2298025
cabgbaaabaaaabababaabd	2298025
cagbbaaabaaaabababaabd	2298025
cfabbaaabaaaabababaabd	2298025
caaabbaaabaaaabababaabd	2298025
caaabbaaabaaaabababebd	1723519
caaabbaaabaaaababafbbd	1723519
caaabbaaabaaaababebbbd	1723519
caaabbaaabaaaabafbbbbd	1723519
caaabbaaabaaaabebbbbbd	1723519
caaabbaaabaaaafbbbbbbd	1723519
caaabbaaabaaaebbbbbbbd	1723519
caaabbaaabaaeabbbbbbbd	1723519
caaabbaaabaeaabbbbbbbd	1723519
caaabbaaabeaaabbbbbbbd	1723519
caaabbaaafbaaabbbbbbbd	1723519
caaabbaaebbaaabbbbbbbd	1723519
caaabbaeabbaaabbbbbbbd	1723519
caaabbeaabbaaabbbbbbbd	1723519
caaabfbaabbaaabbbbbbbd	1723519
caaagabaabbaaabbbbbbbd	1723519
caafaabaabbaaabbbbbbbd	1723519
caebaabaabbaaabbbbbbbd	1723519
ceabaabaabbaaabbbbbbbd	1723519
cbabaabaabbaaabbbbbbbd	1723519
cbabaabaabbaaabbbbbgbd	2585279
cbabaabaabbaaabbbbgbbd	2585279
cbabaabaabbaaabbbgbbbd	2585279
cbabaabaabbaaabbgbbbbd	2585279
cbabaabaabbaaabgbbbbbd	2585279
cbabaabaabbaaagbbbbbbd	2585279
cbabaabaabbaafabbbbbbd	2585279
cbabaabaabbaebabbbbbbd	2585279
cbabaabaabbeababbbbbbd	2585279
cbabaabaabfbababbbbbbd	2585279
cbabaabaagabababbbbbbd	2585279
cbabaabafaabababbbbbbd	2585279
cbabaabebaabababbbbbbd	2585279
cbabaafbbaabababbbbbbd	2585279
cbabaebbbaabababbbbbbd	2585279
cbabeabbbaabababbbbbbd	2585279
cbafbabbbaabababbbbbbd	2585279
cbebbabbbaabababbbbbbd	2585279
cfbbbabbbaabababbbbbbd	2585279
caabbbabbbaabababbbbbbd	2585279
caabbbabbbaabababbbbgbd	3877919
caabbbabbbaabababbbgbbd	3877919
caabbbabbbaabababbgbbbd	3877919
caabbbabbbaabababgbbbbd	3877919
caabbbabbbaababagbbbbbd	3877919
caabbbabbbaababfabbbbbd	3877919
caabbbabbbaabagaabbbbbd	3877919
caabbbabbbaabfaaabbbbbd	3877919
caabbbabbbaagaaaabbbbbd	3877919
caabbbabbbafaaaaabbbbbd	3877919
caabbbabbbebaaaaabbbbbd	3877919
caabbbabbfbbaaaaabbbbbd	3877919
caabbbabgabbaaaaabbbbbd	3877919
caabbbagbabbaaaaabbbbbd	3877919
caabbbfababbaaaaabbbbbd	3877919
caabbgaababbaaaaabbbbbd	3877919
caabgbaababbaaaaabbbbbd	3877919
caagbbaababbaaaaabbbbbd	3877919
cafabbaababbaaaaabbbbbd	3877919
cebabbaababbaaaaabbbbbd	3877919
cbbabbaababbaaaaabbbbbd	3877919
cbbabbaababbaaaaabbbgbd	5816879
cbbabbaababbaaaaabbgbbd	5816879
cbbabbaababbaaaaabgbbbd	5816879
cbbabbaababbaaaaagbbbbd	5816879
cbbabbaababbaaaafabbbbd	5816879
cbbabbaababbaaaebabbbbd	5816879
cbbabbaababbaaeababbbbd	5816879
cbbabbaababbaeaababbbbd	5816879
cbbabbaababbeaaababbbbd	5816879
cbbabbaababfbaaababbbbd	5816879
cbbabbaabagabaaababbbbd	5816879
cbbabbaabfaabaaababbbbd	5816879
cbbabbaagaaabaaababbbbd	5816879
cbbabbafaaaabaaababbbbd	5816879
cbbabbebaaaabaaababbbbd	5816879
cbbabfbbaaaabaaababbbbd	5816879
cbbagabbaaaabaaababbbbd	5816879
cbbfaabbaaaabaaababbbbd	5816879
cbgaaabbaaaabaaababbbbd	5816879
cgbaaabbaaaabaaababbbbd	5816879
cabbaaabbaaaabaaababbbbd	5816879
cabbaaabbaaaabaaababbgbd	8725319
cabbaaabbaaaabaaababgbbd	8725319
cabbaaabbaaaabaaabagbbbd	8725319
cabbaaabbaaaabaaabfabbbd	8725319
cabbaaabbaaaabaaagaabbbd	8725319
cabbaaabbaaaabaafaaabbbd	8725319
cabbaaabbaaaabaebaaabbbd	8725319
cabbaaabbaaaabeabaaabbbd	8725319
cabbaaabbaaaafbabaaabbbd	8725319
cabbaaabbaaaebbabaaabbbd	8725319
cabbaaabbaaeabbabaaabbbd	8725319
cabbaaabbaeaabbabaaabbbd	8725319
cabbaaabbeaaabbabaaabbbd	8725319
cabbaaabfbaaabbabaaabbbd	8725319
cabbaaagabaaabbabaaabbbd	8725319
cabbaafaabaaabbabaaabbbd	8725319
cabbaebaabaaabbabaaabbbd	8725319
cabbeabaabaaabbabaaabbbd	8725319
