"Input number 35655 with intial rewrite term caaababbabaaabbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 1878  Number of array doubles: 1"
Term	Number
caaababbabaaabgbd	53483
caaababbabaaagbbd	53483
caaababbabaafabbd	53483
caaababbabaebabbd	53483
caaababbabeababbd	53483
caaababbafbababbd	53483
caaababbebbababbd	53483
caaababfbbbababbd	53483
caaabagabbbababbd	53483
caaabfaabbbababbd	53483
caaagaaabbbababbd	53483
caafaaaabbbababbd	53483
caebaaaabbbababbd	53483
ceabaaaabbbababbd	53483
cbabaaaabbbababbd	53483
cbabaaaabbbabagbd	80225
cbabaaaabbbabfabd	80225
cbabaaaabbbagaabd	80225
cbabaaaabbbfaaabd	80225
cbabaaaabbgaaaabd	80225
cbabaaaabgbaaaabd	80225
cbabaaaagbbaaaabd	80225
cbabaaafabbaaaabd	80225
cbabaaebabbaaaabd	80225
cbabaeababbaaaabd	80225
cbabeaababbaaaabd	80225
cbafbaababbaaaabd	80225
cbebbaababbaaaabd	80225
cfbbbaababbaaaabd	80225
caabbbaababbaaaabd	80225
caabbbaababbaaebd	60169
caabbbaababbaeabd	60169
caabbbaababbeaabd	60169
caabbbaababfbaabd	60169
caabbbaabagabaabd	60169
caabbbaabfaabaabd	60169
caabbbaagaaabaabd	60169
caabbbafaaaabaabd	60169
caabbbebaaaabaabd	60169
caabbfbbaaaabaabd	60169
caabgabbaaaabaabd	60169
caagbabbaaaabaabd	60169
cafababbaaaabaabd	60169
cebababbaaaabaabd	60169
cbbababbaaaabaabd	60169
cbbababbaaaabebd	45127
cbbababbaaaafbbd	45127
cbbababbaaaebbbd	45127
cbbababbaaeabbbd	45127
cbbababbaeaabbbd	45127
cbbababbeaaabbbd	45127
cbbababfbaaabbbd	45127
cbbabagabaaabbbd	45127
cbbabfaabaaabbbd	45127
cbbagaaabaaabbbd	45127
cbbfaaaabaaabbbd	45127
cbgaaaaabaaabbbd	45127
cgbaaaaabaaabbbd	45127
cabbaaaaabaaabbbd	45127
cabbaaaaabaaabgbd	67691
cabbaaaaabaaagbbd	67691
cabbaaaaabaafabbd	67691
cabbaaaaabaebabbd	67691
cabbaaaaabeababbd	67691
cabbaaaaafbababbd	67691
cabbaaaaebbababbd	67691
cabbaaaeabbababbd	67691
cabbaaeaabbababbd	67691
cabbaeaaabbababbd	67691
cabbeaaaabbababbd	67691
cabfbaaaabbababbd	67691
cagabaaaabbababbd	67691
cfaabaaaabbababbd	67691
caaaabaaaabbababbd	67691
caaaabaaaabbabagbd	101537
caaaabaaaabbabfabd	101537
caaaabaaaabbagaabd	101537
caaaabaaaabbfaaabd	101537
caaaabaaaabgaaaabd	101537
caaaabaaaagbaaaabd	101537
caaaabaaafabaaaabd	101537
caaaabaaebabaaaabd	101537
caaaabaeababaaaabd	101537
caaaabeaababaaaabd	101537
caaaafbaababaaaabd	101537
caaaebbaababaaaabd	101537
caaeabbaababaaaabd	101537
caeaabbaababaaaabd	101537
ceaaabbaababaaaabd	101537
cbaaabbaababaaaabd	101537
cbaaabbaababaaebd	76153
cbaaabbaababaeabd	76153
cbaaabbaababeaabd	76153
cbaaabbaabafbaabd	76153
cbaaabbaabebbaabd	76153
cbaaabbaafbbbaabd	76153
cbaaabbaebbbbaabd	76153
cbaaabbeabbbbaabd	76153
cbaaabfbabbbbaabd	76153
cbaaagababbbbaabd	76153
cbaafaababbbbaabd	76153
cbaebaababbbbaabd	76153
cbeabaababbbbaabd	76153
cfbabaababbbbaabd	76153
caababaababbbbaabd	76153
caababaababbbbebd	57115
caababaababbbfbbd	57115
caababaababbgabbd	57115
caababaababgbabbd	57115
caababaabagbbabbd	57115
caababaabfabbabbd	57115
caababaagaabbabbd	57115
caababafaaabbabbd	57115
caababebaaabbabbd	57115
caabafbbaaabbabbd	57115
caabebbbaaabbabbd	57115
caafbbbbaaabbabbd	57115
caebbbbbaaabbabbd	57115
ceabbbbbaaabbabbd	57115
cbabbbbbaaabbabbd	57115
cbabbbbbaaabbagbd	85673
cbabbbbbaaabbfabd	85673
cbabbbbbaaabgaabd	85673
cbabbbbbaaagbaabd	85673
cbabbbbbaafabaabd	85673
cbabbbbbaebabaabd	85673
cbabbbbbeababaabd	85673
cbabbbbfbababaabd	85673
cbabbbgabababaabd	85673
cbabbgbabababaabd	85673
cbabgbbabababaabd	85673
cbagbbbabababaabd	85673
cbfabbbabababaabd	85673
cgaabbbabababaabd	85673
cabaabbbabababaabd	85673
cabaabbbabababebd	64255
cabaabbbababafbbd	64255
cabaabbbababebbbd	64255
cabaabbbabafbbbbd	64255
cabaabbbabebbbbbd	64255
cabaabbbafbbbbbbd	64255
cabaabbbebbbbbbbd	64255
cabaabbfbbbbbbbbd	64255
cabaabgabbbbbbbbd	64255
cabaagbabbbbbbbbd	64255
cabafababbbbbbbbd	64255
cabebababbbbbbbbd	64255
cafbbababbbbbbbbd	64255
cebbbababbbbbbbbd	64255
cbbbbababbbbbbbbd	64255
cbbbbababbbbbbgbd	96383
cbbbbababbbbbgbbd	96383
cbbbbababbbbgbbbd	96383
cbbbbababbbgbbbbd	96383
cbbbbababbgbbbbbd	96383
cbbbbababgbbbbbbd	96383
cbbbbabagbbbbbbbd	96383
cbbbbabfabbbbbbbd	96383
cbbbbagaabbbbbbbd	96383
cbbbbfaaabbbbbbbd	96383
cbbbgaaaabbbbbbbd	96383
cbbgbaaaabbbbbbbd	96383
cbgbbaaaabbbbbbbd	96383
cgbbbaaaabbbbbbbd	96383
cabbbbaaaabbbbbbbd	96383
cabbbbaaaabbbbbgbd	144575
cabbbbaaaabbbbgbbd	144575
cabbbbaaaabbbgbbbd	144575
cabbbbaaaabbgbbbbd	144575
cabbbbaaaabgbbbbbd	144575
cabbbbaaaagbbbbbbd	144575
cabbbbaaafabbbbbbd	144575
cabbbbaaebabbbbbbd	144575
cabbbbaeababbbbbbd	144575
cabbbbeaababbbbbbd	144575
cabbbfbaababbbbbbd	144575
cabbgabaababbbbbbd	144575
cabgbabaababbbbbbd	144575
cagbbabaababbbbbbd	144575
cfabbabaababbbbbbd	144575
caaabbabaababbbbbbd	144575
caaabbabaababbbbgbd	216863
caaabbabaababbbgbbd	216863
caaabbabaababbgbbbd	216863
caaabbabaababgbbbbd	216863
caaabbabaabagbbbbbd	216863
