"Input number 3711 with intial rewrite term cbbaabbbbbbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 845  Number of array doubles: 1"
Term	Number
cbbaabbbbbgbd	5567
cbbaabbbbgbbd	5567
cbbaabbbgbbbd	5567
cbbaabbgbbbbd	5567
cbbaabgbbbbbd	5567
cbbaagbbbbbbd	5567
cbbafabbbbbbd	5567
cbbebabbbbbbd	5567
cbfbbabbbbbbd	5567
cgabbabbbbbbd	5567
cababbabbbbbbd	5567
cababbabbbbgbd	8351
cababbabbbgbbd	8351
cababbabbgbbbd	8351
cababbabgbbbbd	8351
cababbagbbbbbd	8351
cababbfabbbbbd	8351
cababgaabbbbbd	8351
cabagbaabbbbbd	8351
cabfabaabbbbbd	8351
cagaabaabbbbbd	8351
cfaaabaabbbbbd	8351
caaaaabaabbbbbd	8351
caaaaabaabbbgbd	12527
caaaaabaabbgbbd	12527
caaaaabaabgbbbd	12527
caaaaabaagbbbbd	12527
caaaaabafabbbbd	12527
caaaaabebabbbbd	12527
caaaaafbbabbbbd	12527
caaaaebbbabbbbd	12527
caaaeabbbabbbbd	12527
caaeaabbbabbbbd	12527
caeaaabbbabbbbd	12527
ceaaaabbbabbbbd	12527
cbaaaabbbabbbbd	12527
cbaaaabbbabbgbd	18791
cbaaaabbbabgbbd	18791
cbaaaabbbagbbbd	18791
cbaaaabbbfabbbd	18791
cbaaaabbgaabbbd	18791
cbaaaabgbaabbbd	18791
cbaaaagbbaabbbd	18791
cbaaafabbaabbbd	18791
cbaaebabbaabbbd	18791
cbaeababbaabbbd	18791
cbeaababbaabbbd	18791
cfbaababbaabbbd	18791
caabaababbaabbbd	18791
caabaababbaabgbd	28187
caabaababbaagbbd	28187
caabaababbafabbd	28187
caabaababbebabbd	28187
caabaababfbbabbd	28187
caabaabagabbabbd	28187
caabaabfaabbabbd	28187
caabaagaaabbabbd	28187
caabafaaaabbabbd	28187
caabebaaaabbabbd	28187
caafbbaaaabbabbd	28187
caebbbaaaabbabbd	28187
ceabbbaaaabbabbd	28187
cbabbbaaaabbabbd	28187
cbabbbaaaabbagbd	42281
cbabbbaaaabbfabd	42281
