"Input number 3732423 with intial rewrite term cbbaaabbbbaabbbbaaabbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 4587  Number of array doubles: 1"
Term	Number
cbbaaabbbbaabbbbaaabgbd	5598635
cbbaaabbbbaabbbbaaagbbd	5598635
cbbaaabbbbaabbbbaafabbd	5598635
cbbaaabbbbaabbbbaebabbd	5598635
cbbaaabbbbaabbbbeababbd	5598635
cbbaaabbbbaabbbfbababbd	5598635
cbbaaabbbbaabbgabababbd	5598635
cbbaaabbbbaabgbabababbd	5598635
cbbaaabbbbaagbbabababbd	5598635
cbbaaabbbbafabbabababbd	5598635
cbbaaabbbbebabbabababbd	5598635
cbbaaabbbfbbabbabababbd	5598635
cbbaaabbgabbabbabababbd	5598635
cbbaaabgbabbabbabababbd	5598635
cbbaaagbbabbabbabababbd	5598635
cbbaafabbabbabbabababbd	5598635
cbbaebabbabbabbabababbd	5598635
cbbeababbabbabbabababbd	5598635
cbfbababbabbabbabababbd	5598635
cgabababbabbabbabababbd	5598635
cababababbabbabbabababbd	5598635
cababababbabbabbababagbd	8397953
cababababbabbabbababfabd	8397953
cababababbabbabbabagaabd	8397953
cababababbabbabbabfaaabd	8397953
cababababbabbabbagaaaabd	8397953
cababababbabbabbfaaaaabd	8397953
cababababbabbabgaaaaaabd	8397953
cababababbabbagbaaaaaabd	8397953
cababababbabbfabaaaaaabd	8397953
cababababbabgaabaaaaaabd	8397953
cababababbagbaabaaaaaabd	8397953
cababababbfabaabaaaaaabd	8397953
cababababgaabaabaaaaaabd	8397953
cabababagbaabaabaaaaaabd	8397953
cabababfabaabaabaaaaaabd	8397953
cababagaabaabaabaaaaaabd	8397953
cababfaaabaabaabaaaaaabd	8397953
cabagaaaabaabaabaaaaaabd	8397953
cabfaaaaabaabaabaaaaaabd	8397953
cagaaaaaabaabaabaaaaaabd	8397953
cfaaaaaaabaabaabaaaaaabd	8397953
caaaaaaaaabaabaabaaaaaabd	8397953
caaaaaaaaabaabaabaaaaebd	6298465
caaaaaaaaabaabaabaaaeabd	6298465
caaaaaaaaabaabaabaaeaabd	6298465
caaaaaaaaabaabaabaeaaabd	6298465
caaaaaaaaabaabaabeaaaabd	6298465
caaaaaaaaabaabaafbaaaabd	6298465
caaaaaaaaabaabaebbaaaabd	6298465
caaaaaaaaabaabeabbaaaabd	6298465
caaaaaaaaabaafbabbaaaabd	6298465
caaaaaaaaabaebbabbaaaabd	6298465
caaaaaaaaabeabbabbaaaabd	6298465
caaaaaaaaafbabbabbaaaabd	6298465
caaaaaaaaebbabbabbaaaabd	6298465
caaaaaaaeabbabbabbaaaabd	6298465
caaaaaaeaabbabbabbaaaabd	6298465
caaaaaeaaabbabbabbaaaabd	6298465
caaaaeaaaabbabbabbaaaabd	6298465
caaaeaaaaabbabbabbaaaabd	6298465
caaeaaaaaabbabbabbaaaabd	6298465
caeaaaaaaabbabbabbaaaabd	6298465
ceaaaaaaaabbabbabbaaaabd	6298465
cbaaaaaaaabbabbabbaaaabd	6298465
cbaaaaaaaabbabbabbaaebd	4723849
cbaaaaaaaabbabbabbaeabd	4723849
cbaaaaaaaabbabbabbeaabd	4723849
cbaaaaaaaabbabbabfbaabd	4723849
cbaaaaaaaabbabbagabaabd	4723849
cbaaaaaaaabbabbfaabaabd	4723849
cbaaaaaaaabbabgaaabaabd	4723849
cbaaaaaaaabbagbaaabaabd	4723849
cbaaaaaaaabbfabaaabaabd	4723849
cbaaaaaaaabgaabaaabaabd	4723849
cbaaaaaaaagbaabaaabaabd	4723849
cbaaaaaaafabaabaaabaabd	4723849
cbaaaaaaebabaabaaabaabd	4723849
cbaaaaaeababaabaaabaabd	4723849
cbaaaaeaababaabaaabaabd	4723849
cbaaaeaaababaabaaabaabd	4723849
cbaaeaaaababaabaaabaabd	4723849
cbaeaaaaababaabaaabaabd	4723849
cbeaaaaaababaabaaabaabd	4723849
cfbaaaaaababaabaaabaabd	4723849
caabaaaaaababaabaaabaabd	4723849
caabaaaaaababaabaaabebd	3542887
caabaaaaaababaabaaafbbd	3542887
caabaaaaaababaabaaebbbd	3542887
caabaaaaaababaabaeabbbd	3542887
