"Input number 1276 with intial rewrite term caabbbbbbaad
Generated final number 577 with final rewrite term caabaaaaabd
Number of steps: 114  Number of array doubles: 0"
Term	Number
caabbbbbbad	638
caabbbbbbd	319
caabbbbbgd	479
caabbbbgbd	479
caabbbgbbd	479
caabbgbbbd	479
caabgbbbbd	479
caagbbbbbd	479
cafabbbbbd	479
cebabbbbbd	479
cbbabbbbbd	479
cbbabbbbgd	719
cbbabbbgbd	719
cbbabbgbbd	719
cbbabgbbbd	719
cbbagbbbbd	719
cbbfabbbbd	719
cbgaabbbbd	719
cgbaabbbbd	719
cabbaabbbbd	719
cabbaabbbgd	1079
cabbaabbgbd	1079
cabbaabgbbd	1079
cabbaagbbbd	1079
cabbafabbbd	1079
cabbebabbbd	1079
cabfbbabbbd	1079
cagabbabbbd	1079
cfaabbabbbd	1079
caaaabbabbbd	1079
caaaabbabbgd	1619
caaaabbabgbd	1619
caaaabbagbbd	1619
caaaabbfabbd	1619
caaaabgaabbd	1619
caaaagbaabbd	1619
caaafabaabbd	1619
caaebabaabbd	1619
caeababaabbd	1619
ceaababaabbd	1619
cbaababaabbd	1619
cbaababaabgd	2429
cbaababaagbd	2429
cbaababafabd	2429
cbaababebabd	2429
cbaabafbbabd	2429
cbaabebbbabd	2429
cbaafbbbbabd	2429
cbaebbbbbabd	2429
cbeabbbbbabd	2429
cfbabbbbbabd	2429
caababbbbbabd	2429
caababbbbbagd	3644
caababbbbbfad	3644
caababbbbgaad	3644
caababbbgbaad	3644
caababbgbbaad	3644
caababgbbbaad	3644
caabagbbbbaad	3644
caabfabbbbaad	3644
caagaabbbbaad	3644
cafaaabbbbaad	3644
cebaaabbbbaad	3644
cbbaaabbbbaad	3644
cbbaaabbbbad	1822
cbbaaabbbbd	911
cbbaaabbbgd	1367
cbbaaabbgbd	1367
cbbaaabgbbd	1367
cbbaaagbbbd	1367
cbbaafabbbd	1367
cbbaebabbbd	1367
cbbeababbbd	1367
cbfbababbbd	1367
cgabababbbd	1367
cababababbbd	1367
cababababbgd	2051
cababababgbd	2051
cabababagbbd	2051
cabababfabbd	2051
cababagaabbd	2051
cababfaaabbd	2051
cabagaaaabbd	2051
cabfaaaaabbd	2051
cagaaaaaabbd	2051
cfaaaaaaabbd	2051
caaaaaaaaabbd	2051
caaaaaaaaabgd	3077
caaaaaaaaagbd	3077
caaaaaaaafabd	3077
caaaaaaaebabd	3077
caaaaaaeababd	3077
caaaaaeaababd	3077
caaaaeaaababd	3077
caaaeaaaababd	3077
caaeaaaaababd	3077
caeaaaaaababd	3077
ceaaaaaaababd	3077
cbaaaaaaababd	3077
cbaaaaaaabagd	4616
cbaaaaaaabfad	4616
cbaaaaaaagaad	4616
cbaaaaaafaaad	4616
cbaaaaaebaaad	4616
cbaaaaeabaaad	4616
cbaaaeaabaaad	4616
cbaaeaaabaaad	4616
cbaeaaaabaaad	4616
cbeaaaaabaaad	4616
cfbaaaaabaaad	4616
caabaaaaabaaad	4616
caabaaaaabaad	2308
caabaaaaabad	1154
caabaaaaabd	577
