"Input number 202972 with intial rewrite term cbaaabbaaabbabbbaad
Generated final number 1145 with final rewrite term caaabbbbaabd
Number of steps: 293  Number of array doubles: 0"
Term	Number
cbaaabbaaabbabbbad	101486
cbaaabbaaabbabbbd	50743
cbaaabbaaabbabbgd	76115
cbaaabbaaabbabgbd	76115
cbaaabbaaabbagbbd	76115
cbaaabbaaabbfabbd	76115
cbaaabbaaabgaabbd	76115
cbaaabbaaagbaabbd	76115
cbaaabbaafabaabbd	76115
cbaaabbaebabaabbd	76115
cbaaabbeababaabbd	76115
cbaaabfbababaabbd	76115
cbaaagabababaabbd	76115
cbaafaabababaabbd	76115
cbaebaabababaabbd	76115
cbeabaabababaabbd	76115
cfbabaabababaabbd	76115
caababaabababaabbd	76115
caababaabababaabgd	114173
caababaabababaagbd	114173
caababaabababafabd	114173
caababaabababebabd	114173
caababaababafbbabd	114173
caababaababebbbabd	114173
caababaabafbbbbabd	114173
caababaabebbbbbabd	114173
caababaafbbbbbbabd	114173
caababaebbbbbbbabd	114173
caababeabbbbbbbabd	114173
caabafbabbbbbbbabd	114173
caabebbabbbbbbbabd	114173
caafbbbabbbbbbbabd	114173
caebbbbabbbbbbbabd	114173
ceabbbbabbbbbbbabd	114173
cbabbbbabbbbbbbabd	114173
cbabbbbabbbbbbbagd	171260
cbabbbbabbbbbbbfad	171260
cbabbbbabbbbbbgaad	171260
cbabbbbabbbbbgbaad	171260
cbabbbbabbbbgbbaad	171260
cbabbbbabbbgbbbaad	171260
cbabbbbabbgbbbbaad	171260
cbabbbbabgbbbbbaad	171260
cbabbbbagbbbbbbaad	171260
cbabbbbfabbbbbbaad	171260
cbabbbgaabbbbbbaad	171260
cbabbgbaabbbbbbaad	171260
cbabgbbaabbbbbbaad	171260
cbagbbbaabbbbbbaad	171260
cbfabbbaabbbbbbaad	171260
cgaabbbaabbbbbbaad	171260
cabaabbbaabbbbbbaad	171260
cabaabbbaabbbbbbad	85630
cabaabbbaabbbbbbd	42815
cabaabbbaabbbbbgd	64223
cabaabbbaabbbbgbd	64223
cabaabbbaabbbgbbd	64223
cabaabbbaabbgbbbd	64223
cabaabbbaabgbbbbd	64223
cabaabbbaagbbbbbd	64223
cabaabbbafabbbbbd	64223
cabaabbbebabbbbbd	64223
cabaabbfbbabbbbbd	64223
cabaabgabbabbbbbd	64223
cabaagbabbabbbbbd	64223
cabafababbabbbbbd	64223
cabebababbabbbbbd	64223
cafbbababbabbbbbd	64223
cebbbababbabbbbbd	64223
cbbbbababbabbbbbd	64223
cbbbbababbabbbbgd	96335
cbbbbababbabbbgbd	96335
cbbbbababbabbgbbd	96335
cbbbbababbabgbbbd	96335
cbbbbababbagbbbbd	96335
cbbbbababbfabbbbd	96335
cbbbbababgaabbbbd	96335
cbbbbabagbaabbbbd	96335
cbbbbabfabaabbbbd	96335
cbbbbagaabaabbbbd	96335
cbbbbfaaabaabbbbd	96335
cbbbgaaaabaabbbbd	96335
cbbgbaaaabaabbbbd	96335
cbgbbaaaabaabbbbd	96335
cgbbbaaaabaabbbbd	96335
cabbbbaaaabaabbbbd	96335
cabbbbaaaabaabbbgd	144503
cabbbbaaaabaabbgbd	144503
cabbbbaaaabaabgbbd	144503
cabbbbaaaabaagbbbd	144503
cabbbbaaaabafabbbd	144503
cabbbbaaaabebabbbd	144503
cabbbbaaaafbbabbbd	144503
cabbbbaaaebbbabbbd	144503
cabbbbaaeabbbabbbd	144503
cabbbbaeaabbbabbbd	144503
cabbbbeaaabbbabbbd	144503
cabbbfbaaabbbabbbd	144503
cabbgabaaabbbabbbd	144503
cabgbabaaabbbabbbd	144503
cagbbabaaabbbabbbd	144503
cfabbabaaabbbabbbd	144503
caaabbabaaabbbabbbd	144503
caaabbabaaabbbabbgd	216755
caaabbabaaabbbabgbd	216755
caaabbabaaabbbagbbd	216755
caaabbabaaabbbfabbd	216755
caaabbabaaabbgaabbd	216755
caaabbabaaabgbaabbd	216755
caaabbabaaagbbaabbd	216755
caaabbabaafabbaabbd	216755
caaabbabaebabbaabbd	216755
caaabbabeababbaabbd	216755
caaabbafbababbaabbd	216755
caaabbebbababbaabbd	216755
caaabfbbbababbaabbd	216755
caaagabbbababbaabbd	216755
caafaabbbababbaabbd	216755
caebaabbbababbaabbd	216755
ceabaabbbababbaabbd	216755
cbabaabbbababbaabbd	216755
cbabaabbbababbaabgd	325133
cbabaabbbababbaagbd	325133
cbabaabbbababbafabd	325133
cbabaabbbababbebabd	325133
cbabaabbbababfbbabd	325133
cbabaabbbabagabbabd	325133
cbabaabbbabfaabbabd	325133
cbabaabbbagaaabbabd	325133
cbabaabbbfaaaabbabd	325133
cbabaabbgaaaaabbabd	325133
cbabaabgbaaaaabbabd	325133
cbabaagbbaaaaabbabd	325133
cbabafabbaaaaabbabd	325133
cbabebabbaaaaabbabd	325133
cbafbbabbaaaaabbabd	325133
cbebbbabbaaaaabbabd	325133
cfbbbbabbaaaaabbabd	325133
caabbbbabbaaaaabbabd	325133
caabbbbabbaaaaabbagd	487700
caabbbbabbaaaaabbfad	487700
caabbbbabbaaaaabgaad	487700
caabbbbabbaaaaagbaad	487700
caabbbbabbaaaafabaad	487700
caabbbbabbaaaebabaad	487700
caabbbbabbaaeababaad	487700
caabbbbabbaeaababaad	487700
caabbbbabbeaaababaad	487700
caabbbbabfbaaababaad	487700
caabbbbagabaaababaad	487700
caabbbbfaabaaababaad	487700
caabbbgaaabaaababaad	487700
caabbgbaaabaaababaad	487700
caabgbbaaabaaababaad	487700
caagbbbaaabaaababaad	487700
cafabbbaaabaaababaad	487700
cebabbbaaabaaababaad	487700
cbbabbbaaabaaababaad	487700
cbbabbbaaabaaababad	243850
cbbabbbaaabaaababd	121925
cbbabbbaaabaaabagd	182888
cbbabbbaaabaaabfad	182888
cbbabbbaaabaaagaad	182888
cbbabbbaaabaafaaad	182888
cbbabbbaaabaebaaad	182888
cbbabbbaaabeabaaad	182888
cbbabbbaaafbabaaad	182888
cbbabbbaaebbabaaad	182888
cbbabbbaeabbabaaad	182888
cbbabbbeaabbabaaad	182888
cbbabbfbaabbabaaad	182888
cbbabgabaabbabaaad	182888
cbbagbabaabbabaaad	182888
cbbfababaabbabaaad	182888
cbgaababaabbabaaad	182888
cgbaababaabbabaaad	182888
cabbaababaabbabaaad	182888
cabbaababaabbabaad	91444
cabbaababaabbabad	45722
cabbaababaabbabd	22861
cabbaababaabbagd	34292
cabbaababaabbfad	34292
cabbaababaabgaad	34292
cabbaababaagbaad	34292
cabbaababafabaad	34292
cabbaababebabaad	34292
cabbaabafbbabaad	34292
cabbaabebbbabaad	34292
cabbaafbbbbabaad	34292
cabbaebbbbbabaad	34292
cabbeabbbbbabaad	34292
cabfbabbbbbabaad	34292
cagababbbbbabaad	34292
cfaababbbbbabaad	34292
caaaababbbbbabaad	34292
caaaababbbbbabad	17146
caaaababbbbbabd	8573
caaaababbbbbagd	12860
caaaababbbbbfad	12860
caaaababbbbgaad	12860
caaaababbbgbaad	12860
caaaababbgbbaad	12860
caaaababgbbbaad	12860
caaaabagbbbbaad	12860
caaaabfabbbbaad	12860
caaaagaabbbbaad	12860
caaafaaabbbbaad	12860
caaebaaabbbbaad	12860
caeabaaabbbbaad	12860
ceaabaaabbbbaad	12860
cbaabaaabbbbaad	12860
cbaabaaabbbbad	6430
cbaabaaabbbbd	3215
cbaabaaabbbgd	4823
cbaabaaabbgbd	4823
cbaabaaabgbbd	4823
cbaabaaagbbbd	4823
cbaabaafabbbd	4823
cbaabaebabbbd	4823
cbaabeababbbd	4823
cbaafbababbbd	4823
cbaebbababbbd	4823
cbeabbababbbd	4823
cfbabbababbbd	4823
caababbababbbd	4823
caababbababbgd	7235
caababbababgbd	7235
caababbabagbbd	7235
caababbabfabbd	7235
caababbagaabbd	7235
caababbfaaabbd	7235
caababgaaaabbd	7235
caabagbaaaabbd	7235
caabfabaaaabbd	7235
caagaabaaaabbd	7235
cafaaabaaaabbd	7235
cebaaabaaaabbd	7235
cbbaaabaaaabbd	7235
cbbaaabaaaabgd	10853
cbbaaabaaaagbd	10853
cbbaaabaaafabd	10853
cbbaaabaaebabd	10853
cbbaaabaeababd	10853
cbbaaabeaababd	10853
cbbaaafbaababd	10853
cbbaaebbaababd	10853
cbbaeabbaababd	10853
cbbeaabbaababd	10853
cbfbaabbaababd	10853
cgabaabbaababd	10853
cababaabbaababd	10853
cababaabbaabagd	16280
cababaabbaabfad	16280
cababaabbaagaad	16280
cababaabbafaaad	16280
cababaabbebaaad	16280
cababaabfbbaaad	16280
cababaagabbaaad	16280
cababafaabbaaad	16280
cababebaabbaaad	16280
cabafbbaabbaaad	16280
cabebbbaabbaaad	16280
cafbbbbaabbaaad	16280
cebbbbbaabbaaad	16280
cbbbbbbaabbaaad	16280
cbbbbbbaabbaad	8140
cbbbbbbaabbad	4070
cbbbbbbaabbd	2035
cbbbbbbaabgd	3053
cbbbbbbaagbd	3053
cbbbbbbafabd	3053
cbbbbbbebabd	3053
cbbbbbfbbabd	3053
cbbbbgabbabd	3053
cbbbgbabbabd	3053
cbbgbbabbabd	3053
cbgbbbabbabd	3053
cgbbbbabbabd	3053
cabbbbbabbabd	3053
cabbbbbabbagd	4580
cabbbbbabbfad	4580
cabbbbbabgaad	4580
cabbbbbagbaad	4580
cabbbbbfabaad	4580
cabbbbgaabaad	4580
cabbbgbaabaad	4580
cabbgbbaabaad	4580
cabgbbbaabaad	4580
cagbbbbaabaad	4580
cfabbbbaabaad	4580
caaabbbbaabaad	4580
caaabbbbaabad	2290
caaabbbbaabd	1145
