"Input number 213244 with intial rewrite term cbabaaaaaabbbbbbaad
Generated final number 17 with final rewrite term caaabd
Number of steps: 280  Number of array doubles: 0"
Term	Number
cbabaaaaaabbbbbbad	106622
cbabaaaaaabbbbbbd	53311
cbabaaaaaabbbbbgd	79967
cbabaaaaaabbbbgbd	79967
cbabaaaaaabbbgbbd	79967
cbabaaaaaabbgbbbd	79967
cbabaaaaaabgbbbbd	79967
cbabaaaaaagbbbbbd	79967
cbabaaaaafabbbbbd	79967
cbabaaaaebabbbbbd	79967
cbabaaaeababbbbbd	79967
cbabaaeaababbbbbd	79967
cbabaeaaababbbbbd	79967
cbabeaaaababbbbbd	79967
cbafbaaaababbbbbd	79967
cbebbaaaababbbbbd	79967
cfbbbaaaababbbbbd	79967
caabbbaaaababbbbbd	79967
caabbbaaaababbbbgd	119951
caabbbaaaababbbgbd	119951
caabbbaaaababbgbbd	119951
caabbbaaaababgbbbd	119951
caabbbaaaabagbbbbd	119951
caabbbaaaabfabbbbd	119951
caabbbaaaagaabbbbd	119951
caabbbaaafaaabbbbd	119951
caabbbaaebaaabbbbd	119951
caabbbaeabaaabbbbd	119951
caabbbeaabaaabbbbd	119951
caabbfbaabaaabbbbd	119951
caabgabaabaaabbbbd	119951
caagbabaabaaabbbbd	119951
cafababaabaaabbbbd	119951
cebababaabaaabbbbd	119951
cbbababaabaaabbbbd	119951
cbbababaabaaabbbgd	179927
cbbababaabaaabbgbd	179927
cbbababaabaaabgbbd	179927
cbbababaabaaagbbbd	179927
cbbababaabaafabbbd	179927
cbbababaabaebabbbd	179927
cbbababaabeababbbd	179927
cbbababaafbababbbd	179927
cbbababaebbababbbd	179927
cbbababeabbababbbd	179927
cbbabafbabbababbbd	179927
cbbabebbabbababbbd	179927
cbbafbbbabbababbbd	179927
cbbebbbbabbababbbd	179927
cbfbbbbbabbababbbd	179927
cgabbbbbabbababbbd	179927
cababbbbbabbababbbd	179927
cababbbbbabbababbgd	269891
cababbbbbabbababgbd	269891
cababbbbbabbabagbbd	269891
cababbbbbabbabfabbd	269891
cababbbbbabbagaabbd	269891
cababbbbbabbfaaabbd	269891
cababbbbbabgaaaabbd	269891
cababbbbbagbaaaabbd	269891
cababbbbbfabaaaabbd	269891
cababbbbgaabaaaabbd	269891
cababbbgbaabaaaabbd	269891
cababbgbbaabaaaabbd	269891
cababgbbbaabaaaabbd	269891
cabagbbbbaabaaaabbd	269891
cabfabbbbaabaaaabbd	269891
cagaabbbbaabaaaabbd	269891
cfaaabbbbaabaaaabbd	269891
caaaaabbbbaabaaaabbd	269891
caaaaabbbbaabaaaabgd	404837
caaaaabbbbaabaaaagbd	404837
caaaaabbbbaabaaafabd	404837
caaaaabbbbaabaaebabd	404837
caaaaabbbbaabaeababd	404837
caaaaabbbbaabeaababd	404837
caaaaabbbbaafbaababd	404837
caaaaabbbbaebbaababd	404837
caaaaabbbbeabbaababd	404837
caaaaabbbfbabbaababd	404837
caaaaabbgababbaababd	404837
caaaaabgbababbaababd	404837
caaaaagbbababbaababd	404837
caaaafabbababbaababd	404837
caaaebabbababbaababd	404837
caaeababbababbaababd	404837
caeaababbababbaababd	404837
ceaaababbababbaababd	404837
cbaaababbababbaababd	404837
cbaaababbababbaabagd	607256
cbaaababbababbaabfad	607256
cbaaababbababbaagaad	607256
cbaaababbababbafaaad	607256
cbaaababbababbebaaad	607256
cbaaababbababfbbaaad	607256
cbaaababbabagabbaaad	607256
