"Input number 231166 with intial rewrite term cbbaaaabbabbbbbbbad
Generated final number 17 with final rewrite term caaabd
Number of steps: 471  Number of array doubles: 0"
Term	Number
cbbaaaabbabbbbbbbd	115583
cbbaaaabbabbbbbbgd	173375
cbbaaaabbabbbbbgbd	173375
cbbaaaabbabbbbgbbd	173375
cbbaaaabbabbbgbbbd	173375
cbbaaaabbabbgbbbbd	173375
cbbaaaabbabgbbbbbd	173375
cbbaaaabbagbbbbbbd	173375
cbbaaaabbfabbbbbbd	173375
cbbaaaabgaabbbbbbd	173375
cbbaaaagbaabbbbbbd	173375
cbbaaafabaabbbbbbd	173375
cbbaaebabaabbbbbbd	173375
cbbaeababaabbbbbbd	173375
cbbeaababaabbbbbbd	173375
cbfbaababaabbbbbbd	173375
cgabaababaabbbbbbd	173375
cababaababaabbbbbbd	173375
cababaababaabbbbbgd	260063
cababaababaabbbbgbd	260063
cababaababaabbbgbbd	260063
cababaababaabbgbbbd	260063
cababaababaabgbbbbd	260063
cababaababaagbbbbbd	260063
cababaababafabbbbbd	260063
cababaababebabbbbbd	260063
cababaabafbbabbbbbd	260063
cababaabebbbabbbbbd	260063
cababaafbbbbabbbbbd	260063
cababaebbbbbabbbbbd	260063
cababeabbbbbabbbbbd	260063
cabafbabbbbbabbbbbd	260063
cabebbabbbbbabbbbbd	260063
cafbbbabbbbbabbbbbd	260063
cebbbbabbbbbabbbbbd	260063
cbbbbbabbbbbabbbbbd	260063
cbbbbbabbbbbabbbbgd	390095
cbbbbbabbbbbabbbgbd	390095
cbbbbbabbbbbabbgbbd	390095
cbbbbbabbbbbabgbbbd	390095
cbbbbbabbbbbagbbbbd	390095
cbbbbbabbbbbfabbbbd	390095
cbbbbbabbbbgaabbbbd	390095
cbbbbbabbbgbaabbbbd	390095
cbbbbbabbgbbaabbbbd	390095
cbbbbbabgbbbaabbbbd	390095
cbbbbbagbbbbaabbbbd	390095
cbbbbbfabbbbaabbbbd	390095
cbbbbgaabbbbaabbbbd	390095
cbbbgbaabbbbaabbbbd	390095
cbbgbbaabbbbaabbbbd	390095
cbgbbbaabbbbaabbbbd	390095
cgbbbbaabbbbaabbbbd	390095
cabbbbbaabbbbaabbbbd	390095
cabbbbbaabbbbaabbbgd	585143
cabbbbbaabbbbaabbgbd	585143
cabbbbbaabbbbaabgbbd	585143
cabbbbbaabbbbaagbbbd	585143
cabbbbbaabbbbafabbbd	585143
cabbbbbaabbbbebabbbd	585143
cabbbbbaabbbfbbabbbd	585143
cabbbbbaabbgabbabbbd	585143
cabbbbbaabgbabbabbbd	585143
cabbbbbaagbbabbabbbd	585143
cabbbbbafabbabbabbbd	585143
cabbbbbebabbabbabbbd	585143
cabbbbfbbabbabbabbbd	585143
cabbbgabbabbabbabbbd	585143
cabbgbabbabbabbabbbd	585143
cabgbbabbabbabbabbbd	585143
cagbbbabbabbabbabbbd	585143
cfabbbabbabbabbabbbd	585143
caaabbbabbabbabbabbbd	585143
caaabbbabbabbabbabbgd	877715
caaabbbabbabbabbabgbd	877715
caaabbbabbabbabbagbbd	877715
caaabbbabbabbabbfabbd	877715
caaabbbabbabbabgaabbd	877715
caaabbbabbabbagbaabbd	877715
caaabbbabbabbfabaabbd	877715
caaabbbabbabgaabaabbd	877715
caaabbbabbagbaabaabbd	877715
caaabbbabbfabaabaabbd	877715
caaabbbabgaabaabaabbd	877715
caaabbbagbaabaabaabbd	877715
caaabbbfabaabaabaabbd	877715
caaabbgaabaabaabaabbd	877715
caaabgbaabaabaabaabbd	877715
caaagbbaabaabaabaabbd	877715
caafabbaabaabaabaabbd	877715
caebabbaabaabaabaabbd	877715
ceababbaabaabaabaabbd	877715
cbababbaabaabaabaabbd	877715
cbababbaabaabaabaabgd	1316573
cbababbaabaabaabaagbd	1316573
cbababbaabaabaabafabd	1316573
cbababbaabaabaabebabd	1316573
cbababbaabaabaafbbabd	1316573
cbababbaabaabaebbbabd	1316573
cbababbaabaabeabbbabd	1316573
cbababbaabaafbabbbabd	1316573
cbababbaabaebbabbbabd	1316573
cbababbaabeabbabbbabd	1316573
cbababbaafbabbabbbabd	1316573
cbababbaebbabbabbbabd	1316573
cbababbeabbabbabbbabd	1316573
cbababfbabbabbabbbabd	1316573
cbabagababbabbabbbabd	1316573
cbabfaababbabbabbbabd	1316573
cbagaaababbabbabbbabd	1316573
cbfaaaababbabbabbbabd	1316573
cgaaaaababbabbabbbabd	1316573
cabaaaaababbabbabbbabd	1316573
cabaaaaababbabbabbbagd	1974860
cabaaaaababbabbabbbfad	1974860
cabaaaaababbabbabbgaad	1974860
cabaaaaababbabbabgbaad	1974860
cabaaaaababbabbagbbaad	1974860
cabaaaaababbabbfabbaad	1974860
cabaaaaababbabgaabbaad	1974860
cabaaaaababbagbaabbaad	1974860
cabaaaaababbfabaabbaad	1974860
cabaaaaababgaabaabbaad	1974860
cabaaaaabagbaabaabbaad	1974860
cabaaaaabfabaabaabbaad	1974860
cabaaaaagaabaabaabbaad	1974860
cabaaaafaaabaabaabbaad	1974860
cabaaaebaaabaabaabbaad	1974860
cabaaeabaaabaabaabbaad	1974860
cabaeaabaaabaabaabbaad	1974860
cabeaaabaaabaabaabbaad	1974860
cafbaaabaaabaabaabbaad	1974860
cebbaaabaaabaabaabbaad	1974860
