"Input number 965500 with intial rewrite term cbbababbbabbabbbbbaad
Generated final number 6209 with final rewrite term cbaaaabaaaaabd
Number of steps: 602  Number of array doubles: 0"
Term	Number
cbbababbbabbabbbbbad	482750
cbbababbbabbabbbbbd	241375
cbbababbbabbabbbbgd	362063
cbbababbbabbabbbgbd	362063
cbbababbbabbabbgbbd	362063
cbbababbbabbabgbbbd	362063
cbbababbbabbagbbbbd	362063
cbbababbbabbfabbbbd	362063
cbbababbbabgaabbbbd	362063
cbbababbbagbaabbbbd	362063
cbbababbbfabaabbbbd	362063
cbbababbgaabaabbbbd	362063
cbbababgbaabaabbbbd	362063
cbbabagbbaabaabbbbd	362063
cbbabfabbaabaabbbbd	362063
cbbagaabbaabaabbbbd	362063
cbbfaaabbaabaabbbbd	362063
cbgaaaabbaabaabbbbd	362063
cgbaaaabbaabaabbbbd	362063
cabbaaaabbaabaabbbbd	362063
cabbaaaabbaabaabbbgd	543095
cabbaaaabbaabaabbgbd	543095
cabbaaaabbaabaabgbbd	543095
cabbaaaabbaabaagbbbd	543095
cabbaaaabbaabafabbbd	543095
cabbaaaabbaabebabbbd	543095
cabbaaaabbaafbbabbbd	543095
cabbaaaabbaebbbabbbd	543095
cabbaaaabbeabbbabbbd	543095
cabbaaaabfbabbbabbbd	543095
cabbaaaagababbbabbbd	543095
cabbaaafaababbbabbbd	543095
cabbaaebaababbbabbbd	543095
cabbaeabaababbbabbbd	543095
cabbeaabaababbbabbbd	543095
cabfbaabaababbbabbbd	543095
cagabaabaababbbabbbd	543095
cfaabaabaababbbabbbd	543095
caaaabaabaababbbabbbd	543095
caaaabaabaababbbabbgd	814643
caaaabaabaababbbabgbd	814643
caaaabaabaababbbagbbd	814643
caaaabaabaababbbfabbd	814643
caaaabaabaababbgaabbd	814643
caaaabaabaababgbaabbd	814643
caaaabaabaabagbbaabbd	814643
caaaabaabaabfabbaabbd	814643
caaaabaabaagaabbaabbd	814643
caaaabaabafaaabbaabbd	814643
caaaabaabebaaabbaabbd	814643
caaaabaafbbaaabbaabbd	814643
caaaabaebbbaaabbaabbd	814643
caaaabeabbbaaabbaabbd	814643
caaaafbabbbaaabbaabbd	814643
caaaebbabbbaaabbaabbd	814643
caaeabbabbbaaabbaabbd	814643
caeaabbabbbaaabbaabbd	814643
ceaaabbabbbaaabbaabbd	814643
cbaaabbabbbaaabbaabbd	814643
cbaaabbabbbaaabbaabgd	1221965
cbaaabbabbbaaabbaagbd	1221965
cbaaabbabbbaaabbafabd	1221965
cbaaabbabbbaaabbebabd	1221965
cbaaabbabbbaaabfbbabd	1221965
cbaaabbabbbaaagabbabd	1221965
cbaaabbabbbaafaabbabd	1221965
cbaaabbabbbaebaabbabd	1221965
cbaaabbabbbeabaabbabd	1221965
cbaaabbabbfbabaabbabd	1221965
cbaaabbabgababaabbabd	1221965
cbaaabbagbababaabbabd	1221965
cbaaabbfabababaabbabd	1221965
cbaaabgaabababaabbabd	1221965
cbaaagbaabababaabbabd	1221965
cbaafabaabababaabbabd	1221965
cbaebabaabababaabbabd	1221965
cbeababaabababaabbabd	1221965
cfbababaabababaabbabd	1221965
caabababaabababaabbabd	1221965
caabababaabababaabbagd	1832948
caabababaabababaabbfad	1832948
caabababaabababaabgaad	1832948
caabababaabababaagbaad	1832948
caabababaabababafabaad	1832948
caabababaabababebabaad	1832948
caabababaababafbbabaad	1832948
caabababaababebbbabaad	1832948
caabababaabafbbbbabaad	1832948
caabababaabebbbbbabaad	1832948
caabababaafbbbbbbabaad	1832948
caabababaebbbbbbbabaad	1832948
caabababeabbbbbbbabaad	1832948
caababafbabbbbbbbabaad	1832948
caababebbabbbbbbbabaad	1832948
caabafbbbabbbbbbbabaad	1832948
caabebbbbabbbbbbbabaad	1832948
caafbbbbbabbbbbbbabaad	1832948
caebbbbbbabbbbbbbabaad	1832948
ceabbbbbbabbbbbbbabaad	1832948
cbabbbbbbabbbbbbbabaad	1832948
cbabbbbbbabbbbbbbabad	916474
cbabbbbbbabbbbbbbabd	458237
cbabbbbbbabbbbbbbagd	687356
cbabbbbbbabbbbbbbfad	687356
cbabbbbbbabbbbbbgaad	687356
cbabbbbbbabbbbbgbaad	687356
cbabbbbbbabbbbgbbaad	687356
cbabbbbbbabbbgbbbaad	687356
cbabbbbbbabbgbbbbaad	687356
cbabbbbbbabgbbbbbaad	687356
cbabbbbbbagbbbbbbaad	687356
cbabbbbbbfabbbbbbaad	687356
cbabbbbbgaabbbbbbaad	687356
cbabbbbgbaabbbbbbaad	687356
cbabbbgbbaabbbbbbaad	687356
cbabbgbbbaabbbbbbaad	687356
cbabgbbbbaabbbbbbaad	687356
cbagbbbbbaabbbbbbaad	687356
cbfabbbbbaabbbbbbaad	687356
cgaabbbbbaabbbbbbaad	687356
cabaabbbbbaabbbbbbaad	687356
cabaabbbbbaabbbbbbad	343678
cabaabbbbbaabbbbbbd	171839
cabaabbbbbaabbbbbgd	257759
cabaabbbbbaabbbbgbd	257759
cabaabbbbbaabbbgbbd	257759
cabaabbbbbaabbgbbbd	257759
cabaabbbbbaabgbbbbd	257759
cabaabbbbbaagbbbbbd	257759
cabaabbbbbafabbbbbd	257759
cabaabbbbbebabbbbbd	257759
cabaabbbbfbbabbbbbd	257759
cabaabbbgabbabbbbbd	257759
cabaabbgbabbabbbbbd	257759
cabaabgbbabbabbbbbd	257759
cabaagbbbabbabbbbbd	257759
cabafabbbabbabbbbbd	257759
cabebabbbabbabbbbbd	257759
cafbbabbbabbabbbbbd	257759
cebbbabbbabbabbbbbd	257759
cbbbbabbbabbabbbbbd	257759
