"Input number 10473136 with intial rewrite term caabbbbbbbaabbbababbaaaad
Generated final number 620527837 with final rewrite term caabaabbbbbbaabaaaaaaabbabbbabd
Number of steps: 855  Number of array doubles: 0"
Term	Number
caabbbbbbbaabbbababbaaad	5236568
caabbbbbbbaabbbababbaad	2618284
caabbbbbbbaabbbababbad	1309142
caabbbbbbbaabbbababbd	654571
caabbbbbbbaabbbababgd	981857
caabbbbbbbaabbbabagbd	981857
caabbbbbbbaabbbabfabd	981857
caabbbbbbbaabbbagaabd	981857
caabbbbbbbaabbbfaaabd	981857
caabbbbbbbaabbgaaaabd	981857
caabbbbbbbaabgbaaaabd	981857
caabbbbbbbaagbbaaaabd	981857
caabbbbbbbafabbaaaabd	981857
caabbbbbbbebabbaaaabd	981857
caabbbbbbfbbabbaaaabd	981857
caabbbbbgabbabbaaaabd	981857
caabbbbgbabbabbaaaabd	981857
caabbbgbbabbabbaaaabd	981857
caabbgbbbabbabbaaaabd	981857
caabgbbbbabbabbaaaabd	981857
caagbbbbbabbabbaaaabd	981857
cafabbbbbabbabbaaaabd	981857
cebabbbbbabbabbaaaabd	981857
cbbabbbbbabbabbaaaabd	981857
cbbabbbbbabbabbaaaagd	1472786
cbbabbbbbabbabbaaafad	1472786
cbbabbbbbabbabbaaebad	1472786
cbbabbbbbabbabbaeabad	1472786
cbbabbbbbabbabbeaabad	1472786
cbbabbbbbabbabfbaabad	1472786
cbbabbbbbabbagabaabad	1472786
cbbabbbbbabbfaabaabad	1472786
cbbabbbbbabgaaabaabad	1472786
cbbabbbbbagbaaabaabad	1472786
cbbabbbbbfabaaabaabad	1472786
cbbabbbbgaabaaabaabad	1472786
cbbabbbgbaabaaabaabad	1472786
cbbabbgbbaabaaabaabad	1472786
cbbabgbbbaabaaabaabad	1472786
cbbagbbbbaabaaabaabad	1472786
cbbfabbbbaabaaabaabad	1472786
cbgaabbbbaabaaabaabad	1472786
cgbaabbbbaabaaabaabad	1472786
cabbaabbbbaabaaabaabad	1472786
cabbaabbbbaabaaabaabd	736393
cabbaabbbbaabaaabaagd	1104590
cabbaabbbbaabaaabafad	1104590
cabbaabbbbaabaaabebad	1104590
cabbaabbbbaabaaafbbad	1104590
cabbaabbbbaabaaebbbad	1104590
cabbaabbbbaabaeabbbad	1104590
cabbaabbbbaabeaabbbad	1104590
cabbaabbbbaafbaabbbad	1104590
cabbaabbbbaebbaabbbad	1104590
cabbaabbbbeabbaabbbad	1104590
cabbaabbbfbabbaabbbad	1104590
cabbaabbgababbaabbbad	1104590
cabbaabgbababbaabbbad	1104590
cabbaagbbababbaabbbad	1104590
cabbafabbababbaabbbad	1104590
cabbebabbababbaabbbad	1104590
cabfbbabbababbaabbbad	1104590
cagabbabbababbaabbbad	1104590
cfaabbabbababbaabbbad	1104590
caaaabbabbababbaabbbad	1104590
caaaabbabbababbaabbbd	552295
caaaabbabbababbaabbgd	828443
caaaabbabbababbaabgbd	828443
caaaabbabbababbaagbbd	828443
caaaabbabbababbafabbd	828443
caaaabbabbababbebabbd	828443
caaaabbabbababfbbabbd	828443
caaaabbabbabagabbabbd	828443
caaaabbabbabfaabbabbd	828443
caaaabbabbagaaabbabbd	828443
caaaabbabbfaaaabbabbd	828443
caaaabbabgaaaaabbabbd	828443
caaaabbagbaaaaabbabbd	828443
caaaabbfabaaaaabbabbd	828443
caaaabgaabaaaaabbabbd	828443
caaaagbaabaaaaabbabbd	828443
caaafabaabaaaaabbabbd	828443
caaebabaabaaaaabbabbd	828443
caeababaabaaaaabbabbd	828443
ceaababaabaaaaabbabbd	828443
cbaababaabaaaaabbabbd	828443
cbaababaabaaaaabbabgd	1242665
cbaababaabaaaaabbagbd	1242665
cbaababaabaaaaabbfabd	1242665
cbaababaabaaaaabgaabd	1242665
cbaababaabaaaaagbaabd	1242665
cbaababaabaaaafabaabd	1242665
cbaababaabaaaebabaabd	1242665
cbaababaabaaeababaabd	1242665
cbaababaabaeaababaabd	1242665
cbaababaabeaaababaabd	1242665
cbaababaafbaaababaabd	1242665
cbaababaebbaaababaabd	1242665
cbaababeabbaaababaabd	1242665
cbaabafbabbaaababaabd	1242665
cbaabebbabbaaababaabd	1242665
cbaafbbbabbaaababaabd	1242665
cbaebbbbabbaaababaabd	1242665
cbeabbbbabbaaababaabd	1242665
cfbabbbbabbaaababaabd	1242665
caababbbbabbaaababaabd	1242665
caababbbbabbaaababaagd	1863998
caababbbbabbaaababafad	1863998
caababbbbabbaaababebad	1863998
caababbbbabbaaabafbbad	1863998
caababbbbabbaaabebbbad	1863998
caababbbbabbaaafbbbbad	1863998
caababbbbabbaaebbbbbad	1863998
caababbbbabbaeabbbbbad	1863998
caababbbbabbeaabbbbbad	1863998
caababbbbabfbaabbbbbad	1863998
caababbbbagabaabbbbbad	1863998
caababbbbfaabaabbbbbad	1863998
caababbbgaaabaabbbbbad	1863998
caababbgbaaabaabbbbbad	1863998
caababgbbaaabaabbbbbad	1863998
caabagbbbaaabaabbbbbad	1863998
caabfabbbaaabaabbbbbad	1863998
caagaabbbaaabaabbbbbad	1863998
cafaaabbbaaabaabbbbbad	1863998
cebaaabbbaaabaabbbbbad	1863998
cbbaaabbbaaabaabbbbbad	1863998
cbbaaabbbaaabaabbbbbd	931999
cbbaaabbbaaabaabbbbgd	1397999
cbbaaabbbaaabaabbbgbd	1397999
cbbaaabbbaaabaabbgbbd	1397999
cbbaaabbbaaabaabgbbbd	1397999
cbbaaabbbaaabaagbbbbd	1397999
cbbaaabbbaaabafabbbbd	1397999
