"Input number 18364 with intial rewrite term caaabbbbabbbbaad
Generated final number 2038405 with final rewrite term cbbbbaaabbababaaaababd
Number of steps: 476  Number of array doubles: 0"
Term	Number
caaabbbbabbbbad	9182
caaabbbbabbbbd	4591
caaabbbbabbbgd	6887
caaabbbbabbgbd	6887
caaabbbbabgbbd	6887
caaabbbbagbbbd	6887
caaabbbbfabbbd	6887
caaabbbgaabbbd	6887
caaabbgbaabbbd	6887
caaabgbbaabbbd	6887
caaagbbbaabbbd	6887
caafabbbaabbbd	6887
caebabbbaabbbd	6887
ceababbbaabbbd	6887
cbababbbaabbbd	6887
cbababbbaabbgd	10331
cbababbbaabgbd	10331
cbababbbaagbbd	10331
cbababbbafabbd	10331
cbababbbebabbd	10331
cbababbfbbabbd	10331
cbababgabbabbd	10331
cbabagbabbabbd	10331
cbabfababbabbd	10331
cbagaababbabbd	10331
cbfaaababbabbd	10331
cgaaaababbabbd	10331
cabaaaababbabbd	10331
cabaaaababbabgd	15497
cabaaaababbagbd	15497
cabaaaababbfabd	15497
cabaaaababgaabd	15497
cabaaaabagbaabd	15497
cabaaaabfabaabd	15497
cabaaaagaabaabd	15497
cabaaafaaabaabd	15497
cabaaebaaabaabd	15497
cabaeabaaabaabd	15497
cabeaabaaabaabd	15497
cafbaabaaabaabd	15497
cebbaabaaabaabd	15497
cbbbaabaaabaabd	15497
cbbbaabaaabaagd	23246
cbbbaabaaabafad	23246
cbbbaabaaabebad	23246
cbbbaabaaafbbad	23246
cbbbaabaaebbbad	23246
cbbbaabaeabbbad	23246
cbbbaabeaabbbad	23246
cbbbaafbaabbbad	23246
cbbbaebbaabbbad	23246
cbbbeabbaabbbad	23246
cbbfbabbaabbbad	23246
cbgababbaabbbad	23246
cgbababbaabbbad	23246
cabbababbaabbbad	23246
cabbababbaabbbd	11623
cabbababbaabbgd	17435
cabbababbaabgbd	17435
cabbababbaagbbd	17435
cabbababbafabbd	17435
cabbababbebabbd	17435
cabbababfbbabbd	17435
cabbabagabbabbd	17435
cabbabfaabbabbd	17435
cabbagaaabbabbd	17435
cabbfaaaabbabbd	17435
cabgaaaaabbabbd	17435
cagbaaaaabbabbd	17435
cfabaaaaabbabbd	17435
caaabaaaaabbabbd	17435
caaabaaaaabbabgd	26153
caaabaaaaabbagbd	26153
caaabaaaaabbfabd	26153
caaabaaaaabgaabd	26153
caaabaaaaagbaabd	26153
caaabaaaafabaabd	26153
caaabaaaebabaabd	26153
caaabaaeababaabd	26153
caaabaeaababaabd	26153
caaabeaaababaabd	26153
caaafbaaababaabd	26153
caaebbaaababaabd	26153
caeabbaaababaabd	26153
ceaabbaaababaabd	26153
cbaabbaaababaabd	26153
cbaabbaaababaagd	39230
cbaabbaaababafad	39230
cbaabbaaababebad	39230
cbaabbaaabafbbad	39230
cbaabbaaabebbbad	39230
cbaabbaaafbbbbad	39230
cbaabbaaebbbbbad	39230
cbaabbaeabbbbbad	39230
cbaabbeaabbbbbad	39230
cbaabfbaabbbbbad	39230
cbaagabaabbbbbad	39230
cbafaabaabbbbbad	39230
cbebaabaabbbbbad	39230
cfbbaabaabbbbbad	39230
caabbaabaabbbbbad	39230
caabbaabaabbbbbd	19615
caabbaabaabbbbgd	29423
caabbaabaabbbgbd	29423
caabbaabaabbgbbd	29423
caabbaabaabgbbbd	29423
caabbaabaagbbbbd	29423
caabbaabafabbbbd	29423
caabbaabebabbbbd	29423
caabbaafbbabbbbd	29423
caabbaebbbabbbbd	29423
caabbeabbbabbbbd	29423
caabfbabbbabbbbd	29423
caagababbbabbbbd	29423
cafaababbbabbbbd	29423
cebaababbbabbbbd	29423
cbbaababbbabbbbd	29423
cbbaababbbabbbgd	44135
cbbaababbbabbgbd	44135
cbbaababbbabgbbd	44135
cbbaababbbagbbbd	44135
cbbaababbbfabbbd	44135
cbbaababbgaabbbd	44135
cbbaababgbaabbbd	44135
cbbaabagbbaabbbd	44135
cbbaabfabbaabbbd	44135
cbbaagaabbaabbbd	44135
cbbafaaabbaabbbd	44135
cbbebaaabbaabbbd	44135
cbfbbaaabbaabbbd	44135
cgabbaaabbaabbbd	44135
cababbaaabbaabbbd	44135
cababbaaabbaabbgd	66203
cababbaaabbaabgbd	66203
cababbaaabbaagbbd	66203
cababbaaabbafabbd	66203
cababbaaabbebabbd	66203
cababbaaabfbbabbd	66203
cababbaaagabbabbd	66203
cababbaafaabbabbd	66203
cababbaebaabbabbd	66203
cababbeabaabbabbd	66203
cababfbabaabbabbd	66203
cabagababaabbabbd	66203
cabfaababaabbabbd	66203
cagaaababaabbabbd	66203
cfaaaababaabbabbd	66203
caaaaaababaabbabbd	66203
caaaaaababaabbabgd	99305
caaaaaababaabbagbd	99305
caaaaaababaabbfabd	99305
caaaaaababaabgaabd	99305
caaaaaababaagbaabd	99305
caaaaaababafabaabd	99305
caaaaaababebabaabd	99305
caaaaaabafbbabaabd	99305
caaaaaabebbbabaabd	99305
caaaaaafbbbbabaabd	99305
caaaaaebbbbbabaabd	99305
caaaaeabbbbbabaabd	99305
caaaeaabbbbbabaabd	99305
caaeaaabbbbbabaabd	99305
caeaaaabbbbbabaabd	99305
ceaaaaabbbbbabaabd	99305
cbaaaaabbbbbabaabd	99305
cbaaaaabbbbbabaagd	148958
cbaaaaabbbbbabafad	148958
cbaaaaabbbbbabebad	148958
cbaaaaabbbbbafbbad	148958
cbaaaaabbbbbebbbad	148958
cbaaaaabbbbfbbbbad	148958
cbaaaaabbbgabbbbad	148958
cbaaaaabbgbabbbbad	148958
cbaaaaabgbbabbbbad	148958
cbaaaaagbbbabbbbad	148958
cbaaaafabbbabbbbad	148958
cbaaaebabbbabbbbad	148958
cbaaeababbbabbbbad	148958
cbaeaababbbabbbbad	148958
cbeaaababbbabbbbad	148958
cfbaaababbbabbbbad	148958
caabaaababbbabbbbad	148958
caabaaababbbabbbbd	74479
caabaaababbbabbbgd	111719
caabaaababbbabbgbd	111719
caabaaababbbabgbbd	111719
caabaaababbbagbbbd	111719
caabaaababbbfabbbd	111719
caabaaababbgaabbbd	111719
caabaaababgbaabbbd	111719
caabaaabagbbaabbbd	111719
caabaaabfabbaabbbd	111719
caabaaagaabbaabbbd	111719
caabaafaaabbaabbbd	111719
caabaebaaabbaabbbd	111719
caabeabaaabbaabbbd	111719
caafbabaaabbaabbbd	111719
caebbabaaabbaabbbd	111719
ceabbabaaabbaabbbd	111719
cbabbabaaabbaabbbd	111719
cbabbabaaabbaabbgd	167579
cbabbabaaabbaabgbd	167579
cbabbabaaabbaagbbd	167579
cbabbabaaabbafabbd	167579
cbabbabaaabbebabbd	167579
cbabbabaaabfbbabbd	167579
cbabbabaaagabbabbd	167579
cbabbabaafaabbabbd	167579
cbabbabaebaabbabbd	167579
cbabbabeabaabbabbd	167579
cbabbafbabaabbabbd	167579
cbabbebbabaabbabbd	167579
cbabfbbbabaabbabbd	167579
cbagabbbabaabbabbd	167579
cbfaabbbabaabbabbd	167579
cgaaabbbabaabbabbd	167579
cabaaabbbabaabbabbd	167579
cabaaabbbabaabbabgd	251369
cabaaabbbabaabbagbd	251369
cabaaabbbabaabbfabd	251369
cabaaabbbabaabgaabd	251369
cabaaabbbabaagbaabd	251369
cabaaabbbabafabaabd	251369
cabaaabbbabebabaabd	251369
cabaaabbbafbbabaabd	251369
cabaaabbbebbbabaabd	251369
cabaaabbfbbbbabaabd	251369
cabaaabgabbbbabaabd	251369
cabaaagbabbbbabaabd	251369
cabaafababbbbabaabd	251369
cabaebababbbbabaabd	251369
cabeabababbbbabaabd	251369
cafbabababbbbabaabd	251369
cebbabababbbbabaabd	251369
cbbbabababbbbabaabd	251369
cbbbabababbbbabaagd	377054
cbbbabababbbbabafad	377054
cbbbabababbbbabebad	377054
cbbbabababbbbafbbad	377054
cbbbabababbbbebbbad	377054
cbbbabababbbfbbbbad	377054
cbbbabababbgabbbbad	377054
cbbbabababgbabbbbad	377054
cbbbababagbbabbbbad	377054
cbbbababfabbabbbbad	377054
cbbbabagaabbabbbbad	377054
cbbbabfaaabbabbbbad	377054
cbbbagaaaabbabbbbad	377054
cbbbfaaaaabbabbbbad	377054
cbbgaaaaaabbabbbbad	377054
cbgbaaaaaabbabbbbad	377054
cgbbaaaaaabbabbbbad	377054
cabbbaaaaaabbabbbbad	377054
cabbbaaaaaabbabbbbd	188527
cabbbaaaaaabbabbbgd	282791
cabbbaaaaaabbabbgbd	282791
cabbbaaaaaabbabgbbd	282791
cabbbaaaaaabbagbbbd	282791
cabbbaaaaaabbfabbbd	282791
cabbbaaaaaabgaabbbd	282791
cabbbaaaaaagbaabbbd	282791
cabbbaaaaafabaabbbd	282791
cabbbaaaaebabaabbbd	282791
cabbbaaaeababaabbbd	282791
cabbbaaeaababaabbbd	282791
cabbbaeaaababaabbbd	282791
cabbbeaaaababaabbbd	282791
