"Input number 2751484 with intial rewrite term cabaabbbbbbabbbbbbbbaad
Generated final number 6692535845 with final rewrite term cbaaabbbabbbaabbbbbbbbbbaaabaababd
Number of steps: 1403  Number of array doubles: 0"
Term	Number
cabaabbbbbbabbbbbbbbad	1375742
cabaabbbbbbabbbbbbbbd	687871
cabaabbbbbbabbbbbbbgd	1031807
cabaabbbbbbabbbbbbgbd	1031807
cabaabbbbbbabbbbbgbbd	1031807
cabaabbbbbbabbbbgbbbd	1031807
cabaabbbbbbabbbgbbbbd	1031807
cabaabbbbbbabbgbbbbbd	1031807
cabaabbbbbbabgbbbbbbd	1031807
cabaabbbbbbagbbbbbbbd	1031807
cabaabbbbbbfabbbbbbbd	1031807
cabaabbbbbgaabbbbbbbd	1031807
cabaabbbbgbaabbbbbbbd	1031807
cabaabbbgbbaabbbbbbbd	1031807
cabaabbgbbbaabbbbbbbd	1031807
cabaabgbbbbaabbbbbbbd	1031807
cabaagbbbbbaabbbbbbbd	1031807
cabafabbbbbaabbbbbbbd	1031807
cabebabbbbbaabbbbbbbd	1031807
cafbbabbbbbaabbbbbbbd	1031807
cebbbabbbbbaabbbbbbbd	1031807
cbbbbabbbbbaabbbbbbbd	1031807
cbbbbabbbbbaabbbbbbgd	1547711
cbbbbabbbbbaabbbbbgbd	1547711
cbbbbabbbbbaabbbbgbbd	1547711
cbbbbabbbbbaabbbgbbbd	1547711
cbbbbabbbbbaabbgbbbbd	1547711
cbbbbabbbbbaabgbbbbbd	1547711
cbbbbabbbbbaagbbbbbbd	1547711
cbbbbabbbbbafabbbbbbd	1547711
cbbbbabbbbbebabbbbbbd	1547711
cbbbbabbbbfbbabbbbbbd	1547711
cbbbbabbbgabbabbbbbbd	1547711
cbbbbabbgbabbabbbbbbd	1547711
cbbbbabgbbabbabbbbbbd	1547711
cbbbbagbbbabbabbbbbbd	1547711
cbbbbfabbbabbabbbbbbd	1547711
cbbbgaabbbabbabbbbbbd	1547711
cbbgbaabbbabbabbbbbbd	1547711
cbgbbaabbbabbabbbbbbd	1547711
cgbbbaabbbabbabbbbbbd	1547711
cabbbbaabbbabbabbbbbbd	1547711
cabbbbaabbbabbabbbbbgd	2321567
cabbbbaabbbabbabbbbgbd	2321567
cabbbbaabbbabbabbbgbbd	2321567
cabbbbaabbbabbabbgbbbd	2321567
cabbbbaabbbabbabgbbbbd	2321567
cabbbbaabbbabbagbbbbbd	2321567
cabbbbaabbbabbfabbbbbd	2321567
cabbbbaabbbabgaabbbbbd	2321567
cabbbbaabbbagbaabbbbbd	2321567
cabbbbaabbbfabaabbbbbd	2321567
cabbbbaabbgaabaabbbbbd	2321567
cabbbbaabgbaabaabbbbbd	2321567
cabbbbaagbbaabaabbbbbd	2321567
cabbbbafabbaabaabbbbbd	2321567
cabbbbebabbaabaabbbbbd	2321567
cabbbfbbabbaabaabbbbbd	2321567
cabbgabbabbaabaabbbbbd	2321567
cabgbabbabbaabaabbbbbd	2321567
cagbbabbabbaabaabbbbbd	2321567
cfabbabbabbaabaabbbbbd	2321567
caaabbabbabbaabaabbbbbd	2321567
caaabbabbabbaabaabbbbgd	3482351
caaabbabbabbaabaabbbgbd	3482351
caaabbabbabbaabaabbgbbd	3482351
caaabbabbabbaabaabgbbbd	3482351
caaabbabbabbaabaagbbbbd	3482351
caaabbabbabbaabafabbbbd	3482351
caaabbabbabbaabebabbbbd	3482351
caaabbabbabbaafbbabbbbd	3482351
caaabbabbabbaebbbabbbbd	3482351
caaabbabbabbeabbbabbbbd	3482351
caaabbabbabfbabbbabbbbd	3482351
caaabbabbagababbbabbbbd	3482351
caaabbabbfaababbbabbbbd	3482351
caaabbabgaaababbbabbbbd	3482351
caaabbagbaaababbbabbbbd	3482351
caaabbfabaaababbbabbbbd	3482351
caaabgaabaaababbbabbbbd	3482351
caaagbaabaaababbbabbbbd	3482351
caafabaabaaababbbabbbbd	3482351
caebabaabaaababbbabbbbd	3482351
ceababaabaaababbbabbbbd	3482351
cbababaabaaababbbabbbbd	3482351
