"Input number 7451656 with intial rewrite term cbbaaabbabbabaaaaaabaaad
Generated final number 496695277 with final rewrite term cbbabbaabbababbbbabbbbbbabbabd
Number of steps: 905  Number of array doubles: 0"
Term	Number
cbbaaabbabbabaaaaaabaad	3725828
cbbaaabbabbabaaaaaabad	1862914
cbbaaabbabbabaaaaaabd	931457
cbbaaabbabbabaaaaaagd	1397186
cbbaaabbabbabaaaaafad	1397186
cbbaaabbabbabaaaaebad	1397186
cbbaaabbabbabaaaeabad	1397186
cbbaaabbabbabaaeaabad	1397186
cbbaaabbabbabaeaaabad	1397186
cbbaaabbabbabeaaaabad	1397186
cbbaaabbabbafbaaaabad	1397186
cbbaaabbabbebbaaaabad	1397186
cbbaaabbabfbbbaaaabad	1397186
cbbaaabbagabbbaaaabad	1397186
cbbaaabbfaabbbaaaabad	1397186
cbbaaabgaaabbbaaaabad	1397186
cbbaaagbaaabbbaaaabad	1397186
cbbaafabaaabbbaaaabad	1397186
cbbaebabaaabbbaaaabad	1397186
cbbeababaaabbbaaaabad	1397186
cbfbababaaabbbaaaabad	1397186
cgabababaaabbbaaaabad	1397186
cababababaaabbbaaaabad	1397186
cababababaaabbbaaaabd	698593
cababababaaabbbaaaagd	1047890
cababababaaabbbaaafad	1047890
cababababaaabbbaaebad	1047890
cababababaaabbbaeabad	1047890
cababababaaabbbeaabad	1047890
cababababaaabbfbaabad	1047890
cababababaaabgabaabad	1047890
cababababaaagbabaabad	1047890
cababababaafababaabad	1047890
cababababaebababaabad	1047890
cababababeabababaabad	1047890
cabababafbabababaabad	1047890
cabababebbabababaabad	1047890
cababafbbbabababaabad	1047890
cababebbbbabababaabad	1047890
cabafbbbbbabababaabad	1047890
cabebbbbbbabababaabad	1047890
cafbbbbbbbabababaabad	1047890
cebbbbbbbbabababaabad	1047890
cbbbbbbbbbabababaabad	1047890
cbbbbbbbbbabababaabd	523945
cbbbbbbbbbabababaagd	785918
cbbbbbbbbbabababafad	785918
cbbbbbbbbbabababebad	785918
cbbbbbbbbbababafbbad	785918
cbbbbbbbbbababebbbad	785918
cbbbbbbbbbabafbbbbad	785918
cbbbbbbbbbabebbbbbad	785918
cbbbbbbbbbafbbbbbbad	785918
cbbbbbbbbbebbbbbbbad	785918
cbbbbbbbbfbbbbbbbbad	785918
cbbbbbbbgabbbbbbbbad	785918
cbbbbbbgbabbbbbbbbad	785918
cbbbbbgbbabbbbbbbbad	785918
cbbbbgbbbabbbbbbbbad	785918
cbbbgbbbbabbbbbbbbad	785918
cbbgbbbbbabbbbbbbbad	785918
cbgbbbbbbabbbbbbbbad	785918
cgbbbbbbbabbbbbbbbad	785918
cabbbbbbbbabbbbbbbbad	785918
cabbbbbbbbabbbbbbbbd	392959
cabbbbbbbbabbbbbbbgd	589439
cabbbbbbbbabbbbbbgbd	589439
cabbbbbbbbabbbbbgbbd	589439
cabbbbbbbbabbbbgbbbd	589439
cabbbbbbbbabbbgbbbbd	589439
cabbbbbbbbabbgbbbbbd	589439
cabbbbbbbbabgbbbbbbd	589439
cabbbbbbbbagbbbbbbbd	589439
cabbbbbbbbfabbbbbbbd	589439
cabbbbbbbgaabbbbbbbd	589439
cabbbbbbgbaabbbbbbbd	589439
cabbbbbgbbaabbbbbbbd	589439
cabbbbgbbbaabbbbbbbd	589439
cabbbgbbbbaabbbbbbbd	589439
cabbgbbbbbaabbbbbbbd	589439
cabgbbbbbbaabbbbbbbd	589439
cagbbbbbbbaabbbbbbbd	589439
cfabbbbbbbaabbbbbbbd	589439
caaabbbbbbbaabbbbbbbd	589439
caaabbbbbbbaabbbbbbgd	884159
caaabbbbbbbaabbbbbgbd	884159
caaabbbbbbbaabbbbgbbd	884159
caaabbbbbbbaabbbgbbbd	884159
caaabbbbbbbaabbgbbbbd	884159
caaabbbbbbbaabgbbbbbd	884159
caaabbbbbbbaagbbbbbbd	884159
caaabbbbbbbafabbbbbbd	884159
caaabbbbbbbebabbbbbbd	884159
caaabbbbbbfbbabbbbbbd	884159
caaabbbbbgabbabbbbbbd	884159
caaabbbbgbabbabbbbbbd	884159
caaabbbgbbabbabbbbbbd	884159
caaabbgbbbabbabbbbbbd	884159
caaabgbbbbabbabbbbbbd	884159
caaagbbbbbabbabbbbbbd	884159
caafabbbbbabbabbbbbbd	884159
caebabbbbbabbabbbbbbd	884159
ceababbbbbabbabbbbbbd	884159
cbababbbbbabbabbbbbbd	884159
cbababbbbbabbabbbbbgd	1326239
cbababbbbbabbabbbbgbd	1326239
cbababbbbbabbabbbgbbd	1326239
cbababbbbbabbabbgbbbd	1326239
cbababbbbbabbabgbbbbd	1326239
cbababbbbbabbagbbbbbd	1326239
cbababbbbbabbfabbbbbd	1326239
cbababbbbbabgaabbbbbd	1326239
cbababbbbbagbaabbbbbd	1326239
cbababbbbbfabaabbbbbd	1326239
cbababbbbgaabaabbbbbd	1326239
cbababbbgbaabaabbbbbd	1326239
cbababbgbbaabaabbbbbd	1326239
cbababgbbbaabaabbbbbd	1326239
cbabagbbbbaabaabbbbbd	1326239
cbabfabbbbaabaabbbbbd	1326239
cbagaabbbbaabaabbbbbd	1326239
cbfaaabbbbaabaabbbbbd	1326239
cgaaaabbbbaabaabbbbbd	1326239
cabaaaabbbbaabaabbbbbd	1326239
