"Input number 959414494 with intial rewrite term cbbaabaababbbbbaaaaaaabbabbbbad
Generated final number 471412148906647493 with final rewrite term cbabaaabababbaabababbabbabaaaaabbbaabbaaabaababbbbbbbaaababd
Number of steps: 3207  Number of array doubles: 0"
Term	Number
cbbaabaababbbbbaaaaaaabbabbbbd	479707247
cbbaabaababbbbbaaaaaaabbabbbgd	719560871
cbbaabaababbbbbaaaaaaabbabbgbd	719560871
cbbaabaababbbbbaaaaaaabbabgbbd	719560871
cbbaabaababbbbbaaaaaaabbagbbbd	719560871
cbbaabaababbbbbaaaaaaabbfabbbd	719560871
cbbaabaababbbbbaaaaaaabgaabbbd	719560871
cbbaabaababbbbbaaaaaaagbaabbbd	719560871
cbbaabaababbbbbaaaaaafabaabbbd	719560871
cbbaabaababbbbbaaaaaebabaabbbd	719560871
cbbaabaababbbbbaaaaeababaabbbd	719560871
cbbaabaababbbbbaaaeaababaabbbd	719560871
cbbaabaababbbbbaaeaaababaabbbd	719560871
cbbaabaababbbbbaeaaaababaabbbd	719560871
cbbaabaababbbbbeaaaaababaabbbd	719560871
cbbaabaababbbbfbaaaaababaabbbd	719560871
cbbaabaababbbgabaaaaababaabbbd	719560871
cbbaabaababbgbabaaaaababaabbbd	719560871
cbbaabaababgbbabaaaaababaabbbd	719560871
cbbaabaabagbbbabaaaaababaabbbd	719560871
cbbaabaabfabbbabaaaaababaabbbd	719560871
cbbaabaagaabbbabaaaaababaabbbd	719560871
cbbaabafaaabbbabaaaaababaabbbd	719560871
cbbaabebaaabbbabaaaaababaabbbd	719560871
cbbaafbbaaabbbabaaaaababaabbbd	719560871
cbbaebbbaaabbbabaaaaababaabbbd	719560871
cbbeabbbaaabbbabaaaaababaabbbd	719560871
cbfbabbbaaabbbabaaaaababaabbbd	719560871
cgababbbaaabbbabaaaaababaabbbd	719560871
cabababbbaaabbbabaaaaababaabbbd	719560871
cabababbbaaabbbabaaaaababaabbgd	1079341307
cabababbbaaabbbabaaaaababaabgbd	1079341307
cabababbbaaabbbabaaaaababaagbbd	1079341307
cabababbbaaabbbabaaaaababafabbd	1079341307
cabababbbaaabbbabaaaaababebabbd	1079341307
cabababbbaaabbbabaaaaabafbbabbd	1079341307
cabababbbaaabbbabaaaaabebbbabbd	1079341307
cabababbbaaabbbabaaaaafbbbbabbd	1079341307
cabababbbaaabbbabaaaaebbbbbabbd	1079341307
cabababbbaaabbbabaaaeabbbbbabbd	1079341307
cabababbbaaabbbabaaeaabbbbbabbd	1079341307
cabababbbaaabbbabaeaaabbbbbabbd	1079341307
cabababbbaaabbbabeaaaabbbbbabbd	1079341307
cabababbbaaabbbafbaaaabbbbbabbd	1079341307
cabababbbaaabbbebbaaaabbbbbabbd	1079341307
cabababbbaaabbfbbbaaaabbbbbabbd	1079341307
cabababbbaaabgabbbaaaabbbbbabbd	1079341307
cabababbbaaagbabbbaaaabbbbbabbd	1079341307
cabababbbaafababbbaaaabbbbbabbd	1079341307
cabababbbaebababbbaaaabbbbbabbd	1079341307
cabababbbeabababbbaaaabbbbbabbd	1079341307
cabababbfbabababbbaaaabbbbbabbd	1079341307
cabababgababababbbaaaabbbbbabbd	1079341307
cababagbababababbbaaaabbbbbabbd	1079341307
cababfabababababbbaaaabbbbbabbd	1079341307
cabagaabababababbbaaaabbbbbabbd	1079341307
cabfaaabababababbbaaaabbbbbabbd	1079341307
cagaaaabababababbbaaaabbbbbabbd	1079341307
cfaaaaabababababbbaaaabbbbbabbd	1079341307
caaaaaaabababababbbaaaabbbbbabbd	1079341307
caaaaaaabababababbbaaaabbbbbabgd	1619011961
caaaaaaabababababbbaaaabbbbbagbd	1619011961
caaaaaaabababababbbaaaabbbbbfabd	1619011961
caaaaaaabababababbbaaaabbbbgaabd	1619011961
caaaaaaabababababbbaaaabbbgbaabd	1619011961
caaaaaaabababababbbaaaabbgbbaabd	1619011961
caaaaaaabababababbbaaaabgbbbaabd	1619011961
caaaaaaabababababbbaaaagbbbbaabd	1619011961
caaaaaaabababababbbaaafabbbbaabd	1619011961
caaaaaaabababababbbaaebabbbbaabd	1619011961
caaaaaaabababababbbaeababbbbaabd	1619011961
caaaaaaabababababbbeaababbbbaabd	1619011961
caaaaaaabababababbfbaababbbbaabd	1619011961
caaaaaaabababababgabaababbbbaabd	1619011961
caaaaaaababababagbabaababbbbaabd	1619011961
caaaaaaababababfababaababbbbaabd	1619011961
caaaaaaabababagaababaababbbbaabd	1619011961
caaaaaaabababfaaababaababbbbaabd	1619011961
caaaaaaababagaaaababaababbbbaabd	1619011961
caaaaaaababfaaaaababaababbbbaabd	1619011961
caaaaaaabagaaaaaababaababbbbaabd	1619011961
caaaaaaabfaaaaaaababaababbbbaabd	1619011961
caaaaaaagaaaaaaaababaababbbbaabd	1619011961
caaaaaafaaaaaaaaababaababbbbaabd	1619011961
caaaaaebaaaaaaaaababaababbbbaabd	1619011961
caaaaeabaaaaaaaaababaababbbbaabd	1619011961
caaaeaabaaaaaaaaababaababbbbaabd	1619011961
caaeaaabaaaaaaaaababaababbbbaabd	1619011961
caeaaaabaaaaaaaaababaababbbbaabd	1619011961
ceaaaaabaaaaaaaaababaababbbbaabd	1619011961
cbaaaaabaaaaaaaaababaababbbbaabd	1619011961
cbaaaaabaaaaaaaaababaababbbbaagd	2428517942
cbaaaaabaaaaaaaaababaababbbbafad	2428517942
cbaaaaabaaaaaaaaababaababbbbebad	2428517942
cbaaaaabaaaaaaaaababaababbbfbbad	2428517942
cbaaaaabaaaaaaaaababaababbgabbad	2428517942
cbaaaaabaaaaaaaaababaababgbabbad	2428517942
cbaaaaabaaaaaaaaababaabagbbabbad	2428517942
cbaaaaabaaaaaaaaababaabfabbabbad	2428517942
cbaaaaabaaaaaaaaababaagaabbabbad	2428517942
cbaaaaabaaaaaaaaababafaaabbabbad	2428517942
cbaaaaabaaaaaaaaababebaaabbabbad	2428517942
cbaaaaabaaaaaaaaabafbbaaabbabbad	2428517942
cbaaaaabaaaaaaaaabebbbaaabbabbad	2428517942
cbaaaaabaaaaaaaaafbbbbaaabbabbad	2428517942
cbaaaaabaaaaaaaaebbbbbaaabbabbad	2428517942
cbaaaaabaaaaaaaeabbbbbaaabbabbad	2428517942
cbaaaaabaaaaaaeaabbbbbaaabbabbad	2428517942
cbaaaaabaaaaaeaaabbbbbaaabbabbad	2428517942
cbaaaaabaaaaeaaaabbbbbaaabbabbad	2428517942
cbaaaaabaaaeaaaaabbbbbaaabbabbad	2428517942
cbaaaaabaaeaaaaaabbbbbaaabbabbad	2428517942
cbaaaaabaeaaaaaaabbbbbaaabbabbad	2428517942
cbaaaaabeaaaaaaaabbbbbaaabbabbad	2428517942
cbaaaaafbaaaaaaaabbbbbaaabbabbad	2428517942
cbaaaaebbaaaaaaaabbbbbaaabbabbad	2428517942
cbaaaeabbaaaaaaaabbbbbaaabbabbad	2428517942
cbaaeaabbaaaaaaaabbbbbaaabbabbad	2428517942
cbaeaaabbaaaaaaaabbbbbaaabbabbad	2428517942
cbeaaaabbaaaaaaaabbbbbaaabbabbad	2428517942
cfbaaaabbaaaaaaaabbbbbaaabbabbad	2428517942
caabaaaabbaaaaaaaabbbbbaaabbabbad	2428517942
caabaaaabbaaaaaaaabbbbbaaabbabbd	1214258971
caabaaaabbaaaaaaaabbbbbaaabbabgd	1821388457
caabaaaabbaaaaaaaabbbbbaaabbagbd	1821388457
