Input Number	Final Number	Number of rewrite steps	Number of array doubles
16	1	4	0
22	13	6	0
88	13	8	0
214	103	28	0
856	103	30	0
6358	3397	73	0
8080	271	55	0
2692	271	61	0
10768	271	63	0
43072	271	65	0
450520	50743	150	0
64726	9229	179	0
122710	22141	250	0
490840	22141	252	0
645334	87319	317	0
1963360	22141	254	0
2581336	87319	319	0
7853440	22141	256	0
10325344	87319	321	0
140458198	32070439	541	0
71106448	1352965	427	0
782053216	22320517	506	0
2010480640	22141	264	0
625584772	80346413	606	0
23642756440	3416102741	766	0
