"Input number 10325344 with intial rewrite term caabbbabbaaabbababbaaaaad
Generated final number 87319 with final rewrite term cababababaaababbbd
Number of steps: 321  Number of array doubles: 0"
Term	Number
caabbbabbaaabbababbaaaad	5162672
caabbbabbaaabbababbaaad	2581336
caabbbabbaaabbababbaad	1290668
caabbbabbaaabbababbad	645334
caabbbabbaaabbababbd	322667
caabbbabbaaabbabfabd	484001
caabbbabbaaabbagaabd	484001
caabbbabbaaabbfaaabd	484001
caabbbabbaaabgaaaabd	484001
caabbbabbaaagbaaaabd	484001
caabbbabbaafabaaaabd	484001
caabbbabbaebabaaaabd	484001
caabbbabbeababaaaabd	484001
caabbbabfbababaaaabd	484001
caabbbagabababaaaabd	484001
caabbbfaabababaaaabd	484001
caabbgaaabababaaaabd	484001
caabgbaaabababaaaabd	484001
caagbbaaabababaaaabd	484001
cafabbaaabababaaaabd	484001
cebabbaaabababaaaabd	484001
cbbabbaaabababaaaabd	484001
cbbabbaaabababaaebd	363001
cbbabbaaabababaeabd	363001
cbbabbaaabababeaabd	363001
cbbabbaaababafbaabd	363001
cbbabbaaababebbaabd	363001
cbbabbaaabafbbbaabd	363001
cbbabbaaabebbbbaabd	363001
cbbabbaaafbbbbbaabd	363001
cbbabbaaebbbbbbaabd	363001
cbbabbaeabbbbbbaabd	363001
cbbabbeaabbbbbbaabd	363001
cbbabfbaabbbbbbaabd	363001
cbbagabaabbbbbbaabd	363001
cbbfaabaabbbbbbaabd	363001
cbgaaabaabbbbbbaabd	363001
cgbaaabaabbbbbbaabd	363001
cabbaaabaabbbbbbaabd	363001
cabbaaabaabbbbbbebd	272251
cabbaaabaabbbbbfbbd	272251
cabbaaabaabbbbgabbd	272251
cabbaaabaabbbgbabbd	272251
cabbaaabaabbgbbabbd	272251
cabbaaabaabgbbbabbd	272251
cabbaaabaagbbbbabbd	272251
cabbaaabafabbbbabbd	272251
cabbaaabebabbbbabbd	272251
cabbaaafbbabbbbabbd	272251
cabbaaebbbabbbbabbd	272251
cabbaeabbbabbbbabbd	272251
cabbeaabbbabbbbabbd	272251
cabfbaabbbabbbbabbd	272251
cagabaabbbabbbbabbd	272251
cfaabaabbbabbbbabbd	272251
caaaabaabbbabbbbabbd	272251
caaaabaabbbabbbbfabd	408377
caaaabaabbbabbbgaabd	408377
caaaabaabbbabbgbaabd	408377
caaaabaabbbabgbbaabd	408377
caaaabaabbbagbbbaabd	408377
caaaabaabbbfabbbaabd	408377
caaaabaabbgaabbbaabd	408377
caaaabaabgbaabbbaabd	408377
caaaabaagbbaabbbaabd	408377
caaaabafabbaabbbaabd	408377
caaaabebabbaabbbaabd	408377
caaaafbbabbaabbbaabd	408377
caaaebbbabbaabbbaabd	408377
caaeabbbabbaabbbaabd	408377
caeaabbbabbaabbbaabd	408377
ceaaabbbabbaabbbaabd	408377
cbaaabbbabbaabbbaabd	408377
cbaaabbbabbaabbbebd	306283
cbaaabbbabbaabbfbbd	306283
cbaaabbbabbaabgabbd	306283
cbaaabbbabbaagbabbd	306283
cbaaabbbabbafababbd	306283
cbaaabbbabbebababbd	306283
cbaaabbbabfbbababbd	306283
cbaaabbbagabbababbd	306283
cbaaabbbfaabbababbd	306283
cbaaabbgaaabbababbd	306283
cbaaabgbaaabbababbd	306283
cbaaagbbaaabbababbd	306283
cbaafabbaaabbababbd	306283
cbaebabbaaabbababbd	306283
cbeababbaaabbababbd	306283
cfbababbaaabbababbd	306283
caabababbaaabbababbd	306283
caabababbaaabbabfabd	459425
caabababbaaabbagaabd	459425
caabababbaaabbfaaabd	459425
caabababbaaabgaaaabd	459425
caabababbaaagbaaaabd	459425
caabababbaafabaaaabd	459425
caabababbaebabaaaabd	459425
caabababbeababaaaabd	459425
caabababfbababaaaabd	459425
caababagabababaaaabd	459425
caababfaabababaaaabd	459425
caabagaaabababaaaabd	459425
caabfaaaabababaaaabd	459425
caagaaaaabababaaaabd	459425
cafaaaaaabababaaaabd	459425
cebaaaaaabababaaaabd	459425
cbbaaaaaabababaaaabd	459425
cbbaaaaaabababaaebd	344569
cbbaaaaaabababaeabd	344569
cbbaaaaaabababeaabd	344569
cbbaaaaaababafbaabd	344569
cbbaaaaaababebbaabd	344569
cbbaaaaaabafbbbaabd	344569
cbbaaaaaabebbbbaabd	344569
cbbaaaaaafbbbbbaabd	344569
cbbaaaaaebbbbbbaabd	344569
cbbaaaaeabbbbbbaabd	344569
cbbaaaeaabbbbbbaabd	344569
cbbaaeaaabbbbbbaabd	344569
cbbaeaaaabbbbbbaabd	344569
cbbeaaaaabbbbbbaabd	344569
cbfbaaaaabbbbbbaabd	344569
cgabaaaaabbbbbbaabd	344569
cababaaaaabbbbbbaabd	344569
cababaaaaabbbbbbebd	258427
cababaaaaabbbbbfbbd	258427
cababaaaaabbbbgabbd	258427
cababaaaaabbbgbabbd	258427
cababaaaaabbgbbabbd	258427
cababaaaaabgbbbabbd	258427
cababaaaaagbbbbabbd	258427
cababaaaafabbbbabbd	258427
cababaaaebabbbbabbd	258427
cababaaeababbbbabbd	258427
cababaeaababbbbabbd	258427
cababeaaababbbbabbd	258427
cabafbaaababbbbabbd	258427
cabebbaaababbbbabbd	258427
cafbbbaaababbbbabbd	258427
cebbbbaaababbbbabbd	258427
cbbbbbaaababbbbabbd	258427
cbbbbbaaababbbbfabd	387641
cbbbbbaaababbbgaabd	387641
cbbbbbaaababbgbaabd	387641
cbbbbbaaababgbbaabd	387641
cbbbbbaaabagbbbaabd	387641
cbbbbbaaabfabbbaabd	387641
cbbbbbaaagaabbbaabd	387641
cbbbbbaafaaabbbaabd	387641
cbbbbbaebaaabbbaabd	387641
cbbbbbeabaaabbbaabd	387641
cbbbbfbabaaabbbaabd	387641
cbbbgababaaabbbaabd	387641
cbbgbababaaabbbaabd	387641
cbgbbababaaabbbaabd	387641
cgbbbababaaabbbaabd	387641
cabbbbababaaabbbaabd	387641
cabbbbababaaabbbebd	290731
cabbbbababaaabbfbbd	290731
cabbbbababaaabgabbd	290731
cabbbbababaaagbabbd	290731
cabbbbababaafababbd	290731
cabbbbababaebababbd	290731
cabbbbababeabababbd	290731
cabbbbabafbabababbd	290731
cabbbbabebbabababbd	290731
cabbbbafbbbabababbd	290731
cabbbbebbbbabababbd	290731
cabbbfbbbbbabababbd	290731
cabbgabbbbbabababbd	290731
cabgbabbbbbabababbd	290731
cagbbabbbbbabababbd	290731
cfabbabbbbbabababbd	290731
caaabbabbbbbabababbd	290731
caaabbabbbbbababfabd	436097
caaabbabbbbbabagaabd	436097
caaabbabbbbbabfaaabd	436097
caaabbabbbbbagaaaabd	436097
caaabbabbbbbfaaaaabd	436097
caaabbabbbbgaaaaaabd	436097
caaabbabbbgbaaaaaabd	436097
caaabbabbgbbaaaaaabd	436097
caaabbabgbbbaaaaaabd	436097
caaabbagbbbbaaaaaabd	436097
caaabbfabbbbaaaaaabd	436097
caaabgaabbbbaaaaaabd	436097
caaagbaabbbbaaaaaabd	436097
caafabaabbbbaaaaaabd	436097
caebabaabbbbaaaaaabd	436097
ceababaabbbbaaaaaabd	436097
cbababaabbbbaaaaaabd	436097
cbababaabbbbaaaaebd	327073
cbababaabbbbaaaeabd	327073
cbababaabbbbaaeaabd	327073
cbababaabbbbaeaaabd	327073
cbababaabbbbeaaaabd	327073
cbababaabbbfbaaaabd	327073
cbababaabbgabaaaabd	327073
cbababaabgbabaaaabd	327073
cbababaagbbabaaaabd	327073
cbababafabbabaaaabd	327073
cbababebabbabaaaabd	327073
cbabafbbabbabaaaabd	327073
