"Input number 140458198 with intial rewrite term caaaababbbbbaabbbaaabbababbad
Generated final number 32070439 with final rewrite term cbbbabaabababbabbaabaabbbd
Number of steps: 541  Number of array doubles: 0"
Term	Number
caaaababbbbbaabbbaaabbababbd	70229099
caaaababbbbbaabbbaaabbabfabd	105343649
caaaababbbbbaabbbaaabbagaabd	105343649
caaaababbbbbaabbbaaabbfaaabd	105343649
caaaababbbbbaabbbaaabgaaaabd	105343649
caaaababbbbbaabbbaaagbaaaabd	105343649
caaaababbbbbaabbbaafabaaaabd	105343649
caaaababbbbbaabbbaebabaaaabd	105343649
caaaababbbbbaabbbeababaaaabd	105343649
caaaababbbbbaabbfbababaaaabd	105343649
caaaababbbbbaabgabababaaaabd	105343649
caaaababbbbbaagbabababaaaabd	105343649
caaaababbbbbafababababaaaabd	105343649
caaaababbbbbebababababaaaabd	105343649
caaaababbbbfbbababababaaaabd	105343649
caaaababbbgabbababababaaaabd	105343649
caaaababbgbabbababababaaaabd	105343649
caaaababgbbabbababababaaaabd	105343649
caaaabagbbbabbababababaaaabd	105343649
caaaabfabbbabbababababaaaabd	105343649
caaaagaabbbabbababababaaaabd	105343649
caaafaaabbbabbababababaaaabd	105343649
caaebaaabbbabbababababaaaabd	105343649
caeabaaabbbabbababababaaaabd	105343649
ceaabaaabbbabbababababaaaabd	105343649
cbaabaaabbbabbababababaaaabd	105343649
cbaabaaabbbabbababababaaebd	79007737
cbaabaaabbbabbababababaeabd	79007737
cbaabaaabbbabbababababeaabd	79007737
cbaabaaabbbabbabababafbaabd	79007737
cbaabaaabbbabbabababebbaabd	79007737
cbaabaaabbbabbababafbbbaabd	79007737
cbaabaaabbbabbababebbbbaabd	79007737
cbaabaaabbbabbabafbbbbbaabd	79007737
cbaabaaabbbabbabebbbbbbaabd	79007737
cbaabaaabbbabbafbbbbbbbaabd	79007737
cbaabaaabbbabbebbbbbbbbaabd	79007737
cbaabaaabbbabfbbbbbbbbbaabd	79007737
cbaabaaabbbagabbbbbbbbbaabd	79007737
cbaabaaabbbfaabbbbbbbbbaabd	79007737
cbaabaaabbgaaabbbbbbbbbaabd	79007737
cbaabaaabgbaaabbbbbbbbbaabd	79007737
cbaabaaagbbaaabbbbbbbbbaabd	79007737
cbaabaafabbaaabbbbbbbbbaabd	79007737
cbaabaebabbaaabbbbbbbbbaabd	79007737
cbaabeababbaaabbbbbbbbbaabd	79007737
cbaafbababbaaabbbbbbbbbaabd	79007737
cbaebbababbaaabbbbbbbbbaabd	79007737
cbeabbababbaaabbbbbbbbbaabd	79007737
cfbabbababbaaabbbbbbbbbaabd	79007737
caababbababbaaabbbbbbbbbaabd	79007737
caababbababbaaabbbbbbbbbebd	59255803
caababbababbaaabbbbbbbbfbbd	59255803
caababbababbaaabbbbbbbgabbd	59255803
caababbababbaaabbbbbbgbabbd	59255803
caababbababbaaabbbbbgbbabbd	59255803
caababbababbaaabbbbgbbbabbd	59255803
caababbababbaaabbbgbbbbabbd	59255803
caababbababbaaabbgbbbbbabbd	59255803
caababbababbaaabgbbbbbbabbd	59255803
caababbababbaaagbbbbbbbabbd	59255803
caababbababbaafabbbbbbbabbd	59255803
caababbababbaebabbbbbbbabbd	59255803
caababbababbeababbbbbbbabbd	59255803
caababbababfbababbbbbbbabbd	59255803
caababbabagabababbbbbbbabbd	59255803
caababbabfaabababbbbbbbabbd	59255803
caababbagaaabababbbbbbbabbd	59255803
caababbfaaaabababbbbbbbabbd	59255803
caababgaaaaabababbbbbbbabbd	59255803
caabagbaaaaabababbbbbbbabbd	59255803
caabfabaaaaabababbbbbbbabbd	59255803
caagaabaaaaabababbbbbbbabbd	59255803
cafaaabaaaaabababbbbbbbabbd	59255803
cebaaabaaaaabababbbbbbbabbd	59255803
cbbaaabaaaaabababbbbbbbabbd	59255803
cbbaaabaaaaabababbbbbbbfabd	88883705
cbbaaabaaaaabababbbbbbgaabd	88883705
cbbaaabaaaaabababbbbbgbaabd	88883705
cbbaaabaaaaabababbbbgbbaabd	88883705
cbbaaabaaaaabababbbgbbbaabd	88883705
cbbaaabaaaaabababbgbbbbaabd	88883705
cbbaaabaaaaabababgbbbbbaabd	88883705
cbbaaabaaaaababagbbbbbbaabd	88883705
cbbaaabaaaaababfabbbbbbaabd	88883705
cbbaaabaaaaabagaabbbbbbaabd	88883705
cbbaaabaaaaabfaaabbbbbbaabd	88883705
cbbaaabaaaaagaaaabbbbbbaabd	88883705
cbbaaabaaaafaaaaabbbbbbaabd	88883705
cbbaaabaaaebaaaaabbbbbbaabd	88883705
cbbaaabaaeabaaaaabbbbbbaabd	88883705
cbbaaabaeaabaaaaabbbbbbaabd	88883705
cbbaaabeaaabaaaaabbbbbbaabd	88883705
cbbaaafbaaabaaaaabbbbbbaabd	88883705
cbbaaebbaaabaaaaabbbbbbaabd	88883705
cbbaeabbaaabaaaaabbbbbbaabd	88883705
cbbeaabbaaabaaaaabbbbbbaabd	88883705
cbfbaabbaaabaaaaabbbbbbaabd	88883705
cgabaabbaaabaaaaabbbbbbaabd	88883705
cababaabbaaabaaaaabbbbbbaabd	88883705
cababaabbaaabaaaaabbbbbbebd	66662779
cababaabbaaabaaaaabbbbbfbbd	66662779
cababaabbaaabaaaaabbbbgabbd	66662779
cababaabbaaabaaaaabbbgbabbd	66662779
cababaabbaaabaaaaabbgbbabbd	66662779
cababaabbaaabaaaaabgbbbabbd	66662779
cababaabbaaabaaaaagbbbbabbd	66662779
cababaabbaaabaaaafabbbbabbd	66662779
cababaabbaaabaaaebabbbbabbd	66662779
cababaabbaaabaaeababbbbabbd	66662779
cababaabbaaabaeaababbbbabbd	66662779
cababaabbaaabeaaababbbbabbd	66662779
cababaabbaaafbaaababbbbabbd	66662779
cababaabbaaebbaaababbbbabbd	66662779
cababaabbaeabbaaababbbbabbd	66662779
cababaabbeaabbaaababbbbabbd	66662779
cababaabfbaabbaaababbbbabbd	66662779
cababaagabaabbaaababbbbabbd	66662779
cababafaabaabbaaababbbbabbd	66662779
cababebaabaabbaaababbbbabbd	66662779
cabafbbaabaabbaaababbbbabbd	66662779
cabebbbaabaabbaaababbbbabbd	66662779
cafbbbbaabaabbaaababbbbabbd	66662779
cebbbbbaabaabbaaababbbbabbd	66662779
cbbbbbbaabaabbaaababbbbabbd	66662779
cbbbbbbaabaabbaaababbbbfabd	99994169
cbbbbbbaabaabbaaababbbgaabd	99994169
cbbbbbbaabaabbaaababbgbaabd	99994169
cbbbbbbaabaabbaaababgbbaabd	99994169
cbbbbbbaabaabbaaabagbbbaabd	99994169
cbbbbbbaabaabbaaabfabbbaabd	99994169
cbbbbbbaabaabbaaagaabbbaabd	99994169
cbbbbbbaabaabbaafaaabbbaabd	99994169
cbbbbbbaabaabbaebaaabbbaabd	99994169
cbbbbbbaabaabbeabaaabbbaabd	99994169
