"Input number 1963360 with intial rewrite term cbbabbbbbabababbaaaaad
Generated final number 22141 with final rewrite term cababbaabbbbbabd
Number of steps: 254  Number of array doubles: 0"
Term	Number
cbbabbbbbabababbaaaad	981680
cbbabbbbbabababbaaad	490840
cbbabbbbbabababbaad	245420
cbbabbbbbabababbad	122710
cbbabbbbbabababbd	61355
cbbabbbbbababfabd	92033
cbbabbbbbabagaabd	92033
cbbabbbbbabfaaabd	92033
cbbabbbbbagaaaabd	92033
cbbabbbbbfaaaaabd	92033
cbbabbbbgaaaaaabd	92033
cbbabbbgbaaaaaabd	92033
cbbabbgbbaaaaaabd	92033
cbbabgbbbaaaaaabd	92033
cbbagbbbbaaaaaabd	92033
cbbfabbbbaaaaaabd	92033
cbgaabbbbaaaaaabd	92033
cgbaabbbbaaaaaabd	92033
cabbaabbbbaaaaaabd	92033
cabbaabbbbaaaaebd	69025
cabbaabbbbaaaeabd	69025
cabbaabbbbaaeaabd	69025
cabbaabbbbaeaaabd	69025
cabbaabbbbeaaaabd	69025
cabbaabbbfbaaaabd	69025
cabbaabbgabaaaabd	69025
cabbaabgbabaaaabd	69025
cabbaagbbabaaaabd	69025
cabbafabbabaaaabd	69025
cabbebabbabaaaabd	69025
cabfbbabbabaaaabd	69025
cagabbabbabaaaabd	69025
cfaabbabbabaaaabd	69025
caaaabbabbabaaaabd	69025
caaaabbabbabaaebd	51769
caaaabbabbabaeabd	51769
caaaabbabbabeaabd	51769
caaaabbabbafbaabd	51769
caaaabbabbebbaabd	51769
caaaabbabfbbbaabd	51769
caaaabbagabbbaabd	51769
caaaabbfaabbbaabd	51769
caaaabgaaabbbaabd	51769
caaaagbaaabbbaabd	51769
caaafabaaabbbaabd	51769
caaebabaaabbbaabd	51769
caeababaaabbbaabd	51769
ceaababaaabbbaabd	51769
cbaababaaabbbaabd	51769
cbaababaaabbbebd	38827
cbaababaaabbfbbd	38827
cbaababaaabgabbd	38827
cbaababaaagbabbd	38827
cbaababaafababbd	38827
cbaababaebababbd	38827
cbaababeabababbd	38827
cbaabafbabababbd	38827
cbaabebbabababbd	38827
cbaafbbbabababbd	38827
cbaebbbbabababbd	38827
cbeabbbbabababbd	38827
cfbabbbbabababbd	38827
caababbbbabababbd	38827
caababbbbababfabd	58241
caababbbbabagaabd	58241
caababbbbabfaaabd	58241
caababbbbagaaaabd	58241
caababbbbfaaaaabd	58241
caababbbgaaaaaabd	58241
caababbgbaaaaaabd	58241
caababgbbaaaaaabd	58241
caabagbbbaaaaaabd	58241
caabfabbbaaaaaabd	58241
caagaabbbaaaaaabd	58241
cafaaabbbaaaaaabd	58241
cebaaabbbaaaaaabd	58241
cbbaaabbbaaaaaabd	58241
cbbaaabbbaaaaebd	43681
cbbaaabbbaaaeabd	43681
cbbaaabbbaaeaabd	43681
cbbaaabbbaeaaabd	43681
cbbaaabbbeaaaabd	43681
cbbaaabbfbaaaabd	43681
cbbaaabgabaaaabd	43681
cbbaaagbabaaaabd	43681
cbbaafababaaaabd	43681
cbbaebababaaaabd	43681
cbbeabababaaaabd	43681
cbfbabababaaaabd	43681
cgababababaaaabd	43681
cabababababaaaabd	43681
cabababababaaebd	32761
cabababababaeabd	32761
cabababababeaabd	32761
cababababafbaabd	32761
cababababebbaabd	32761
cabababafbbbaabd	32761
cabababebbbbaabd	32761
cababafbbbbbaabd	32761
cababebbbbbbaabd	32761
cabafbbbbbbbaabd	32761
cabebbbbbbbbaabd	32761
cafbbbbbbbbbaabd	32761
cebbbbbbbbbbaabd	32761
cbbbbbbbbbbbaabd	32761
cbbbbbbbbbbbebd	24571
cbbbbbbbbbbfbbd	24571
cbbbbbbbbbgabbd	24571
cbbbbbbbbgbabbd	24571
cbbbbbbbgbbabbd	24571
cbbbbbbgbbbabbd	24571
cbbbbbgbbbbabbd	24571
cbbbbgbbbbbabbd	24571
cbbbgbbbbbbabbd	24571
cbbgbbbbbbbabbd	24571
cbgbbbbbbbbabbd	24571
cgbbbbbbbbbabbd	24571
cabbbbbbbbbbabbd	24571
cabbbbbbbbbbfabd	36857
cabbbbbbbbbgaabd	36857
cabbbbbbbbgbaabd	36857
cabbbbbbbgbbaabd	36857
cabbbbbbgbbbaabd	36857
cabbbbbgbbbbaabd	36857
cabbbbgbbbbbaabd	36857
cabbbgbbbbbbaabd	36857
cabbgbbbbbbbaabd	36857
cabgbbbbbbbbaabd	36857
cagbbbbbbbbbaabd	36857
cfabbbbbbbbbaabd	36857
caaabbbbbbbbbaabd	36857
caaabbbbbbbbbebd	27643
caaabbbbbbbbfbbd	27643
caaabbbbbbbgabbd	27643
caaabbbbbbgbabbd	27643
caaabbbbbgbbabbd	27643
caaabbbbgbbbabbd	27643
caaabbbgbbbbabbd	27643
caaabbgbbbbbabbd	27643
caaabgbbbbbbabbd	27643
caaagbbbbbbbabbd	27643
caafabbbbbbbabbd	27643
caebabbbbbbbabbd	27643
ceababbbbbbbabbd	27643
cbababbbbbbbabbd	27643
cbababbbbbbbfabd	41465
cbababbbbbbgaabd	41465
cbababbbbbgbaabd	41465
cbababbbbgbbaabd	41465
cbababbbgbbbaabd	41465
cbababbgbbbbaabd	41465
cbababgbbbbbaabd	41465
cbabagbbbbbbaabd	41465
cbabfabbbbbbaabd	41465
cbagaabbbbbbaabd	41465
cbfaaabbbbbbaabd	41465
cgaaaabbbbbbaabd	41465
cabaaaabbbbbbaabd	41465
cabaaaabbbbbbebd	31099
cabaaaabbbbbfbbd	31099
cabaaaabbbbgabbd	31099
cabaaaabbbgbabbd	31099
cabaaaabbgbbabbd	31099
cabaaaabgbbbabbd	31099
cabaaaagbbbbabbd	31099
cabaaafabbbbabbd	31099
cabaaebabbbbabbd	31099
cabaeababbbbabbd	31099
cabeaababbbbabbd	31099
cafbaababbbbabbd	31099
cebbaababbbbabbd	31099
cbbbaababbbbabbd	31099
cbbbaababbbbfabd	46649
cbbbaababbbgaabd	46649
cbbbaababbgbaabd	46649
cbbbaababgbbaabd	46649
cbbbaabagbbbaabd	46649
cbbbaabfabbbaabd	46649
cbbbaagaabbbaabd	46649
cbbbafaaabbbaabd	46649
cbbbebaaabbbaabd	46649
cbbfbbaaabbbaabd	46649
cbgabbaaabbbaabd	46649
cgbabbaaabbbaabd	46649
cabbabbaaabbbaabd	46649
cabbabbaaabbbebd	34987
cabbabbaaabbfbbd	34987
cabbabbaaabgabbd	34987
cabbabbaaagbabbd	34987
cabbabbaafababbd	34987
cabbabbaebababbd	34987
cabbabbeabababbd	34987
cabbabfbabababbd	34987
cabbagababababbd	34987
cabbfaababababbd	34987
cabgaaababababbd	34987
cagbaaababababbd	34987
cfabaaababababbd	34987
caaabaaababababbd	34987
caaabaaabababfabd	52481
caaabaaababagaabd	52481
caaabaaababfaaabd	52481
caaabaaabagaaaabd	52481
caaabaaabfaaaaabd	52481
caaabaaagaaaaaabd	52481
caaabaafaaaaaaabd	52481
caaabaebaaaaaaabd	52481
caaabeabaaaaaaabd	52481
caaafbabaaaaaaabd	52481
caaebbabaaaaaaabd	52481
caeabbabaaaaaaabd	52481
ceaabbabaaaaaaabd	52481
cbaabbabaaaaaaabd	52481
cbaabbabaaaaaebd	39361
cbaabbabaaaaeabd	39361
cbaabbabaaaeaabd	39361
cbaabbabaaeaaabd	39361
cbaabbabaeaaaabd	39361
cbaabbabeaaaaabd	39361
cbaabbafbaaaaabd	39361
cbaabbebbaaaaabd	39361
cbaabfbbbaaaaabd	39361
cbaagabbbaaaaabd	39361
cbafaabbbaaaaabd	39361
cbebaabbbaaaaabd	39361
cfbbaabbbaaaaabd	39361
caabbaabbbaaaaabd	39361
caabbaabbbaaaebd	29521
caabbaabbbaaeabd	29521
caabbaabbbaeaabd	29521
caabbaabbbeaaabd	29521
caabbaabbfbaaabd	29521
caabbaabgabaaabd	29521
caabbaagbabaaabd	29521
caabbafababaaabd	29521
caabbebababaaabd	29521
caabfbbababaaabd	29521
caagabbababaaabd	29521
cafaabbababaaabd	29521
cebaabbababaaabd	29521
cbbaabbababaaabd	29521
cbbaabbababaebd	22141
cbbaabbababeabd	22141
cbbaabbabafbabd	22141
cbbaabbabebbabd	22141
