"Input number 23642756440 with intial rewrite term cabbaaaaaabaabbabbbbbabababababbaaad
Generated final number 3416102741 with final rewrite term cbaababbbaabbbabbaababbbababababd
Number of steps: 766  Number of array doubles: 0"
Term	Number
cabbaaaaaabaabbabbbbbabababababbaad	11821378220
cabbaaaaaabaabbabbbbbabababababbad	5910689110
cabbaaaaaabaabbabbbbbabababababbd	2955344555
cabbaaaaaabaabbabbbbbababababfabd	4433016833
cabbaaaaaabaabbabbbbbabababagaabd	4433016833
cabbaaaaaabaabbabbbbbabababfaaabd	4433016833
cabbaaaaaabaabbabbbbbababagaaaabd	4433016833
cabbaaaaaabaabbabbbbbababfaaaaabd	4433016833
cabbaaaaaabaabbabbbbbabagaaaaaabd	4433016833
cabbaaaaaabaabbabbbbbabfaaaaaaabd	4433016833
cabbaaaaaabaabbabbbbbagaaaaaaaabd	4433016833
cabbaaaaaabaabbabbbbbfaaaaaaaaabd	4433016833
cabbaaaaaabaabbabbbbgaaaaaaaaaabd	4433016833
cabbaaaaaabaabbabbbgbaaaaaaaaaabd	4433016833
cabbaaaaaabaabbabbgbbaaaaaaaaaabd	4433016833
cabbaaaaaabaabbabgbbbaaaaaaaaaabd	4433016833
cabbaaaaaabaabbagbbbbaaaaaaaaaabd	4433016833
cabbaaaaaabaabbfabbbbaaaaaaaaaabd	4433016833
cabbaaaaaabaabgaabbbbaaaaaaaaaabd	4433016833
cabbaaaaaabaagbaabbbbaaaaaaaaaabd	4433016833
cabbaaaaaabafabaabbbbaaaaaaaaaabd	4433016833
cabbaaaaaabebabaabbbbaaaaaaaaaabd	4433016833
cabbaaaaaafbbabaabbbbaaaaaaaaaabd	4433016833
cabbaaaaaebbbabaabbbbaaaaaaaaaabd	4433016833
cabbaaaaeabbbabaabbbbaaaaaaaaaabd	4433016833
cabbaaaeaabbbabaabbbbaaaaaaaaaabd	4433016833
cabbaaeaaabbbabaabbbbaaaaaaaaaabd	4433016833
cabbaeaaaabbbabaabbbbaaaaaaaaaabd	4433016833
cabbeaaaaabbbabaabbbbaaaaaaaaaabd	4433016833
cabfbaaaaabbbabaabbbbaaaaaaaaaabd	4433016833
cagabaaaaabbbabaabbbbaaaaaaaaaabd	4433016833
cfaabaaaaabbbabaabbbbaaaaaaaaaabd	4433016833
caaaabaaaaabbbabaabbbbaaaaaaaaaabd	4433016833
caaaabaaaaabbbabaabbbbaaaaaaaaebd	3324762625
caaaabaaaaabbbabaabbbbaaaaaaaeabd	3324762625
caaaabaaaaabbbabaabbbbaaaaaaeaabd	3324762625
caaaabaaaaabbbabaabbbbaaaaaeaaabd	3324762625
caaaabaaaaabbbabaabbbbaaaaeaaaabd	3324762625
caaaabaaaaabbbabaabbbbaaaeaaaaabd	3324762625
caaaabaaaaabbbabaabbbbaaeaaaaaabd	3324762625
caaaabaaaaabbbabaabbbbaeaaaaaaabd	3324762625
caaaabaaaaabbbabaabbbbeaaaaaaaabd	3324762625
caaaabaaaaabbbabaabbbfbaaaaaaaabd	3324762625
caaaabaaaaabbbabaabbgabaaaaaaaabd	3324762625
caaaabaaaaabbbabaabgbabaaaaaaaabd	3324762625
caaaabaaaaabbbabaagbbabaaaaaaaabd	3324762625
caaaabaaaaabbbabafabbabaaaaaaaabd	3324762625
caaaabaaaaabbbabebabbabaaaaaaaabd	3324762625
caaaabaaaaabbbafbbabbabaaaaaaaabd	3324762625
caaaabaaaaabbbebbbabbabaaaaaaaabd	3324762625
caaaabaaaaabbfbbbbabbabaaaaaaaabd	3324762625
caaaabaaaaabgabbbbabbabaaaaaaaabd	3324762625
caaaabaaaaagbabbbbabbabaaaaaaaabd	3324762625
caaaabaaaafababbbbabbabaaaaaaaabd	3324762625
caaaabaaaebababbbbabbabaaaaaaaabd	3324762625
caaaabaaeabababbbbabbabaaaaaaaabd	3324762625
caaaabaeaabababbbbabbabaaaaaaaabd	3324762625
caaaabeaaabababbbbabbabaaaaaaaabd	3324762625
caaaafbaaabababbbbabbabaaaaaaaabd	3324762625
caaaebbaaabababbbbabbabaaaaaaaabd	3324762625
caaeabbaaabababbbbabbabaaaaaaaabd	3324762625
caeaabbaaabababbbbabbabaaaaaaaabd	3324762625
ceaaabbaaabababbbbabbabaaaaaaaabd	3324762625
cbaaabbaaabababbbbabbabaaaaaaaabd	3324762625
cbaaabbaaabababbbbabbabaaaaaaebd	2493571969
cbaaabbaaabababbbbabbabaaaaaeabd	2493571969
cbaaabbaaabababbbbabbabaaaaeaabd	2493571969
cbaaabbaaabababbbbabbabaaaeaaabd	2493571969
cbaaabbaaabababbbbabbabaaeaaaabd	2493571969
cbaaabbaaabababbbbabbabaeaaaaabd	2493571969
cbaaabbaaabababbbbabbabeaaaaaabd	2493571969
cbaaabbaaabababbbbabbafbaaaaaabd	2493571969
cbaaabbaaabababbbbabbebbaaaaaabd	2493571969
cbaaabbaaabababbbbabfbbbaaaaaabd	2493571969
cbaaabbaaabababbbbagabbbaaaaaabd	2493571969
cbaaabbaaabababbbbfaabbbaaaaaabd	2493571969
cbaaabbaaabababbbgaaabbbaaaaaabd	2493571969
cbaaabbaaabababbgbaaabbbaaaaaabd	2493571969
cbaaabbaaabababgbbaaabbbaaaaaabd	2493571969
cbaaabbaaababagbbbaaabbbaaaaaabd	2493571969
cbaaabbaaababfabbbaaabbbaaaaaabd	2493571969
cbaaabbaaabagaabbbaaabbbaaaaaabd	2493571969
cbaaabbaaabfaaabbbaaabbbaaaaaabd	2493571969
cbaaabbaaagaaaabbbaaabbbaaaaaabd	2493571969
cbaaabbaafaaaaabbbaaabbbaaaaaabd	2493571969
cbaaabbaebaaaaabbbaaabbbaaaaaabd	2493571969
cbaaabbeabaaaaabbbaaabbbaaaaaabd	2493571969
cbaaabfbabaaaaabbbaaabbbaaaaaabd	2493571969
cbaaagababaaaaabbbaaabbbaaaaaabd	2493571969
cbaafaababaaaaabbbaaabbbaaaaaabd	2493571969
cbaebaababaaaaabbbaaabbbaaaaaabd	2493571969
cbeabaababaaaaabbbaaabbbaaaaaabd	2493571969
cfbabaababaaaaabbbaaabbbaaaaaabd	2493571969
caababaababaaaaabbbaaabbbaaaaaabd	2493571969
caababaababaaaaabbbaaabbbaaaaebd	1870178977
caababaababaaaaabbbaaabbbaaaeabd	1870178977
caababaababaaaaabbbaaabbbaaeaabd	1870178977
caababaababaaaaabbbaaabbbaeaaabd	1870178977
caababaababaaaaabbbaaabbbeaaaabd	1870178977
caababaababaaaaabbbaaabbfbaaaabd	1870178977
caababaababaaaaabbbaaabgabaaaabd	1870178977
caababaababaaaaabbbaaagbabaaaabd	1870178977
caababaababaaaaabbbaafababaaaabd	1870178977
caababaababaaaaabbbaebababaaaabd	1870178977
caababaababaaaaabbbeabababaaaabd	1870178977
caababaababaaaaabbfbabababaaaabd	1870178977
caababaababaaaaabgababababaaaabd	1870178977
caababaababaaaaagbababababaaaabd	1870178977
caababaababaaaafabababababaaaabd	1870178977
caababaababaaaebabababababaaaabd	1870178977
caababaababaaeababababababaaaabd	1870178977
caababaababaeaababababababaaaabd	1870178977
caababaababeaaababababababaaaabd	1870178977
caababaabafbaaababababababaaaabd	1870178977
caababaabebbaaababababababaaaabd	1870178977
caababaafbbbaaababababababaaaabd	1870178977
caababaebbbbaaababababababaaaabd	1870178977
caababeabbbbaaababababababaaaabd	1870178977
caabafbabbbbaaababababababaaaabd	1870178977
caabebbabbbbaaababababababaaaabd	1870178977
caafbbbabbbbaaababababababaaaabd	1870178977
caebbbbabbbbaaababababababaaaabd	1870178977
ceabbbbabbbbaaababababababaaaabd	1870178977
cbabbbbabbbbaaababababababaaaabd	1870178977
cbabbbbabbbbaaababababababaaebd	1402634233
cbabbbbabbbbaaababababababaeabd	1402634233
cbabbbbabbbbaaababababababeaabd	1402634233
cbabbbbabbbbaaabababababafbaabd	1402634233
cbabbbbabbbbaaabababababebbaabd	1402634233
cbabbbbabbbbaaababababafbbbaabd	1402634233
cbabbbbabbbbaaababababebbbbaabd	1402634233
cbabbbbabbbbaaabababafbbbbbaabd	1402634233
cbabbbbabbbbaaabababebbbbbbaabd	1402634233
cbabbbbabbbbaaababafbbbbbbbaabd	1402634233
cbabbbbabbbbaaababebbbbbbbbaabd	1402634233
cbabbbbabbbbaaabafbbbbbbbbbaabd	1402634233
cbabbbbabbbbaaabebbbbbbbbbbaabd	1402634233
cbabbbbabbbbaaafbbbbbbbbbbbaabd	1402634233
cbabbbbabbbbaaebbbbbbbbbbbbaabd	1402634233
cbabbbbabbbbaeabbbbbbbbbbbbaabd	1402634233
cbabbbbabbbbeaabbbbbbbbbbbbaabd	1402634233
cbabbbbabbbfbaabbbbbbbbbbbbaabd	1402634233
cbabbbbabbgabaabbbbbbbbbbbbaabd	1402634233
cbabbbbabgbabaabbbbbbbbbbbbaabd	1402634233
cbabbbbagbbabaabbbbbbbbbbbbaabd	1402634233
cbabbbbfabbabaabbbbbbbbbbbbaabd	1402634233
cbabbbgaabbabaabbbbbbbbbbbbaabd	1402634233
cbabbgbaabbabaabbbbbbbbbbbbaabd	1402634233
cbabgbbaabbabaabbbbbbbbbbbbaabd	1402634233
cbagbbbaabbabaabbbbbbbbbbbbaabd	1402634233
cbfabbbaabbabaabbbbbbbbbbbbaabd	1402634233
cgaabbbaabbabaabbbbbbbbbbbbaabd	1402634233
cabaabbbaabbabaabbbbbbbbbbbbaabd	1402634233
cabaabbbaabbabaabbbbbbbbbbbbebd	1051975675
cabaabbbaabbabaabbbbbbbbbbbfbbd	1051975675
cabaabbbaabbabaabbbbbbbbbbgabbd	1051975675
cabaabbbaabbabaabbbbbbbbbgbabbd	1051975675
cabaabbbaabbabaabbbbbbbbgbbabbd	1051975675
cabaabbbaabbabaabbbbbbbgbbbabbd	1051975675
cabaabbbaabbabaabbbbbbgbbbbabbd	1051975675
cabaabbbaabbabaabbbbbgbbbbbabbd	1051975675
cabaabbbaabbabaabbbbgbbbbbbabbd	1051975675
cabaabbbaabbabaabbbgbbbbbbbabbd	1051975675
cabaabbbaabbabaabbgbbbbbbbbabbd	1051975675
cabaabbbaabbabaabgbbbbbbbbbabbd	1051975675
cabaabbbaabbabaagbbbbbbbbbbabbd	1051975675
cabaabbbaabbabafabbbbbbbbbbabbd	1051975675
cabaabbbaabbabebabbbbbbbbbbabbd	1051975675
cabaabbbaabbafbbabbbbbbbbbbabbd	1051975675
cabaabbbaabbebbbabbbbbbbbbbabbd	1051975675
cabaabbbaabfbbbbabbbbbbbbbbabbd	1051975675
cabaabbbaagabbbbabbbbbbbbbbabbd	1051975675
cabaabbbafaabbbbabbbbbbbbbbabbd	1051975675
cabaabbbebaabbbbabbbbbbbbbbabbd	1051975675
cabaabbfbbaabbbbabbbbbbbbbbabbd	1051975675
cabaabgabbaabbbbabbbbbbbbbbabbd	1051975675
cabaagbabbaabbbbabbbbbbbbbbabbd	1051975675
cabafababbaabbbbabbbbbbbbbbabbd	1051975675
cabebababbaabbbbabbbbbbbbbbabbd	1051975675
cafbbababbaabbbbabbbbbbbbbbabbd	1051975675
cebbbababbaabbbbabbbbbbbbbbabbd	1051975675
cbbbbababbaabbbbabbbbbbbbbbabbd	1051975675
cbbbbababbaabbbbabbbbbbbbbbfabd	1577963513
cbbbbababbaabbbbabbbbbbbbbgaabd	1577963513
cbbbbababbaabbbbabbbbbbbbgbaabd	1577963513
cbbbbababbaabbbbabbbbbbbgbbaabd	1577963513
cbbbbababbaabbbbabbbbbbgbbbaabd	1577963513
cbbbbababbaabbbbabbbbbgbbbbaabd	1577963513
cbbbbababbaabbbbabbbbgbbbbbaabd	1577963513
cbbbbababbaabbbbabbbgbbbbbbaabd	1577963513
cbbbbababbaabbbbabbgbbbbbbbaabd	1577963513
cbbbbababbaabbbbabgbbbbbbbbaabd	1577963513
cbbbbababbaabbbbagbbbbbbbbbaabd	1577963513
cbbbbababbaabbbbfabbbbbbbbbaabd	1577963513
cbbbbababbaabbbgaabbbbbbbbbaabd	1577963513
cbbbbababbaabbgbaabbbbbbbbbaabd	1577963513
cbbbbababbaabgbbaabbbbbbbbbaabd	1577963513
cbbbbababbaagbbbaabbbbbbbbbaabd	1577963513
cbbbbababbafabbbaabbbbbbbbbaabd	1577963513
cbbbbababbebabbbaabbbbbbbbbaabd	1577963513
cbbbbababfbbabbbaabbbbbbbbbaabd	1577963513
cbbbbabagabbabbbaabbbbbbbbbaabd	1577963513
cbbbbabfaabbabbbaabbbbbbbbbaabd	1577963513
cbbbbagaaabbabbbaabbbbbbbbbaabd	1577963513
cbbbbfaaaabbabbbaabbbbbbbbbaabd	1577963513
cbbbgaaaaabbabbbaabbbbbbbbbaabd	1577963513
cbbgbaaaaabbabbbaabbbbbbbbbaabd	1577963513
cbgbbaaaaabbabbbaabbbbbbbbbaabd	1577963513
cgbbbaaaaabbabbbaabbbbbbbbbaabd	1577963513
cabbbbaaaaabbabbbaabbbbbbbbbaabd	1577963513
cabbbbaaaaabbabbbaabbbbbbbbbebd	1183472635
cabbbbaaaaabbabbbaabbbbbbbbfbbd	1183472635
cabbbbaaaaabbabbbaabbbbbbbgabbd	1183472635
cabbbbaaaaabbabbbaabbbbbbgbabbd	1183472635
cabbbbaaaaabbabbbaabbbbbgbbabbd	1183472635
cabbbbaaaaabbabbbaabbbbgbbbabbd	1183472635
cabbbbaaaaabbabbbaabbbgbbbbabbd	1183472635
cabbbbaaaaabbabbbaabbgbbbbbabbd	1183472635
cabbbbaaaaabbabbbaabgbbbbbbabbd	1183472635
cabbbbaaaaabbabbbaagbbbbbbbabbd	1183472635
cabbbbaaaaabbabbbafabbbbbbbabbd	1183472635
cabbbbaaaaabbabbbebabbbbbbbabbd	1183472635
cabbbbaaaaabbabbfbbabbbbbbbabbd	1183472635
cabbbbaaaaabbabgabbabbbbbbbabbd	1183472635
cabbbbaaaaabbagbabbabbbbbbbabbd	1183472635
cabbbbaaaaabbfababbabbbbbbbabbd	1183472635
cabbbbaaaaabgaababbabbbbbbbabbd	1183472635
cabbbbaaaaagbaababbabbbbbbbabbd	1183472635
cabbbbaaaafabaababbabbbbbbbabbd	1183472635
cabbbbaaaebabaababbabbbbbbbabbd	1183472635
cabbbbaaeababaababbabbbbbbbabbd	1183472635
cabbbbaeaababaababbabbbbbbbabbd	1183472635
cabbbbeaaababaababbabbbbbbbabbd	1183472635
cabbbfbaaababaababbabbbbbbbabbd	1183472635
cabbgabaaababaababbabbbbbbbabbd	1183472635
cabgbabaaababaababbabbbbbbbabbd	1183472635
cagbbabaaababaababbabbbbbbbabbd	1183472635
cfabbabaaababaababbabbbbbbbabbd	1183472635
caaabbabaaababaababbabbbbbbbabbd	1183472635
caaabbabaaababaababbabbbbbbbfabd	1775208953
caaabbabaaababaababbabbbbbbgaabd	1775208953
caaabbabaaababaababbabbbbbgbaabd	1775208953
caaabbabaaababaababbabbbbgbbaabd	1775208953
caaabbabaaababaababbabbbgbbbaabd	1775208953
caaabbabaaababaababbabbgbbbbaabd	1775208953
caaabbabaaababaababbabgbbbbbaabd	1775208953
caaabbabaaababaababbagbbbbbbaabd	1775208953
caaabbabaaababaababbfabbbbbbaabd	1775208953
caaabbabaaababaababgaabbbbbbaabd	1775208953
caaabbabaaababaabagbaabbbbbbaabd	1775208953
caaabbabaaababaabfabaabbbbbbaabd	1775208953
caaabbabaaababaagaabaabbbbbbaabd	1775208953
caaabbabaaababafaaabaabbbbbbaabd	1775208953
caaabbabaaababebaaabaabbbbbbaabd	1775208953
caaabbabaaabafbbaaabaabbbbbbaabd	1775208953
caaabbabaaabebbbaaabaabbbbbbaabd	1775208953
caaabbabaaafbbbbaaabaabbbbbbaabd	1775208953
caaabbabaaebbbbbaaabaabbbbbbaabd	1775208953
caaabbabaeabbbbbaaabaabbbbbbaabd	1775208953
caaabbabeaabbbbbaaabaabbbbbbaabd	1775208953
caaabbafbaabbbbbaaabaabbbbbbaabd	1775208953
caaabbebbaabbbbbaaabaabbbbbbaabd	1775208953
caaabfbbbaabbbbbaaabaabbbbbbaabd	1775208953
