"Input number 2692 with intial rewrite term cababaaaabaad
Generated final number 271 with final rewrite term caaaabbbbd
Number of steps: 61  Number of array doubles: 0"
Term	Number
cababaaaabad	1346
cababaaaabd	673
cababaaebd	505
cababaeabd	505
cababeaabd	505
cabafbaabd	505
cabebbaabd	505
cafbbbaabd	505
cebbbbaabd	505
cbbbbbaabd	505
cbbbbbebd	379
cbbbbfbbd	379
cbbbgabbd	379
cbbgbabbd	379
cbgbbabbd	379
cgbbbabbd	379
cabbbbabbd	379
cabbbbfabd	569
cabbbgaabd	569
cabbgbaabd	569
cabgbbaabd	569
cagbbbaabd	569
cfabbbaabd	569
caaabbbaabd	569
caaabbbebd	427
caaabbfbbd	427
caaabgabbd	427
caaagbabbd	427
caafababbd	427
caebababbd	427
ceabababbd	427
cbabababbd	427
cbababfabd	641
cbabagaabd	641
cbabfaaabd	641
cbagaaaabd	641
cbfaaaaabd	641
cgaaaaaabd	641
cabaaaaaabd	641
cabaaaaebd	481
cabaaaeabd	481
cabaaeaabd	481
cabaeaaabd	481
cabeaaaabd	481
cafbaaaabd	481
cebbaaaabd	481
cbbbaaaabd	481
cbbbaaebd	361
cbbbaeabd	361
cbbbeaabd	361
cbbfbaabd	361
cbgabaabd	361
cgbabaabd	361
cabbabaabd	361
cabbabebd	271
cabbafbbd	271
cabbebbbd	271
cabfbbbbd	271
cagabbbbd	271
cfaabbbbd	271
caaaabbbbd	271
