"Input number 625584772 with intial rewrite term caabababaabaabbababababaaaabaad
Generated final number 80346413 with final rewrite term caabbaabaabbbbbbbabaababbabd
Number of steps: 606  Number of array doubles: 0"
Term	Number
caabababaabaabbababababaaaabad	312792386
caabababaabaabbababababaaaabd	156396193
caabababaabaabbababababaaebd	117297145
caabababaabaabbababababaeabd	117297145
caabababaabaabbababababeaabd	117297145
caabababaabaabbabababafbaabd	117297145
caabababaabaabbabababebbaabd	117297145
caabababaabaabbababafbbbaabd	117297145
caabababaabaabbababebbbbaabd	117297145
caabababaabaabbabafbbbbbaabd	117297145
caabababaabaabbabebbbbbbaabd	117297145
caabababaabaabbafbbbbbbbaabd	117297145
caabababaabaabbebbbbbbbbaabd	117297145
caabababaabaabfbbbbbbbbbaabd	117297145
caabababaabaagabbbbbbbbbaabd	117297145
caabababaabafaabbbbbbbbbaabd	117297145
caabababaabebaabbbbbbbbbaabd	117297145
caabababaafbbaabbbbbbbbbaabd	117297145
caabababaebbbaabbbbbbbbbaabd	117297145
caabababeabbbaabbbbbbbbbaabd	117297145
caababafbabbbaabbbbbbbbbaabd	117297145
caababebbabbbaabbbbbbbbbaabd	117297145
caabafbbbabbbaabbbbbbbbbaabd	117297145
caabebbbbabbbaabbbbbbbbbaabd	117297145
caafbbbbbabbbaabbbbbbbbbaabd	117297145
caebbbbbbabbbaabbbbbbbbbaabd	117297145
ceabbbbbbabbbaabbbbbbbbbaabd	117297145
cbabbbbbbabbbaabbbbbbbbbaabd	117297145
cbabbbbbbabbbaabbbbbbbbbebd	87972859
cbabbbbbbabbbaabbbbbbbbfbbd	87972859
cbabbbbbbabbbaabbbbbbbgabbd	87972859
cbabbbbbbabbbaabbbbbbgbabbd	87972859
cbabbbbbbabbbaabbbbbgbbabbd	87972859
cbabbbbbbabbbaabbbbgbbbabbd	87972859
cbabbbbbbabbbaabbbgbbbbabbd	87972859
cbabbbbbbabbbaabbgbbbbbabbd	87972859
cbabbbbbbabbbaabgbbbbbbabbd	87972859
cbabbbbbbabbbaagbbbbbbbabbd	87972859
cbabbbbbbabbbafabbbbbbbabbd	87972859
cbabbbbbbabbbebabbbbbbbabbd	87972859
cbabbbbbbabbfbbabbbbbbbabbd	87972859
cbabbbbbbabgabbabbbbbbbabbd	87972859
cbabbbbbbagbabbabbbbbbbabbd	87972859
cbabbbbbbfababbabbbbbbbabbd	87972859
cbabbbbbgaababbabbbbbbbabbd	87972859
cbabbbbgbaababbabbbbbbbabbd	87972859
cbabbbgbbaababbabbbbbbbabbd	87972859
cbabbgbbbaababbabbbbbbbabbd	87972859
cbabgbbbbaababbabbbbbbbabbd	87972859
cbagbbbbbaababbabbbbbbbabbd	87972859
cbfabbbbbaababbabbbbbbbabbd	87972859
cgaabbbbbaababbabbbbbbbabbd	87972859
cabaabbbbbaababbabbbbbbbabbd	87972859
cabaabbbbbaababbabbbbbbbfabd	131959289
cabaabbbbbaababbabbbbbbgaabd	131959289
cabaabbbbbaababbabbbbbgbaabd	131959289
cabaabbbbbaababbabbbbgbbaabd	131959289
cabaabbbbbaababbabbbgbbbaabd	131959289
cabaabbbbbaababbabbgbbbbaabd	131959289
cabaabbbbbaababbabgbbbbbaabd	131959289
cabaabbbbbaababbagbbbbbbaabd	131959289
cabaabbbbbaababbfabbbbbbaabd	131959289
cabaabbbbbaababgaabbbbbbaabd	131959289
cabaabbbbbaabagbaabbbbbbaabd	131959289
cabaabbbbbaabfabaabbbbbbaabd	131959289
cabaabbbbbaagaabaabbbbbbaabd	131959289
cabaabbbbbafaaabaabbbbbbaabd	131959289
cabaabbbbbebaaabaabbbbbbaabd	131959289
cabaabbbbfbbaaabaabbbbbbaabd	131959289
cabaabbbgabbaaabaabbbbbbaabd	131959289
cabaabbgbabbaaabaabbbbbbaabd	131959289
cabaabgbbabbaaabaabbbbbbaabd	131959289
cabaagbbbabbaaabaabbbbbbaabd	131959289
cabafabbbabbaaabaabbbbbbaabd	131959289
cabebabbbabbaaabaabbbbbbaabd	131959289
cafbbabbbabbaaabaabbbbbbaabd	131959289
cebbbabbbabbaaabaabbbbbbaabd	131959289
cbbbbabbbabbaaabaabbbbbbaabd	131959289
cbbbbabbbabbaaabaabbbbbbebd	98969467
cbbbbabbbabbaaabaabbbbbfbbd	98969467
cbbbbabbbabbaaabaabbbbgabbd	98969467
cbbbbabbbabbaaabaabbbgbabbd	98969467
cbbbbabbbabbaaabaabbgbbabbd	98969467
cbbbbabbbabbaaabaabgbbbabbd	98969467
cbbbbabbbabbaaabaagbbbbabbd	98969467
