"Input number 6358 with intial rewrite term cbaaabbababbad
Generated final number 3397 with final rewrite term cbababaaababd
Number of steps: 73  Number of array doubles: 0"
Term	Number
cbaaabbababbd	3179
cbaaabbabfabd	4769
cbaaabbagaabd	4769
cbaaabbfaaabd	4769
cbaaabgaaaabd	4769
cbaaagbaaaabd	4769
cbaafabaaaabd	4769
cbaebabaaaabd	4769
cbeababaaaabd	4769
cfbababaaaabd	4769
caabababaaaabd	4769
caabababaaebd	3577
caabababaeabd	3577
caabababeaabd	3577
caababafbaabd	3577
caababebbaabd	3577
caabafbbbaabd	3577
caabebbbbaabd	3577
caafbbbbbaabd	3577
caebbbbbbaabd	3577
ceabbbbbbaabd	3577
cbabbbbbbaabd	3577
cbabbbbbbebd	2683
cbabbbbbfbbd	2683
cbabbbbgabbd	2683
cbabbbgbabbd	2683
cbabbgbbabbd	2683
cbabgbbbabbd	2683
cbagbbbbabbd	2683
cbfabbbbabbd	2683
cgaabbbbabbd	2683
cabaabbbbabbd	2683
cabaabbbbfabd	4025
cabaabbbgaabd	4025
cabaabbgbaabd	4025
cabaabgbbaabd	4025
cabaagbbbaabd	4025
cabafabbbaabd	4025
cabebabbbaabd	4025
cafbbabbbaabd	4025
cebbbabbbaabd	4025
cbbbbabbbaabd	4025
cbbbbabbbebd	3019
cbbbbabbfbbd	3019
cbbbbabgabbd	3019
cbbbbagbabbd	3019
cbbbbfababbd	3019
cbbbgaababbd	3019
cbbgbaababbd	3019
cbgbbaababbd	3019
cgbbbaababbd	3019
cabbbbaababbd	3019
cabbbbaabfabd	4529
cabbbbaagaabd	4529
cabbbbafaaabd	4529
cabbbbebaaabd	4529
cabbbfbbaaabd	4529
cabbgabbaaabd	4529
cabgbabbaaabd	4529
cagbbabbaaabd	4529
cfabbabbaaabd	4529
caaabbabbaaabd	4529
caaabbabbaebd	3397
caaabbabbeabd	3397
caaabbabfbabd	3397
caaabbagababd	3397
caaabbfaababd	3397
caaabgaaababd	3397
caaagbaaababd	3397
caafabaaababd	3397
caebabaaababd	3397
ceababaaababd	3397
cbababaaababd	3397
