"Input number 64726 with intial rewrite term cbbbbbaabbababbad
Generated final number 9229 with final rewrite term caabaaaaaabbabd
Number of steps: 179  Number of array doubles: 0"
Term	Number
cbbbbbaabbababbd	32363
cbbbbbaabbabfabd	48545
cbbbbbaabbagaabd	48545
cbbbbbaabbfaaabd	48545
cbbbbbaabgaaaabd	48545
cbbbbbaagbaaaabd	48545
cbbbbbafabaaaabd	48545
cbbbbbebabaaaabd	48545
cbbbbfbbabaaaabd	48545
cbbbgabbabaaaabd	48545
cbbgbabbabaaaabd	48545
cbgbbabbabaaaabd	48545
cgbbbabbabaaaabd	48545
cabbbbabbabaaaabd	48545
cabbbbabbabaaebd	36409
cabbbbabbabaeabd	36409
cabbbbabbabeaabd	36409
cabbbbabbafbaabd	36409
cabbbbabbebbaabd	36409
cabbbbabfbbbaabd	36409
cabbbbagabbbaabd	36409
cabbbbfaabbbaabd	36409
cabbbgaaabbbaabd	36409
cabbgbaaabbbaabd	36409
cabgbbaaabbbaabd	36409
cagbbbaaabbbaabd	36409
cfabbbaaabbbaabd	36409
caaabbbaaabbbaabd	36409
caaabbbaaabbbebd	27307
caaabbbaaabbfbbd	27307
caaabbbaaabgabbd	27307
caaabbbaaagbabbd	27307
caaabbbaafababbd	27307
caaabbbaebababbd	27307
caaabbbeabababbd	27307
caaabbfbabababbd	27307
caaabgababababbd	27307
caaagbababababbd	27307
caafabababababbd	27307
caebabababababbd	27307
ceababababababbd	27307
cbababababababbd	27307
cbabababababfabd	40961
cbababababagaabd	40961
cbababababfaaabd	40961
cbabababagaaaabd	40961
cbabababfaaaaabd	40961
cbababagaaaaaabd	40961
cbababfaaaaaaabd	40961
cbabagaaaaaaaabd	40961
cbabfaaaaaaaaabd	40961
cbagaaaaaaaaaabd	40961
cbfaaaaaaaaaaabd	40961
cgaaaaaaaaaaaabd	40961
cabaaaaaaaaaaaabd	40961
cabaaaaaaaaaaebd	30721
cabaaaaaaaaaeabd	30721
cabaaaaaaaaeaabd	30721
cabaaaaaaaeaaabd	30721
cabaaaaaaeaaaabd	30721
cabaaaaaeaaaaabd	30721
cabaaaaeaaaaaabd	30721
cabaaaeaaaaaaabd	30721
cabaaeaaaaaaaabd	30721
cabaeaaaaaaaaabd	30721
cabeaaaaaaaaaabd	30721
cafbaaaaaaaaaabd	30721
cebbaaaaaaaaaabd	30721
cbbbaaaaaaaaaabd	30721
cbbbaaaaaaaaebd	23041
cbbbaaaaaaaeabd	23041
cbbbaaaaaaeaabd	23041
cbbbaaaaaeaaabd	23041
cbbbaaaaeaaaabd	23041
cbbbaaaeaaaaabd	23041
cbbbaaeaaaaaabd	23041
cbbbaeaaaaaaabd	23041
cbbbeaaaaaaaabd	23041
cbbfbaaaaaaaabd	23041
cbgabaaaaaaaabd	23041
cgbabaaaaaaaabd	23041
cabbabaaaaaaaabd	23041
cabbabaaaaaaebd	17281
cabbabaaaaaeabd	17281
cabbabaaaaeaabd	17281
cabbabaaaeaaabd	17281
cabbabaaeaaaabd	17281
cabbabaeaaaaabd	17281
cabbabeaaaaaabd	17281
cabbafbaaaaaabd	17281
cabbebbaaaaaabd	17281
cabfbbbaaaaaabd	17281
cagabbbaaaaaabd	17281
cfaabbbaaaaaabd	17281
caaaabbbaaaaaabd	17281
caaaabbbaaaaebd	12961
caaaabbbaaaeabd	12961
caaaabbbaaeaabd	12961
caaaabbbaeaaabd	12961
caaaabbbeaaaabd	12961
caaaabbfbaaaabd	12961
caaaabgabaaaabd	12961
caaaagbabaaaabd	12961
caaafababaaaabd	12961
caaebababaaaabd	12961
caeabababaaaabd	12961
ceaabababaaaabd	12961
cbaabababaaaabd	12961
cbaabababaaebd	9721
cbaabababaeabd	9721
cbaabababeaabd	9721
cbaababafbaabd	9721
cbaababebbaabd	9721
cbaabafbbbaabd	9721
cbaabebbbbaabd	9721
cbaafbbbbbaabd	9721
cbaebbbbbbaabd	9721
cbeabbbbbbaabd	9721
cfbabbbbbbaabd	9721
caababbbbbbaabd	9721
caababbbbbbebd	7291
caababbbbbfbbd	7291
caababbbbgabbd	7291
caababbbgbabbd	7291
caababbgbbabbd	7291
caababgbbbabbd	7291
caabagbbbbabbd	7291
caabfabbbbabbd	7291
