"Input number 71106448 with intial rewrite term caaaabbbbaabbbbbbbbbaabaaaad
Generated final number 1352965 with final rewrite term cabaababaababaaaaababd
Number of steps: 427  Number of array doubles: 0"
Term	Number
caaaabbbbaabbbbbbbbbaabaaad	35553224
caaaabbbbaabbbbbbbbbaabaad	17776612
caaaabbbbaabbbbbbbbbaabad	8888306
caaaabbbbaabbbbbbbbbaabd	4444153
caaaabbbbaabbbbbbbbbebd	3333115
caaaabbbbaabbbbbbbbfbbd	3333115
caaaabbbbaabbbbbbbgabbd	3333115
caaaabbbbaabbbbbbgbabbd	3333115
caaaabbbbaabbbbbgbbabbd	3333115
caaaabbbbaabbbbgbbbabbd	3333115
caaaabbbbaabbbgbbbbabbd	3333115
caaaabbbbaabbgbbbbbabbd	3333115
caaaabbbbaabgbbbbbbabbd	3333115
caaaabbbbaagbbbbbbbabbd	3333115
caaaabbbbafabbbbbbbabbd	3333115
caaaabbbbebabbbbbbbabbd	3333115
caaaabbbfbbabbbbbbbabbd	3333115
caaaabbgabbabbbbbbbabbd	3333115
caaaabgbabbabbbbbbbabbd	3333115
caaaagbbabbabbbbbbbabbd	3333115
caaafabbabbabbbbbbbabbd	3333115
caaebabbabbabbbbbbbabbd	3333115
caeababbabbabbbbbbbabbd	3333115
ceaababbabbabbbbbbbabbd	3333115
cbaababbabbabbbbbbbabbd	3333115
cbaababbabbabbbbbbbfabd	4999673
cbaababbabbabbbbbbgaabd	4999673
cbaababbabbabbbbbgbaabd	4999673
cbaababbabbabbbbgbbaabd	4999673
cbaababbabbabbbgbbbaabd	4999673
cbaababbabbabbgbbbbaabd	4999673
cbaababbabbabgbbbbbaabd	4999673
cbaababbabbagbbbbbbaabd	4999673
cbaababbabbfabbbbbbaabd	4999673
cbaababbabgaabbbbbbaabd	4999673
cbaababbagbaabbbbbbaabd	4999673
cbaababbfabaabbbbbbaabd	4999673
cbaababgaabaabbbbbbaabd	4999673
cbaabagbaabaabbbbbbaabd	4999673
cbaabfabaabaabbbbbbaabd	4999673
cbaagaabaabaabbbbbbaabd	4999673
cbafaaabaabaabbbbbbaabd	4999673
cbebaaabaabaabbbbbbaabd	4999673
cfbbaaabaabaabbbbbbaabd	4999673
caabbaaabaabaabbbbbbaabd	4999673
caabbaaabaabaabbbbbbebd	3749755
caabbaaabaabaabbbbbfbbd	3749755
caabbaaabaabaabbbbgabbd	3749755
caabbaaabaabaabbbgbabbd	3749755
caabbaaabaabaabbgbbabbd	3749755
caabbaaabaabaabgbbbabbd	3749755
caabbaaabaabaagbbbbabbd	3749755
caabbaaabaabafabbbbabbd	3749755
caabbaaabaabebabbbbabbd	3749755
caabbaaabaafbbabbbbabbd	3749755
caabbaaabaebbbabbbbabbd	3749755
caabbaaabeabbbabbbbabbd	3749755
caabbaaafbabbbabbbbabbd	3749755
caabbaaebbabbbabbbbabbd	3749755
caabbaeabbabbbabbbbabbd	3749755
caabbeaabbabbbabbbbabbd	3749755
caabfbaabbabbbabbbbabbd	3749755
caagabaabbabbbabbbbabbd	3749755
cafaabaabbabbbabbbbabbd	3749755
cebaabaabbabbbabbbbabbd	3749755
cbbaabaabbabbbabbbbabbd	3749755
cbbaabaabbabbbabbbbfabd	5624633
cbbaabaabbabbbabbbgaabd	5624633
cbbaabaabbabbbabbgbaabd	5624633
cbbaabaabbabbbabgbbaabd	5624633
cbbaabaabbabbbagbbbaabd	5624633
cbbaabaabbabbbfabbbaabd	5624633
cbbaabaabbabbgaabbbaabd	5624633
cbbaabaabbabgbaabbbaabd	5624633
cbbaabaabbagbbaabbbaabd	5624633
cbbaabaabbfabbaabbbaabd	5624633
cbbaabaabgaabbaabbbaabd	5624633
cbbaabaagbaabbaabbbaabd	5624633
cbbaabafabaabbaabbbaabd	5624633
cbbaabebabaabbaabbbaabd	5624633
cbbaafbbabaabbaabbbaabd	5624633
cbbaebbbabaabbaabbbaabd	5624633
cbbeabbbabaabbaabbbaabd	5624633
cbfbabbbabaabbaabbbaabd	5624633
cgababbbabaabbaabbbaabd	5624633
cabababbbabaabbaabbbaabd	5624633
cabababbbabaabbaabbbebd	4218475
cabababbbabaabbaabbfbbd	4218475
cabababbbabaabbaabgabbd	4218475
cabababbbabaabbaagbabbd	4218475
cabababbbabaabbafababbd	4218475
cabababbbabaabbebababbd	4218475
cabababbbabaabfbbababbd	4218475
cabababbbabaagabbababbd	4218475
cabababbbabafaabbababbd	4218475
cabababbbabebaabbababbd	4218475
cabababbbafbbaabbababbd	4218475
cabababbbebbbaabbababbd	4218475
cabababbfbbbbaabbababbd	4218475
cabababgabbbbaabbababbd	4218475
cababagbabbbbaabbababbd	4218475
cababfababbbbaabbababbd	4218475
cabagaababbbbaabbababbd	4218475
cabfaaababbbbaabbababbd	4218475
cagaaaababbbbaabbababbd	4218475
cfaaaaababbbbaabbababbd	4218475
caaaaaaababbbbaabbababbd	4218475
caaaaaaababbbbaabbabfabd	6327713
caaaaaaababbbbaabbagaabd	6327713
caaaaaaababbbbaabbfaaabd	6327713
caaaaaaababbbbaabgaaaabd	6327713
caaaaaaababbbbaagbaaaabd	6327713
caaaaaaababbbbafabaaaabd	6327713
caaaaaaababbbbebabaaaabd	6327713
caaaaaaababbbfbbabaaaabd	6327713
caaaaaaababbgabbabaaaabd	6327713
caaaaaaababgbabbabaaaabd	6327713
caaaaaaabagbbabbabaaaabd	6327713
caaaaaaabfabbabbabaaaabd	6327713
caaaaaaagaabbabbabaaaabd	6327713
caaaaaafaaabbabbabaaaabd	6327713
caaaaaebaaabbabbabaaaabd	6327713
caaaaeabaaabbabbabaaaabd	6327713
caaaeaabaaabbabbabaaaabd	6327713
caaeaaabaaabbabbabaaaabd	6327713
caeaaaabaaabbabbabaaaabd	6327713
ceaaaaabaaabbabbabaaaabd	6327713
cbaaaaabaaabbabbabaaaabd	6327713
cbaaaaabaaabbabbabaaebd	4745785
cbaaaaabaaabbabbabaeabd	4745785
cbaaaaabaaabbabbabeaabd	4745785
cbaaaaabaaabbabbafbaabd	4745785
cbaaaaabaaabbabbebbaabd	4745785
cbaaaaabaaabbabfbbbaabd	4745785
cbaaaaabaaabbagabbbaabd	4745785
cbaaaaabaaabbfaabbbaabd	4745785
cbaaaaabaaabgaaabbbaabd	4745785
cbaaaaabaaagbaaabbbaabd	4745785
cbaaaaabaafabaaabbbaabd	4745785
cbaaaaabaebabaaabbbaabd	4745785
cbaaaaabeababaaabbbaabd	4745785
cbaaaaafbababaaabbbaabd	4745785
