"Input number 782053216 with intial rewrite term cabbbabaabbbabaababbbbabbaaaaad
Generated final number 22320517 with final rewrite term cabababaabaabababbaaaababd
Number of steps: 506  Number of array doubles: 0"
Term	Number
cabbbabaabbbabaababbbbabbaaaad	391026608
cabbbabaabbbabaababbbbabbaaad	195513304
cabbbabaabbbabaababbbbabbaad	97756652
cabbbabaabbbabaababbbbabbad	48878326
cabbbabaabbbabaababbbbabbd	24439163
cabbbabaabbbabaababbbbfabd	36658745
cabbbabaabbbabaababbbgaabd	36658745
cabbbabaabbbabaababbgbaabd	36658745
cabbbabaabbbabaababgbbaabd	36658745
cabbbabaabbbabaabagbbbaabd	36658745
cabbbabaabbbabaabfabbbaabd	36658745
cabbbabaabbbabaagaabbbaabd	36658745
cabbbabaabbbabafaaabbbaabd	36658745
cabbbabaabbbabebaaabbbaabd	36658745
cabbbabaabbbafbbaaabbbaabd	36658745
cabbbabaabbbebbbaaabbbaabd	36658745
cabbbabaabbfbbbbaaabbbaabd	36658745
cabbbabaabgabbbbaaabbbaabd	36658745
cabbbabaagbabbbbaaabbbaabd	36658745
cabbbabafababbbbaaabbbaabd	36658745
cabbbabebababbbbaaabbbaabd	36658745
cabbbafbbababbbbaaabbbaabd	36658745
cabbbebbbababbbbaaabbbaabd	36658745
cabbfbbbbababbbbaaabbbaabd	36658745
cabgabbbbababbbbaaabbbaabd	36658745
cagbabbbbababbbbaaabbbaabd	36658745
cfababbbbababbbbaaabbbaabd	36658745
caaababbbbababbbbaaabbbaabd	36658745
caaababbbbababbbbaaabbbebd	27494059
caaababbbbababbbbaaabbfbbd	27494059
caaababbbbababbbbaaabgabbd	27494059
caaababbbbababbbbaaagbabbd	27494059
caaababbbbababbbbaafababbd	27494059
caaababbbbababbbbaebababbd	27494059
caaababbbbababbbbeabababbd	27494059
caaababbbbababbbfbabababbd	27494059
caaababbbbababbgababababbd	27494059
caaababbbbababgbababababbd	27494059
caaababbbbabagbbababababbd	27494059
caaababbbbabfabbababababbd	27494059
caaababbbbagaabbababababbd	27494059
caaababbbbfaaabbababababbd	27494059
caaababbbgaaaabbababababbd	27494059
caaababbgbaaaabbababababbd	27494059
caaababgbbaaaabbababababbd	27494059
caaabagbbbaaaabbababababbd	27494059
caaabfabbbaaaabbababababbd	27494059
caaagaabbbaaaabbababababbd	27494059
caafaaabbbaaaabbababababbd	27494059
caebaaabbbaaaabbababababbd	27494059
ceabaaabbbaaaabbababababbd	27494059
cbabaaabbbaaaabbababababbd	27494059
cbabaaabbbaaaabbabababfabd	41241089
cbabaaabbbaaaabbababagaabd	41241089
cbabaaabbbaaaabbababfaaabd	41241089
cbabaaabbbaaaabbabagaaaabd	41241089
cbabaaabbbaaaabbabfaaaaabd	41241089
cbabaaabbbaaaabbagaaaaaabd	41241089
cbabaaabbbaaaabbfaaaaaaabd	41241089
cbabaaabbbaaaabgaaaaaaaabd	41241089
cbabaaabbbaaaagbaaaaaaaabd	41241089
cbabaaabbbaaafabaaaaaaaabd	41241089
cbabaaabbbaaebabaaaaaaaabd	41241089
cbabaaabbbaeababaaaaaaaabd	41241089
cbabaaabbbeaababaaaaaaaabd	41241089
cbabaaabbfbaababaaaaaaaabd	41241089
cbabaaabgabaababaaaaaaaabd	41241089
cbabaaagbabaababaaaaaaaabd	41241089
cbabaafababaababaaaaaaaabd	41241089
cbabaebababaababaaaaaaaabd	41241089
cbabeabababaababaaaaaaaabd	41241089
cbafbabababaababaaaaaaaabd	41241089
cbebbabababaababaaaaaaaabd	41241089
cfbbbabababaababaaaaaaaabd	41241089
caabbbabababaababaaaaaaaabd	41241089
caabbbabababaababaaaaaaebd	30930817
caabbbabababaababaaaaaeabd	30930817
caabbbabababaababaaaaeaabd	30930817
caabbbabababaababaaaeaaabd	30930817
caabbbabababaababaaeaaaabd	30930817
caabbbabababaababaeaaaaabd	30930817
caabbbabababaababeaaaaaabd	30930817
caabbbabababaabafbaaaaaabd	30930817
caabbbabababaabebbaaaaaabd	30930817
caabbbabababaafbbbaaaaaabd	30930817
caabbbabababaebbbbaaaaaabd	30930817
caabbbabababeabbbbaaaaaabd	30930817
caabbbababafbabbbbaaaaaabd	30930817
caabbbababebbabbbbaaaaaabd	30930817
caabbbabafbbbabbbbaaaaaabd	30930817
caabbbabebbbbabbbbaaaaaabd	30930817
caabbbafbbbbbabbbbaaaaaabd	30930817
caabbbebbbbbbabbbbaaaaaabd	30930817
caabbfbbbbbbbabbbbaaaaaabd	30930817
caabgabbbbbbbabbbbaaaaaabd	30930817
caagbabbbbbbbabbbbaaaaaabd	30930817
cafababbbbbbbabbbbaaaaaabd	30930817
cebababbbbbbbabbbbaaaaaabd	30930817
cbbababbbbbbbabbbbaaaaaabd	30930817
cbbababbbbbbbabbbbaaaaebd	23198113
cbbababbbbbbbabbbbaaaeabd	23198113
cbbababbbbbbbabbbbaaeaabd	23198113
cbbababbbbbbbabbbbaeaaabd	23198113
cbbababbbbbbbabbbbeaaaabd	23198113
cbbababbbbbbbabbbfbaaaabd	23198113
cbbababbbbbbbabbgabaaaabd	23198113
cbbababbbbbbbabgbabaaaabd	23198113
cbbababbbbbbbagbbabaaaabd	23198113
cbbababbbbbbbfabbabaaaabd	23198113
cbbababbbbbbgaabbabaaaabd	23198113
cbbababbbbbgbaabbabaaaabd	23198113
cbbababbbbgbbaabbabaaaabd	23198113
cbbababbbgbbbaabbabaaaabd	23198113
cbbababbgbbbbaabbabaaaabd	23198113
cbbababgbbbbbaabbabaaaabd	23198113
cbbabagbbbbbbaabbabaaaabd	23198113
cbbabfabbbbbbaabbabaaaabd	23198113
cbbagaabbbbbbaabbabaaaabd	23198113
cbbfaaabbbbbbaabbabaaaabd	23198113
cbgaaaabbbbbbaabbabaaaabd	23198113
cgbaaaabbbbbbaabbabaaaabd	23198113
cabbaaaabbbbbbaabbabaaaabd	23198113
cabbaaaabbbbbbaabbabaaebd	17398585
cabbaaaabbbbbbaabbabaeabd	17398585
cabbaaaabbbbbbaabbabeaabd	17398585
cabbaaaabbbbbbaabbafbaabd	17398585
cabbaaaabbbbbbaabbebbaabd	17398585
cabbaaaabbbbbbaabfbbbaabd	17398585
cabbaaaabbbbbbaagabbbaabd	17398585
cabbaaaabbbbbbafaabbbaabd	17398585
cabbaaaabbbbbbebaabbbaabd	17398585
cabbaaaabbbbbfbbaabbbaabd	17398585
cabbaaaabbbbgabbaabbbaabd	17398585
cabbaaaabbbgbabbaabbbaabd	17398585
cabbaaaabbgbbabbaabbbaabd	17398585
cabbaaaabgbbbabbaabbbaabd	17398585
cabbaaaagbbbbabbaabbbaabd	17398585
cabbaaafabbbbabbaabbbaabd	17398585
cabbaaebabbbbabbaabbbaabd	17398585
cabbaeababbbbabbaabbbaabd	17398585
cabbeaababbbbabbaabbbaabd	17398585
cabfbaababbbbabbaabbbaabd	17398585
cagabaababbbbabbaabbbaabd	17398585
cfaabaababbbbabbaabbbaabd	17398585
caaaabaababbbbabbaabbbaabd	17398585
caaaabaababbbbabbaabbbebd	13048939
caaaabaababbbbabbaabbfbbd	13048939
caaaabaababbbbabbaabgabbd	13048939
caaaabaababbbbabbaagbabbd	13048939
caaaabaababbbbabbafababbd	13048939
caaaabaababbbbabbebababbd	13048939
caaaabaababbbbabfbbababbd	13048939
caaaabaababbbbagabbababbd	13048939
caaaabaababbbbfaabbababbd	13048939
caaaabaababbbgaaabbababbd	13048939
caaaabaababbgbaaabbababbd	13048939
caaaabaababgbbaaabbababbd	13048939
caaaabaabagbbbaaabbababbd	13048939
caaaabaabfabbbaaabbababbd	13048939
caaaabaagaabbbaaabbababbd	13048939
caaaabafaaabbbaaabbababbd	13048939
caaaabebaaabbbaaabbababbd	13048939
caaaafbbaaabbbaaabbababbd	13048939
caaaebbbaaabbbaaabbababbd	13048939
caaeabbbaaabbbaaabbababbd	13048939
caeaabbbaaabbbaaabbababbd	13048939
ceaaabbbaaabbbaaabbababbd	13048939
cbaaabbbaaabbbaaabbababbd	13048939
cbaaabbbaaabbbaaabbabfabd	19573409
cbaaabbbaaabbbaaabbagaabd	19573409
cbaaabbbaaabbbaaabbfaaabd	19573409
cbaaabbbaaabbbaaabgaaaabd	19573409
cbaaabbbaaabbbaaagbaaaabd	19573409
cbaaabbbaaabbbaafabaaaabd	19573409
cbaaabbbaaabbbaebabaaaabd	19573409
cbaaabbbaaabbbeababaaaabd	19573409
cbaaabbbaaabbfbababaaaabd	19573409
cbaaabbbaaabgabababaaaabd	19573409
cbaaabbbaaagbabababaaaabd	19573409
cbaaabbbaafababababaaaabd	19573409
cbaaabbbaebababababaaaabd	19573409
cbaaabbbeabababababaaaabd	19573409
cbaaabbfbabababababaaaabd	19573409
cbaaabgababababababaaaabd	19573409
cbaaagbababababababaaaabd	19573409
cbaafabababababababaaaabd	19573409
cbaebabababababababaaaabd	19573409
