Input Number	Final Number	Number of rewrite steps	Number of array doubles
10	1	7	0
22	1	23	0
58	1	30	0
76	1	36	0
4102	23	69	0
100	1	42	0
118	1	66	0
370	1	102	0
742	1	106	0
1318	1	128	0
31750	1	139	0
3286	1	224	0
13144	1	226	0
17524	1	240	0
249046	1	324	0
83158	1	313	0
73846	1	325	0
1181830	1	349	0
13965910	1	608	0
9310246	1	604	0
6206770	1	621	0
74617846	1	647	0
33163990	1	693	0
44207638	1	693	0
29478646	1	728	0
58849366	1	704	0
117941494	1	748	0
78465826	1	725	0
104621122	1	758	0
185993206	1	834	0
130629622	1	1003	0
1567555558	1	1006	0
348345658	1	1033	0
2786751862	1	1066	0
4960079062	1	1327	0
26463382774	1	1208	0
564584100838	1	1386	0
