"Input number 13965910 with intial rewrite term cbabababaaabbabaabababbad
Generated final number 1 with final rewrite term cd
Number of steps: 608  Number of array doubles: 0"
Term	Number
cbabababaaabbabaabababbd	6982955
cbabababaaabbabaabababgd	10474433
cbabababaaabbabaababagbd	10474433
cbabababaaabbabaababfabd	10474433
cbabababaaabbabaabagaabd	10474433
cbabababaaabbabaabfaaabd	10474433
cbabababaaabbabaagaaaabd	10474433
cbabababaaabbabafaaaaabd	10474433
cbabababaaabbabebaaaaabd	10474433
cbabababaaabbafbbaaaaabd	10474433
cbabababaaabbebbbaaaaabd	10474433
cbabababaaabfbbbbaaaaabd	10474433
cbabababaaagabbbbaaaaabd	10474433
cbabababaafaabbbbaaaaabd	10474433
cbabababaebaabbbbaaaaabd	10474433
cbabababeabaabbbbaaaaabd	10474433
cbababafbabaabbbbaaaaabd	10474433
cbababebbabaabbbbaaaaabd	10474433
cbabafbbbabaabbbbaaaaabd	10474433
cbabebbbbabaabbbbaaaaabd	10474433
cbafbbbbbabaabbbbaaaaabd	10474433
cbebbbbbbabaabbbbaaaaabd	10474433
cfbbbbbbbabaabbbbaaaaabd	10474433
caabbbbbbbabaabbbbaaaaabd	10474433
caabbbbbbbabaabbbbaaaaagd	15711650
caabbbbbbbabaabbbbaaaafad	15711650
caabbbbbbbabaabbbbaaaebad	15711650
caabbbbbbbabaabbbbaaeabad	15711650
caabbbbbbbabaabbbbaeaabad	15711650
caabbbbbbbabaabbbbeaaabad	15711650
caabbbbbbbabaabbbfbaaabad	15711650
caabbbbbbbabaabbgabaaabad	15711650
caabbbbbbbabaabgbabaaabad	15711650
caabbbbbbbabaagbbabaaabad	15711650
caabbbbbbbabafabbabaaabad	15711650
caabbbbbbbabebabbabaaabad	15711650
caabbbbbbbafbbabbabaaabad	15711650
caabbbbbbbebbbabbabaaabad	15711650
caabbbbbbfbbbbabbabaaabad	15711650
caabbbbbgabbbbabbabaaabad	15711650
caabbbbgbabbbbabbabaaabad	15711650
caabbbgbbabbbbabbabaaabad	15711650
caabbgbbbabbbbabbabaaabad	15711650
caabgbbbbabbbbabbabaaabad	15711650
caagbbbbbabbbbabbabaaabad	15711650
cafabbbbbabbbbabbabaaabad	15711650
cebabbbbbabbbbabbabaaabad	15711650
cbbabbbbbabbbbabbabaaabad	15711650
cbbabbbbbabbbbabbabaaabd	7855825
cbbabbbbbabbbbabbabaaagd	11783738
cbbabbbbbabbbbabbabaafad	11783738
cbbabbbbbabbbbabbabaebad	11783738
cbbabbbbbabbbbabbabeabad	11783738
cbbabbbbbabbbbabbafbabad	11783738
cbbabbbbbabbbbabbebbabad	11783738
cbbabbbbbabbbbabfbbbabad	11783738
cbbabbbbbabbbbagabbbabad	11783738
cbbabbbbbabbbbfaabbbabad	11783738
cbbabbbbbabbbgaaabbbabad	11783738
cbbabbbbbabbgbaaabbbabad	11783738
cbbabbbbbabgbbaaabbbabad	11783738
cbbabbbbbagbbbaaabbbabad	11783738
cbbabbbbbfabbbaaabbbabad	11783738
cbbabbbbgaabbbaaabbbabad	11783738
cbbabbbgbaabbbaaabbbabad	11783738
cbbabbgbbaabbbaaabbbabad	11783738
cbbabgbbbaabbbaaabbbabad	11783738
cbbagbbbbaabbbaaabbbabad	11783738
cbbfabbbbaabbbaaabbbabad	11783738
cbgaabbbbaabbbaaabbbabad	11783738
cgbaabbbbaabbbaaabbbabad	11783738
cabbaabbbbaabbbaaabbbabad	11783738
cabbaabbbbaabbbaaabbbabd	5891869
cabbaabbbbaabbbaaabbbagd	8837804
cabbaabbbbaabbbaaabbbfad	8837804
cabbaabbbbaabbbaaabbgaad	8837804
cabbaabbbbaabbbaaabgbaad	8837804
cabbaabbbbaabbbaaagbbaad	8837804
cabbaabbbbaabbbaafabbaad	8837804
cabbaabbbbaabbbaebabbaad	8837804
cabbaabbbbaabbbeababbaad	8837804
cabbaabbbbaabbfbababbaad	8837804
cabbaabbbbaabgabababbaad	8837804
cabbaabbbbaagbabababbaad	8837804
cabbaabbbbafababababbaad	8837804
cabbaabbbbebababababbaad	8837804
cabbaabbbfbbababababbaad	8837804
cabbaabbgabbababababbaad	8837804
cabbaabgbabbababababbaad	8837804
cabbaagbbabbababababbaad	8837804
cabbafabbabbababababbaad	8837804
cabbebabbabbababababbaad	8837804
cabfbbabbabbababababbaad	8837804
cagabbabbabbababababbaad	8837804
cfaabbabbabbababababbaad	8837804
caaaabbabbabbababababbaad	8837804
caaaabbabbabbababababbad	4418902
caaaabbabbabbababababbd	2209451
caaaabbabbabbababababgd	3314177
caaaabbabbabbabababagbd	3314177
caaaabbabbabbabababfabd	3314177
caaaabbabbabbababagaabd	3314177
caaaabbabbabbababfaaabd	3314177
caaaabbabbabbabagaaaabd	3314177
caaaabbabbabbabfaaaaabd	3314177
caaaabbabbabbagaaaaaabd	3314177
caaaabbabbabbfaaaaaaabd	3314177
caaaabbabbabgaaaaaaaabd	3314177
caaaabbabbagbaaaaaaaabd	3314177
caaaabbabbfabaaaaaaaabd	3314177
caaaabbabgaabaaaaaaaabd	3314177
caaaabbagbaabaaaaaaaabd	3314177
caaaabbfabaabaaaaaaaabd	3314177
caaaabgaabaabaaaaaaaabd	3314177
caaaagbaabaabaaaaaaaabd	3314177
caaafabaabaabaaaaaaaabd	3314177
caaebabaabaabaaaaaaaabd	3314177
caeababaabaabaaaaaaaabd	3314177
ceaababaabaabaaaaaaaabd	3314177
cbaababaabaabaaaaaaaabd	3314177
cbaababaabaabaaaaaaaagd	4971266
cbaababaabaabaaaaaaafad	4971266
cbaababaabaabaaaaaaebad	4971266
cbaababaabaabaaaaaeabad	4971266
cbaababaabaabaaaaeaabad	4971266
cbaababaabaabaaaeaaabad	4971266
cbaababaabaabaaeaaaabad	4971266
cbaababaabaabaeaaaaabad	4971266
cbaababaabaabeaaaaaabad	4971266
cbaababaabaafbaaaaaabad	4971266
cbaababaabaebbaaaaaabad	4971266
cbaababaabeabbaaaaaabad	4971266
cbaababaafbabbaaaaaabad	4971266
cbaababaebbabbaaaaaabad	4971266
cbaababeabbabbaaaaaabad	4971266
cbaabafbabbabbaaaaaabad	4971266
cbaabebbabbabbaaaaaabad	4971266
cbaafbbbabbabbaaaaaabad	4971266
cbaebbbbabbabbaaaaaabad	4971266
cbeabbbbabbabbaaaaaabad	4971266
cfbabbbbabbabbaaaaaabad	4971266
caababbbbabbabbaaaaaabad	4971266
caababbbbabbabbaaaaaabd	2485633
caababbbbabbabbaaaaaagd	3728450
caababbbbabbabbaaaaafad	3728450
caababbbbabbabbaaaaebad	3728450
caababbbbabbabbaaaeabad	3728450
caababbbbabbabbaaeaabad	3728450
caababbbbabbabbaeaaabad	3728450
caababbbbabbabbeaaaabad	3728450
caababbbbabbabfbaaaabad	3728450
caababbbbabbagabaaaabad	3728450
caababbbbabbfaabaaaabad	3728450
caababbbbabgaaabaaaabad	3728450
caababbbbagbaaabaaaabad	3728450
caababbbbfabaaabaaaabad	3728450
caababbbgaabaaabaaaabad	3728450
caababbgbaabaaabaaaabad	3728450
caababgbbaabaaabaaaabad	3728450
caabagbbbaabaaabaaaabad	3728450
caabfabbbaabaaabaaaabad	3728450
caagaabbbaabaaabaaaabad	3728450
cafaaabbbaabaaabaaaabad	3728450
cebaaabbbaabaaabaaaabad	3728450
cbbaaabbbaabaaabaaaabad	3728450
