"Input number 185993206 with intial rewrite term cabbaaababbaaaaaabbbbbbbabbad
Generated final number 1 with final rewrite term cd
Number of steps: 834  Number of array doubles: 0"
Term	Number
cabbaaababbaaaaaabbbbbbbabbd	92996603
cabbaaababbaaaaaabbbbbbbabgd	139494905
cabbaaababbaaaaaabbbbbbbagbd	139494905
cabbaaababbaaaaaabbbbbbbfabd	139494905
cabbaaababbaaaaaabbbbbbgaabd	139494905
cabbaaababbaaaaaabbbbbgbaabd	139494905
cabbaaababbaaaaaabbbbgbbaabd	139494905
cabbaaababbaaaaaabbbgbbbaabd	139494905
cabbaaababbaaaaaabbgbbbbaabd	139494905
cabbaaababbaaaaaabgbbbbbaabd	139494905
cabbaaababbaaaaaagbbbbbbaabd	139494905
cabbaaababbaaaaafabbbbbbaabd	139494905
cabbaaababbaaaaebabbbbbbaabd	139494905
cabbaaababbaaaeababbbbbbaabd	139494905
cabbaaababbaaeaababbbbbbaabd	139494905
cabbaaababbaeaaababbbbbbaabd	139494905
cabbaaababbeaaaababbbbbbaabd	139494905
cabbaaababfbaaaababbbbbbaabd	139494905
cabbaaabagabaaaababbbbbbaabd	139494905
cabbaaabfaabaaaababbbbbbaabd	139494905
cabbaaagaaabaaaababbbbbbaabd	139494905
cabbaafaaaabaaaababbbbbbaabd	139494905
cabbaebaaaabaaaababbbbbbaabd	139494905
cabbeabaaaabaaaababbbbbbaabd	139494905
cabfbabaaaabaaaababbbbbbaabd	139494905
cagababaaaabaaaababbbbbbaabd	139494905
cfaababaaaabaaaababbbbbbaabd	139494905
caaaababaaaabaaaababbbbbbaabd	139494905
caaaababaaaabaaaababbbbbbaagd	209242358
caaaababaaaabaaaababbbbbbafad	209242358
caaaababaaaabaaaababbbbbbebad	209242358
caaaababaaaabaaaababbbbbfbbad	209242358
caaaababaaaabaaaababbbbgabbad	209242358
caaaababaaaabaaaababbbgbabbad	209242358
caaaababaaaabaaaababbgbbabbad	209242358
caaaababaaaabaaaababgbbbabbad	209242358
