"Input number 2786751862 with intial rewrite term cabaabbaaaabbabaabbbabababbbabbad
Generated final number 1 with final rewrite term cd
Number of steps: 1066  Number of array doubles: 0"
Term	Number
cabaabbaaaabbabaabbbabababbbabbd	1393375931
cabaabbaaaabbabaabbbabababbbabgd	2090063897
cabaabbaaaabbabaabbbabababbbagbd	2090063897
cabaabbaaaabbabaabbbabababbbfabd	2090063897
cabaabbaaaabbabaabbbabababbgaabd	2090063897
cabaabbaaaabbabaabbbabababgbaabd	2090063897
cabaabbaaaabbabaabbbababagbbaabd	2090063897
cabaabbaaaabbabaabbbababfabbaabd	2090063897
cabaabbaaaabbabaabbbabagaabbaabd	2090063897
cabaabbaaaabbabaabbbabfaaabbaabd	2090063897
cabaabbaaaabbabaabbbagaaaabbaabd	2090063897
cabaabbaaaabbabaabbbfaaaaabbaabd	2090063897
cabaabbaaaabbabaabbgaaaaaabbaabd	2090063897
cabaabbaaaabbabaabgbaaaaaabbaabd	2090063897
cabaabbaaaabbabaagbbaaaaaabbaabd	2090063897
cabaabbaaaabbabafabbaaaaaabbaabd	2090063897
cabaabbaaaabbabebabbaaaaaabbaabd	2090063897
cabaabbaaaabbafbbabbaaaaaabbaabd	2090063897
cabaabbaaaabbebbbabbaaaaaabbaabd	2090063897
cabaabbaaaabfbbbbabbaaaaaabbaabd	2090063897
cabaabbaaaagabbbbabbaaaaaabbaabd	2090063897
cabaabbaaafaabbbbabbaaaaaabbaabd	2090063897
cabaabbaaebaabbbbabbaaaaaabbaabd	2090063897
cabaabbaeabaabbbbabbaaaaaabbaabd	2090063897
cabaabbeaabaabbbbabbaaaaaabbaabd	2090063897
cabaabfbaabaabbbbabbaaaaaabbaabd	2090063897
cabaagabaabaabbbbabbaaaaaabbaabd	2090063897
cabafaabaabaabbbbabbaaaaaabbaabd	2090063897
cabebaabaabaabbbbabbaaaaaabbaabd	2090063897
cafbbaabaabaabbbbabbaaaaaabbaabd	2090063897
cebbbaabaabaabbbbabbaaaaaabbaabd	2090063897
cbbbbaabaabaabbbbabbaaaaaabbaabd	2090063897
cbbbbaabaabaabbbbabbaaaaaabbaagd	3135095846
cbbbbaabaabaabbbbabbaaaaaabbafad	3135095846
cbbbbaabaabaabbbbabbaaaaaabbebad	3135095846
cbbbbaabaabaabbbbabbaaaaaabfbbad	3135095846
cbbbbaabaabaabbbbabbaaaaaagabbad	3135095846
cbbbbaabaabaabbbbabbaaaaafaabbad	3135095846
cbbbbaabaabaabbbbabbaaaaebaabbad	3135095846
cbbbbaabaabaabbbbabbaaaeabaabbad	3135095846
cbbbbaabaabaabbbbabbaaeaabaabbad	3135095846
