"Input number 29478646 with intial rewrite term cbbaaaaabbbaabbbabbbbabbad
Generated final number 1 with final rewrite term cd
Number of steps: 728  Number of array doubles: 0"
Term	Number
cbbaaaaabbbaabbbabbbbabbd	14739323
cbbaaaaabbbaabbbabbbbabgd	22108985
cbbaaaaabbbaabbbabbbbagbd	22108985
cbbaaaaabbbaabbbabbbbfabd	22108985
cbbaaaaabbbaabbbabbbgaabd	22108985
cbbaaaaabbbaabbbabbgbaabd	22108985
cbbaaaaabbbaabbbabgbbaabd	22108985
cbbaaaaabbbaabbbagbbbaabd	22108985
cbbaaaaabbbaabbbfabbbaabd	22108985
cbbaaaaabbbaabbgaabbbaabd	22108985
cbbaaaaabbbaabgbaabbbaabd	22108985
cbbaaaaabbbaagbbaabbbaabd	22108985
cbbaaaaabbbafabbaabbbaabd	22108985
cbbaaaaabbbebabbaabbbaabd	22108985
cbbaaaaabbfbbabbaabbbaabd	22108985
cbbaaaaabgabbabbaabbbaabd	22108985
cbbaaaaagbabbabbaabbbaabd	22108985
cbbaaaafababbabbaabbbaabd	22108985
cbbaaaebababbabbaabbbaabd	22108985
cbbaaeabababbabbaabbbaabd	22108985
cbbaeaabababbabbaabbbaabd	22108985
cbbeaaabababbabbaabbbaabd	22108985
cbfbaaabababbabbaabbbaabd	22108985
cgabaaabababbabbaabbbaabd	22108985
cababaaabababbabbaabbbaabd	22108985
cababaaabababbabbaabbbaagd	33163478
cababaaabababbabbaabbbafad	33163478
cababaaabababbabbaabbbebad	33163478
cababaaabababbabbaabbfbbad	33163478
cababaaabababbabbaabgabbad	33163478
cababaaabababbabbaagbabbad	33163478
cababaaabababbabbafababbad	33163478
cababaaabababbabbebababbad	33163478
cababaaabababbabfbbababbad	33163478
cababaaabababbagabbababbad	33163478
cababaaabababbfaabbababbad	33163478
cababaaabababgaaabbababbad	33163478
cababaaababagbaaabbababbad	33163478
cababaaababfabaaabbababbad	33163478
cababaaabagaabaaabbababbad	33163478
cababaaabfaaabaaabbababbad	33163478
cababaaagaaaabaaabbababbad	33163478
cababaafaaaaabaaabbababbad	33163478
cababaebaaaaabaaabbababbad	33163478
cababeabaaaaabaaabbababbad	33163478
cabafbabaaaaabaaabbababbad	33163478
cabebbabaaaaabaaabbababbad	33163478
cafbbbabaaaaabaaabbababbad	33163478
cebbbbabaaaaabaaabbababbad	33163478
cbbbbbabaaaaabaaabbababbad	33163478
cbbbbbabaaaaabaaabbababbd	16581739
cbbbbbabaaaaabaaabbababgd	24872609
cbbbbbabaaaaabaaabbabagbd	24872609
cbbbbbabaaaaabaaabbabfabd	24872609
cbbbbbabaaaaabaaabbagaabd	24872609
cbbbbbabaaaaabaaabbfaaabd	24872609
cbbbbbabaaaaabaaabgaaaabd	24872609
cbbbbbabaaaaabaaagbaaaabd	24872609
cbbbbbabaaaaabaafabaaaabd	24872609
cbbbbbabaaaaabaebabaaaabd	24872609
cbbbbbabaaaaabeababaaaabd	24872609
cbbbbbabaaaaafbababaaaabd	24872609
cbbbbbabaaaaebbababaaaabd	24872609
cbbbbbabaaaeabbababaaaabd	24872609
cbbbbbabaaeaabbababaaaabd	24872609
cbbbbbabaeaaabbababaaaabd	24872609
cbbbbbabeaaaabbababaaaabd	24872609
cbbbbbafbaaaabbababaaaabd	24872609
cbbbbbebbaaaabbababaaaabd	24872609
cbbbbfbbbaaaabbababaaaabd	24872609
cbbbgabbbaaaabbababaaaabd	24872609
cbbgbabbbaaaabbababaaaabd	24872609
cbgbbabbbaaaabbababaaaabd	24872609
cgbbbabbbaaaabbababaaaabd	24872609
cabbbbabbbaaaabbababaaaabd	24872609
cabbbbabbbaaaabbababaaaagd	37308914
cabbbbabbbaaaabbababaaafad	37308914
cabbbbabbbaaaabbababaaebad	37308914
cabbbbabbbaaaabbababaeabad	37308914
cabbbbabbbaaaabbababeaabad	37308914
cabbbbabbbaaaabbabafbaabad	37308914
cabbbbabbbaaaabbabebbaabad	37308914
cabbbbabbbaaaabbafbbbaabad	37308914
cabbbbabbbaaaabbebbbbaabad	37308914
cabbbbabbbaaaabfbbbbbaabad	37308914
cabbbbabbbaaaagabbbbbaabad	37308914
cabbbbabbbaaafaabbbbbaabad	37308914
cabbbbabbbaaebaabbbbbaabad	37308914
cabbbbabbbaeabaabbbbbaabad	37308914
cabbbbabbbeaabaabbbbbaabad	37308914
cabbbbabbfbaabaabbbbbaabad	37308914
cabbbbabgabaabaabbbbbaabad	37308914
cabbbbagbabaabaabbbbbaabad	37308914
cabbbbfababaabaabbbbbaabad	37308914
cabbbgaababaabaabbbbbaabad	37308914
cabbgbaababaabaabbbbbaabad	37308914
cabgbbaababaabaabbbbbaabad	37308914
cagbbbaababaabaabbbbbaabad	37308914
cfabbbaababaabaabbbbbaabad	37308914
caaabbbaababaabaabbbbbaabad	37308914
caaabbbaababaabaabbbbbaabd	18654457
caaabbbaababaabaabbbbbaagd	27981686
caaabbbaababaabaabbbbbafad	27981686
caaabbbaababaabaabbbbbebad	27981686
caaabbbaababaabaabbbbfbbad	27981686
caaabbbaababaabaabbbgabbad	27981686
caaabbbaababaabaabbgbabbad	27981686
caaabbbaababaabaabgbbabbad	27981686
caaabbbaababaabaagbbbabbad	27981686
caaabbbaababaabafabbbabbad	27981686
caaabbbaababaabebabbbabbad	27981686
caaabbbaababaafbbabbbabbad	27981686
caaabbbaababaebbbabbbabbad	27981686
caaabbbaababeabbbabbbabbad	27981686
caaabbbaabafbabbbabbbabbad	27981686
caaabbbaabebbabbbabbbabbad	27981686
caaabbbaafbbbabbbabbbabbad	27981686
caaabbbaebbbbabbbabbbabbad	27981686
caaabbbeabbbbabbbabbbabbad	27981686
caaabbfbabbbbabbbabbbabbad	27981686
caaabgababbbbabbbabbbabbad	27981686
caaagbababbbbabbbabbbabbad	27981686
caafabababbbbabbbabbbabbad	27981686
caebabababbbbabbbabbbabbad	27981686
ceababababbbbabbbabbbabbad	27981686
cbababababbbbabbbabbbabbad	27981686
cbababababbbbabbbabbbabbd	13990843
cbababababbbbabbbabbbabgd	20986265
cbababababbbbabbbabbbagbd	20986265
cbababababbbbabbbabbbfabd	20986265
cbababababbbbabbbabbgaabd	20986265
cbababababbbbabbbabgbaabd	20986265
cbababababbbbabbbagbbaabd	20986265
cbababababbbbabbbfabbaabd	20986265
cbababababbbbabbgaabbaabd	20986265
cbababababbbbabgbaabbaabd	20986265
cbababababbbbagbbaabbaabd	20986265
cbababababbbbfabbaabbaabd	20986265
cbababababbbgaabbaabbaabd	20986265
cbababababbgbaabbaabbaabd	20986265
cbababababgbbaabbaabbaabd	20986265
cbabababagbbbaabbaabbaabd	20986265
cbabababfabbbaabbaabbaabd	20986265
cbababagaabbbaabbaabbaabd	20986265
cbababfaaabbbaabbaabbaabd	20986265
cbabagaaaabbbaabbaabbaabd	20986265
cbabfaaaaabbbaabbaabbaabd	20986265
cbagaaaaaabbbaabbaabbaabd	20986265
cbfaaaaaaabbbaabbaabbaabd	20986265
cgaaaaaaaabbbaabbaabbaabd	20986265
cabaaaaaaaabbbaabbaabbaabd	20986265
cabaaaaaaaabbbaabbaabbaagd	31479398
cabaaaaaaaabbbaabbaabbafad	31479398
cabaaaaaaaabbbaabbaabbebad	31479398
cabaaaaaaaabbbaabbaabfbbad	31479398
cabaaaaaaaabbbaabbaagabbad	31479398
cabaaaaaaaabbbaabbafaabbad	31479398
cabaaaaaaaabbbaabbebaabbad	31479398
cabaaaaaaaabbbaabfbbaabbad	31479398
cabaaaaaaaabbbaagabbaabbad	31479398
cabaaaaaaaabbbafaabbaabbad	31479398
