"Input number 31750 with intial rewrite term cbbbbaaaaaaabbad
Generated final number 1 with final rewrite term cd
Number of steps: 139  Number of array doubles: 0"
Term	Number
cbbbbaaaaaaabbd	15875
cbbbbaaaaaaabgd	23813
cbbbbaaaaaaagbd	23813
cbbbbaaaaaafabd	23813
cbbbbaaaaaebabd	23813
cbbbbaaaaeababd	23813
cbbbbaaaeaababd	23813
cbbbbaaeaaababd	23813
cbbbbaeaaaababd	23813
cbbbbeaaaaababd	23813
cbbbfbaaaaababd	23813
cbbgabaaaaababd	23813
cbgbabaaaaababd	23813
cgbbabaaaaababd	23813
cabbbabaaaaababd	23813
cabbbabaaaaabagd	35720
cabbbabaaaaabfad	35720
cabbbabaaaaagaad	35720
cabbbabaaaafaaad	35720
cabbbabaaaebaaad	35720
cabbbabaaeabaaad	35720
cabbbabaeaabaaad	35720
cabbbabeaaabaaad	35720
cabbbafbaaabaaad	35720
cabbbebbaaabaaad	35720
cabbfbbbaaabaaad	35720
cabgabbbaaabaaad	35720
cagbabbbaaabaaad	35720
cfababbbaaabaaad	35720
caaababbbaaabaaad	35720
caaababbbaaabaad	17860
caaababbbaaabad	8930
caaababbbaaabd	4465
caaababbbaaagd	6698
caaababbbaafad	6698
caaababbbaebad	6698
caaababbbeabad	6698
caaababbfbabad	6698
caaababgababad	6698
caaabagbababad	6698
caaabfabababad	6698
caaagaabababad	6698
caafaaabababad	6698
caebaaabababad	6698
ceabaaabababad	6698
cbabaaabababad	6698
cbabaaabababd	3349
cbabaaababagd	5024
cbabaaababfad	5024
cbabaaabagaad	5024
cbabaaabfaaad	5024
cbabaaagaaaad	5024
cbabaafaaaaad	5024
cbabaebaaaaad	5024
cbabeabaaaaad	5024
cbafbabaaaaad	5024
cbebbabaaaaad	5024
cfbbbabaaaaad	5024
caabbbabaaaaad	5024
caabbbabaaaad	2512
caabbbabaaad	1256
caabbbabaad	628
caabbbabad	314
caabbbabd	157
caabbbagd	236
caabbbfad	236
caabbgaad	236
caabgbaad	236
caagbbaad	236
cafabbaad	236
cebabbaad	236
cbbabbaad	236
cbbabbad	118
cbbabbd	59
cbbabgd	89
cbbagbd	89
cbbfabd	89
cbgaabd	89
cgbaabd	89
cabbaabd	89
cabbaagd	134
cabbafad	134
cabbebad	134
cabfbbad	134
cagabbad	134
cfaabbad	134
caaaabbad	134
caaaabbd	67
caaaabgd	101
caaaagbd	101
caaafabd	101
caaebabd	101
caeababd	101
ceaababd	101
cbaababd	101
cbaabagd	152
cbaabfad	152
cbaagaad	152
cbafaaad	152
cbebaaad	152
cfbbaaad	152
caabbaaad	152
caabbaad	76
caabbad	38
caabbd	19
caabgd	29
caagbd	29
cafabd	29
cebabd	29
cbbabd	29
cbbagd	44
cbbfad	44
cbgaad	44
cgbaad	44
cabbaad	44
cabbad	22
cabbd	11
cabgd	17
cagbd	17
cfabd	17
caaabd	17
caaagd	26
caafad	26
caebad	26
ceabad	26
cbabad	26
cbabd	13
cbagd	20
cbfad	20
cgaad	20
cabaad	20
cabad	10
cabd	5
cagd	8
cfad	8
caaad	8
caad	4
cad	2
cd	1
