"Input number 33163990 with intial rewrite term cbbbbbabaaaaabababbababbad
Generated final number 1 with final rewrite term cd
Number of steps: 693  Number of array doubles: 0"
Term	Number
cbbbbbabaaaaabababbababbd	16581995
cbbbbbabaaaaabababbababgd	24872993
cbbbbbabaaaaabababbabagbd	24872993
cbbbbbabaaaaabababbabfabd	24872993
cbbbbbabaaaaabababbagaabd	24872993
cbbbbbabaaaaabababbfaaabd	24872993
cbbbbbabaaaaabababgaaaabd	24872993
cbbbbbabaaaaababagbaaaabd	24872993
cbbbbbabaaaaababfabaaaabd	24872993
cbbbbbabaaaaabagaabaaaabd	24872993
cbbbbbabaaaaabfaaabaaaabd	24872993
cbbbbbabaaaaagaaaabaaaabd	24872993
cbbbbbabaaaafaaaaabaaaabd	24872993
cbbbbbabaaaebaaaaabaaaabd	24872993
cbbbbbabaaeabaaaaabaaaabd	24872993
cbbbbbabaeaabaaaaabaaaabd	24872993
cbbbbbabeaaabaaaaabaaaabd	24872993
cbbbbbafbaaabaaaaabaaaabd	24872993
cbbbbbebbaaabaaaaabaaaabd	24872993
cbbbbfbbbaaabaaaaabaaaabd	24872993
cbbbgabbbaaabaaaaabaaaabd	24872993
cbbgbabbbaaabaaaaabaaaabd	24872993
cbgbbabbbaaabaaaaabaaaabd	24872993
cgbbbabbbaaabaaaaabaaaabd	24872993
cabbbbabbbaaabaaaaabaaaabd	24872993
cabbbbabbbaaabaaaaabaaaagd	37309490
cabbbbabbbaaabaaaaabaaafad	37309490
cabbbbabbbaaabaaaaabaaebad	37309490
cabbbbabbbaaabaaaaabaeabad	37309490
cabbbbabbbaaabaaaaabeaabad	37309490
cabbbbabbbaaabaaaaafbaabad	37309490
cabbbbabbbaaabaaaaebbaabad	37309490
cabbbbabbbaaabaaaeabbaabad	37309490
cabbbbabbbaaabaaeaabbaabad	37309490
cabbbbabbbaaabaeaaabbaabad	37309490
cabbbbabbbaaabeaaaabbaabad	37309490
cabbbbabbbaaafbaaaabbaabad	37309490
cabbbbabbbaaebbaaaabbaabad	37309490
cabbbbabbbaeabbaaaabbaabad	37309490
cabbbbabbbeaabbaaaabbaabad	37309490
cabbbbabbfbaabbaaaabbaabad	37309490
cabbbbabgabaabbaaaabbaabad	37309490
cabbbbagbabaabbaaaabbaabad	37309490
cabbbbfababaabbaaaabbaabad	37309490
cabbbgaababaabbaaaabbaabad	37309490
cabbgbaababaabbaaaabbaabad	37309490
cabgbbaababaabbaaaabbaabad	37309490
cagbbbaababaabbaaaabbaabad	37309490
cfabbbaababaabbaaaabbaabad	37309490
caaabbbaababaabbaaaabbaabad	37309490
caaabbbaababaabbaaaabbaabd	18654745
caaabbbaababaabbaaaabbaagd	27982118
caaabbbaababaabbaaaabbafad	27982118
caaabbbaababaabbaaaabbebad	27982118
caaabbbaababaabbaaaabfbbad	27982118
caaabbbaababaabbaaaagabbad	27982118
caaabbbaababaabbaaafaabbad	27982118
caaabbbaababaabbaaebaabbad	27982118
caaabbbaababaabbaeabaabbad	27982118
caaabbbaababaabbeaabaabbad	27982118
caaabbbaababaabfbaabaabbad	27982118
caaabbbaababaagabaabaabbad	27982118
caaabbbaababafaabaabaabbad	27982118
caaabbbaababebaabaabaabbad	27982118
caaabbbaabafbbaabaabaabbad	27982118
caaabbbaabebbbaabaabaabbad	27982118
caaabbbaafbbbbaabaabaabbad	27982118
caaabbbaebbbbbaabaabaabbad	27982118
caaabbbeabbbbbaabaabaabbad	27982118
caaabbfbabbbbbaabaabaabbad	27982118
caaabgababbbbbaabaabaabbad	27982118
caaagbababbbbbaabaabaabbad	27982118
caafabababbbbbaabaabaabbad	27982118
caebabababbbbbaabaabaabbad	27982118
ceababababbbbbaabaabaabbad	27982118
cbababababbbbbaabaabaabbad	27982118
cbababababbbbbaabaabaabbd	13991059
cbababababbbbbaabaabaabgd	20986589
cbababababbbbbaabaabaagbd	20986589
cbababababbbbbaabaabafabd	20986589
cbababababbbbbaabaabebabd	20986589
cbababababbbbbaabaafbbabd	20986589
