"Input number 348345658 with intial rewrite term cabaabbaaaabbababababaabbbabad
Generated final number 1 with final rewrite term cd
Number of steps: 1033  Number of array doubles: 0"
Term	Number
cabaabbaaaabbababababaabbbabd	174172829
cabaabbaaaabbababababaabbbagd	261259244
cabaabbaaaabbababababaabbbfad	261259244
cabaabbaaaabbababababaabbgaad	261259244
cabaabbaaaabbababababaabgbaad	261259244
cabaabbaaaabbababababaagbbaad	261259244
cabaabbaaaabbababababafabbaad	261259244
cabaabbaaaabbababababebabbaad	261259244
cabaabbaaaabbabababafbbabbaad	261259244
cabaabbaaaabbabababebbbabbaad	261259244
cabaabbaaaabbababafbbbbabbaad	261259244
cabaabbaaaabbababebbbbbabbaad	261259244
cabaabbaaaabbabafbbbbbbabbaad	261259244
cabaabbaaaabbabebbbbbbbabbaad	261259244
cabaabbaaaabbafbbbbbbbbabbaad	261259244
cabaabbaaaabbebbbbbbbbbabbaad	261259244
cabaabbaaaabfbbbbbbbbbbabbaad	261259244
cabaabbaaaagabbbbbbbbbbabbaad	261259244
cabaabbaaafaabbbbbbbbbbabbaad	261259244
cabaabbaaebaabbbbbbbbbbabbaad	261259244
cabaabbaeabaabbbbbbbbbbabbaad	261259244
cabaabbeaabaabbbbbbbbbbabbaad	261259244
cabaabfbaabaabbbbbbbbbbabbaad	261259244
cabaagabaabaabbbbbbbbbbabbaad	261259244
cabafaabaabaabbbbbbbbbbabbaad	261259244
cabebaabaabaabbbbbbbbbbabbaad	261259244
cafbbaabaabaabbbbbbbbbbabbaad	261259244
cebbbaabaabaabbbbbbbbbbabbaad	261259244
cbbbbaabaabaabbbbbbbbbbabbaad	261259244
cbbbbaabaabaabbbbbbbbbbabbad	130629622
cbbbbaabaabaabbbbbbbbbbabbd	65314811
cbbbbaabaabaabbbbbbbbbbabgd	97972217
cbbbbaabaabaabbbbbbbbbbagbd	97972217
cbbbbaabaabaabbbbbbbbbbfabd	97972217
cbbbbaabaabaabbbbbbbbbgaabd	97972217
cbbbbaabaabaabbbbbbbbgbaabd	97972217
cbbbbaabaabaabbbbbbbgbbaabd	97972217
cbbbbaabaabaabbbbbbgbbbaabd	97972217
cbbbbaabaabaabbbbbgbbbbaabd	97972217
cbbbbaabaabaabbbbgbbbbbaabd	97972217
cbbbbaabaabaabbbgbbbbbbaabd	97972217
cbbbbaabaabaabbgbbbbbbbaabd	97972217
cbbbbaabaabaabgbbbbbbbbaabd	97972217
cbbbbaabaabaagbbbbbbbbbaabd	97972217
cbbbbaabaabafabbbbbbbbbaabd	97972217
cbbbbaabaabebabbbbbbbbbaabd	97972217
cbbbbaabaafbbabbbbbbbbbaabd	97972217
cbbbbaabaebbbabbbbbbbbbaabd	97972217
cbbbbaabeabbbabbbbbbbbbaabd	97972217
cbbbbaafbabbbabbbbbbbbbaabd	97972217
cbbbbaebbabbbabbbbbbbbbaabd	97972217
cbbbbeabbabbbabbbbbbbbbaabd	97972217
cbbbfbabbabbbabbbbbbbbbaabd	97972217
cbbgababbabbbabbbbbbbbbaabd	97972217
cbgbababbabbbabbbbbbbbbaabd	97972217
cgbbababbabbbabbbbbbbbbaabd	97972217
cabbbababbabbbabbbbbbbbbaabd	97972217
cabbbababbabbbabbbbbbbbbaagd	146958326
cabbbababbabbbabbbbbbbbbafad	146958326
cabbbababbabbbabbbbbbbbbebad	146958326
cabbbababbabbbabbbbbbbbfbbad	146958326
cabbbababbabbbabbbbbbbgabbad	146958326
cabbbababbabbbabbbbbbgbabbad	146958326
cabbbababbabbbabbbbbgbbabbad	146958326
cabbbababbabbbabbbbgbbbabbad	146958326
cabbbababbabbbabbbgbbbbabbad	146958326
cabbbababbabbbabbgbbbbbabbad	146958326
cabbbababbabbbabgbbbbbbabbad	146958326
cabbbababbabbbagbbbbbbbabbad	146958326
cabbbababbabbbfabbbbbbbabbad	146958326
cabbbababbabbgaabbbbbbbabbad	146958326
cabbbababbabgbaabbbbbbbabbad	146958326
cabbbababbagbbaabbbbbbbabbad	146958326
cabbbababbfabbaabbbbbbbabbad	146958326
cabbbababgaabbaabbbbbbbabbad	146958326
cabbbabagbaabbaabbbbbbbabbad	146958326
cabbbabfabaabbaabbbbbbbabbad	146958326
cabbbagaabaabbaabbbbbbbabbad	146958326
cabbbfaaabaabbaabbbbbbbabbad	146958326
cabbgaaaabaabbaabbbbbbbabbad	146958326
cabgbaaaabaabbaabbbbbbbabbad	146958326
cagbbaaaabaabbaabbbbbbbabbad	146958326
cfabbaaaabaabbaabbbbbbbabbad	146958326
caaabbaaaabaabbaabbbbbbbabbad	146958326
caaabbaaaabaabbaabbbbbbbabbd	73479163
caaabbaaaabaabbaabbbbbbbabgd	110218745
caaabbaaaabaabbaabbbbbbbagbd	110218745
caaabbaaaabaabbaabbbbbbbfabd	110218745
caaabbaaaabaabbaabbbbbbgaabd	110218745
caaabbaaaabaabbaabbbbbgbaabd	110218745
caaabbaaaabaabbaabbbbgbbaabd	110218745
caaabbaaaabaabbaabbbgbbbaabd	110218745
caaabbaaaabaabbaabbgbbbbaabd	110218745
caaabbaaaabaabbaabgbbbbbaabd	110218745
caaabbaaaabaabbaagbbbbbbaabd	110218745
caaabbaaaabaabbafabbbbbbaabd	110218745
caaabbaaaabaabbebabbbbbbaabd	110218745
caaabbaaaabaabfbbabbbbbbaabd	110218745
caaabbaaaabaagabbabbbbbbaabd	110218745
caaabbaaaabafaabbabbbbbbaabd	110218745
caaabbaaaabebaabbabbbbbbaabd	110218745
