"Input number 4102 with intial rewrite term caaaaaaaaabbad
Generated final number 23 with final rewrite term cabbbd
Number of steps: 69  Number of array doubles: 0"
Term	Number
caaaaaaaaabbd	2051
caaaaaaaaabgd	3077
caaaaaaaaagbd	3077
caaaaaaaafabd	3077
caaaaaaaebabd	3077
caaaaaaeababd	3077
caaaaaeaababd	3077
caaaaeaaababd	3077
caaaeaaaababd	3077
caaeaaaaababd	3077
caeaaaaaababd	3077
ceaaaaaaababd	3077
cbaaaaaaababd	3077
cbaaaaaaabagd	4616
cbaaaaaaabfad	4616
cbaaaaaaagaad	4616
cbaaaaaafaaad	4616
cbaaaaaebaaad	4616
cbaaaaeabaaad	4616
cbaaaeaabaaad	4616
cbaaeaaabaaad	4616
cbaeaaaabaaad	4616
cbeaaaaabaaad	4616
cfbaaaaabaaad	4616
caabaaaaabaaad	4616
caabaaaaabaad	2308
caabaaaaabad	1154
caabaaaaabd	577
caabaaaaagd	866
caabaaaafad	866
caabaaaebad	866
caabaaeabad	866
caabaeaabad	866
caabeaaabad	866
caafbaaabad	866
caebbaaabad	866
ceabbaaabad	866
cbabbaaabad	866
cbabbaaabd	433
cbabbaaagd	650
cbabbaafad	650
cbabbaebad	650
cbabbeabad	650
cbabfbabad	650
cbagababad	650
cbfaababad	650
cgaaababad	650
cabaaababad	650
cabaaababd	325
cabaaabagd	488
cabaaabfad	488
cabaaagaad	488
cabaafaaad	488
cabaebaaad	488
cabeabaaad	488
cafbabaaad	488
cebbabaaad	488
cbbbabaaad	488
cbbbabaad	244
cbbbabad	122
cbbbabd	61
cbbbagd	92
cbbbfad	92
cbbgaad	92
cbgbaad	92
cgbbaad	92
cabbbaad	92
cabbbad	46
cabbbd	23
